"dataset","nhidden","valAccuracy","nblocks","learningrate","bottleneck","testAccuracy","blockForm"
"statlog-landsat",512,0.860975617170334,16,0.01,0.5,0.851499974727631,"rect"
"statlog-landsat",512,0.859312653541565,3,0.01,0.5,0.846000015735626,"rect"
"statlog-landsat",1024,0.859312653541565,2,0.1,0.5,0.856500089168549,"diavolo"
"statlog-landsat",1024,0.858980029821396,16,0.01,0.5,0.815000057220459,"diavolo"
"statlog-landsat",1024,0.857982277870178,2,0.01,0.5,0.844000101089478,"diavolo"
"statlog-landsat",1024,0.857427954673767,4,0.1,0.5,0.855000078678131,"diavolo"
"statlog-landsat",512,0.857427895069123,4,0.01,0.5,0.844500064849854,"rect"
"statlog-landsat",512,0.851995527744293,3,0.01,0.25,0.828000068664551,"diavolo"
"statlog-landsat",1024,0.847782707214356,8,0.01,0.25,0.832500040531158,"rect"
"statlog-landsat",1024,0.842128616571427,3,0.01,0.5,0.829500079154968,"rect"
"statlog-landsat",1024,0.841796010732651,8,0.01,0.5,0.828000009059906,"rect"
"statlog-landsat",1024,0.840354800224304,3,0.01,0.25,0.819000124931335,"rect"
"statlog-landsat",1024,0.838580965995789,16,0.01,0.5,0.820000052452087,"rect"
"statlog-landsat",1024,0.83736139535904,4,0.01,0.25,0.827500104904175,"diavolo"
"statlog-landsat",1024,0.831485569477081,8,0.01,0.25,0.808000087738037,"diavolo"
"statlog-landsat",1024,0.828713953495026,3,0.01,0.25,0.810999989509583,"diavolo"
"statlog-landsat",1024,0.826718437671662,4,0.1,0.25,0.82750004529953,"rect"
"statlog-landsat",512,0.826274973154068,8,0.01,0.5,0.803000092506409,"diavolo"
"statlog-landsat",512,0.818514460325241,3,0.01,0.25,0.790500044822693,"rect"
"statlog-landsat",512,0.818403559923172,4,0.01,0.5,0.812000095844269,"diavolo"
"statlog-landsat",1024,0.817184084653855,2,0.01,0.5,0.794000029563904,"rect"
"statlog-landsat",1024,0.81629713177681,4,0.01,0.5,0.779000043869019,"rect"
"statlog-landsat",1024,0.813414669036865,4,0.01,0.25,0.788500070571899,"rect"
"statlog-landsat",1024,0.812860316038132,16,0.01,0.25,0.785500049591064,"diavolo"
"statlog-landsat",1024,0.811308205127716,3,0.01,0.5,0.792500019073486,"diavolo"
"statlog-landsat",1024,0.810421299934387,8,0.01,0.5,0.781500041484833,"diavolo"
"statlog-landsat",1024,0.791130840778351,2,0.01,0.25,0.812000155448914,"rect"
"statlog-landsat",1024,0.771396970748901,4,0.01,0.5,0.745500028133392,"diavolo"
"statlog-landsat",512,0.237361426651478,16,0.1,0.5,0.230499997735023,"rect"
"statlog-landsat",1024,0.22616408765316,16,0.1,0.25,0.230500012636185,"rect"
"statlog-landsat",1024,0.22616408765316,16,0.1,0.5,0.230499997735023,"rect"
"statlog-landsat",1024,0.22616408765316,16,0.1,0.5,0.230499997735023,"diavolo"
"statlog-landsat",512,0.22616408765316,16,0.1,0.25,0.230500012636185,"rect"
"statlog-landsat",1024,0.22616408765316,16,1,0.25,0.230499997735023,"rect"
"statlog-landsat",1024,0.22616408765316,16,1,0.25,0.230500012636185,"diavolo"
"statlog-landsat",1024,0.22616408765316,16,1,0.5,0.230500012636185,"rect"
