"dataset","testAccuracy","bottleneck","nhidden","nblocks","blockForm","learningrate","valAccuracy"
"parkinsons",0.755102038383484,0.5,256,16,"diavolo",0.01,0.692307770252228
"parkinsons",0.755102038383484,0.25,1024,16,"diavolo",0.1,0.692307770252228
"parkinsons",0.755102038383484,0.25,512,16,"diavolo",0.1,0.692307770252228
"parkinsons",0.755102038383484,0.5,512,16,"diavolo",0.1,0.692307770252228
"parkinsons",0.755102038383484,0.25,256,16,"rect",0.1,0.692307770252228
"parkinsons",0.755102038383484,0.5,256,16,"rect",0.1,0.692307770252228
"parkinsons",0.755102038383484,0.25,1024,8,"rect",0.1,0.692307770252228
"parkinsons",0.755102038383484,0.5,1024,8,"diavolo",0.1,0.692307770252228
"parkinsons",0.755102038383484,0.25,512,8,"rect",0.1,0.692307770252228
"parkinsons",0.755102038383484,0.5,512,8,"rect",0.1,0.692307770252228
"parkinsons",0.755102038383484,0.5,1024,8,"rect",0.1,0.576923143863678
"parkinsons",0.244897961616516,0.5,256,3,"diavolo",1,0.423076975345611
"parkinsons",0.244897961616516,0.5,512,2,"rect",1,0.423076975345611
"parkinsons",0.244897961616516,0.25,256,2,"rect",1,0.423076975345611
"parkinsons",0.244897961616516,0.5,256,2,"rect",1,0.423076975345611
"parkinsons",0.244897961616516,0.25,512,16,"rect",0.1,0.403846198320389
"parkinsons",0.244897961616516,0.5,512,4,"rect",1,0.384615433216095
"parkinsons",0.244897961616516,0.25,512,3,"rect",1,0.384615433216095
"parkinsons",0.244897961616516,0.25,512,2,"diavolo",1,0.384615433216095
"parkinsons",0.244897961616516,0.5,512,2,"diavolo",1,0.373076969385147
"parkinsons",0.244897961616516,0.25,1024,4,"rect",1,0.36923081278801
"parkinsons",0.244897961616516,0.25,1024,2,"diavolo",1,0.361538505554199
"parkinsons",0.244897961616516,0.5,512,16,"rect",0.1,0.346153891086578
"parkinsons",0.244897961616516,0.5,256,8,"diavolo",1,0.346153891086578
"parkinsons",0.244897961616516,0.5,1024,4,"rect",1,0.346153891086578
"parkinsons",0.244897961616516,0.25,256,4,"diavolo",1,0.346153891086578
"parkinsons",0.244897961616516,0.5,256,4,"rect",1,0.346153891086578
"parkinsons",0.244897961616516,0.5,256,4,"diavolo",1,0.346153891086578
"parkinsons",0.244897961616516,0.25,1024,3,"rect",1,0.346153891086578
