"dataset","blockForm","nblocks","learningrate","nhidden","bottleneck","valAccuracy","testAccuracy"
"breast-cancer-wisc-diag","rect",8,0.01,512,0.5,0.923076927661896,0.97183096408844
"breast-cancer-wisc-diag","diavolo",8,0.01,256,0.5,0.923076927661896,0.964788675308228
"breast-cancer-wisc-diag","diavolo",3,0.01,1024,0.5,0.923076927661896,0.97183096408844
"breast-cancer-wisc-diag","diavolo",16,0.01,256,0.5,0.921538466215134,0.964788794517517
"breast-cancer-wisc-diag","diavolo",3,0.01,1024,0.25,0.907692313194275,0.943661987781525
"breast-cancer-wisc-diag","diavolo",4,0.01,512,0.25,0.895384621620178,0.978873193264008
"breast-cancer-wisc-diag","rect",4,0.1,1024,0.5,0.643076944351196,0.626760601997375
"breast-cancer-wisc-diag","diavolo",4,1,1024,0.5,0.627692329883575,0.626760542392731
"breast-cancer-wisc-diag","diavolo",16,1,256,0.25,0.616923099756241,0.626760601997375
"breast-cancer-wisc-diag","diavolo",4,1,512,0.25,0.616923099756241,0.626760601997375
"breast-cancer-wisc-diag","rect",16,0.1,1024,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",16,0.1,1024,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",16,0.1,512,0.5,0.615384638309479,0.626760542392731
"breast-cancer-wisc-diag","rect",16,1,1024,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",16,1,1024,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",16,1,1024,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",16,1,1024,0.5,0.615384638309479,0.626760542392731
"breast-cancer-wisc-diag","rect",16,1,512,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",16,1,512,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",16,1,512,0.25,0.615384638309479,0.626760542392731
"breast-cancer-wisc-diag","diavolo",16,1,512,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",16,1,256,0.25,0.615384638309479,0.626760542392731
"breast-cancer-wisc-diag","rect",16,1,256,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",16,1,256,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",8,0.1,1024,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",8,0.1,1024,0.5,0.615384638309479,0.626760542392731
"breast-cancer-wisc-diag","rect",8,1,1024,0.25,0.615384638309479,0.626760542392731
"breast-cancer-wisc-diag","rect",8,1,1024,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",8,1,1024,0.25,0.615384638309479,0.626760482788086
"breast-cancer-wisc-diag","diavolo",8,1,1024,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",8,1,512,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",8,1,512,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",8,1,512,0.25,0.615384638309479,0.626760482788086
"breast-cancer-wisc-diag","diavolo",8,1,512,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",8,1,256,0.25,0.615384638309479,0.626760542392731
"breast-cancer-wisc-diag","rect",8,1,256,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",8,1,256,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",8,1,256,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",4,1,1024,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",4,1,1024,0.5,0.615384638309479,0.626760542392731
"breast-cancer-wisc-diag","diavolo",4,1,1024,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",4,1,512,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",4,1,512,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",4,1,512,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",4,1,256,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",4,1,256,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",4,1,256,0.25,0.615384638309479,0.626760482788086
"breast-cancer-wisc-diag","diavolo",4,1,256,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",3,1,1024,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",3,1,1024,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",3,1,1024,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",3,1,1024,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",3,1,512,0.25,0.615384638309479,0.626760542392731
"breast-cancer-wisc-diag","rect",3,1,512,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",3,1,512,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",3,1,512,0.5,0.615384638309479,0.626760542392731
"breast-cancer-wisc-diag","rect",3,1,256,0.25,0.615384638309479,0.626760542392731
"breast-cancer-wisc-diag","rect",3,1,256,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",3,1,256,0.25,0.615384638309479,0.626760482788086
"breast-cancer-wisc-diag","diavolo",3,1,256,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",2,1,1024,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",2,1,1024,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",2,1,1024,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",2,1,1024,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",2,1,512,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",2,1,512,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",2,1,512,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",2,1,512,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",2,1,256,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",2,1,256,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",2,1,256,0.25,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","diavolo",2,1,256,0.5,0.615384638309479,0.626760601997375
"breast-cancer-wisc-diag","rect",16,0.1,512,0.25,0.569230788946152,0.626760601997375
"breast-cancer-wisc-diag","diavolo",16,0.1,256,0.25,0.512307703495026,0.52816903591156
"breast-cancer-wisc-diag","rect",8,0.1,512,0.25,0.429230803251266,0.401408433914185
"breast-cancer-wisc-diag","diavolo",16,0.1,1024,0.5,0.407692316174507,0.373239427804947
"breast-cancer-wisc-diag","diavolo",16,0.1,512,0.5,0.407692316174507,0.373239427804947
"breast-cancer-wisc-diag","diavolo",16,0.1,1024,0.25,0.384615391492844,0.373239427804947
"breast-cancer-wisc-diag","rect",16,0.1,256,0.5,0.384615391492844,0.373239427804947
