"dataset","valAccuracy","nhidden","bottleneck","nblocks","blockForm","learningrate","testAccuracy"
"lymphography",0.714285731315613,1024,0.5,3,"rect",0.01,0.783783853054047
"lymphography",0.714285731315613,512,0.25,3,"diavolo",0.01,0.72972971200943
"lymphography",0.714285731315613,1024,0.25,2,"diavolo",0.01,0.729729771614075
"lymphography",0.714285731315613,256,0.5,2,"diavolo",0.01,0.675675690174103
"lymphography",0.707142889499664,512,0.25,8,"diavolo",0.1,0.702702701091766
"lymphography",0.707142871618271,256,0.5,3,"rect",0.1,0.702702701091766
"lymphography",0.700000023841858,256,0.5,8,"diavolo",0.01,0.702702760696411
"lymphography",0.678571462631226,1024,0.5,4,"diavolo",0.1,0.729729771614075
"lymphography",0.678571450710297,512,0.5,8,"rect",0.01,0.648648679256439
"lymphography",0.642857193946838,1024,0.25,3,"diavolo",0.01,0.621621668338776
"lymphography",0.642857193946838,512,0.5,3,"rect",0.01,0.729729771614075
"lymphography",0.642857193946838,1024,0.5,2,"diavolo",0.01,0.783783853054047
"lymphography",0.642857193946838,512,0.25,2,"rect",0.01,0.675675690174103
"lymphography",0.642857193946838,512,0.5,2,"rect",0.01,0.702702701091766
"lymphography",0.642857193946838,256,0.25,2,"diavolo",0.01,0.729729771614075
"lymphography",0.635714334249497,512,0.25,4,"diavolo",0.01,0.729729831218719
"lymphography",0.600000020861626,1024,0.5,16,"diavolo",0.01,0.405405431985855
"lymphography",0.59285718202591,256,0.5,3,"diavolo",0.1,0.783783853054047
"lymphography",0.59285717010498,256,0.25,4,"rect",0.01,0.459459453821182
"lymphography",0.571428596973419,256,0.25,16,"diavolo",0.1,0.648648679256439
"lymphography",0.571428596973419,256,0.5,4,"rect",0.01,0.729729771614075
"lymphography",0.571428596973419,256,0.25,3,"rect",0.01,0.432432472705841
"lymphography",0.557142877578735,512,0.25,3,"rect",0.01,0.756756842136383
"lymphography",0.550000017881394,256,0.5,16,"diavolo",0.1,0.675675690174103
"lymphography",0.550000017881393,1024,0.25,8,"diavolo",0.1,0.783783853054047
"lymphography",0.53571429848671,256,0.5,8,"rect",0.01,0.54054057598114
"lymphography",0.521428596973419,256,0.5,16,"rect",0.01,0.594594657421112
"lymphography",0.5,512,0.5,8,"diavolo",0.1,0.594594657421112
"lymphography",0.5,1024,0.5,3,"rect",0.1,0.567567646503448
"lymphography",0.485714304447174,1024,0.25,3,"rect",0.1,0.567567646503448
"lymphography",0.457142877578735,512,0.5,8,"rect",0.1,0.405405431985855
"lymphography",0.428571456670761,512,0.25,16,"rect",0.01,0.32432433962822
"lymphography",0.414285743236542,512,0.5,4,"rect",0.01,0.621621668338776
"lymphography",0.414285731315613,1024,0.25,4,"rect",0.1,0.405405431985855
"lymphography",0.37142858505249,512,0.25,8,"rect",0.1,0.567567646503448
"lymphography",0.342857149988413,1024,0.5,4,"rect",0.1,0.567567646503448
"lymphography",0.307142864912748,1024,0.5,8,"rect",0.1,0.567567646503448
"lymphography",0.300000010430813,1024,0.5,8,"diavolo",0.1,0.297297328710556
"lymphography",0.278571433573961,256,0.25,2,"diavolo",1,0
"lymphography",0.264285726100206,256,0.5,16,"rect",0.1,0
"lymphography",0.264285726100206,1024,0.25,8,"rect",0.1,0
"lymphography",0.242857156693935,512,0.25,2,"diavolo",1,0
"lymphography",0.221428583562374,256,0.25,8,"rect",0.1,0
"lymphography",0.214285718649626,256,0.25,16,"rect",0.1,0
"lymphography",0.200000008195639,512,0.5,4,"rect",1,0
"lymphography",0.200000002235174,512,0.25,2,"rect",1,0
