"dataset","valAccuracy","testAccuracy","learningrate","bottleneck","nblocks","nhidden","blockForm"
"glass",0.633333313465118,0.584905683994293,0.01,0.5,2,512,"diavolo"
"glass",0.629629647731781,0.584905683994293,0.1,0.25,4,256,"diavolo"
"glass",0.629629647731781,0.641509413719177,0.1,0.5,3,512,"rect"
"glass",0.629629611968994,0.698113203048706,0.01,0.5,16,256,"rect"
"glass",0.625925928354263,0.679245293140411,0.01,0.5,16,512,"rect"
"glass",0.62222221493721,0.584905683994293,0.01,0.25,4,512,"diavolo"
"glass",0.618518507480621,0.566037774085999,0.01,0.5,2,256,"rect"
"glass",0.614814811944962,0.716981172561646,0.1,0.25,3,1024,"diavolo"
"glass",0.611111116409302,0.50943398475647,0.01,0.25,3,512,"diavolo"
"glass",0.611111116409302,0.660377383232117,0.1,0.25,2,256,"diavolo"
"glass",0.611111110448837,0.584905683994293,0.01,0.25,4,256,"rect"
"glass",0.611111104488373,0.622641563415527,0.01,0.5,4,1024,"diavolo"
"glass",0.611111104488373,0.641509413719177,0.01,0.25,4,1024,"diavolo"
"glass",0.607407414913178,0.660377383232117,0.1,0.5,4,256,"diavolo"
"glass",0.603703701496124,0.660377383232117,0.1,0.5,2,512,"diavolo"
"glass",0.59629630446434,0.641509413719177,0.01,0.5,8,1024,"diavolo"
"glass",0.588888901472092,0.622641503810883,0.1,0.25,4,512,"diavolo"
"glass",0.588888895511627,0.622641503810883,0.01,0.25,8,256,"rect"
"glass",0.588888889551163,0.566037774085999,0.1,0.25,3,256,"diavolo"
"glass",0.588888889551163,0.603773593902588,0.1,0.25,4,256,"rect"
"glass",0.585185196995735,0.641509473323822,0.1,0.5,3,1024,"rect"
"glass",0.581481486558914,0.679245293140411,0.1,0.25,2,512,"rect"
"glass",0.581481486558914,0.566037774085999,0.1,0.25,2,1024,"rect"
"glass",0.581481483578682,0.584905624389648,0.1,0.5,4,1024,"diavolo"
"glass",0.581481477618217,0.528301894664764,0.01,0.5,4,1024,"rect"
"glass",0.574074083566666,0.566037774085999,0.1,0.25,2,256,"rect"
"glass",0.566666686534882,0.50943398475647,0.01,0.5,4,512,"diavolo"
"glass",0.566666686534882,0.584905683994293,0.01,0.5,3,256,"rect"
"glass",0.562962985038757,0.641509473323822,0.01,0.25,3,256,"rect"
"glass",0.562962973117829,0.50943398475647,0.1,0.25,3,256,"rect"
"glass",0.559259277582169,0.660377383232117,0.01,0.25,8,1024,"diavolo"
"glass",0.559259277582169,0.622641563415527,0.01,0.5,3,512,"rect"
"glass",0.555555582046509,0.566037774085999,0.01,0.5,4,256,"diavolo"
"glass",0.555555558204651,0.641509473323822,0.1,0.25,3,512,"diavolo"
"glass",0.555555558204651,0.660377383232117,0.01,0.25,2,256,"diavolo"
"glass",0.551851865649223,0.603773593902588,0.1,0.25,8,256,"rect"
"glass",0.551851856708527,0.622641503810883,0.1,0.5,2,1024,"rect"
"glass",0.548148155212402,0.584905624389648,0.01,0.25,4,512,"rect"
"glass",0.544444453716278,0.716981112957001,0.1,0.5,3,512,"diavolo"
"glass",0.540740776062012,0.603773593902588,0.01,0.25,2,1024,"diavolo"
"glass",0.537037068605423,0.49056601524353,0.01,0.5,8,256,"diavolo"
"glass",0.537037047743797,0.603773593902588,0.01,0.25,16,256,"diavolo"
"glass",0.537037044763565,0.660377383232117,0.01,0.25,4,1024,"rect"
"glass",0.529629647731781,0.547169804573059,0.01,0.5,4,512,"rect"
"glass",0.522222229838371,0.603773593902588,0.1,0.25,3,512,"rect"
"glass",0.518518522381783,0.641509413719177,0.1,0.5,2,256,"rect"
"glass",0.514814823865891,0.622641503810883,0.1,0.5,4,512,"rect"
"glass",0.500000011920929,0.566037774085999,0.1,0.5,2,512,"rect"
"glass",0.500000005960465,0.622641503810883,0.01,0.5,2,1024,"diavolo"
"glass",0.496296301484108,0.566037714481354,0.01,0.25,8,512,"diavolo"
"glass",0.492592591047287,0.603773593902588,0.1,0.5,3,256,"rect"
"glass",0.485185188055039,0.641509413719177,0.1,0.5,2,256,"diavolo"
"glass",0.474074080586433,0.50943398475647,0.1,0.25,8,256,"diavolo"
"glass",0.462962973117828,0.566037774085999,0.01,0.25,2,512,"diavolo"
"glass",0.459259268641472,0.471698105335236,0.01,0.25,8,256,"diavolo"
"glass",0.444444447755814,0.660377383232117,0.01,0.5,16,256,"diavolo"
"glass",0.429629638791084,0.358490586280823,0.1,0.25,16,256,"diavolo"
"glass",0.429629635810852,0.50943398475647,0.1,0.5,8,512,"diavolo"
"glass",0.411111119389534,0.377358496189117,0.1,0.25,8,512,"diavolo"
"glass",0.381481489539146,0.283018887042999,0.1,0.25,8,1024,"diavolo"
"glass",0.362962976098061,0.490566074848175,0.1,0.5,8,256,"rect"
"glass",0.340740752220154,0.377358496189117,0.1,0.5,16,256,"diavolo"
"glass",0.337037047743797,0.320754706859589,1,0.25,16,256,"diavolo"
"glass",0.337037047743797,0.320754706859589,1,0.5,16,256,"diavolo"
"glass",0.333333343267441,0.320754706859589,0.1,0.25,16,1024,"rect"
"glass",0.333333343267441,0.320754706859589,0.1,0.5,16,1024,"rect"
"glass",0.333333343267441,0.320754706859589,0.1,0.5,16,1024,"diavolo"
"glass",0.333333343267441,0.320754706859589,0.1,0.25,16,512,"rect"
"glass",0.333333343267441,0.320754706859589,0.1,0.5,16,512,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,16,1024,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,16,1024,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.5,16,1024,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,16,1024,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.25,16,512,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,16,512,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.5,16,512,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,16,512,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.25,16,256,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,16,256,"rect"
"glass",0.333333343267441,0.320754706859589,0.1,0.25,8,1024,"rect"
"glass",0.333333343267441,0.320754706859589,0.1,0.5,8,1024,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,8,1024,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,8,1024,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.5,8,1024,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,8,1024,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.25,8,512,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,8,512,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.5,8,512,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,8,512,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.25,8,256,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,8,256,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.5,8,256,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,8,256,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.25,4,1024,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,4,1024,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.5,4,1024,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,4,1024,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.25,4,512,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,4,512,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.5,4,512,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,4,512,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.25,4,256,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,4,256,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.5,4,256,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,4,256,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.25,3,1024,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,3,1024,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.5,3,1024,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,3,1024,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.25,3,512,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,3,512,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.5,3,512,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,3,512,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.25,3,256,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,3,256,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.5,3,256,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,3,256,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.25,2,1024,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,2,1024,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.5,2,1024,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,2,1024,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.25,2,512,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,2,512,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.5,2,512,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,2,512,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.25,2,256,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.25,2,256,"diavolo"
"glass",0.333333343267441,0.320754706859589,1,0.5,2,256,"rect"
"glass",0.333333343267441,0.320754706859589,1,0.5,2,256,"diavolo"
"glass",0.318518528342247,0.377358496189117,0.1,0.5,8,1024,"diavolo"
"glass",0.318518526852131,0.320754706859589,0.1,0.25,16,1024,"diavolo"
"glass",0.285185194015503,0.377358496189117,0.1,0.5,4,1024,"rect"
"glass",0.281481490284204,0.132075473666191,0.1,0.25,16,256,"rect"
"glass",0.274074082076549,0.320754706859589,0.1,0.5,16,256,"rect"
"glass",0.255555562674999,0.377358496189117,0.1,0.5,16,512,"diavolo"
"glass",0.255555561184883,0.188679248094559,0.1,0.25,3,1024,"rect"
"glass",0.229629635810852,0.0566037744283676,0.1,0.25,4,1024,"rect"
"glass",0.207407414168119,0.320754706859589,0.1,0.25,8,512,"rect"
"glass",0.177777782827616,0.0566037744283676,0.1,0.5,8,512,"rect"
"glass",0.0444444462656975,0.0566037744283676,0.1,0.25,16,512,"diavolo"
