"dataset","nblocks","bottleneck","valAccuracy","learningrate","blockForm","testAccuracy","nhidden"
"conn-bench-vowel-deterding",2,0.5,0.640594047307968,0.01,"rect",0.696969628334045,1024
"conn-bench-vowel-deterding",2,0.25,0.618811875581741,0.01,"rect",0.621212124824524,1024
"conn-bench-vowel-deterding",2,0.5,0.613861382007599,0.01,"rect",0.679653704166412,256
"conn-bench-vowel-deterding",4,0.5,0.580198019742966,0.01,"rect",0.603896141052246,512
"conn-bench-vowel-deterding",4,0.25,0.571287137269974,0.01,"rect",0.595238089561462,512
"conn-bench-vowel-deterding",16,0.5,0.568316841125488,0.01,"diavolo",0.487012982368469,256
"conn-bench-vowel-deterding",8,0.25,0.564356434345245,0.01,"rect",0.638528168201447,256
"conn-bench-vowel-deterding",2,0.25,0.560396039485931,0.01,"diavolo",0.571428596973419,256
"conn-bench-vowel-deterding",3,0.25,0.558415800333023,0.01,"rect",0.571428596973419,512
"conn-bench-vowel-deterding",3,0.25,0.556435632705689,0.01,"rect",0.554112553596497,1024
"conn-bench-vowel-deterding",16,0.25,0.555445545911789,0.01,"rect",0.601731598377228,512
"conn-bench-vowel-deterding",16,0.5,0.553465360403061,0.01,"rect",0.569264113903046,256
"conn-bench-vowel-deterding",3,0.5,0.517821797728538,0.01,"rect",0.530303001403809,1024
"conn-bench-vowel-deterding",4,0.5,0.513861352205277,0.01,"rect",0.52164500951767,1024
"conn-bench-vowel-deterding",8,0.5,0.510891085863113,0.01,"rect",0.487012982368469,1024
"conn-bench-vowel-deterding",3,0.25,0.510891079902649,0.01,"diavolo",0.55627703666687,256
"conn-bench-vowel-deterding",3,0.5,0.501980221271515,0.01,"rect",0.569264054298401,256
"conn-bench-vowel-deterding",2,0.25,0.501980167627335,0.01,"diavolo",0.515151500701904,512
"conn-bench-vowel-deterding",4,0.25,0.489108896255493,0.01,"rect",0.471861481666565,256
"conn-bench-vowel-deterding",16,0.25,0.482178235054016,0.01,"diavolo",0.515151500701904,1024
"conn-bench-vowel-deterding",4,0.25,0.476237601041794,0.01,"rect",0.547619044780731,1024
"conn-bench-vowel-deterding",8,0.5,0.47128709256649,0.01,"rect",0.497835487127304,256
"conn-bench-vowel-deterding",16,0.5,0.47029701769352,0.01,"rect",0.506493508815765,512
"conn-bench-vowel-deterding",8,0.25,0.470297002792358,0.01,"rect",0.523809552192688,1024
"conn-bench-vowel-deterding",8,0.5,0.467326706647873,0.01,"diavolo",0.45021641254425,1024
"conn-bench-vowel-deterding",2,0.5,0.459405922889709,0.01,"diavolo",0.590909063816071,256
"conn-bench-vowel-deterding",3,0.5,0.457425725460052,0.01,"diavolo",0.508658051490784,256
"conn-bench-vowel-deterding",16,0.5,0.456435635685921,0.01,"diavolo",0.454545438289642,1024
"conn-bench-vowel-deterding",2,0.5,0.452475225925446,0.01,"diavolo",0.525974035263062,512
"conn-bench-vowel-deterding",16,0.5,0.439603936672211,0.01,"diavolo",0.426406919956207,512
"conn-bench-vowel-deterding",4,0.5,0.436633652448654,0.01,"diavolo",0.456709980964661,512
"conn-bench-vowel-deterding",16,0.25,0.431683152914047,0.01,"diavolo",0.43722939491272,512
"conn-bench-vowel-deterding",2,0.25,0.413861376047134,0.01,"diavolo",0.482683956623077,1024
"conn-bench-vowel-deterding",8,0.25,0.399009901285172,0.01,"diavolo",0.432900428771973,256
"conn-bench-vowel-deterding",3,0.25,0.391089090704918,0.01,"diavolo",0.419913411140442,512
"conn-bench-vowel-deterding",4,0.25,0.389108899235725,0.01,"diavolo",0.445887446403503,256
"conn-bench-vowel-deterding",3,0.5,0.383168292045593,0.01,"diavolo",0.413419902324677,1024
"conn-bench-vowel-deterding",3,0.5,0.379207921028137,0.01,"diavolo",0.374458879232407,512
"conn-bench-vowel-deterding",8,0.5,0.36732674241066,0.01,"diavolo",0.387445867061615,256
"conn-bench-vowel-deterding",8,0.5,0.363366320729256,0.01,"rect",0.435064911842346,512
"conn-bench-vowel-deterding",8,0.25,0.362376219034195,0.01,"diavolo",0.324675321578979,1024
"conn-bench-vowel-deterding",4,0.5,0.347524738311768,0.01,"diavolo",0.404761910438538,256
"conn-bench-vowel-deterding",16,0.25,0.342574238777161,0.01,"rect",0.29870131611824,256
"conn-bench-vowel-deterding",4,0.25,0.341584146022797,0.01,"diavolo",0.370129823684692,512
"conn-bench-vowel-deterding",8,0.25,0.333663356304169,0.01,"diavolo",0.350649327039719,512
"conn-bench-vowel-deterding",8,0.5,0.328712835907936,0.01,"diavolo",0.363636374473572,512
"conn-bench-vowel-deterding",4,0.5,0.313861382007599,0.01,"diavolo",0.274891763925552,1024
"conn-bench-vowel-deterding",3,0.25,0.309900984168053,0.01,"diavolo",0.361471831798553,1024
"conn-bench-vowel-deterding",4,0.25,0.307920789718628,0.01,"diavolo",0.283549785614014,1024
"conn-bench-vowel-deterding",8,0.25,0.3,0.01,"rect",0.359307378530502,512
"conn-bench-vowel-deterding",2,0.5,0.281188094615936,0.01,"diavolo",0.339826822280884,1024
"conn-bench-vowel-deterding",16,0.25,0.217821776866913,0.1,"diavolo",0.149350643157959,256
"conn-bench-vowel-deterding",16,0.5,0.193069304525852,0.01,"rect",0.129870131611824,1024
"conn-bench-vowel-deterding",16,0.25,0.162376233935356,0.1,"rect",0.134199127554893,256
"conn-bench-vowel-deterding",16,0.5,0.152475246787071,0.1,"rect",0.0909090936183929,512
"conn-bench-vowel-deterding",16,0.5,0.151485148072243,0.1,"diavolo",0.0909090936183929,256
"conn-bench-vowel-deterding",2,0.25,0.151485148072243,1,"rect",0.0909090861678123,1024
"conn-bench-vowel-deterding",4,0.25,0.150495049357414,1,"diavolo",0.0909090861678123,1024
"conn-bench-vowel-deterding",16,0.25,0.148514851927757,0.1,"rect",0.0909090936183929,1024
"conn-bench-vowel-deterding",16,0.5,0.148514851927757,0.1,"rect",0.0909090936183929,1024
