"dataset","valAccuracy","blockForm","testAccuracy","bottleneck","nblocks","learningrate","nhidden"
"blood",0.81521737575531,"rect",0.764705836772919,0.5,8,1,256
"blood",0.81521737575531,"diavolo",0.764705896377563,0.25,8,1,256
"blood",0.81521737575531,"diavolo",0.764705896377563,0.5,8,1,256
"blood",0.81521737575531,"rect",0.764705896377563,0.25,4,1,1024
"blood",0.81521737575531,"rect",0.764705836772919,0.5,4,1,1024
"blood",0.81521737575531,"diavolo",0.764705896377563,0.25,4,1,1024
"blood",0.81521737575531,"diavolo",0.764705836772919,0.5,4,1,1024
"blood",0.81521737575531,"rect",0.764705896377563,0.25,4,1,512
"blood",0.81521737575531,"rect",0.764705836772919,0.5,4,1,512
"blood",0.81521737575531,"diavolo",0.764705896377563,0.25,4,1,512
"blood",0.81521737575531,"diavolo",0.764705896377563,0.5,4,1,512
"blood",0.81521737575531,"rect",0.764705896377563,0.25,4,1,256
"blood",0.81521737575531,"rect",0.764705896377563,0.5,4,1,256
"blood",0.81521737575531,"diavolo",0.764705896377563,0.25,4,1,256
"blood",0.81521737575531,"diavolo",0.764705896377563,0.5,4,1,256
"blood",0.81521737575531,"diavolo",0.759358286857605,0.5,3,0.01,256
"blood",0.81521737575531,"rect",0.764705896377563,0.25,3,1,1024
"blood",0.81521737575531,"rect",0.764705896377563,0.5,3,1,1024
"blood",0.81521737575531,"diavolo",0.764705836772919,0.25,3,1,1024
"blood",0.81521737575531,"diavolo",0.764705777168274,0.5,3,1,1024
"blood",0.81521737575531,"rect",0.764705777168274,0.25,3,1,512
"blood",0.81521737575531,"rect",0.764705896377563,0.5,3,1,512
"blood",0.81521737575531,"diavolo",0.764705896377563,0.25,3,1,512
"blood",0.81521737575531,"diavolo",0.764705836772919,0.5,3,1,512
"blood",0.81521737575531,"rect",0.764705896377563,0.25,3,1,256
"blood",0.81521737575531,"rect",0.764705777168274,0.5,3,1,256
"blood",0.81521737575531,"diavolo",0.764705836772919,0.25,3,1,256
"blood",0.81521737575531,"diavolo",0.764705777168274,0.5,3,1,256
"blood",0.81521737575531,"diavolo",0.764705836772919,0.25,2,0.01,1024
"blood",0.81521737575531,"diavolo",0.764705896377563,0.25,2,0.1,256
"blood",0.81521737575531,"rect",0.764705836772919,0.25,2,1,1024
"blood",0.81521737575531,"rect",0.764705896377563,0.5,2,1,1024
"blood",0.81521737575531,"diavolo",0.764705896377563,0.25,2,1,1024
"blood",0.81521737575531,"diavolo",0.764705836772919,0.5,2,1,1024
"blood",0.81521737575531,"rect",0.764705836772919,0.25,2,1,512
"blood",0.81521737575531,"rect",0.764705896377563,0.5,2,1,512
"blood",0.81521737575531,"diavolo",0.764705777168274,0.25,2,1,512
"blood",0.81521737575531,"diavolo",0.764705777168274,0.5,2,1,512
"blood",0.81521737575531,"rect",0.764705836772919,0.25,2,1,256
"blood",0.81521737575531,"rect",0.764705836772919,0.5,2,1,256
"blood",0.81521737575531,"diavolo",0.764705896377563,0.25,2,1,256
"blood",0.81521737575531,"diavolo",0.764705896377563,0.5,2,1,256
"blood",0.814130419492722,"rect",0.764705896377563,0.5,2,0.01,256
"blood",0.813043463230133,"rect",0.764705896377563,0.25,4,0.01,256
"blood",0.811956506967545,"rect",0.759358286857605,0.5,8,0.01,512
"blood",0.810869550704956,"rect",0.764705896377563,0.25,8,0.01,512
"blood",0.809782594442368,"rect",0.764705896377563,0.5,16,0.01,512
"blood",0.808695638179779,"rect",0.737967908382416,0.5,4,0.01,256
"blood",0.806521725654602,"diavolo",0.68449193239212,0.25,8,0.01,1024
"blood",0.794565206766129,"diavolo",0.695187151432037,0.25,4,0.01,1024
"blood",0.79347825050354,"rect",0.770053505897522,0.25,16,0.01,512
"blood",0.792391294240952,"rect",0.754010677337646,0.5,8,0.01,256
"blood",0.785869556665421,"diavolo",0.780748605728149,0.25,3,0.01,512
"blood",0.784782594442368,"diavolo",0.609625697135925,0.5,16,0.01,512
"blood",0.780434766411781,"rect",0.743315517902374,0.5,4,0.1,1024
"blood",0.776086932420731,"rect",0.641711175441742,0.25,4,0.01,1024
"blood",0.76847825050354,"rect",0.711229920387268,0.5,2,0.01,1024
"blood",0.760869550704956,"diavolo",0.72192507982254,0.25,8,0.01,512
"blood",0.756521737575531,"diavolo",0.663101553916931,0.5,2,0.01,256
"blood",0.753260862827301,"rect",0.711229920387268,0.25,8,0.01,256
"blood",0.752173899114132,"diavolo",0.764705836772919,0.5,16,0.1,512
"blood",0.745652160048485,"rect",0.764705896377563,0.5,16,0.1,256
"blood",0.709782603383064,"diavolo",0.684491991996765,0.5,4,0.01,1024
"blood",0.698913031816483,"rect",0.283422440290451,0.25,8,0.1,512
"blood",0.695652168989181,"diavolo",0.764705836772919,0.5,8,0.01,256
"blood",0.692391291260719,"diavolo",0.764705896377563,0.25,16,0.1,1024
"blood",0.689130422472954,"rect",0.256684511899948,0.25,4,0.1,1024
"blood",0.685869562625885,"diavolo",0.705882370471954,0.5,2,0.01,512
"blood",0.680434799194336,"rect",0.524064183235168,0.5,3,0.01,512
"blood",0.666304367780685,"diavolo",0.502673804759979,0.5,4,0.01,256
"blood",0.626086945831776,"diavolo",0.235294133424759,0.5,16,0.1,1024
"blood",0.505434773862362,"diavolo",0.235294118523598,0.5,8,0.1,1024
"blood",0.476086948812008,"rect",0.235294103622437,0.5,8,0.1,1024
