"dataset","learningrate","testAccuracy","nhidden","blockForm","valAccuracy","bottleneck","nblocks"
"wine-quality-red",0.01,0.535000026226044,1024,"rect",0.567213094234467,0.25,16
"wine-quality-red",0.1,0.592499971389771,1024,"diavolo",0.565573751926422,0.5,2
"wine-quality-red",0.1,0.594999969005585,512,"diavolo",0.565027290582657,0.5,3
"wine-quality-red",0.01,0.557500004768372,512,"rect",0.563387978076935,0.5,8
"wine-quality-red",0.01,0.492499947547913,256,"rect",0.55956284403801,0.5,16
"wine-quality-red",0.1,0.589999973773956,1024,"rect",0.558469921350479,0.5,2
"wine-quality-red",0.01,0.555000007152557,1024,"diavolo",0.557377034425735,0.25,16
"wine-quality-red",0.01,0.567499995231628,256,"rect",0.556284141540527,0.5,4
"wine-quality-red",0.01,0.537499964237213,512,"diavolo",0.555737692117691,0.25,3
"wine-quality-red",0.1,0.607500016689301,1024,"rect",0.55355190038681,0.25,3
"wine-quality-red",0.01,0.54749995470047,256,"rect",0.553551894426346,0.25,2
"wine-quality-red",0.01,0.549999952316284,256,"diavolo",0.550819647312164,0.25,16
"wine-quality-red",0.1,0.574999988079071,512,"rect",0.548087418079376,0.25,4
"wine-quality-red",0.1,0.60999995470047,512,"diavolo",0.546994525194168,0.25,8
"wine-quality-red",0.01,0.540000021457672,512,"rect",0.546994519233704,0.25,4
"wine-quality-red",0.01,0.534999966621399,512,"diavolo",0.546448081731796,0.25,8
"wine-quality-red",0.01,0.557500004768372,1024,"rect",0.545355170965195,0.25,8
"wine-quality-red",0.01,0.569999992847443,512,"diavolo",0.543715822696686,0.25,2
"wine-quality-red",0.1,0.550000011920929,1024,"rect",0.540437144041061,0.5,4
"wine-quality-red",0.01,0.492499947547913,1024,"diavolo",0.539890703558922,0.5,16
"wine-quality-red",0.01,0.587499976158142,256,"rect",0.539344269037247,0.5,3
"wine-quality-red",0.01,0.524999976158142,256,"rect",0.538797771930695,0.25,4
"wine-quality-red",0.01,0.540000021457672,256,"rect",0.537704902887344,0.5,8
"wine-quality-red",0.01,0.552500009536743,1024,"diavolo",0.537158459424973,0.25,2
"wine-quality-red",0.01,0.524999976158142,1024,"rect",0.536065578460693,0.25,4
"wine-quality-red",0.01,0.517499983310699,512,"diavolo",0.536065566539764,0.5,16
"wine-quality-red",0.01,0.529999971389771,1024,"rect",0.5360655605793,0.5,2
"wine-quality-red",0.01,0.524999976158142,256,"rect",0.5360655605793,0.25,16
"wine-quality-red",0.01,0.587499976158142,256,"rect",0.536065554618835,0.25,8
"wine-quality-red",0.01,0.569999992847443,1024,"rect",0.532786870002747,0.5,8
"wine-quality-red",0.01,0.479999959468842,256,"diavolo",0.531693977117539,0.25,3
"wine-quality-red",0.01,0.527499973773956,512,"rect",0.531693971157074,0.25,3
"wine-quality-red",0.01,0.534999966621399,512,"rect",0.53060108423233,0.25,8
"wine-quality-red",0.01,0.572499990463257,256,"diavolo",0.529508191347122,0.25,4
"wine-quality-red",0.01,0.572499930858612,512,"diavolo",0.527322387695313,0.5,4
"wine-quality-red",0.1,0.552499949932098,256,"rect",0.526775935292244,0.5,4
"wine-quality-red",0.01,0.492499947547913,512,"diavolo",0.51639341711998,0.5,2
"wine-quality-red",0.01,0.599999964237213,512,"rect",0.513114750385284,0.5,3
"wine-quality-red",0.01,0.544999957084656,512,"diavolo",0.512568309903145,0.5,8
"wine-quality-red",0.01,0.559999942779541,256,"diavolo",0.512568283081055,0.5,8
"wine-quality-red",0.01,0.504999995231628,1024,"diavolo",0.512021845579147,0.5,3
"wine-quality-red",0.01,0.534999966621399,1024,"diavolo",0.512021842598915,0.25,4
"wine-quality-red",0.1,0.562499940395355,1024,"diavolo",0.511475399136543,0.25,2
"wine-quality-red",0.01,0.534999966621399,256,"diavolo",0.510928958654404,0.25,2
"wine-quality-red",0.1,0.532499969005585,1024,"diavolo",0.510382521152496,0.25,8
"wine-quality-red",0.01,0.505000054836273,256,"rect",0.510382503271103,0.25,3
"wine-quality-red",0.01,0.5,512,"diavolo",0.510382491350174,0.5,3
"wine-quality-red",0.01,0.522500038146973,512,"rect",0.50928960442543,0.5,4
"wine-quality-red",0.01,0.522499978542328,512,"rect",0.507650271058083,0.25,2
"wine-quality-red",0.01,0.574999988079071,256,"diavolo",0.504918015003204,0.25,8
"wine-quality-red",0.01,0.544999957084656,256,"diavolo",0.503825110197067,0.5,4
"wine-quality-red",0.01,0.529999971389771,512,"diavolo",0.50327867269516,0.25,16
"wine-quality-red",0.01,0.529999971389771,1024,"diavolo",0.500546425580978,0.25,8
"wine-quality-red",0.01,0.519999921321869,512,"diavolo",0.499453535676003,0.25,4
"wine-quality-red",0.01,0.520000040531158,256,"diavolo",0.499453535676003,0.5,3
"wine-quality-red",0.01,0.5,1024,"rect",0.49945353269577,0.5,4
"wine-quality-red",0.01,0.517499983310699,1024,"diavolo",0.495081970095634,0.5,2
"wine-quality-red",0.01,0.517499983310699,1024,"diavolo",0.489617472887039,0.5,8
"wine-quality-red",0.01,0.492499977350235,512,"rect",0.488524574041367,0.5,16
"wine-quality-red",0.1,0.504999995231628,256,"rect",0.485245889425278,0.25,8
"wine-quality-red",0.01,0.534999966621399,1024,"diavolo",0.483060076832771,0.5,4
"wine-quality-red",0.1,0.512499988079071,256,"diavolo",0.475956264138222,0.25,16
"wine-quality-red",0.01,0.552499949932098,256,"diavolo",0.467213103175163,0.5,16
"wine-quality-red",0.1,0.47749999165535,512,"diavolo",0.465573772788048,0.25,16
"wine-quality-red",0.1,0.435000002384186,1024,"rect",0.395628389716148,0.25,8
"wine-quality-red",0.1,0.435000002384186,512,"rect",0.361202180944383,0.25,16
"wine-quality-red",0.1,0.432500004768372,1024,"diavolo",0.349726773798466,0.25,16
"wine-quality-red",0.1,0.432500004768372,1024,"rect",0.349180325865746,0.5,8
"wine-quality-red",0.1,0.432500004768372,512,"rect",0.333879790455103,0.5,8
"wine-quality-red",0.1,0.432500004768372,512,"rect",0.291256824880838,0.5,16
"wine-quality-red",1,0.397499978542328,256,"diavolo",0.225683058798313,0.25,2
"wine-quality-red",0.1,0.00499999988824129,1024,"diavolo",0.201639340817928,0.5,16
"wine-quality-red",0.1,0.122499994933605,512,"diavolo",0.16010927259922,0.5,16
"wine-quality-red",1,0.00499999988824129,256,"diavolo",0.159562837332487,0.25,3
"wine-quality-red",1,0.00499999988824129,256,"diavolo",0.139890707284212,0.5,2
"wine-quality-red",1,0.00499999988824129,512,"diavolo",0.132786883041263,0.5,2
"wine-quality-red",1,0.00499999988824129,256,"diavolo",0.109289617463946,0.25,4
"wine-quality-red",1,0.00499999988824129,256,"rect",0.104371580109,0.25,2
"wine-quality-red",1,0.00499999988824129,512,"diavolo",0.0972677618265153,0.5,3
"wine-quality-red",1,0.00499999988824129,1024,"diavolo",0.094535517692566,0.5,3
"wine-quality-red",1,0.00499999988824129,512,"rect",0.0923497289419175,0.25,4
"wine-quality-red",1,0.00499999988824129,1024,"diavolo",0.0923497259616852,0.25,3
"wine-quality-red",1,0.00499999988824129,256,"rect",0.0923497259616852,0.5,3
"wine-quality-red",1,0.00499999988824129,256,"diavolo",0.0923497259616852,0.5,3
"wine-quality-red",1,0.00499999988824129,1024,"rect",0.0923497259616852,0.25,2
"wine-quality-red",1,0.00499999988824129,512,"diavolo",0.0912568263709546,0.25,2
"wine-quality-red",1,0.00499999988824129,512,"rect",0.0907103836536408,0.5,3
"wine-quality-red",1,0.00499999988824129,1024,"rect",0.0885245889425278,0.5,2
"wine-quality-red",1,0.00499999988824129,512,"diavolo",0.0874316960573197,0.25,3
"wine-quality-red",1,0.00499999988824129,256,"rect",0.0874316930770875,0.5,4
"wine-quality-red",1,0.00499999988824129,1024,"diavolo",0.0874316930770875,0.25,2
"wine-quality-red",1,0.00499999988824129,1024,"rect",0.087431687116623,0.25,3
"wine-quality-red",1,0.00499999988824129,1024,"diavolo",0.0846994489431382,0.5,2
"wine-quality-red",1,0.00499999988824129,256,"rect",0.0759562786668539,0.5,2
"wine-quality-red",1,0.00499999988824129,512,"rect",0.074863387644291,0.25,3
"wine-quality-red",1,0.00499999988824129,256,"rect",0.063934426009655,0.25,3
"wine-quality-red",1,0.00499999988824129,512,"diavolo",0.0633879736065864,0.25,4
"wine-quality-red",1,0.00499999988824129,512,"rect",0.0568306017667055,0.5,4
"wine-quality-red",1,0.00499999988824129,512,"rect",0.0568306017667055,0.5,2
"wine-quality-red",1,0.00499999988824129,1024,"rect",0.0568305987864733,0.5,4
"wine-quality-red",1,0.00499999988824129,1024,"rect",0.0568305987864733,0.5,3
"wine-quality-red",1,0.00499999988824129,256,"diavolo",0.0535519100725651,0.5,4
"wine-quality-red",1,0.00499999988824129,512,"diavolo",0.0519125659018755,0.5,4
"wine-quality-red",1,0.00499999988824129,256,"rect",0.0519125659018755,0.25,4
"wine-quality-red",1,0.00499999988824129,512,"rect",0.0519125659018755,0.25,2
"wine-quality-red",1,0.00499999988824129,256,"diavolo",0.0475409854203463,0.5,16
"wine-quality-red",1,0.00499999988824129,256,"diavolo",0.0240437142550945,0.25,8
"wine-quality-red",1,0.00499999988824129,512,"diavolo",0.0229508187621832,0.5,16
"wine-quality-red",1,0.00499999988824129,1024,"rect",0.0185792341828346,0.25,4
"wine-quality-red",1,0.00499999988824129,1024,"diavolo",0.0180327858775854,0.5,16
"wine-quality-red",1,0.00499999988824129,1024,"diavolo",0.0169398898258805,0.25,4
"wine-quality-red",0.1,0.00499999988824129,1024,"rect",0.0163934417068958,0.25,16
"wine-quality-red",0.1,0.00499999988824129,1024,"rect",0.0163934417068958,0.5,16
"wine-quality-red",1,0.00499999988824129,1024,"rect",0.0163934417068958,0.25,16
"wine-quality-red",1,0.00499999988824129,1024,"rect",0.0163934417068958,0.5,16
"wine-quality-red",1,0.00499999988824129,1024,"diavolo",0.0163934417068958,0.25,16
"wine-quality-red",1,0.00499999988824129,512,"rect",0.0163934417068958,0.25,16
"wine-quality-red",1,0.00499999988824129,512,"rect",0.0163934417068958,0.5,16
"wine-quality-red",1,0.00499999988824129,512,"diavolo",0.0163934417068958,0.25,16
"wine-quality-red",1,0.00499999988824129,256,"rect",0.0163934417068958,0.25,16
"wine-quality-red",1,0.00499999988824129,256,"rect",0.0163934417068958,0.5,16
"wine-quality-red",1,0.00499999988824129,256,"diavolo",0.0163934417068958,0.25,16
"wine-quality-red",1,0.00499999988824129,1024,"rect",0.0163934417068958,0.25,8
"wine-quality-red",1,0.00499999988824129,1024,"rect",0.0163934417068958,0.5,8
"wine-quality-red",1,0.00499999988824129,1024,"diavolo",0.0163934417068958,0.25,8
"wine-quality-red",1,0.00499999988824129,1024,"diavolo",0.0163934417068958,0.5,8
"wine-quality-red",1,0.00499999988824129,512,"rect",0.0163934417068958,0.25,8
"wine-quality-red",1,0.00499999988824129,512,"rect",0.0163934417068958,0.5,8
"wine-quality-red",1,0.00499999988824129,512,"diavolo",0.0163934417068958,0.25,8
"wine-quality-red",1,0.00499999988824129,512,"diavolo",0.0163934417068958,0.5,8
"wine-quality-red",1,0.00499999988824129,256,"rect",0.0163934417068958,0.25,8
"wine-quality-red",1,0.00499999988824129,256,"rect",0.0163934417068958,0.5,8
"wine-quality-red",1,0.00499999988824129,256,"diavolo",0.0163934417068958,0.5,8
"wine-quality-red",1,0.00499999988824129,1024,"diavolo",0.0163934417068958,0.5,4
