"dataset","valAccuracy","blockForm","nhidden","learningrate","testAccuracy","bottleneck","nblocks"
"nursery",0.625424933433533,"diavolo",1024,0.01,0.573765397071838,0.25,16
"nursery",0.62188383936882,"diavolo",1024,0.01,0.563888847827911,0.5,8
"nursery",0.613456058502197,"diavolo",1024,0.01,0.526234567165375,0.25,2
"nursery",0.59674220085144,"diavolo",1024,0.01,0.499691367149353,0.25,8
"nursery",0.593201106786728,"diavolo",512,0.01,0.56049382686615,0.25,4
"nursery",0.581657201051712,"diavolo",1024,0.01,0.554629623889923,0.5,4
"nursery",0.324362605810165,"rect",1024,1,0.333641976118088,0.25,16
"nursery",0.324362605810165,"diavolo",1024,1,0.33364200592041,0.25,16
"nursery",0.324362605810165,"rect",1024,1,0.333641976118088,0.5,8
"nursery",0.324362605810165,"diavolo",1024,1,0.33364200592041,0.5,8
"nursery",0.324362605810165,"rect",512,1,0.333641976118088,0.5,8
"nursery",0.324362605810165,"diavolo",512,1,0.333641976118088,0.25,8
"nursery",0.324362605810165,"rect",256,1,0.333641976118088,0.25,8
"nursery",0.324362605810165,"diavolo",512,1,0.333641976118088,0.5,2
"nursery",0.324362605810165,"rect",256,1,0.333641976118088,0.5,2
"nursery",0.324362602829933,"rect",256,1,0.33364200592041,0.25,16
"nursery",0.324362602829933,"diavolo",256,1,0.333641976118088,0.5,16
"nursery",0.324362602829933,"rect",1024,0.1,0.333641976118088,0.25,8
"nursery",0.324362602829933,"rect",256,1,0.33364200592041,0.5,8
"nursery",0.324362602829933,"diavolo",256,1,0.333641976118088,0.25,8
"nursery",0.324362602829933,"rect",1024,1,0.33364200592041,0.25,4
"nursery",0.324362602829933,"diavolo",1024,1,0.333641976118088,0.5,4
"nursery",0.324362602829933,"rect",512,1,0.333641976118088,0.5,4
"nursery",0.324362602829933,"diavolo",512,1,0.333641976118088,0.5,4
"nursery",0.324362602829933,"diavolo",512,1,0.333641976118088,0.25,3
"nursery",0.324362602829933,"rect",1024,1,0.333641976118088,0.25,2
"nursery",0.324362602829933,"diavolo",1024,1,0.333641976118088,0.5,2
"nursery",0.324362602829933,"rect",512,1,0.333641976118088,0.25,2
"nursery",0.324362602829933,"diavolo",256,1,0.333641976118088,0.5,2
"nursery",0.324362602829933,"rect",1024,1,0.333641976118088,0.5,4
"nursery",0.324362602829933,"rect",512,1,0.333641976118088,0.25,4
"nursery",0.324362602829933,"diavolo",512,1,0.333641976118088,0.25,4
"nursery",0.324362602829933,"rect",256,1,0.33364200592041,0.5,3
"nursery",0.324362602829933,"diavolo",256,1,0.333641976118088,0.25,3
"nursery",0.324362599849701,"rect",512,0.1,0.333641976118088,0.5,16
"nursery",0.324362599849701,"diavolo",512,1,0.333641976118088,0.5,16
"nursery",0.324362599849701,"rect",1024,1,0.333641976118088,0.25,3
"nursery",0.324362599849701,"diavolo",1024,1,0.333641976118088,0.5,3
"nursery",0.324362599849701,"diavolo",512,1,0.333641976118088,0.5,3
"nursery",0.324362599849701,"diavolo",256,1,0.33364200592041,0.25,2
"nursery",0.324362599849701,"rect",1024,0.1,0.333641976118088,0.25,16
"nursery",0.324362599849701,"diavolo",1024,0.1,0.333641976118088,0.5,16
"nursery",0.324362599849701,"rect",1024,1,0.333641976118088,0.5,16
"nursery",0.324362599849701,"rect",512,1,0.333641976118088,0.25,16
"nursery",0.324362599849701,"rect",256,1,0.333641976118088,0.5,16
"nursery",0.324362599849701,"rect",1024,1,0.333641976118088,0.25,8
"nursery",0.324362599849701,"rect",512,1,0.333641976118088,0.25,8
"nursery",0.324362599849701,"rect",256,1,0.333641976118088,0.5,4
"nursery",0.324362599849701,"diavolo",256,1,0.333641976118088,0.5,4
"nursery",0.324362599849701,"rect",512,1,0.333641976118088,0.25,3
"nursery",0.324362599849701,"diavolo",512,1,0.333641976118088,0.25,2
"nursery",0.324362599849701,"rect",1024,1,0.33364200592041,0.5,2
"nursery",0.324362596869469,"diavolo",1024,1,0.333641976118088,0.25,4
"nursery",0.324362596869469,"rect",512,0.1,0.333641976118088,0.25,16
"nursery",0.324362596869469,"diavolo",1024,1,0.33364200592041,0.5,16
"nursery",0.324362596869469,"diavolo",512,1,0.333641976118088,0.25,16
"nursery",0.324362596869469,"rect",1024,0.1,0.33364200592041,0.5,8
"nursery",0.324362596869469,"diavolo",1024,1,0.333641976118088,0.25,3
"nursery",0.324362596869469,"rect",512,1,0.333641976118088,0.5,3
"nursery",0.324362596869469,"rect",256,1,0.33364200592041,0.25,3
"nursery",0.324362596869469,"diavolo",256,1,0.333641976118088,0.5,3
"nursery",0.324362596869469,"diavolo",1024,1,0.333641976118088,0.25,2
"nursery",0.324362596869469,"rect",256,1,0.333641976118088,0.25,2
"nursery",0.324362593889236,"rect",1024,0.1,0.333641976118088,0.5,16
"nursery",0.324362593889236,"rect",512,1,0.333641976118088,0.5,16
"nursery",0.324362593889236,"diavolo",1024,1,0.33364200592041,0.25,8
"nursery",0.324362593889236,"rect",256,1,0.333641976118088,0.25,4
"nursery",0.324362593889236,"diavolo",256,1,0.333641976118088,0.25,4
"nursery",0.324362590909004,"diavolo",256,1,0.333641976118088,0.25,16
"nursery",0.324362590909004,"rect",1024,1,0.333641976118088,0.5,3
"nursery",0.324362587928772,"diavolo",512,1,0.333641976118088,0.5,8
"nursery",0.324362587928772,"diavolo",256,1,0.333641976118088,0.5,8
"nursery",0.324362587928772,"rect",512,1,0.33364200592041,0.5,2
