"dataset","blockForm","bottleneck","nblocks","testAccuracy","nhidden","learningrate","valAccuracy"
"steel-plates","rect",0.25,4,0.668041229248047,1024,0.1,0.651818174123764
"steel-plates","diavolo",0.25,3,0.668041288852692,512,0.1,0.641363656520843
"steel-plates","rect",0.5,8,0.632989764213562,256,0.01,0.639999979734421
"steel-plates","diavolo",0.5,3,0.69278347492218,512,0.1,0.637727296352386
"steel-plates","diavolo",0.5,4,0.674226880073547,256,0.01,0.637727272510529
"steel-plates","rect",0.25,3,0.674226880073547,256,0.01,0.637727272510529
"steel-plates","diavolo",0.5,2,0.610309302806854,1024,0.01,0.635909080505371
"steel-plates","rect",0.25,2,0.696907222270966,1024,0.01,0.633636349439621
"steel-plates","diavolo",0.5,8,0.618556678295135,256,0.01,0.633181816339493
"steel-plates","diavolo",0.5,4,0.688659846782684,256,0.1,0.629999995231628
"steel-plates","rect",0.25,2,0.736082494258881,256,0.01,0.629545456171036
"steel-plates","rect",0.25,4,0.661855638027191,1024,0.01,0.627727288007736
"steel-plates","rect",0.5,2,0.701031029224396,256,0.01,0.627272719144821
"steel-plates","diavolo",0.25,4,0.622680425643921,512,0.01,0.6268181681633
"steel-plates","rect",0.5,4,0.665979385375977,512,0.01,0.625000029802322
"steel-plates","rect",0.25,16,0.659793853759766,256,0.01,0.622272711992264
"steel-plates","rect",0.25,8,0.663917541503906,1024,0.01,0.622272706031799
"steel-plates","rect",0.5,2,0.672164976596832,1024,0.01,0.619090896844864
"steel-plates","rect",0.5,16,0.670103132724762,512,0.01,0.617727273702621
"steel-plates","rect",0.5,16,0.65979391336441,1024,0.01,0.616363644599915
"steel-plates","rect",0.25,8,0.647422730922699,512,0.01,0.6154545545578
"steel-plates","diavolo",0.25,16,0.672164916992188,256,0.01,0.613181787729263
"steel-plates","rect",0.5,3,0.637113451957703,1024,0.01,0.61181817650795
"steel-plates","rect",0.5,4,0.657732009887695,256,0.01,0.610454559326172
"steel-plates","diavolo",0.5,3,0.612371146678925,256,0.01,0.6077272772789
"steel-plates","rect",0.5,16,0.676288664340973,256,0.01,0.606818169355392
"steel-plates","rect",0.25,2,0.686597883701324,512,0.01,0.604545450210571
"steel-plates","diavolo",0.25,8,0.608247458934784,512,0.01,0.600454521179199
"steel-plates","rect",0.25,3,0.639175295829773,512,0.01,0.599545472860336
"steel-plates","rect",0.25,4,0.626804113388062,512,0.01,0.598636364936829
"steel-plates","diavolo",0.5,16,0.645360887050629,256,0.01,0.596818202733994
"steel-plates","diavolo",0.25,2,0.61855673789978,512,0.01,0.595454573631287
"steel-plates","rect",0.25,16,0.604123771190643,1024,0.01,0.593181812763214
"steel-plates","diavolo",0.5,16,0.647422730922699,512,0.01,0.591363656520844
"steel-plates","diavolo",0.5,16,0.635051548480988,1024,0.01,0.591363644599915
"steel-plates","diavolo",0.25,16,0.635051548480988,1024,0.01,0.58636366724968
"steel-plates","diavolo",0.25,3,0.560824811458588,1024,0.01,0.583636343479157
"steel-plates","rect",0.5,4,0.589690744876862,1024,0.01,0.577727252244949
"steel-plates","diavolo",0.25,16,0.637113392353058,512,0.01,0.575000005960465
"steel-plates","rect",0.5,3,0.647422671318054,512,0.01,0.571363651752472
"steel-plates","diavolo",0.5,4,0.606185555458069,1024,0.01,0.569545465707779
"steel-plates","diavolo",0.25,3,0.676288723945618,512,0.01,0.569090956449509
"steel-plates","rect",0.5,8,0.61649489402771,512,0.01,0.569090902805328
"steel-plates","diavolo",0.5,8,0.585566997528076,1024,0.01,0.566363650560379
"steel-plates","diavolo",0.5,8,0.637113332748413,512,0.01,0.565909081697464
"steel-plates","diavolo",0.5,2,0.624742269515991,512,0.01,0.559545463323593
"steel-plates","rect",0.5,8,0.653608322143555,1024,0.01,0.559090912342072
"steel-plates","diavolo",0.25,2,0.604123711585999,1024,0.01,0.5531818151474
"steel-plates","diavolo",0.25,8,0.591752588748932,256,0.01,0.549545449018478
"steel-plates","rect",0.25,8,0.61649489402771,256,0.01,0.548181790113449
"steel-plates","diavolo",0.5,3,0.542268097400665,512,0.01,0.547727233171463
"steel-plates","rect",0.25,3,0.585566997528076,1024,0.01,0.545909094810486
"steel-plates","diavolo",0.25,4,0.612371146678925,1024,0.01,0.541818183660507
"steel-plates","diavolo",0.5,4,0.573195934295654,512,0.01,0.538636344671249
"steel-plates","diavolo",0.25,3,0.585567057132721,256,0.01,0.534545427560806
"steel-plates","diavolo",0.5,3,0.564948439598083,1024,0.01,0.522272706031799
"steel-plates","diavolo",0.25,4,0.550515413284302,256,0.01,0.515454536676407
"steel-plates","diavolo",0.25,8,0.585567057132721,1024,0.01,0.501818174123764
"steel-plates","diavolo",0.25,16,0.494845360517502,512,0.1,0.430909085273743
"steel-plates","rect",0.5,8,0.352577328681946,1024,0.1,0.234999985806644
"steel-plates","diavolo",0.5,8,0.200000017881393,1024,0.1,0.212727272510529
"steel-plates","rect",0.5,16,0.200000017881393,256,0.1,0.19909090846777
"steel-plates","diavolo",0.5,16,0.200000017881393,512,0.1,0.181818187236786
"steel-plates","rect",0.25,8,0.200000017881393,512,0.1,0.181818187236786
"steel-plates","diavolo",0.25,3,0.0804123729467392,256,1,0.180454535782337
"steel-plates","diavolo",0.25,2,0.0804123729467392,512,1,0.164999993145466
"steel-plates","diavolo",0.5,2,0.0804123729467392,256,1,0.149545450508594
"steel-plates","diavolo",0.25,2,0.0804123729467392,256,1,0.14818181078881
"steel-plates","diavolo",0.5,2,0.0804123729467392,512,1,0.145909084379673
"steel-plates","rect",0.25,2,0.0804123729467392,256,1,0.142727267742157
"steel-plates","diavolo",0.5,3,0.0804123729467392,256,1,0.1422727227211
"steel-plates","rect",0.5,3,0.0804123729467392,256,1,0.137272723019123
"steel-plates","rect",0.5,16,0.0804123729467392,512,0.1,0.135909087955952
"steel-plates","rect",0.25,16,0.0804123729467392,512,0.1,0.135909084975719
"steel-plates","rect",0.5,4,0.0804123729467392,256,1,0.135909084975719
"steel-plates","diavolo",0.25,4,0.0804123729467392,256,1,0.135909084975719
"steel-plates","rect",0.25,3,0.0804123729467392,1024,1,0.135909084975719
"steel-plates","rect",0.5,3,0.0804123729467392,1024,1,0.135909084975719
"steel-plates","diavolo",0.5,3,0.0804123729467392,1024,1,0.135909084975719
"steel-plates","rect",0.5,3,0.0804123729467392,512,1,0.135909084975719
"steel-plates","rect",0.5,2,0.0804123729467392,512,1,0.135909084975719
"steel-plates","rect",0.25,4,0.0804123729467392,1024,1,0.134090904891491
"steel-plates","rect",0.25,3,0.0804123729467392,256,1,0.130454541742802
"steel-plates","diavolo",0.25,2,0.0804123729467392,1024,1,0.130454541742802
"steel-plates","diavolo",0.5,2,0.0804123729467392,1024,1,0.123636358976364
"steel-plates","rect",0.25,4,0.0804123729467392,512,1,0.12181817740202
"steel-plates","rect",0.25,4,0.0804123729467392,256,1,0.120454542338848
"steel-plates","rect",0.25,3,0.0804123729467392,512,1,0.120454542338848
"steel-plates","diavolo",0.25,3,0.0804123729467392,512,1,0.120454542338848
"steel-plates","rect",0.25,2,0.0804123729467392,1024,1,0.120454542338848
"steel-plates","rect",0.5,2,0.0804123729467392,1024,1,0.120454542338848
"steel-plates","rect",0.25,2,0.0804123729467392,512,1,0.120454542338848
"steel-plates","diavolo",0.5,16,0.0804123729467392,1024,0.1,0.119999997317791
"steel-plates","diavolo",0.5,3,0.0804123729467392,512,1,0.119999997317791
"steel-plates","diavolo",0.5,8,0.0804123729467392,1024,1,0.119999995827675
"steel-plates","rect",0.25,8,0.0804123729467392,1024,0.1,0.11863636225462
"steel-plates","diavolo",0.25,3,0.0804123729467392,1024,1,0.118181815743446
"steel-plates","rect",0.25,16,0.0804123729467392,1024,0.1,0.113636359572411
"steel-plates","rect",0.5,16,0.0804123729467392,1024,0.1,0.113636359572411
"steel-plates","rect",0.25,16,0.0804123729467392,1024,1,0.113636359572411
"steel-plates","rect",0.5,16,0.0804123729467392,1024,1,0.113636359572411
"steel-plates","diavolo",0.25,16,0.0804123729467392,1024,1,0.113636359572411
"steel-plates","diavolo",0.5,16,0.0804123729467392,1024,1,0.113636359572411
"steel-plates","rect",0.25,16,0.0804123729467392,512,1,0.113636359572411
"steel-plates","rect",0.5,16,0.0804123729467392,512,1,0.113636359572411
"steel-plates","diavolo",0.25,16,0.0804123729467392,512,1,0.113636359572411
"steel-plates","diavolo",0.5,16,0.0804123729467392,512,1,0.113636359572411
"steel-plates","rect",0.25,16,0.0804123729467392,256,1,0.113636359572411
"steel-plates","rect",0.5,16,0.0804123729467392,256,1,0.113636359572411
"steel-plates","diavolo",0.25,16,0.0804123729467392,256,1,0.113636359572411
"steel-plates","diavolo",0.5,16,0.0804123729467392,256,1,0.113636359572411
"steel-plates","rect",0.25,8,0.0804123729467392,1024,1,0.113636359572411
"steel-plates","rect",0.5,8,0.0804123729467392,1024,1,0.113636359572411
"steel-plates","diavolo",0.25,8,0.0804123729467392,1024,1,0.113636359572411
"steel-plates","rect",0.25,8,0.0804123729467392,512,1,0.113636359572411
"steel-plates","rect",0.5,8,0.0804123729467392,512,1,0.113636359572411
"steel-plates","diavolo",0.25,8,0.0804123729467392,512,1,0.113636359572411
"steel-plates","diavolo",0.5,8,0.0804123729467392,512,1,0.113636359572411
"steel-plates","rect",0.25,8,0.0804123729467392,256,1,0.113636359572411
"steel-plates","rect",0.5,8,0.0804123729467392,256,1,0.113636359572411
"steel-plates","diavolo",0.25,8,0.0804123729467392,256,1,0.113636359572411
"steel-plates","diavolo",0.5,8,0.0804123729467392,256,1,0.113636359572411
"steel-plates","rect",0.5,4,0.0804123729467392,1024,1,0.113636359572411
"steel-plates","diavolo",0.25,4,0.0804123729467392,1024,1,0.113636359572411
"steel-plates","diavolo",0.5,4,0.0804123729467392,1024,1,0.113636359572411
"steel-plates","rect",0.5,4,0.0804123729467392,512,1,0.113636359572411
"steel-plates","diavolo",0.25,4,0.0804123729467392,512,1,0.113636359572411
"steel-plates","diavolo",0.5,4,0.0804123729467392,512,1,0.113636359572411
"steel-plates","diavolo",0.5,4,0.0804123729467392,256,1,0.113636359572411
"steel-plates","rect",0.5,2,0.0804123729467392,256,1,0.113636359572411
"steel-plates","diavolo",0.25,16,0.125773191452026,1024,0.1,0.105454544723034
