"dataset","valAccuracy","testAccuracy","nblocks","bottleneck","nhidden","blockForm","learningrate"
"statlog-australian-credit",0.463888919353485,0.319767445325851,16,0.5,512,"diavolo",0.1
"statlog-australian-credit",0.463888919353485,0.319767445325851,2,0.25,256,"diavolo",1
"statlog-australian-credit",0.462499994039536,0.563953518867493,8,0.25,256,"diavolo",0.01
"statlog-australian-credit",0.429166698455811,0.319767445325851,16,0.25,1024,"diavolo",0.1
"statlog-australian-credit",0.427777808904648,0.319767445325851,8,0.25,1024,"rect",0.1
"statlog-australian-credit",0.427777808904648,0.680232584476471,8,0.5,512,"rect",0.1
"statlog-australian-credit",0.418055582046509,0.319767445325851,2,0.5,512,"diavolo",1
"statlog-australian-credit",0.397222250699997,0.319767445325851,8,0.5,1024,"rect",0.1
"statlog-australian-credit",0.391666698455811,0.319767445325851,16,0.25,512,"rect",0.1
"statlog-australian-credit",0.391666698455811,0.319767445325851,4,0.25,256,"diavolo",1
"statlog-australian-credit",0.391666698455811,0.319767445325851,3,0.25,1024,"diavolo",1
"statlog-australian-credit",0.391666698455811,0.319767445325851,3,0.5,1024,"rect",1
"statlog-australian-credit",0.391666698455811,0.319767445325851,3,0.25,512,"rect",1
"statlog-australian-credit",0.391666698455811,0.319767445325851,3,0.25,256,"rect",1
"statlog-australian-credit",0.391666698455811,0.319767445325851,2,0.25,1024,"diavolo",1
"statlog-australian-credit",0.391666698455811,0.319767445325851,2,0.5,256,"rect",1
"statlog-australian-credit",0.380555582046509,0.319767445325851,3,0.25,512,"diavolo",1
"statlog-australian-credit",0.355555588006973,0.319767445325851,16,0.5,1024,"rect",0.1
"statlog-australian-credit",0.355555588006973,0.319767445325851,8,0.5,256,"rect",1
"statlog-australian-credit",0.355555588006973,0.319767445325851,4,0.25,1024,"diavolo",1
"statlog-australian-credit",0.355555588006973,0.319767445325851,4,0.5,1024,"rect",1
"statlog-australian-credit",0.355555588006973,0.319767445325851,3,0.25,1024,"rect",1
"statlog-australian-credit",0.355555588006973,0.319767445325851,3,0.5,1024,"diavolo",1
"statlog-australian-credit",0.355555588006973,0.319767445325851,3,0.5,512,"rect",1
"statlog-australian-credit",0.355555588006973,0.319767445325851,3,0.5,512,"diavolo",1
"statlog-australian-credit",0.355555588006973,0.319767445325851,3,0.25,256,"diavolo",1
"statlog-australian-credit",0.355555588006973,0.319767445325851,3,0.5,256,"diavolo",1
"statlog-australian-credit",0.355555588006973,0.319767445325851,2,0.25,512,"diavolo",1
"statlog-australian-credit",0.355555588006973,0.319767445325851,2,0.5,512,"rect",1
"statlog-australian-credit",0.355555588006973,0.319767445325851,2,0.25,256,"rect",1
"statlog-australian-credit",0.355555588006973,0.319767445325851,2,0.5,256,"diavolo",1
"statlog-australian-credit",0.354166698455811,0.319767445325851,4,0.25,256,"rect",1
"statlog-australian-credit",0.350000035762787,0.319767445325851,8,0.25,256,"diavolo",1
"statlog-australian-credit",0.344444471597672,0.319767445325851,8,0.25,1024,"diavolo",1
"statlog-australian-credit",0.331944474577904,0.319767445325851,16,0.25,512,"diavolo",1
"statlog-australian-credit",0.325000032782555,0.319767445325851,16,0.5,256,"diavolo",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,16,0.25,1024,"rect",0.1
"statlog-australian-credit",0.319444477558136,0.319767445325851,16,0.25,1024,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,16,0.25,1024,"diavolo",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,16,0.5,1024,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,16,0.5,1024,"diavolo",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,16,0.25,512,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,16,0.5,512,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,16,0.5,512,"diavolo",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,16,0.25,256,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,16,0.25,256,"diavolo",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,16,0.5,256,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,8,0.25,1024,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,8,0.5,1024,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,8,0.5,1024,"diavolo",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,8,0.25,512,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,8,0.25,512,"diavolo",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,8,0.5,512,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,8,0.5,512,"diavolo",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,8,0.25,256,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,8,0.5,256,"diavolo",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,4,0.25,1024,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,4,0.5,1024,"diavolo",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,4,0.25,512,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,4,0.25,512,"diavolo",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,4,0.5,512,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,4,0.5,512,"diavolo",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,4,0.5,256,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,4,0.5,256,"diavolo",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,3,0.5,256,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,2,0.25,1024,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,2,0.5,1024,"rect",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,2,0.5,1024,"diavolo",1
"statlog-australian-credit",0.319444477558136,0.319767445325851,2,0.25,512,"rect",1
