"dataset","bottleneck","blockForm","nblocks","learningrate","testAccuracy","valAccuracy","nhidden"
"oocytes_merluccius_nucleus_4d",0.5,"rect",8,0.01,0.768627464771271,0.749572730064392,512
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",8,0.1,0.690196096897125,0.745299208164215,512
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",4,0.1,0.74117648601532,0.743589806556701,1024
"oocytes_merluccius_nucleus_4d",0.25,"rect",2,0.01,0.674509823322296,0.743589770793915,512
"oocytes_merluccius_nucleus_4d",0.5,"rect",4,0.01,0.721568644046783,0.74017099738121,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",4,0.01,0.729411780834198,0.739316308498382,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",2,0.1,0.729411780834198,0.737606877088547,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",2,0.01,0.678431391716003,0.735042774677277,256
"oocytes_merluccius_nucleus_4d",0.25,"rect",8,0.1,0.682352960109711,0.732478696107864,256
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",2,0.1,0.772549033164978,0.7324786901474,1024
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",2,0.01,0.666666686534882,0.729059880971909,1024
"oocytes_merluccius_nucleus_4d",0.25,"rect",4,0.01,0.694117665290833,0.729059880971908,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",2,0.01,0.682352960109711,0.726495778560638,512
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",8,0.01,0.705882370471954,0.725641077756882,512
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",2,0.1,0.749019622802734,0.72307698726654,256
"oocytes_merluccius_nucleus_4d",0.25,"rect",16,0.01,0.670588254928589,0.72222226858139,256
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",4,0.1,0.670588254928589,0.721367597579956,1024
"oocytes_merluccius_nucleus_4d",0.5,"rect",2,0.01,0.662745118141174,0.721367567777634,256
"oocytes_merluccius_nucleus_4d",0.5,"diavolo",2,0.01,0.709803938865662,0.72136754989624,1024
"oocytes_merluccius_nucleus_4d",0.5,"rect",4,0.01,0.670588254928589,0.719658184051514,256
"oocytes_merluccius_nucleus_4d",0.5,"rect",16,0.01,0.678431391716003,0.719658172130585,512
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",4,0.01,0.737254917621613,0.718803465366364,1024
"oocytes_merluccius_nucleus_4d",0.25,"rect",4,0.01,0.670588254928589,0.718803459405899,1024
"oocytes_merluccius_nucleus_4d",0.5,"rect",16,0.01,0.670588254928589,0.717948794364929,256
"oocytes_merluccius_nucleus_4d",0.25,"diavolo",16,0.1,0.670588254928589,0.717948794364929,1024
