"dataset","valAccuracy","nhidden","learningrate","bottleneck","blockForm","testAccuracy","nblocks"
"chess-krvkp",0.478632479906082,1024,1,0.5,"diavolo",0.476846039295197,8
"chess-krvkp",0.478632479906082,512,1,0.25,"rect",0.476846039295197,8
"chess-krvkp",0.478632479906082,512,1,0.25,"diavolo",0.476846039295197,8
"chess-krvkp",0.478632479906082,512,1,0.5,"rect",0.476846039295197,8
"chess-krvkp",0.478632479906082,512,1,0.5,"diavolo",0.476846039295197,8
"chess-krvkp",0.478632479906082,256,1,0.25,"rect",0.476846039295197,8
"chess-krvkp",0.478632479906082,256,1,0.25,"diavolo",0.476846098899841,8
"chess-krvkp",0.478632479906082,256,1,0.5,"rect",0.476846039295197,8
"chess-krvkp",0.478632479906082,1024,1,0.25,"rect",0.476846039295197,4
"chess-krvkp",0.478632479906082,1024,1,0.25,"diavolo",0.476846039295197,4
"chess-krvkp",0.478632479906082,1024,1,0.5,"rect",0.476846039295197,4
"chess-krvkp",0.478632479906082,512,1,0.25,"rect",0.476846039295197,4
"chess-krvkp",0.478632479906082,512,1,0.25,"diavolo",0.476846039295197,4
"chess-krvkp",0.478632479906082,512,1,0.5,"diavolo",0.476846039295197,4
"chess-krvkp",0.478632479906082,256,1,0.25,"rect",0.476846039295197,4
"chess-krvkp",0.478632479906082,256,1,0.5,"rect",0.476846039295197,4
"chess-krvkp",0.478632479906082,256,1,0.5,"diavolo",0.476846039295197,4
"chess-krvkp",0.478632479906082,1024,1,0.25,"diavolo",0.476846039295197,3
"chess-krvkp",0.478632479906082,1024,1,0.5,"rect",0.476846039295197,3
"chess-krvkp",0.478632479906082,1024,1,0.5,"diavolo",0.476846098899841,3
"chess-krvkp",0.478632479906082,512,1,0.25,"rect",0.476846039295197,3
"chess-krvkp",0.478632479906082,512,1,0.25,"diavolo",0.476846039295197,3
"chess-krvkp",0.478632479906082,256,1,0.25,"rect",0.476846039295197,3
"chess-krvkp",0.478632479906082,256,1,0.5,"diavolo",0.476846039295197,3
"chess-krvkp",0.478632479906082,1024,1,0.25,"rect",0.476846039295197,2
"chess-krvkp",0.478632479906082,1024,1,0.25,"diavolo",0.476846039295197,2
"chess-krvkp",0.478632479906082,1024,1,0.5,"rect",0.476846039295197,2
"chess-krvkp",0.478632479906082,1024,1,0.5,"diavolo",0.476846039295197,2
"chess-krvkp",0.478632479906082,512,1,0.5,"rect",0.476846039295197,2
"chess-krvkp",0.478632479906082,512,1,0.5,"diavolo",0.476846039295197,2
"chess-krvkp",0.478632479906082,256,1,0.25,"rect",0.476846039295197,2
"chess-krvkp",0.478632479906082,256,1,0.5,"rect",0.476846039295197,2
