"dataset","testAccuracy","nhidden","nblocks","learningrate","bottleneck","blockForm","valAccuracy"
"seeds",0.346153855323792,512,16,1,0.25,"rect",0.318181812763214
"seeds",0.346153855323792,512,16,1,0.5,"rect",0.318181812763214
"seeds",0.346153855323792,512,16,1,0.5,"diavolo",0.318181812763214
"seeds",0.346153855323792,256,16,1,0.25,"rect",0.318181812763214
"seeds",0.346153855323792,256,16,1,0.25,"diavolo",0.318181812763214
"seeds",0.346153855323792,256,16,1,0.5,"rect",0.318181812763214
"seeds",0.346153855323792,256,16,1,0.5,"diavolo",0.318181812763214
"seeds",0.346153855323792,1024,8,1,0.25,"rect",0.318181812763214
"seeds",0.346153855323792,1024,8,1,0.5,"rect",0.318181812763214
"seeds",0.346153855323792,1024,8,1,0.5,"diavolo",0.318181812763214
"seeds",0.346153855323792,512,8,1,0.25,"rect",0.318181812763214
"seeds",0.346153855323792,512,8,1,0.25,"diavolo",0.318181812763214
"seeds",0.346153855323792,512,8,1,0.5,"rect",0.318181812763214
"seeds",0.346153855323792,512,8,1,0.5,"diavolo",0.318181812763214
"seeds",0.346153855323792,256,8,1,0.25,"rect",0.318181812763214
"seeds",0.346153855323792,256,8,1,0.25,"diavolo",0.318181812763214
"seeds",0.346153855323792,256,8,1,0.5,"rect",0.318181812763214
"seeds",0.346153855323792,256,8,1,0.5,"diavolo",0.318181812763214
"seeds",0.346153855323792,1024,4,1,0.25,"rect",0.318181812763214
"seeds",0.346153855323792,1024,4,1,0.5,"diavolo",0.318181812763214
"seeds",0.346153855323792,512,4,1,0.25,"diavolo",0.318181812763214
"seeds",0.346153855323792,256,4,1,0.25,"rect",0.318181812763214
"seeds",0.346153855323792,256,4,1,0.5,"diavolo",0.318181812763214
"seeds",0.346153855323792,1024,3,1,0.25,"rect",0.318181812763214
"seeds",0.346153855323792,1024,3,1,0.25,"diavolo",0.318181812763214
"seeds",0.346153855323792,512,3,1,0.25,"rect",0.318181812763214
"seeds",0.346153855323792,512,3,1,0.25,"diavolo",0.318181812763214
"seeds",0.346153855323792,256,3,1,0.25,"rect",0.318181812763214
"seeds",0.346153855323792,1024,2,1,0.25,"rect",0.318181812763214
"seeds",0.346153855323792,1024,2,1,0.5,"diavolo",0.318181812763214
"seeds",0.346153855323792,256,2,1,0.25,"rect",0.318181812763214
"seeds",0.326923102140427,256,16,0.1,0.25,"rect",0.286363646388054
"seeds",0.326923102140427,1024,8,0.1,0.5,"diavolo",0.286363640427589
"seeds",0.326923102140427,512,16,0.1,0.25,"diavolo",0.272727280855179
"seeds",0.326923102140427,512,16,0.1,0.5,"diavolo",0.272727280855179
"seeds",0.326923102140427,256,16,0.1,0.25,"diavolo",0.272727280855179
"seeds",0.326923102140427,256,16,0.1,0.5,"diavolo",0.272727280855179
