"dataset","nhidden","blockForm","bottleneck","learningrate","testAccuracy","nblocks","valAccuracy"
"zoo",256,"diavolo",0.5,0.1,0.599999964237213,8,0.866666680574417
"zoo",512,"rect",0.25,0.01,0.919999957084656,16,0.866666674613953
"zoo",1024,"rect",0.5,0.01,1,8,0.855555564165115
"zoo",256,"diavolo",0.5,0.01,0.839999973773956,16,0.800000011920929
"zoo",512,"diavolo",0.25,0.01,1,3,0.788888907432556
"zoo",256,"diavolo",0.25,0.01,0.919999957084656,4,0.788888907432556
"zoo",1024,"diavolo",0.5,0.1,0.839999973773956,4,0.788888907432556
"zoo",256,"rect",0.5,0.01,0.799999952316284,4,0.777777814865112
"zoo",512,"diavolo",0.25,0.01,0.879999995231628,4,0.777777791023254
"zoo",256,"diavolo",0.25,0.01,0.799999952316284,3,0.777777791023254
"zoo",256,"diavolo",0.5,0.01,0.799999952316284,3,0.777777791023254
"zoo",256,"diavolo",0.25,0.01,0.879999995231628,2,0.777777791023254
"zoo",512,"rect",0.25,0.01,0.959999978542328,3,0.744444459676742
"zoo",1024,"rect",0.5,0.01,0.799999952316284,16,0.711111143231392
"zoo",256,"diavolo",0.25,0.1,0.719999969005585,8,0.700000020861626
"zoo",256,"rect",0.25,0.01,0.799999952316284,8,0.700000017881393
"zoo",256,"rect",0.5,0.1,0.599999964237213,8,0.700000017881393
"zoo",512,"diavolo",0.5,0.1,0.639999985694885,8,0.688888907432556
"zoo",1024,"diavolo",0.5,0.1,0.679999947547913,3,0.688888898491859
"zoo",512,"diavolo",0.5,0.01,0.919999957084656,3,0.666666686534881
"zoo",512,"rect",0.25,0.1,0.799999952316284,4,0.611111137270927
"zoo",512,"diavolo",0.25,0.1,0.919999957084656,8,0.600000014901161
"zoo",512,"diavolo",0.5,0.01,0.759999990463257,16,0.57777779251337
"zoo",1024,"diavolo",0.25,0.1,0.600000023841858,8,0.477777788043022
"zoo",1024,"rect",0.5,0.1,0.799999952316284,3,0.466666674613953
"zoo",256,"diavolo",0.25,0.1,0.479999959468842,16,0.444444447755814
"zoo",512,"diavolo",0.5,1,0.439999967813492,8,0.344444453716278
"zoo",512,"rect",0.5,1,0.439999967813492,4,0.344444453716278
"zoo",1024,"rect",0.25,0.1,0.439999967813492,16,0.333333343267441
"zoo",1024,"rect",0.5,0.1,0.439999967813492,16,0.333333343267441
"zoo",1024,"diavolo",0.25,0.1,0.439999967813492,16,0.333333343267441
"zoo",1024,"diavolo",0.5,0.1,0.439999967813492,16,0.333333343267441
"zoo",512,"rect",0.25,0.1,0.439999967813492,16,0.333333343267441
"zoo",512,"rect",0.5,0.1,0.439999967813492,16,0.333333343267441
"zoo",512,"diavolo",0.25,0.1,0.439999967813492,16,0.333333343267441
"zoo",512,"diavolo",0.5,0.1,0.479999959468842,16,0.333333343267441
"zoo",256,"rect",0.25,0.1,0.439999967813492,16,0.333333343267441
"zoo",256,"rect",0.5,0.1,0.439999967813492,16,0.333333343267441
"zoo",256,"diavolo",0.5,0.1,0.439999967813492,16,0.333333343267441
"zoo",1024,"rect",0.25,1,0.439999967813492,16,0.333333343267441
"zoo",1024,"rect",0.5,1,0.439999967813492,16,0.333333343267441
"zoo",1024,"diavolo",0.25,1,0.439999967813492,16,0.333333343267441
"zoo",1024,"diavolo",0.5,1,0.439999967813492,16,0.333333343267441
"zoo",512,"rect",0.25,1,0.439999967813492,16,0.333333343267441
"zoo",512,"rect",0.5,1,0.439999967813492,16,0.333333343267441
"zoo",512,"diavolo",0.25,1,0.439999967813492,16,0.333333343267441
"zoo",512,"diavolo",0.5,1,0.439999967813492,16,0.333333343267441
"zoo",256,"rect",0.25,1,0.439999967813492,16,0.333333343267441
"zoo",256,"rect",0.5,1,0.439999967813492,16,0.333333343267441
"zoo",256,"diavolo",0.25,1,0.439999967813492,16,0.333333343267441
"zoo",256,"diavolo",0.5,1,0.439999967813492,16,0.333333343267441
"zoo",1024,"rect",0.25,0.1,0.439999967813492,8,0.333333343267441
"zoo",1024,"rect",0.5,0.1,0.439999967813492,8,0.333333343267441
"zoo",1024,"diavolo",0.5,0.1,0.439999967813492,8,0.333333343267441
"zoo",512,"rect",0.25,0.1,0.439999967813492,8,0.333333343267441
"zoo",1024,"rect",0.25,1,0.439999967813492,8,0.333333343267441
"zoo",1024,"rect",0.5,1,0.439999967813492,8,0.333333343267441
"zoo",1024,"diavolo",0.25,1,0.439999967813492,8,0.333333343267441
"zoo",1024,"diavolo",0.5,1,0.439999967813492,8,0.333333343267441
"zoo",512,"rect",0.25,1,0.439999967813492,8,0.333333343267441
"zoo",512,"rect",0.5,1,0.439999967813492,8,0.333333343267441
"zoo",512,"diavolo",0.25,1,0.439999967813492,8,0.333333343267441
"zoo",256,"rect",0.25,1,0.439999967813492,8,0.333333343267441
"zoo",256,"rect",0.5,1,0.439999967813492,8,0.333333343267441
"zoo",256,"diavolo",0.25,1,0.439999967813492,8,0.333333343267441
"zoo",256,"diavolo",0.5,1,0.439999967813492,8,0.333333343267441
"zoo",1024,"rect",0.25,0.1,0.439999967813492,4,0.333333343267441
"zoo",1024,"rect",0.25,1,0.439999967813492,4,0.333333343267441
"zoo",1024,"rect",0.5,1,0.439999967813492,4,0.333333343267441
"zoo",1024,"diavolo",0.25,1,0.439999967813492,4,0.333333343267441
"zoo",1024,"diavolo",0.5,1,0.439999967813492,4,0.333333343267441
"zoo",512,"rect",0.25,1,0.439999967813492,4,0.333333343267441
"zoo",512,"diavolo",0.25,1,0.439999967813492,4,0.333333343267441
"zoo",512,"diavolo",0.5,1,0.439999967813492,4,0.333333343267441
"zoo",256,"rect",0.25,1,0.439999967813492,4,0.333333343267441
"zoo",256,"rect",0.5,1,0.439999967813492,4,0.333333343267441
"zoo",256,"diavolo",0.25,1,0.439999967813492,4,0.333333343267441
"zoo",256,"diavolo",0.5,1,0.439999967813492,4,0.333333343267441
"zoo",1024,"rect",0.25,1,0.439999967813492,3,0.333333343267441
"zoo",1024,"rect",0.5,1,0.439999967813492,3,0.333333343267441
"zoo",1024,"diavolo",0.25,1,0.439999967813492,3,0.333333343267441
"zoo",1024,"diavolo",0.5,1,0.439999967813492,3,0.333333343267441
"zoo",512,"rect",0.25,1,0.439999967813492,3,0.333333343267441
"zoo",512,"rect",0.5,1,0.439999967813492,3,0.333333343267441
"zoo",512,"diavolo",0.25,1,0.439999967813492,3,0.333333343267441
"zoo",512,"diavolo",0.5,1,0.439999967813492,3,0.333333343267441
"zoo",256,"rect",0.25,1,0.439999967813492,3,0.333333343267441
"zoo",256,"rect",0.5,1,0.439999967813492,3,0.333333343267441
"zoo",256,"diavolo",0.25,1,0.439999967813492,3,0.333333343267441
"zoo",256,"diavolo",0.5,1,0.439999967813492,3,0.333333343267441
"zoo",1024,"rect",0.25,1,0.439999967813492,2,0.333333343267441
"zoo",1024,"rect",0.5,1,0.439999967813492,2,0.333333343267441
"zoo",1024,"diavolo",0.25,1,0.439999967813492,2,0.333333343267441
"zoo",1024,"diavolo",0.5,1,0.439999967813492,2,0.333333343267441
"zoo",512,"rect",0.25,1,0.439999967813492,2,0.333333343267441
"zoo",512,"rect",0.5,1,0.439999967813492,2,0.333333343267441
"zoo",512,"diavolo",0.25,1,0.439999967813492,2,0.333333343267441
"zoo",512,"diavolo",0.5,1,0.439999967813492,2,0.333333343267441
"zoo",256,"rect",0.25,1,0.439999967813492,2,0.333333343267441
"zoo",256,"rect",0.5,1,0.439999967813492,2,0.333333343267441
"zoo",256,"diavolo",0.25,1,0.439999967813492,2,0.333333343267441
"zoo",256,"diavolo",0.5,1,0.439999967813492,2,0.333333343267441
"zoo",1024,"rect",0.5,0.1,0.439999967813492,4,0.27777778506279
"zoo",1024,"diavolo",0.5,0.01,0.319999992847443,16,0.26666667163372
"zoo",512,"rect",0.5,0.1,0.439999967813492,8,0.244444450736046
"zoo",256,"rect",0.25,0.1,0.0799999982118607,8,0.166666670143604
