"dataset","bottleneck","nhidden","nblocks","learningrate","valAccuracy","blockForm","testAccuracy"
"conn-bench-sonar-mines-rocks",0.5,1024,16,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,512,16,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,512,16,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,512,16,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,512,16,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,256,16,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,256,16,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,1024,8,0.1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,1024,8,0.1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,8,0.1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,1024,8,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,1024,8,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,8,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,1024,8,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,512,8,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,512,8,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,512,8,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,512,8,1,0.518518507480621,"diavolo",0.538461565971375
"conn-bench-sonar-mines-rocks",0.25,256,8,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,256,8,1,0.518518507480621,"rect",0.538461565971375
"conn-bench-sonar-mines-rocks",0.5,256,8,1,0.518518507480621,"diavolo",0.538461565971375
