"dataset","blockForm","testAccuracy","nblocks","nhidden","learningrate","bottleneck","valAccuracy"
"monks-3","rect",0.729166686534882,3,256,0.1,0.25,0.6
"monks-3","rect",0.673611104488373,16,1024,0.01,0.5,0.590625
"monks-3","rect",0.597222208976746,3,1024,0.01,0.25,0.590625
"monks-3","rect",0.620370388031006,3,512,0.01,0.25,0.590625
"monks-3","diavolo",0.736111044883728,3,256,0.1,0.25,0.590625
"monks-3","diavolo",0.615740776062012,16,256,0.01,0.5,0.584375
"monks-3","diavolo",0.472222208976746,16,512,0.01,0.25,0.575
"monks-3","diavolo",0.476851850748062,16,256,0.01,0.25,0.571875
"monks-3","diavolo",0.490740776062012,4,1024,0.01,0.25,0.571875
"monks-3","rect",0.731481432914734,2,1024,0.1,0.5,0.571875
"monks-3","diavolo",0.472222238779068,16,1024,0.1,0.25,0.56875
"monks-3","rect",0.479166686534882,16,512,0.01,0.5,0.565625
"monks-3","diavolo",0.472222238779068,16,1024,0.01,0.25,0.5625
"monks-3","diavolo",0.472222238779068,16,1024,0.01,0.5,0.5625
"monks-3","rect",0.472222238779068,16,256,0.01,0.5,0.5625
"monks-3","rect",0.472222238779068,16,1024,0.1,0.25,0.5625
"monks-3","rect",0.472222238779068,16,1024,0.1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,16,1024,0.1,0.5,0.5625
"monks-3","rect",0.472222238779068,16,512,0.1,0.25,0.5625
"monks-3","rect",0.472222238779068,16,512,0.1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,16,512,0.1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,16,512,0.1,0.5,0.5625
"monks-3","rect",0.472222238779068,16,256,0.1,0.25,0.5625
"monks-3","rect",0.472222238779068,16,256,0.1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,16,256,0.1,0.5,0.5625
"monks-3","rect",0.472222238779068,16,1024,1,0.25,0.5625
"monks-3","rect",0.472222238779068,16,1024,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,16,1024,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,16,1024,1,0.5,0.5625
"monks-3","rect",0.472222238779068,16,512,1,0.25,0.5625
"monks-3","rect",0.472222238779068,16,512,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,16,512,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,16,512,1,0.5,0.5625
"monks-3","rect",0.472222238779068,16,256,1,0.25,0.5625
"monks-3","rect",0.472222238779068,16,256,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,16,256,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,16,256,1,0.5,0.5625
"monks-3","rect",0.472222238779068,8,256,0.01,0.5,0.5625
"monks-3","rect",0.472222238779068,8,1024,0.1,0.25,0.5625
"monks-3","rect",0.472222238779068,8,1024,0.1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,8,1024,0.1,0.5,0.5625
"monks-3","rect",0.472222238779068,8,512,0.1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,8,512,0.1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,8,512,0.1,0.5,0.5625
"monks-3","rect",0.472222238779068,8,256,0.1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,8,256,0.1,0.5,0.5625
"monks-3","rect",0.472222238779068,8,1024,1,0.25,0.5625
"monks-3","rect",0.472222208976746,8,1024,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,8,1024,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,8,1024,1,0.5,0.5625
"monks-3","rect",0.472222238779068,8,512,1,0.25,0.5625
"monks-3","rect",0.472222238779068,8,512,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,8,512,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,8,512,1,0.5,0.5625
"monks-3","rect",0.472222238779068,8,256,1,0.25,0.5625
"monks-3","rect",0.472222238779068,8,256,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,8,256,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,8,256,1,0.5,0.5625
"monks-3","rect",0.483796298503876,4,256,0.01,0.25,0.5625
"monks-3","rect",0.472222238779068,4,1024,0.1,0.5,0.5625
"monks-3","diavolo",0.604166686534882,4,1024,0.1,0.5,0.5625
"monks-3","rect",0.472222238779068,4,1024,1,0.25,0.5625
"monks-3","rect",0.472222238779068,4,1024,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,4,1024,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,4,1024,1,0.5,0.5625
"monks-3","rect",0.472222238779068,4,512,1,0.25,0.5625
"monks-3","rect",0.472222238779068,4,512,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,4,512,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,4,512,1,0.5,0.5625
"monks-3","rect",0.472222238779068,4,256,1,0.25,0.5625
"monks-3","rect",0.472222238779068,4,256,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,4,256,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,4,256,1,0.5,0.5625
"monks-3","diavolo",0.541666686534882,3,1024,0.01,0.5,0.5625
"monks-3","rect",0.472222238779068,3,1024,0.1,0.5,0.5625
"monks-3","diavolo",0.606481552124023,3,512,0.1,0.5,0.5625
"monks-3","rect",0.472222238779068,3,1024,1,0.25,0.5625
"monks-3","rect",0.472222238779068,3,1024,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,3,1024,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,3,1024,1,0.5,0.5625
"monks-3","rect",0.472222238779068,3,512,1,0.25,0.5625
"monks-3","rect",0.472222238779068,3,512,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,3,512,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,3,512,1,0.5,0.5625
"monks-3","rect",0.472222238779068,3,256,1,0.25,0.5625
"monks-3","rect",0.472222238779068,3,256,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,3,256,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,3,256,1,0.5,0.5625
"monks-3","diavolo",0.733796298503876,2,512,0.01,0.25,0.5625
"monks-3","rect",0.472222208976746,2,1024,1,0.25,0.5625
"monks-3","rect",0.472222238779068,2,1024,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,2,1024,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,2,1024,1,0.5,0.5625
"monks-3","rect",0.472222238779068,2,512,1,0.25,0.5625
"monks-3","rect",0.472222238779068,2,512,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,2,512,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,2,512,1,0.5,0.5625
"monks-3","rect",0.472222238779068,2,256,1,0.25,0.5625
"monks-3","rect",0.472222208976746,2,256,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,2,256,1,0.25,0.5625
"monks-3","diavolo",0.472222238779068,2,256,1,0.5,0.5625
"monks-3","diavolo",0.472222238779068,16,256,0.1,0.25,0.55
"monks-3","rect",0.472222238779068,8,512,0.1,0.5,0.55
"monks-3","rect",0.472222238779068,4,512,0.1,0.5,0.525
"monks-3","rect",0.527777791023254,4,1024,0.1,0.25,0.5125
"monks-3","rect",0.527777791023254,3,1024,0.1,0.25,0.5125
"monks-3","diavolo",0.527777791023254,8,1024,0.1,0.25,0.5
"monks-3","rect",0.527777791023254,8,256,0.1,0.25,0.5
