"dataset","valAccuracy","learningrate","testAccuracy","blockForm","bottleneck","nblocks","nhidden"
"led-display",0.599056595563889,0.01,0.62799996137619,"rect",0.25,16,1024
"led-display",0.592452830076218,0.01,0.595999956130981,"rect",0.25,16,512
"led-display",0.573584908246994,0.01,0.688000023365021,"rect",0.5,16,1024
"led-display",0.56792454123497,0.01,0.599999964237213,"diavolo",0.25,2,512
"led-display",0.561320787668228,0.01,0.611999988555908,"diavolo",0.25,16,256
"led-display",0.560377359390259,0.01,0.583999991416931,"rect",0.5,16,512
"led-display",0.5584905564785,0.01,0.624000012874603,"diavolo",0.25,16,512
"led-display",0.55471698641777,0.01,0.555999994277954,"rect",0.5,8,512
"led-display",0.550000017881393,0.01,0.611999988555908,"rect",0.5,4,1024
"led-display",0.54622642993927,0.01,0.523999989032745,"rect",0.25,2,1024
"led-display",0.540566053986549,0.01,0.563999950885773,"diavolo",0.25,16,1024
"led-display",0.534905683994293,0.01,0.559999942779541,"rect",0.25,2,512
"led-display",0.527358511090279,0.01,0.607999980449677,"rect",0.25,8,1024
"led-display",0.526415097713471,0.01,0.523999989032745,"rect",0.25,16,256
"led-display",0.521698123216629,0.01,0.523999989032745,"diavolo",0.5,16,512
"led-display",0.5198113322258,0.01,0.547999978065491,"rect",0.5,3,1024
"led-display",0.514150977134705,0.01,0.559999942779541,"diavolo",0.25,2,256
"led-display",0.500000005960465,0.01,0.587999999523163,"rect",0.25,8,512
"led-display",0.49905661046505,0.01,0.523999989032745,"rect",0.5,2,512
"led-display",0.499056607484818,0.01,0.579999983310699,"rect",0.5,16,256
"led-display",0.491509428620338,0.01,0.512000024318695,"rect",0.5,3,256
"led-display",0.488679271936417,0.01,0.611999988555908,"diavolo",0.5,16,256
"led-display",0.486792460083961,0.01,0.548000037670135,"rect",0.25,3,1024
"led-display",0.48396227657795,0.01,0.51199996471405,"rect",0.25,2,256
"led-display",0.481132090091705,0.01,0.51199996471405,"diavolo",0.5,2,512
"led-display",0.477358505129814,0.01,0.467999994754791,"rect",0.25,4,256
"led-display",0.47735849916935,0.01,0.527999997138977,"diavolo",0.5,8,1024
"led-display",0.468867948651314,0.01,0.53600001335144,"rect",0.25,4,512
"led-display",0.459433969855309,0.01,0.456000030040741,"diavolo",0.25,3,256
"led-display",0.458490583300591,0.01,0.568000018596649,"diavolo",0.25,8,512
"led-display",0.456603789329529,0.01,0.46399998664856,"rect",0.5,8,256
"led-display",0.456603786349297,0.01,0.435999989509583,"diavolo",0.5,3,512
"led-display",0.450943395495415,0.01,0.583999991416931,"rect",0.5,2,256
"led-display",0.449056616425514,0.01,0.452000021934509,"rect",0.25,4,1024
"led-display",0.446226432919502,0.01,0.472000002861023,"diavolo",0.25,3,1024
"led-display",0.442452847957611,0.01,0.420000016689301,"rect",0.25,3,512
"led-display",0.437735867500305,0.01,0.491999983787537,"rect",0.5,4,256
"led-display",0.433962282538414,0.01,0.435999989509583,"rect",0.25,8,256
"led-display",0.430188691616058,0.01,0.480000019073486,"diavolo",0.5,8,512
"led-display",0.425471711158752,0.01,0.452000021934509,"rect",0.5,4,512
"led-display",0.415094366669655,0.01,0.416000008583069,"diavolo",0.25,2,1024
"led-display",0.408490559458733,0.01,0.399999976158142,"rect",0.25,3,256
"led-display",0.40471698641777,0.01,0.472000002861023,"diavolo",0.5,8,256
"led-display",0.397169816493988,0.01,0.476000010967255,"diavolo",0.5,2,256
"led-display",0.387735846638679,0.01,0.363999992609024,"diavolo",0.25,3,512
"led-display",0.384905672073364,0.01,0.480000019073486,"diavolo",0.5,3,1024
"led-display",0.378301894664764,0.01,0.407999992370605,"diavolo",0.5,2,1024
"led-display",0.3783018887043,0.01,0.467999994754791,"diavolo",0.25,4,256
"led-display",0.362264159321785,0.01,0.283999979496002,"diavolo",0.25,4,1024
"led-display",0.357547172904015,0.01,0.444000005722046,"diavolo",0.5,4,256
"led-display",0.350000005960465,0.01,0.276000022888184,"diavolo",0.5,4,1024
"led-display",0.344339638948441,0.01,0.371999979019165,"diavolo",0.25,8,1024
"led-display",0.322641515731812,0.01,0.42399999499321,"diavolo",0.25,4,512
"led-display",0.315094342827797,0.01,0.296000003814697,"diavolo",0.5,4,512
"led-display",0.285849046707153,0.01,0.395999997854233,"rect",0.5,3,512
"led-display",0.213207551836967,0.01,0.224000006914139,"diavolo",0.5,3,256
"led-display",0.192452831566334,0.01,0.291999995708466,"diavolo",0.25,8,256
"led-display",0.177358494699001,0.1,0.167999982833862,"rect",0.5,8,512
"led-display",0.157547171413898,0.1,0.203999996185303,"rect",0.25,16,256
"led-display",0.155660386383533,0.1,0.187999993562698,"diavolo",0.25,16,1024
"led-display",0.146226423978806,1,0.0960000082850456,"rect",0.25,3,1024
"led-display",0.146226418018341,0.1,0.143999993801117,"diavolo",0.25,16,256
"led-display",0.143396229296923,0.1,0.100000008940697,"diavolo",0.5,8,1024
"led-display",0.142452839016914,1,0.096000000834465,"rect",0.25,3,256
"led-display",0.142452831566334,0.1,0.100000008940697,"diavolo",0.5,16,256
"led-display",0.1415094435215,0.1,0.0960000082850456,"rect",0.25,16,1024
"led-display",0.1415094435215,0.1,0.0960000082850456,"rect",0.5,16,1024
"led-display",0.1415094435215,0.1,0.0960000082850456,"diavolo",0.5,16,1024
"led-display",0.1415094435215,0.1,0.096000000834465,"rect",0.25,16,512
"led-display",0.1415094435215,0.1,0.0960000082850456,"rect",0.5,16,512
"led-display",0.1415094435215,1,0.096000000834465,"rect",0.25,16,1024
"led-display",0.1415094435215,1,0.096000000834465,"rect",0.5,16,1024
"led-display",0.1415094435215,1,0.0960000082850456,"diavolo",0.25,16,1024
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.5,16,1024
"led-display",0.1415094435215,1,0.0960000082850456,"rect",0.25,16,512
"led-display",0.1415094435215,1,0.0960000082850456,"rect",0.5,16,512
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.25,16,512
"led-display",0.1415094435215,1,0.0960000082850456,"diavolo",0.5,16,512
"led-display",0.1415094435215,1,0.0960000082850456,"rect",0.25,16,256
"led-display",0.1415094435215,1,0.096000000834465,"rect",0.5,16,256
"led-display",0.1415094435215,1,0.0960000082850456,"diavolo",0.25,16,256
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.5,16,256
"led-display",0.1415094435215,0.1,0.096000000834465,"rect",0.25,8,1024
"led-display",0.1415094435215,0.1,0.096000000834465,"rect",0.5,8,1024
"led-display",0.1415094435215,1,0.0960000082850456,"rect",0.25,8,1024
"led-display",0.1415094435215,1,0.096000000834465,"rect",0.5,8,1024
"led-display",0.1415094435215,1,0.0960000082850456,"diavolo",0.25,8,1024
"led-display",0.1415094435215,1,0.0960000082850456,"diavolo",0.5,8,1024
"led-display",0.1415094435215,1,0.0960000082850456,"rect",0.25,8,512
"led-display",0.1415094435215,1,0.0960000082850456,"rect",0.5,8,512
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.25,8,512
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.5,8,512
"led-display",0.1415094435215,1,0.096000000834465,"rect",0.25,8,256
"led-display",0.1415094435215,1,0.0960000082850456,"rect",0.5,8,256
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.25,8,256
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.5,8,256
"led-display",0.1415094435215,1,0.096000000834465,"rect",0.25,4,1024
"led-display",0.1415094435215,1,0.096000000834465,"rect",0.5,4,1024
"led-display",0.1415094435215,1,0.0960000082850456,"diavolo",0.25,4,1024
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.5,4,1024
"led-display",0.1415094435215,1,0.096000000834465,"rect",0.25,4,512
"led-display",0.1415094435215,1,0.096000000834465,"rect",0.5,4,512
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.25,4,512
"led-display",0.1415094435215,1,0.0960000082850456,"diavolo",0.5,4,512
"led-display",0.1415094435215,1,0.0960000082850456,"rect",0.25,4,256
"led-display",0.1415094435215,1,0.096000000834465,"rect",0.5,4,256
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.25,4,256
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.5,4,256
"led-display",0.1415094435215,1,0.096000000834465,"rect",0.5,3,1024
"led-display",0.1415094435215,1,0.0960000082850456,"diavolo",0.25,3,1024
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.5,3,1024
"led-display",0.1415094435215,1,0.096000000834465,"rect",0.25,3,512
"led-display",0.1415094435215,1,0.0960000082850456,"rect",0.5,3,512
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.25,3,512
"led-display",0.1415094435215,1,0.0960000082850456,"diavolo",0.5,3,512
"led-display",0.1415094435215,1,0.0960000082850456,"rect",0.5,3,256
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.25,3,256
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.5,3,256
"led-display",0.1415094435215,1,0.0960000082850456,"rect",0.25,2,1024
"led-display",0.1415094435215,1,0.0960000082850456,"rect",0.5,2,1024
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.25,2,1024
"led-display",0.1415094435215,1,0.0960000082850456,"diavolo",0.5,2,1024
"led-display",0.1415094435215,1,0.0960000082850456,"rect",0.25,2,512
"led-display",0.1415094435215,1,0.0960000082850456,"rect",0.5,2,512
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.25,2,512
"led-display",0.1415094435215,1,0.0960000082850456,"diavolo",0.5,2,512
"led-display",0.1415094435215,1,0.096000000834465,"rect",0.25,2,256
"led-display",0.1415094435215,1,0.096000000834465,"rect",0.5,2,256
"led-display",0.1415094435215,1,0.0960000082850456,"diavolo",0.25,2,256
"led-display",0.1415094435215,1,0.096000000834465,"diavolo",0.5,2,256
"led-display",0.141509435325861,0.1,0.100000008940697,"rect",0.25,8,512
"led-display",0.13962264508009,0.1,0.0999999940395355,"diavolo",0.5,8,512
"led-display",0.132075473666191,0.1,0.100000001490116,"diavolo",0.25,16,512
"led-display",0.0792452841997147,0.1,0.100000008940697,"diavolo",0.5,16,512
"led-display",0.0698113217949867,0.1,0.100000008940697,"rect",0.5,16,256
