"dataset","nblocks","bottleneck","nhidden","blockForm","learningrate","testAccuracy","valAccuracy"
"lenses",16,0.5,256,"rect",0.01,0.16666667163372,0.333333343267441
"lenses",16,0.5,256,"diavolo",0.01,0.16666667163372,0.333333343267441
"lenses",16,0.25,1024,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",16,0.25,1024,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",16,0.5,1024,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",16,0.25,512,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",16,0.25,512,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",16,0.5,512,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",16,0.5,512,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",16,0.25,256,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",16,0.25,256,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",16,0.5,256,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",16,0.5,256,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",16,0.25,1024,"rect",1,0.16666667163372,0.333333343267441
"lenses",16,0.25,1024,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",16,0.5,1024,"rect",1,0.16666667163372,0.333333343267441
"lenses",16,0.5,1024,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",16,0.25,512,"rect",1,0.16666667163372,0.333333343267441
"lenses",16,0.25,512,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",16,0.5,512,"rect",1,0.16666667163372,0.333333343267441
"lenses",16,0.5,512,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",16,0.25,256,"rect",1,0.16666667163372,0.333333343267441
"lenses",16,0.25,256,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",16,0.5,256,"rect",1,0.16666667163372,0.333333343267441
"lenses",16,0.5,256,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",8,0.25,1024,"diavolo",0.01,0.16666667163372,0.333333343267441
"lenses",8,0.5,1024,"diavolo",0.01,0.666666686534882,0.333333343267441
"lenses",8,0.25,512,"diavolo",0.01,0.666666686534882,0.333333343267441
"lenses",8,0.5,256,"diavolo",0.01,0.16666667163372,0.333333343267441
"lenses",8,0.25,1024,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",8,0.25,1024,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",8,0.5,1024,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",8,0.5,1024,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",8,0.25,512,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",8,0.25,512,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",8,0.5,512,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",8,0.25,256,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",8,0.5,256,"rect",0.1,0.666666686534882,0.333333343267441
"lenses",8,0.5,256,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",8,0.25,1024,"rect",1,0.16666667163372,0.333333343267441
"lenses",8,0.25,1024,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",8,0.5,1024,"rect",1,0.16666667163372,0.333333343267441
"lenses",8,0.5,1024,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",8,0.25,512,"rect",1,0.16666667163372,0.333333343267441
"lenses",8,0.25,512,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",8,0.5,512,"rect",1,0.16666667163372,0.333333343267441
"lenses",8,0.5,512,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",8,0.25,256,"rect",1,0.16666667163372,0.333333343267441
"lenses",8,0.25,256,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",8,0.5,256,"rect",1,0.16666667163372,0.333333343267441
"lenses",8,0.5,256,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",4,0.25,1024,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",4,0.5,1024,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",4,0.5,1024,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",4,0.25,512,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",4,0.25,512,"diavolo",0.1,0.666666686534882,0.333333343267441
"lenses",4,0.5,512,"rect",0.1,0.833333373069763,0.333333343267441
"lenses",4,0.5,512,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",4,0.25,256,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",4,0.5,256,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",4,0.5,256,"diavolo",0.1,0.666666686534882,0.333333343267441
"lenses",4,0.25,1024,"rect",1,0.16666667163372,0.333333343267441
"lenses",4,0.5,1024,"rect",1,0.16666667163372,0.333333343267441
"lenses",4,0.5,1024,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",4,0.25,512,"rect",1,0.16666667163372,0.333333343267441
"lenses",4,0.25,512,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",4,0.5,512,"rect",1,0.16666667163372,0.333333343267441
"lenses",4,0.5,512,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",4,0.25,256,"rect",1,0.16666667163372,0.333333343267441
"lenses",4,0.25,256,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",4,0.5,256,"rect",1,0.16666667163372,0.333333343267441
"lenses",4,0.5,256,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",3,0.25,1024,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",3,0.25,1024,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",3,0.5,1024,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",3,0.5,1024,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",3,0.5,512,"rect",0.1,0.666666686534882,0.333333343267441
"lenses",3,0.25,1024,"rect",1,0.16666667163372,0.333333343267441
"lenses",3,0.25,1024,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",3,0.5,1024,"rect",1,0.16666667163372,0.333333343267441
"lenses",3,0.5,1024,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",3,0.25,512,"rect",1,0.16666667163372,0.333333343267441
"lenses",3,0.25,512,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",3,0.5,512,"rect",1,0.16666667163372,0.333333343267441
"lenses",3,0.5,512,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",3,0.25,256,"rect",1,0.16666667163372,0.333333343267441
"lenses",3,0.25,256,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",3,0.5,256,"rect",1,0.16666667163372,0.333333343267441
"lenses",3,0.5,256,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",2,0.25,1024,"rect",0.1,0.666666686534882,0.333333343267441
"lenses",2,0.25,1024,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",2,0.5,1024,"rect",0.1,0.16666667163372,0.333333343267441
"lenses",2,0.5,1024,"diavolo",0.1,0.16666667163372,0.333333343267441
"lenses",2,0.25,1024,"rect",1,0.16666667163372,0.333333343267441
"lenses",2,0.25,1024,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",2,0.5,1024,"rect",1,0.16666667163372,0.333333343267441
"lenses",2,0.5,1024,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",2,0.25,512,"rect",1,0.16666667163372,0.333333343267441
"lenses",2,0.25,512,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",2,0.5,512,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",2,0.25,256,"rect",1,0.16666667163372,0.333333343267441
"lenses",2,0.25,256,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",2,0.5,256,"rect",1,0.16666667163372,0.333333343267441
"lenses",2,0.5,256,"diavolo",1,0.16666667163372,0.333333343267441
"lenses",3,0.25,512,"diavolo",0.1,0.666666686534882,0.300000008940697
