"dataset","nblocks","nhidden","blockForm","valAccuracy","learningrate","testAccuracy","bottleneck"
"image-segmentation",8,256,"rect",0.871999996900559,0.1,0.846666514873505,0.25
"image-segmentation",4,512,"rect",0.871999990940094,0.1,0.887142777442932,0.5
"image-segmentation",2,256,"diavolo",0.870000004768371,0.1,0.851428508758545,0.5
"image-segmentation",16,512,"rect",0.869999992847443,0.01,0.827618956565857,0.25
"image-segmentation",4,1024,"rect",0.867999994754791,0.01,0.794285595417023,0.25
"image-segmentation",3,1024,"diavolo",0.867999988794327,0.1,0.855237901210785,0.5
"image-segmentation",3,1024,"rect",0.867999988794327,0.01,0.836666643619537,0.5
"image-segmentation",3,1024,"rect",0.867999970912933,0.1,0.87238085269928,0.25
"image-segmentation",16,256,"rect",0.866000002622604,0.01,0.820476114749908,0.5
"image-segmentation",3,512,"rect",0.863999974727631,0.1,0.863333165645599,0.5
"image-segmentation",2,256,"rect",0.860000014305115,0.01,0.861904740333557,0.5
"image-segmentation",3,256,"rect",0.85999995470047,0.01,0.831428468227386,0.25
"image-segmentation",16,1024,"diavolo",0.854000020027161,0.01,0.852380812168121,0.5
"image-segmentation",16,256,"rect",0.849999994039535,0.01,0.854761779308319,0.25
"image-segmentation",4,256,"diavolo",0.847999966144562,0.1,0.823333203792572,0.25
"image-segmentation",4,1024,"rect",0.847999954223633,0.01,0.818571329116821,0.5
"image-segmentation",4,256,"rect",0.847999954223633,0.01,0.805714249610901,0.25
"image-segmentation",2,512,"rect",0.844000029563904,0.1,0.850476145744324,0.5
"image-segmentation",2,256,"rect",0.841999936103821,0.01,0.86857134103775,0.25
"image-segmentation",3,256,"diavolo",0.833999979496002,0.1,0.816666603088379,0.5
"image-segmentation",8,512,"diavolo",0.833999979496002,0.01,0.814285635948181,0.25
"image-segmentation",4,256,"rect",0.833999931812286,0.1,0.842857122421265,0.25
"image-segmentation",4,256,"diavolo",0.832000011205673,0.01,0.759523749351501,0.25
"image-segmentation",2,512,"diavolo",0.831999963521957,0.1,0.825714111328125,0.5
"image-segmentation",8,256,"rect",0.831999957561493,0.1,0.809999942779541,0.5
"image-segmentation",2,512,"rect",0.829999995231628,0.01,0.825237989425659,0.5
"image-segmentation",8,256,"rect",0.829999959468842,0.01,0.722857058048248,0.25
"image-segmentation",2,1024,"rect",0.829999953508377,0.01,0.855714201927185,0.5
"image-segmentation",8,256,"diavolo",0.823999977111816,0.1,0.835237979888916,0.5
"image-segmentation",2,256,"diavolo",0.821999955177307,0.1,0.81333327293396,0.25
"image-segmentation",4,512,"rect",0.821999931335449,0.01,0.793333292007446,0.5
"image-segmentation",3,512,"rect",0.817999988794327,0.01,0.848095118999481,0.25
"image-segmentation",4,1024,"diavolo",0.817999970912933,0.01,0.764761805534363,0.5
"image-segmentation",3,512,"rect",0.817999941110611,0.01,0.832380950450897,0.5
"image-segmentation",4,256,"diavolo",0.817999935150146,0.1,0.807618916034698,0.5
"image-segmentation",8,512,"rect",0.815999972820282,0.01,0.834761738777161,0.25
"image-segmentation",8,1024,"diavolo",0.815999954938889,0.01,0.853809475898743,0.25
"image-segmentation",2,512,"rect",0.813999980688095,0.01,0.854285657405853,0.25
"image-segmentation",8,256,"diavolo",0.813999950885773,0.1,0.854761838912964,0.25
"image-segmentation",8,256,"diavolo",0.811999982595444,0.01,0.819523692131042,0.25
"image-segmentation",8,1024,"rect",0.80599998831749,0.01,0.814761877059937,0.25
"image-segmentation",2,256,"rect",0.803999948501587,0.1,0.807142734527588,0.5
"image-segmentation",8,512,"rect",0.8019999563694,0.01,0.829523682594299,0.5
"image-segmentation",16,1024,"diavolo",0.799999964237213,0.01,0.808095157146454,0.25
"image-segmentation",3,256,"rect",0.795999956130981,0.01,0.78761887550354,0.5
"image-segmentation",2,512,"diavolo",0.793999963998795,0.01,0.832380890846252,0.5
"image-segmentation",2,1024,"rect",0.791999965906143,0.01,0.762857139110565,0.25
"image-segmentation",16,256,"diavolo",0.791999959945679,0.01,0.827142715454102,0.5
"image-segmentation",3,256,"diavolo",0.785999965667725,0.01,0.823809385299683,0.5
"image-segmentation",3,256,"diavolo",0.779999971389771,0.01,0.762380838394165,0.25
"image-segmentation",3,1024,"diavolo",0.777999973297119,0.01,0.728571355342865,0.5
"image-segmentation",8,512,"diavolo",0.775999975204468,0.01,0.802857100963593,0.5
"image-segmentation",3,512,"diavolo",0.771999979019165,0.01,0.745238065719604,0.5
"image-segmentation",2,1024,"diavolo",0.769999980926514,0.01,0.778095126152039,0.25
"image-segmentation",16,256,"diavolo",0.767999982833863,0.01,0.729047536849976,0.25
"image-segmentation",4,256,"rect",0.765999984741211,0.01,0.729047536849976,0.5
"image-segmentation",8,256,"diavolo",0.761999988555908,0.01,0.778095126152039,0.5
"image-segmentation",4,512,"rect",0.757999992370606,0.01,0.786666572093964,0.25
"image-segmentation",8,512,"diavolo",0.75399997830391,0.1,0.750476062297821,0.5
"image-segmentation",2,1024,"diavolo",0.745999991893768,0.01,0.727618992328644,0.5
"image-segmentation",4,1024,"diavolo",0.743999999761581,0.01,0.74142849445343,0.25
"image-segmentation",4,256,"diavolo",0.728000020980835,0.01,0.670952320098877,0.5
"image-segmentation",3,512,"diavolo",0.715999966859818,0.01,0.734285652637482,0.25
"image-segmentation",4,512,"diavolo",0.695999979972839,0.01,0.783333241939545,0.5
"image-segmentation",4,512,"diavolo",0.693999975919723,0.01,0.720476090908051,0.25
"image-segmentation",3,1024,"diavolo",0.691999953985214,0.01,0.658095180988312,0.25
"image-segmentation",2,256,"diavolo",0.655999970436096,0.01,0.667142748832703,0.25
"image-segmentation",2,512,"diavolo",0.599999988079071,0.01,0.611904740333557,0.25
"image-segmentation",8,1024,"diavolo",0.215999992191792,0.1,0.155238091945648,0.25
"image-segmentation",4,1024,"rect",0.211999997124076,0.1,0.142857149243355,0.25
"image-segmentation",16,512,"diavolo",0.179999992251396,0.1,0.142857134342194,0.5
"image-segmentation",16,512,"diavolo",0.169999995827675,0.1,0.142857149243355,0.25
"image-segmentation",16,256,"diavolo",0.16599999666214,0.1,0.151428565382957,0.25
"image-segmentation",8,512,"rect",0.163999995589256,0.1,0.142857134342194,0.5
"image-segmentation",8,512,"rect",0.161999996006489,0.1,0.144285708665848,0.25
"image-segmentation",3,256,"diavolo",0.155999998748302,1,0.142857134342194,0.5
"image-segmentation",4,1024,"rect",0.155999996513128,0.1,0.142857134342194,0.5
"image-segmentation",3,1024,"diavolo",0.153999999165535,1,0.142857134342194,0.25
"image-segmentation",16,256,"rect",0.153999995812774,0.1,0.142857134342194,0.5
"image-segmentation",16,1024,"diavolo",0.151999998092651,0.1,0.142857149243355,0.25
"image-segmentation",16,1024,"diavolo",0.15,1,0.142857134342194,0.25
"image-segmentation",2,512,"rect",0.149999998509884,1,0.142857134342194,0.5
"image-segmentation",3,256,"diavolo",0.147999998927116,1,0.142857134342194,0.25
"image-segmentation",2,512,"diavolo",0.147999998927116,1,0.142857134342194,0.5
"image-segmentation",8,1024,"diavolo",0.145999999344349,1,0.142857134342194,0.5
"image-segmentation",2,1024,"diavolo",0.145999999344349,1,0.142857134342194,0.5
"image-segmentation",2,512,"rect",0.145999999344349,1,0.142857134342194,0.25
"image-segmentation",2,512,"diavolo",0.145999999344349,1,0.142857134342194,0.25
"image-segmentation",4,512,"rect",0.145999999344349,1,0.142857134342194,0.5
"image-segmentation",3,1024,"rect",0.145999999344349,1,0.142857134342194,0.25
"image-segmentation",3,1024,"rect",0.145999999344349,1,0.142857134342194,0.5
"image-segmentation",16,1024,"rect",0.143999999761581,0.1,0.142857134342194,0.5
"image-segmentation",8,1024,"rect",0.143999999761581,0.1,0.125714287161827,0.5
"image-segmentation",4,1024,"diavolo",0.143999999761581,1,0.142857134342194,0.5
"image-segmentation",4,256,"rect",0.143999999761581,1,0.142857134342194,0.5
"image-segmentation",4,256,"diavolo",0.143999999761581,1,0.142857134342194,0.25
"image-segmentation",3,512,"rect",0.143999999761581,1,0.142857134342194,0.5
"image-segmentation",3,512,"diavolo",0.143999999761581,1,0.142857134342194,0.5
"image-segmentation",2,1024,"rect",0.143999999761581,1,0.142857134342194,0.25
"image-segmentation",2,256,"diavolo",0.143999999761581,1,0.142857134342194,0.25
"image-segmentation",16,512,"rect",0.142000000178814,0.1,0.143809527158737,0.25
"image-segmentation",8,1024,"rect",0.142000000178814,0.1,0.142857134342194,0.25
"image-segmentation",8,256,"diavolo",0.142000000178814,1,0.142857134342194,0.5
"image-segmentation",4,1024,"rect",0.142000000178814,1,0.142857134342194,0.25
"image-segmentation",4,256,"diavolo",0.142000000178814,1,0.142857134342194,0.5
"image-segmentation",3,1024,"diavolo",0.142000000178814,1,0.142857134342194,0.5
"image-segmentation",3,512,"diavolo",0.142000000178814,1,0.142857134342194,0.25
"image-segmentation",2,1024,"rect",0.142000000178814,1,0.142857134342194,0.5
"image-segmentation",16,1024,"rect",0.140000000596046,0.1,0.142857134342194,0.25
"image-segmentation",16,1024,"diavolo",0.140000000596046,0.1,0.161904752254486,0.5
"image-segmentation",16,512,"rect",0.140000000596046,0.1,0.142857134342194,0.5
"image-segmentation",16,1024,"rect",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",16,1024,"rect",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",16,1024,"diavolo",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",16,512,"rect",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",16,512,"rect",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",16,512,"diavolo",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",16,512,"diavolo",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",16,256,"rect",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",16,256,"rect",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",16,256,"diavolo",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",16,256,"diavolo",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",8,1024,"rect",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",8,1024,"rect",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",8,1024,"diavolo",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",8,512,"rect",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",8,512,"rect",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",8,512,"diavolo",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",8,512,"diavolo",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",8,256,"rect",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",8,256,"rect",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",8,256,"diavolo",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",4,1024,"rect",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",4,1024,"diavolo",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",4,512,"rect",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",4,512,"diavolo",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",4,512,"diavolo",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",4,256,"rect",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",3,512,"rect",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",3,256,"rect",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",3,256,"rect",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",2,1024,"diavolo",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",2,256,"rect",0.140000000596046,1,0.142857134342194,0.25
"image-segmentation",2,256,"rect",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",2,256,"diavolo",0.140000000596046,1,0.142857134342194,0.5
"image-segmentation",16,256,"rect",0.123999999091029,0.1,0.142857134342194,0.25
"image-segmentation",8,1024,"diavolo",0.117999997735023,0.1,0.142857134342194,0.5
"image-segmentation",16,256,"diavolo",0.0739999979734421,0.1,0.161904752254486,0.5
