"dataset","testAccuracy","nhidden","bottleneck","nblocks","blockForm","valAccuracy","learningrate"
"molec-biol-splice",0.780426621437073,256,0.5,2,"diavolo",0.801621639728546,0.01
"molec-biol-splice",0.771643698215485,256,0.25,3,"rect",0.800270313024521,0.01
"molec-biol-splice",0.789209604263306,1024,0.25,2,"rect",0.79972979426384,0.01
"molec-biol-splice",0.80552065372467,256,0.5,3,"rect",0.79972974061966,0.01
"molec-biol-splice",0.820577144622803,256,0.5,4,"diavolo",0.797027063369751,0.1
"molec-biol-splice",0.780426561832428,512,0.25,8,"rect",0.795945978164673,0.1
"molec-biol-splice",0.787954866886139,256,0.25,4,"diavolo",0.795405429601669,0.01
"molec-biol-splice",0.819322466850281,1024,0.5,2,"rect",0.794864916801453,0.01
"molec-biol-splice",0.815558314323425,256,0.5,3,"rect",0.794594645500183,0.1
"molec-biol-splice",0.808030128479004,256,0.5,8,"diavolo",0.792973023653031,0.1
"molec-biol-splice",0.810539484024048,512,0.5,8,"rect",0.791891920566559,0.1
"molec-biol-splice",0.830614805221558,512,0.25,3,"diavolo",0.791621661186218,0.1
"molec-biol-splice",0.775407731533051,512,0.5,3,"diavolo",0.791351389884949,0.01
"molec-biol-splice",0.800501883029938,256,0.5,3,"diavolo",0.791081118583679,0.1
"molec-biol-splice",0.819322407245636,256,0.25,8,"rect",0.789729750156403,0.1
"molec-biol-splice",0.80552065372467,256,0.5,16,"diavolo",0.789459478855133,0.1
"molec-biol-splice",0.782935917377472,1024,0.5,2,"diavolo",0.789189207553864,0.01
"molec-biol-splice",0.792973637580872,256,0.25,3,"diavolo",0.784324377775192,0.1
"molec-biol-splice",0.821831881999969,512,0.5,2,"rect",0.784054100513458,0.01
"molec-biol-splice",0.77540785074234,1024,0.5,4,"rect",0.781891936063767,0.01
"molec-biol-splice",0.76537013053894,256,0.5,3,"diavolo",0.781621646881104,0.01
"molec-biol-splice",0.769134283065796,256,0.25,3,"diavolo",0.780540603399277,0.01
"molec-biol-splice",0.804266035556793,256,0.25,2,"diavolo",0.778378385305405,0.1
"molec-biol-splice",0.782935976982117,1024,0.25,4,"rect",0.777567583322525,0.01
"molec-biol-splice",0.786700129508972,256,0.25,2,"diavolo",0.777297306060791,0.01
"molec-biol-splice",0.824341297149658,256,0.5,2,"rect",0.7762162566185,0.01
"molec-biol-splice",0.797992467880249,256,0.25,4,"rect",0.775405484437943,0.01
"molec-biol-splice",0.745294809341431,256,0.25,16,"rect",0.77216220498085,0.01
"molec-biol-splice",0.782935976982117,1024,0.5,16,"rect",0.77081081867218,0.01
"molec-biol-splice",0.80552065372467,512,0.25,3,"rect",0.770000064373016,0.01
"molec-biol-splice",0.794228374958038,256,0.5,4,"rect",0.769729804992676,0.01
"molec-biol-splice",0.744040131568909,512,0.25,4,"diavolo",0.768648719787598,0.01
"molec-biol-splice",0.779171824455261,256,0.25,4,"diavolo",0.766486531496048,0.1
"molec-biol-splice",0.808030009269714,512,0.5,4,"rect",0.766216266155243,0.01
"molec-biol-splice",0.789209544658661,1024,0.25,3,"rect",0.76432438492775,0.1
"molec-biol-splice",0.77164363861084,256,0.5,4,"diavolo",0.763243293762207,0.01
"molec-biol-splice",0.785445392131805,1024,0.5,3,"rect",0.762162208557129,0.01
"molec-biol-splice",0.76537013053894,1024,0.25,3,"diavolo",0.762162178754807,0.01
"molec-biol-splice",0.766624808311462,512,0.25,16,"diavolo",0.76135139465332,0.01
"molec-biol-splice",0.794228315353394,512,0.25,2,"diavolo",0.761081123352051,0.01
"molec-biol-splice",0.794228315353394,512,0.5,2,"diavolo",0.758378398418426,0.01
"molec-biol-splice",0.780426502227783,1024,0.25,3,"rect",0.757567608356476,0.01
"molec-biol-splice",0.799247145652771,1024,0.25,2,"diavolo",0.756486529111862,0.01
"molec-biol-splice",0.79171895980835,512,0.25,2,"diavolo",0.754324352741242,0.1
"molec-biol-splice",0.780426561832428,512,0.5,3,"rect",0.751621633768082,0.01
"molec-biol-splice",0.787954866886139,512,0.25,4,"rect",0.749459463357925,0.01
"molec-biol-splice",0.77164363861084,1024,0.5,8,"rect",0.746486514806748,0.01
"molec-biol-splice",0.760351359844208,512,0.25,16,"rect",0.745135164260864,0.01
"molec-biol-splice",0.777917146682739,256,0.5,8,"rect",0.743783789873123,0.01
"molec-biol-splice",0.720200777053833,512,0.25,8,"rect",0.742702740430832,0.01
"molec-biol-splice",0.786700129508972,512,0.25,3,"diavolo",0.742162215709686,0.01
"molec-biol-splice",0.775407731533051,1024,0.25,8,"rect",0.741351389884949,0.01
"molec-biol-splice",0.787954807281494,256,0.25,8,"diavolo",0.741351342201233,0.01
"molec-biol-splice",0.747804224491119,512,0.5,8,"rect",0.736486494541168,0.01
"molec-biol-splice",0.745294868946075,512,0.25,8,"diavolo",0.735675716400147,0.01
"molec-biol-splice",0.79548305273056,1024,0.25,16,"rect",0.735135167837143,0.01
"molec-biol-splice",0.728983700275421,256,0.5,16,"rect",0.734864902496338,0.01
"molec-biol-splice",0.760351300239563,512,0.5,16,"rect",0.73324328660965,0.01
"molec-biol-splice",0.767879486083984,1024,0.25,16,"diavolo",0.725135153532028,0.01
"molec-biol-splice",0.726474285125732,1024,0.25,4,"diavolo",0.725135153532028,0.01
"molec-biol-splice",0.750313639640808,256,0.25,8,"rect",0.722162228822708,0.01
"molec-biol-splice",0.76537013053894,1024,0.5,16,"diavolo",0.718108135461807,0.01
"molec-biol-splice",0.757841944694519,1024,0.25,4,"rect",0.717837864160538,0.1
"molec-biol-splice",0.723964869976044,1024,0.5,4,"diavolo",0.716486489772797,0.01
"molec-biol-splice",0.707653760910034,256,0.5,16,"diavolo",0.71000000834465,0.01
"molec-biol-splice",0.720200777053833,512,0.5,16,"diavolo",0.70891894698143,0.01
"molec-biol-splice",0.752823054790497,512,0.5,4,"diavolo",0.707567584514618,0.01
"molec-biol-splice",0.707653641700745,1024,0.5,3,"diavolo",0.706756782531738,0.01
"molec-biol-splice",0.742785453796387,256,0.5,8,"diavolo",0.704054081439972,0.01
"molec-biol-splice",0.695106625556946,512,0.5,8,"diavolo",0.702973008155823,0.01
"molec-biol-splice",0.722710251808167,1024,0.25,8,"diavolo",0.700810843706131,0.01
"molec-biol-splice",0.698870837688446,1024,0.5,8,"diavolo",0.697837871313095,0.01
"molec-biol-splice",0.70138019323349,256,0.25,16,"diavolo",0.663243269920349,0.01
"molec-biol-splice",0.519447922706604,1024,0.5,8,"diavolo",0.47729731798172,0.1
"molec-biol-splice",0.520702600479126,256,0.5,16,"rect",0.447567586600781,0.1
"molec-biol-splice",0.519447922706604,512,0.5,16,"diavolo",0.35621622800827,0.1
"molec-biol-splice",0.24090339243412,256,0.25,16,"rect",0.265405410528183,0.1
"molec-biol-splice",0.239648699760437,512,0.5,16,"rect",0.258108112215996,0.1
"molec-biol-splice",0.239648699760437,256,0.5,4,"rect",0.258108112215996,1
"molec-biol-splice",0.239648699760437,256,0.25,3,"diavolo",0.258108112215996,1
"molec-biol-splice",0.239648699760437,512,0.5,2,"rect",0.258108112215996,1
"molec-biol-splice",0.239648699760437,256,0.5,2,"rect",0.258108112215996,1
"molec-biol-splice",0.239648699760437,1024,0.5,16,"diavolo",0.232432436943054,0.1
"molec-biol-splice",0.239648699760437,256,0.5,3,"rect",0.231621623039246,1
"molec-biol-splice",0.239648684859276,512,0.5,4,"rect",0.230000004172325,1
"molec-biol-splice",0.239648699760437,256,0.25,2,"diavolo",0.22864865064621,1
"molec-biol-splice",0.239648699760437,512,0.5,3,"rect",0.228108111023903,1
"molec-biol-splice",0.239648684859276,1024,0.25,8,"rect",0.227837839722633,0.1
"molec-biol-splice",0.239648684859276,1024,0.5,8,"rect",0.227837839722633,0.1
"molec-biol-splice",0.239648699760437,1024,0.25,3,"diavolo",0.227837839722633,1
"molec-biol-splice",0.239648699760437,512,0.25,2,"rect",0.227837839722633,1
"molec-biol-splice",0.239648699760437,512,0.25,2,"diavolo",0.227837839722633,1
"molec-biol-splice",0.239648699760437,256,0.25,2,"rect",0.227837839722633,1
"molec-biol-splice",0.239648699760437,256,0.5,4,"diavolo",0.22756756991148,1
"molec-biol-splice",0.239648699760437,1024,0.25,16,"rect",0.227027028799057,0.1
"molec-biol-splice",0.239648699760437,1024,0.5,16,"rect",0.227027028799057,0.1
"molec-biol-splice",0.239648699760437,512,0.25,16,"rect",0.227027028799057,0.1
"molec-biol-splice",0.239648699760437,1024,0.25,16,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.25,16,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.5,16,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.5,16,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,512,0.25,16,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,512,0.25,16,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648684859276,512,0.5,16,"rect",0.227027028799057,1
"molec-biol-splice",0.239648684859276,512,0.5,16,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,256,0.25,16,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,256,0.25,16,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,256,0.5,16,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,256,0.5,16,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.25,8,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.25,8,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.5,8,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.5,8,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,512,0.25,8,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,512,0.25,8,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,512,0.5,8,"rect",0.227027028799057,1
"molec-biol-splice",0.239648684859276,512,0.5,8,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,256,0.25,8,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,256,0.25,8,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,256,0.5,8,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,256,0.5,8,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.25,4,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.25,4,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.5,4,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.5,4,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,512,0.25,4,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,512,0.25,4,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,512,0.5,4,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,256,0.25,4,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,256,0.25,4,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.25,3,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.5,3,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.5,3,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,512,0.25,3,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,512,0.25,3,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,512,0.5,3,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,256,0.25,3,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,256,0.5,3,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.25,2,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.25,2,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.5,2,"rect",0.227027028799057,1
"molec-biol-splice",0.239648699760437,1024,0.5,2,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,512,0.5,2,"diavolo",0.227027028799057,1
"molec-biol-splice",0.239648699760437,256,0.5,2,"diavolo",0.227027028799057,1
