"dataset","valAccuracy","nhidden","blockForm","testAccuracy","nblocks","bottleneck","learningrate"
"energy-y2",0.414634168148041,1024,"diavolo",0.5,8,0.25,1
"energy-y2",0.414634168148041,512,"rect",0.5,8,0.25,1
"energy-y2",0.414634168148041,512,"rect",0.5,8,0.5,1
"energy-y2",0.414634168148041,512,"diavolo",0.5,8,0.25,1
"energy-y2",0.414634168148041,512,"diavolo",0.5,8,0.5,1
"energy-y2",0.414634168148041,256,"rect",0.5,8,0.25,1
"energy-y2",0.414634168148041,256,"rect",0.5,8,0.5,1
"energy-y2",0.414634168148041,256,"diavolo",0.5,8,0.25,1
"energy-y2",0.414634168148041,256,"diavolo",0.5,8,0.5,1
"energy-y2",0.414634168148041,1024,"rect",0.5,4,0.25,1
"energy-y2",0.414634168148041,1024,"rect",0.5,4,0.5,1
"energy-y2",0.414634168148041,1024,"diavolo",0.5,4,0.25,1
"energy-y2",0.414634168148041,512,"rect",0.5,4,0.25,1
"energy-y2",0.414634168148041,512,"rect",0.5,4,0.5,1
"energy-y2",0.414634168148041,512,"diavolo",0.5,4,0.25,1
"energy-y2",0.414634168148041,512,"diavolo",0.5,4,0.5,1
"energy-y2",0.414634168148041,256,"rect",0.5,4,0.25,1
"energy-y2",0.414634168148041,256,"rect",0.5,4,0.5,1
"energy-y2",0.414634168148041,256,"diavolo",0.5,4,0.25,1
"energy-y2",0.414634168148041,256,"diavolo",0.5,4,0.5,1
"energy-y2",0.414634168148041,1024,"rect",0.5,3,0.25,1
"energy-y2",0.414634168148041,1024,"rect",0.5,3,0.5,1
"energy-y2",0.414634168148041,1024,"diavolo",0.5,3,0.25,1
"energy-y2",0.414634168148041,1024,"diavolo",0.5,3,0.5,1
"energy-y2",0.414634168148041,512,"rect",0.5,3,0.25,1
"energy-y2",0.414634168148041,512,"rect",0.5,3,0.5,1
"energy-y2",0.414634168148041,512,"diavolo",0.5,3,0.25,1
"energy-y2",0.414634168148041,512,"diavolo",0.5,3,0.5,1
"energy-y2",0.414634168148041,256,"rect",0.5,3,0.5,1
"energy-y2",0.414634168148041,256,"diavolo",0.5,3,0.5,1
"energy-y2",0.414634168148041,1024,"rect",0.5,2,0.25,1
"energy-y2",0.414634168148041,1024,"rect",0.5,2,0.5,1
"energy-y2",0.414634168148041,1024,"diavolo",0.5,2,0.25,1
"energy-y2",0.414634168148041,1024,"diavolo",0.5,2,0.5,1
"energy-y2",0.414634168148041,512,"rect",0.5,2,0.25,1
"energy-y2",0.414634168148041,512,"rect",0.5,2,0.5,1
"energy-y2",0.414634168148041,512,"diavolo",0.5,2,0.25,1
"energy-y2",0.414634168148041,512,"diavolo",0.5,2,0.5,1
"energy-y2",0.414634168148041,256,"rect",0.5,2,0.25,1
"energy-y2",0.414634168148041,256,"rect",0.5,2,0.5,1
"energy-y2",0.414634168148041,256,"diavolo",0.5,2,0.25,1
"energy-y2",0.414634168148041,256,"diavolo",0.5,2,0.5,1
"energy-y2",0.402439039945602,1024,"rect",0.5,4,0.5,0.1
"energy-y2",0.34146341085434,512,"rect",0.255208343267441,8,0.5,0.1
