"dataset","nblocks","blockForm","bottleneck","valAccuracy","learningrate","nhidden","testAccuracy"
"monks-2",2,"diavolo",0.25,0.646666729450226,0.01,1024,0.599537074565887
"monks-2",16,"rect",0.25,0.646666723489761,0.01,512,0.631944417953491
"monks-2",4,"diavolo",0.5,0.643333393335342,0.1,256,0.629629611968994
"monks-2",2,"rect",0.5,0.643333393335342,0.01,1024,0.63657408952713
"monks-2",3,"rect",0.25,0.640000057220459,0.1,256,0.685185194015503
"monks-2",2,"diavolo",0.5,0.636666738986969,0.1,512,0.622685253620148
"monks-2",3,"diavolo",0.5,0.636666721105576,0.01,512,0.569444477558136
"monks-2",4,"diavolo",0.5,0.633333405852318,0.1,512,0.643518567085266
"monks-2",3,"diavolo",0.5,0.633333390951157,0.1,256,0.631944417953491
"monks-2",4,"rect",0.25,0.633333390951157,0.01,512,0.643518507480621
"monks-2",2,"diavolo",0.25,0.630000054836273,0.1,512,0.657407402992249
"monks-2",3,"rect",0.5,0.630000048875809,0.01,512,0.657407402992249
"monks-2",16,"diavolo",0.25,0.626666736602783,0.1,1024,0.671296358108521
"monks-2",16,"rect",0.25,0.623333394527435,0.01,256,0.631944417953491
"monks-2",3,"rect",0.25,0.620000052452087,0.01,512,0.641203701496124
"monks-2",2,"diavolo",0.5,0.620000046491623,0.01,256,0.58564817905426
"monks-2",3,"diavolo",0.25,0.620000040531158,0.01,512,0.543981492519379
"monks-2",3,"diavolo",0.5,0.620000040531158,0.01,256,0.625
"monks-2",16,"rect",0.5,0.61666673719883,0.1,256,0.671296358108521
"monks-2",8,"rect",0.5,0.616666731238365,0.01,256,0.655092597007751
"monks-2",8,"diavolo",0.25,0.603333401679993,0.01,1024,0.668981552124023
"monks-2",8,"diavolo",0.5,0.603333374857903,0.01,512,0.620370328426361
"monks-2",16,"rect",0.25,0.600000065565109,0.1,256,0.671296358108521
"monks-2",8,"rect",0.25,0.596666732430458,0.01,1024,0.66435182094574
"monks-2",16,"diavolo",0.25,0.596666720509529,0.01,512,0.476851850748062
"monks-2",2,"diavolo",0.25,0.590000033378601,0.01,256,0.583333313465118
"monks-2",2,"rect",0.5,0.570000046491623,0.1,256,0.548611164093018
"monks-2",3,"rect",0.5,0.566666725277901,0.1,1024,0.671296358108521
"monks-2",3,"rect",0.25,0.550000035762787,0.01,256,0.638888895511627
"monks-2",3,"rect",0.25,0.540000051259995,0.1,1024,0.645833313465118
"monks-2",8,"rect",0.25,0.533333384990692,0.1,512,0.671296358108521
"monks-2",2,"rect",0.5,0.516666686534882,0.01,256,0.599537014961243
"monks-2",8,"rect",0.5,0.500000044703484,0.1,512,0.671296358108521
"monks-2",4,"diavolo",0.5,0.496666702628136,0.01,512,0.590277791023254
"monks-2",4,"diavolo",0.25,0.480000042915344,0.01,512,0.618055582046509
"monks-2",4,"diavolo",0.5,0.433333361148834,0.01,256,0.571759223937988
"monks-2",8,"diavolo",0.5,0.360000017285347,0.01,256,0.537037014961243
