"dataset","blockForm","nhidden","valAccuracy","bottleneck","nblocks","learningrate","testAccuracy"
"plant-margin","rect",512,0.574117690324783,0.5,3,0.01,0.649999976158142
"plant-margin","rect",256,0.569411790370941,0.25,16,0.1,0.65749990940094
"plant-margin","rect",256,0.567647087574005,0.25,3,0.01,0.669999897480011
"plant-margin","rect",512,0.563529455661774,0.5,16,0.1,0.599999964237213
"plant-margin","diavolo",256,0.555882376432419,0.25,3,0.01,0.60999995470047
"plant-margin","diavolo",512,0.5547059237957,0.25,2,0.01,0.649999976158142
"plant-margin","diavolo",512,0.546470636129379,0.5,2,0.01,0.642499983310699
"plant-margin","rect",256,0.544705909490585,0.25,4,0.01,0.604999959468842
"plant-margin","rect",512,0.542941182851791,0.5,4,0.01,0.594999969005585
"plant-margin","diavolo",256,0.5347059071064,0.25,2,0.01,0.627499997615814
"plant-margin","diavolo",256,0.531176501512527,0.5,2,0.01,0.615000009536743
"plant-margin","diavolo",1024,0.52588238120079,0.25,2,0.01,0.550000011920929
"plant-margin","diavolo",1024,0.525882369279861,0.5,2,0.01,0.492500007152557
"plant-margin","diavolo",512,0.525294148921967,0.5,16,0.1,0.637499988079071
"plant-margin","rect",256,0.520588254928589,0.5,4,0.01,0.664999961853027
"plant-margin","diavolo",256,0.504705902934074,0.5,16,0.1,0.5625
"plant-margin","rect",512,0.502352970838547,0.25,8,0.01,0.519999980926514
"plant-margin","diavolo",256,0.500588274002075,0.25,4,0.01,0.617499947547913
"plant-margin","diavolo",512,0.500000023841858,0.25,4,0.01,0.532499969005585
"plant-margin","rect",256,0.496470606327057,0.5,8,0.01,0.564999997615814
"plant-margin","diavolo",512,0.484705901145935,0.25,3,0.01,0.577499985694885
"plant-margin","diavolo",256,0.482941189408302,0.25,16,0.01,0.542500019073486
"plant-margin","diavolo",1024,0.481764715909958,0.25,3,0.01,0.512499988079071
"plant-margin","diavolo",256,0.479411792755127,0.5,3,0.01,0.589999973773956
"plant-margin","rect",256,0.477058845758438,0.25,8,0.01,0.569999992847443
"plant-margin","rect",1024,0.474117675423622,0.5,3,0.01,0.544999957084656
"plant-margin","rect",1024,0.470588263869286,0.25,4,0.01,0.517499983310699
"plant-margin","rect",1024,0.461176499724388,0.25,3,0.01,0.547500014305115
"plant-margin","diavolo",256,0.460000020265579,0.5,8,0.01,0.489999949932098
"plant-margin","rect",1024,0.457058849930763,0.5,4,0.01,0.492500007152557
"plant-margin","diavolo",512,0.441176491975784,0.25,8,0.01,0.467499971389771
"plant-margin","diavolo",256,0.439411798119545,0.25,8,0.01,0.47749999165535
"plant-margin","rect",512,0.428823545575142,0.5,16,0.01,0.452499985694885
"plant-margin","diavolo",512,0.424705892801285,0.5,3,0.01,0.492500007152557
"plant-margin","diavolo",1024,0.423529422283173,0.5,3,0.01,0.439999997615814
"plant-margin","rect",512,0.421176490187645,0.25,16,0.01,0.490000009536743
"plant-margin","diavolo",256,0.420588263869286,0.5,16,0.01,0.41499999165535
"plant-margin","diavolo",256,0.420588240027428,0.5,4,0.01,0.522499978542328
"plant-margin","rect",512,0.414117655158043,0.5,8,0.01,0.487499952316284
"plant-margin","rect",256,0.406470614671707,0.5,16,0.01,0.477499961853027
"plant-margin","diavolo",512,0.406470599770546,0.5,4,0.01,0.479999959468842
"plant-margin","diavolo",512,0.398823541402817,0.5,16,0.01,0.457499980926514
"plant-margin","diavolo",512,0.387647065520287,0.25,16,0.01,0.494999945163727
"plant-margin","diavolo",1024,0.370000022649765,0.25,16,0.01,0.367499977350235
"plant-margin","rect",1024,0.369411790370941,0.25,8,0.01,0.402500033378601
"plant-margin","diavolo",1024,0.368823540210724,0.5,16,0.01,0.347499996423721
"plant-margin","diavolo",512,0.368823537230492,0.5,8,0.01,0.412499994039536
"plant-margin","rect",256,0.367058831453323,0.25,16,0.01,0.494999974966049
"plant-margin","rect",1024,0.365294137597084,0.25,16,0.01,0.365000009536743
"plant-margin","rect",1024,0.362352952361107,0.5,16,0.01,0.402499973773956
"plant-margin","diavolo",1024,0.351764717698097,0.25,8,0.01,0.367499977350235
"plant-margin","rect",1024,0.347058832645416,0.5,8,0.01,0.362500011920929
"plant-margin","diavolo",1024,0.303529426455498,0.25,4,0.01,0.419999986886978
"plant-margin","diavolo",1024,0.245882366597652,0.5,8,0.01,0.252499997615814
"plant-margin","diavolo",1024,0.237647072970867,0.5,4,0.01,0.307500004768372
"plant-margin","diavolo",1024,0.0100000003352761,0.5,16,0.1,0.00999999977648258
"plant-margin","diavolo",512,0.00764705897308886,0.25,4,1,0.00999999977648258
"plant-margin","diavolo",1024,0.00705882371403277,0.25,8,1,0.00999999977648258
"plant-margin","diavolo",256,0.00705882366746664,0.25,4,1,0.00999999977648258
"plant-margin","rect",1024,0.00647058836184442,0.25,4,1,0.00999999977648258
"plant-margin","rect",1024,0.00647058836184442,0.5,4,1,0.00999999977648258
"plant-margin","rect",512,0.00647058836184442,0.5,4,1,0.00999999977648258
"plant-margin","rect",256,0.00647058836184442,0.5,4,1,0.00999999977648258
"plant-margin","rect",512,0.00647058836184442,0.5,3,1,0.00999999977648258
"plant-margin","rect",256,0.00647058836184442,0.25,3,1,0.00999999977648258
"plant-margin","rect",256,0.00647058836184442,0.5,3,1,0.00999999977648258
"plant-margin","diavolo",256,0.00647058836184442,0.5,3,1,0.00999999977648258
"plant-margin","rect",1024,0.00647058836184442,0.25,2,1,0.00999999977648258
"plant-margin","diavolo",1024,0.00647058836184442,0.5,2,1,0.00999999977648258
"plant-margin","rect",512,0.00647058836184442,0.5,2,1,0.00999999977648258
"plant-margin","rect",1024,0.0058823530562222,0.25,16,0.1,0.00999999977648258
"plant-margin","rect",1024,0.0058823530562222,0.5,16,0.1,0.00999999977648258
"plant-margin","rect",1024,0.0058823530562222,0.25,16,1,0.00999999977648258
"plant-margin","rect",1024,0.0058823530562222,0.5,16,1,0.00999999977648258
"plant-margin","diavolo",1024,0.0058823530562222,0.25,16,1,0.00999999977648258
"plant-margin","diavolo",1024,0.0058823530562222,0.5,16,1,0.00999999977648258
"plant-margin","rect",512,0.0058823530562222,0.25,16,1,0.00999999977648258
"plant-margin","rect",512,0.0058823530562222,0.5,16,1,0.00999999977648258
"plant-margin","diavolo",512,0.0058823530562222,0.25,16,1,0.00999999977648258
"plant-margin","diavolo",512,0.0058823530562222,0.5,16,1,0.00999999977648258
"plant-margin","rect",256,0.0058823530562222,0.25,16,1,0.00999999977648258
"plant-margin","rect",256,0.0058823530562222,0.5,16,1,0.00999999977648258
"plant-margin","diavolo",256,0.0058823530562222,0.25,16,1,0.00999999977648258
"plant-margin","diavolo",256,0.0058823530562222,0.5,16,1,0.00999999977648258
"plant-margin","rect",1024,0.0058823530562222,0.25,8,1,0.00999999977648258
"plant-margin","rect",1024,0.0058823530562222,0.5,8,1,0.00999999977648258
"plant-margin","diavolo",1024,0.0058823530562222,0.5,8,1,0.00999999977648258
"plant-margin","rect",512,0.0058823530562222,0.25,8,1,0.00999999977648258
"plant-margin","rect",512,0.0058823530562222,0.5,8,1,0.00999999977648258
"plant-margin","diavolo",512,0.0058823530562222,0.25,8,1,0.00999999977648258
"plant-margin","diavolo",512,0.0058823530562222,0.5,8,1,0.00999999977648258
"plant-margin","rect",256,0.0058823530562222,0.25,8,1,0.00999999977648258
"plant-margin","rect",256,0.0058823530562222,0.5,8,1,0.00999999977648258
"plant-margin","diavolo",256,0.0058823530562222,0.25,8,1,0.00999999977648258
"plant-margin","diavolo",256,0.0058823530562222,0.5,8,1,0.00999999977648258
"plant-margin","diavolo",1024,0.0058823530562222,0.25,4,1,0.00999999977648258
"plant-margin","diavolo",1024,0.0058823530562222,0.5,4,1,0.00999999977648258
"plant-margin","rect",512,0.0058823530562222,0.25,4,1,0.00999999977648258
"plant-margin","diavolo",512,0.0058823530562222,0.5,4,1,0.00999999977648258
"plant-margin","rect",256,0.0058823530562222,0.25,4,1,0.00999999977648258
"plant-margin","diavolo",256,0.0058823530562222,0.5,4,1,0.00999999977648258
"plant-margin","rect",1024,0.0058823530562222,0.25,3,1,0.00999999977648258
"plant-margin","rect",1024,0.0058823530562222,0.5,3,1,0.00999999977648258
"plant-margin","diavolo",1024,0.0058823530562222,0.25,3,1,0.00999999977648258
"plant-margin","diavolo",1024,0.0058823530562222,0.5,3,1,0.00999999977648258
"plant-margin","rect",512,0.0058823530562222,0.25,3,1,0.00999999977648258
"plant-margin","diavolo",512,0.0058823530562222,0.25,3,1,0.00999999977648258
"plant-margin","diavolo",512,0.0058823530562222,0.5,3,1,0.00999999977648258
"plant-margin","diavolo",256,0.0058823530562222,0.25,3,1,0.00999999977648258
"plant-margin","rect",1024,0.0058823530562222,0.5,2,1,0.00999999977648258
"plant-margin","diavolo",1024,0.0058823530562222,0.25,2,1,0.00999999977648258
"plant-margin","rect",512,0.0058823530562222,0.25,2,1,0.00999999977648258
"plant-margin","diavolo",512,0.0058823530562222,0.25,2,1,0.00999999977648258
"plant-margin","diavolo",512,0.0058823530562222,0.5,2,1,0.00999999977648258
"plant-margin","rect",256,0.0058823530562222,0.25,2,1,0.00999999977648258
"plant-margin","rect",256,0.0058823530562222,0.5,2,1,0.00999999977648258
"plant-margin","diavolo",256,0.0058823530562222,0.5,2,1,0.00999999977648258
