"dataset","testAccuracy","blockForm","bottleneck","valAccuracy","learningrate","nhidden","nblocks"
"hayes-roth",0.821428596973419,"rect",0.25,0.832352954149246,0.01,1024,3
"hayes-roth",0.821428537368774,"rect",0.5,0.829411792755127,0.01,1024,3
"hayes-roth",0.750000059604645,"diavolo",0.25,0.823529452085495,0.01,512,4
"hayes-roth",0.821428656578064,"rect",0.5,0.823529422283173,0.1,256,2
"hayes-roth",0.75,"rect",0.25,0.820588248968124,0.01,256,8
"hayes-roth",0.857142925262451,"rect",0.5,0.820588248968124,0.01,1024,2
"hayes-roth",0.857142925262451,"diavolo",0.5,0.814705914258957,0.01,512,2
"hayes-roth",0.571428596973419,"rect",0.25,0.814705890417099,0.01,512,16
"hayes-roth",0.714285731315613,"diavolo",0.5,0.814705890417099,0.01,1024,2
"hayes-roth",0.714285731315613,"diavolo",0.5,0.814705884456634,0.01,256,2
"hayes-roth",0.678571462631226,"diavolo",0.5,0.811764705181122,0.01,256,16
"hayes-roth",0.785714328289032,"rect",0.5,0.808823555707932,0.01,512,4
"hayes-roth",0.75,"rect",0.5,0.808823537826538,0.1,256,3
"hayes-roth",0.642857193946838,"diavolo",0.25,0.800000029802322,0.01,1024,3
"hayes-roth",0.857142865657806,"diavolo",0.25,0.800000023841858,0.01,1024,8
"hayes-roth",0.75,"diavolo",0.5,0.8,0.1,256,2
"hayes-roth",0.678571462631226,"diavolo",0.25,0.797058832645416,0.01,512,3
"hayes-roth",0.821428596973419,"rect",0.5,0.791176509857178,0.01,512,2
"hayes-roth",0.535714328289032,"rect",0.25,0.791176480054856,0.01,256,3
"hayes-roth",0.714285731315613,"rect",0.25,0.764705908298492,0.01,256,16
"hayes-roth",0.75,"diavolo",0.5,0.755882388353348,0.01,1024,3
"hayes-roth",0.642857193946838,"rect",0.5,0.755882370471954,0.01,512,3
"hayes-roth",0.535714268684387,"diavolo",0.25,0.750000029802322,0.01,256,16
"hayes-roth",0.571428596973419,"diavolo",0.25,0.750000017881393,0.01,1024,4
"hayes-roth",0.75,"rect",0.25,0.74411768913269,0.01,512,2
"hayes-roth",0.75,"diavolo",0.5,0.720588260889053,0.1,1024,4
"hayes-roth",0.571428596973419,"diavolo",0.25,0.711764776706695,0.01,512,8
"hayes-roth",0.714285731315613,"rect",0.5,0.708823543787003,0.01,256,4
"hayes-roth",0.75,"rect",0.5,0.705882406234741,0.01,256,2
"hayes-roth",0.678571462631226,"diavolo",0.5,0.705882382392883,0.01,1024,4
"hayes-roth",0.571428596973419,"diavolo",0.25,0.697058838605881,0.01,1024,2
"hayes-roth",0.678571462631226,"diavolo",0.25,0.673529458045959,0.01,512,2
"hayes-roth",0.785714328289032,"rect",0.5,0.661764740943909,0.01,256,3
"hayes-roth",0.5,"diavolo",0.5,0.647058856487274,0.01,256,3
"hayes-roth",0.678571462631226,"diavolo",0.25,0.620588284730911,0.01,256,2
"hayes-roth",0.607142865657806,"diavolo",0.25,0.608823573589325,0.01,256,4
"hayes-roth",0.642857193946838,"rect",0.25,0.597058874368668,0.01,256,2
"hayes-roth",0.357142865657806,"diavolo",0.25,0.58235297203064,0.1,256,4
"hayes-roth",0.5,"diavolo",0.25,0.582352966070175,0.01,256,8
"hayes-roth",0.321428596973419,"diavolo",0.25,0.564705938100815,0.1,256,2
"hayes-roth",0.28571429848671,"rect",0.5,0.558823585510254,0.1,256,8
"hayes-roth",0.357142865657806,"rect",0.5,0.558823585510254,0.1,512,4
"hayes-roth",0.357142865657806,"rect",0.25,0.558823585510254,0.1,256,4
"hayes-roth",0.28571429848671,"diavolo",0.5,0.552941232919693,0.1,256,4
"hayes-roth",0.214285731315613,"diavolo",0.25,0.541176527738571,0.1,256,8
"hayes-roth",0.214285731315613,"rect",0.25,0.535294160246849,0.1,512,4
"hayes-roth",0.357142865657806,"rect",0.25,0.385294133424759,0.1,256,8
"hayes-roth",0.464285731315613,"diavolo",0.25,0.364705890417099,0.1,256,16
"hayes-roth",0.0714285746216774,"diavolo",0.5,0.352941197156906,0.01,512,16
"hayes-roth",0.464285731315613,"rect",0.5,0.352941185235977,0.1,1024,8
"hayes-roth",0.464285731315613,"rect",0.25,0.352941185235977,0.1,512,8
"hayes-roth",0.535714268684387,"diavolo",0.25,0.352941185235977,0.01,256,3
"hayes-roth",0.107142865657806,"rect",0.25,0.347058835625648,0.1,1024,3
"hayes-roth",0.0357142873108387,"rect",0.5,0.3441176623106,0.1,1024,3
"hayes-roth",0.0357142873108387,"rect",0.25,0.341176480799913,0.1,256,16
"hayes-roth",0.464285731315613,"rect",0.5,0.341176480054855,0.1,512,8
"hayes-roth",0.464285731315613,"rect",0.5,0.341176480054855,0.1,1024,4
"hayes-roth",0.107142865657806,"diavolo",0.25,0.341176480054855,1,256,2
"hayes-roth",0.5,"diavolo",0.5,0.338235303759575,0.1,1024,8
"hayes-roth",0.464285731315613,"rect",0.25,0.329411774873733,0.1,1024,4
"hayes-roth",0.5,"diavolo",0.25,0.329411774873733,1,512,3
"hayes-roth",0.571428596973419,"diavolo",0.25,0.326470598578453,0.1,1024,16
"hayes-roth",0.0357142873108387,"diavolo",0.5,0.326470598578453,0.1,512,8
"hayes-roth",0.5,"diavolo",0.25,0.323529422283173,0.1,1024,8
"hayes-roth",0.0357142873108387,"diavolo",0.25,0.320588251948357,0.1,512,8
"hayes-roth",0.5,"diavolo",0.5,0.317647072672844,1,256,2
"hayes-roth",0.464285731315613,"diavolo",0.25,0.317647069692612,0.1,512,16
"hayes-roth",0.571428596973419,"diavolo",0.5,0.317647069692612,0.1,512,16
"hayes-roth",0.5,"rect",0.5,0.317647069692612,0.1,256,16
"hayes-roth",0.5,"diavolo",0.5,0.317647069692612,0.1,256,16
"hayes-roth",0.5,"rect",0.25,0.317647069692612,0.1,1024,8
"hayes-roth",0.5,"diavolo",0.25,0.317647069692612,1,512,4
"hayes-roth",0.5,"diavolo",0.5,0.311764717102051,1,512,16
"hayes-roth",0.5,"diavolo",0.5,0.311764717102051,1,512,3
"hayes-roth",0.5,"diavolo",0.5,0.305882367491722,1,512,4
"hayes-roth",0.5,"rect",0.5,0.30588236451149,0.1,1024,16
"hayes-roth",0.5,"diavolo",0.5,0.30588236451149,0.1,1024,16
"hayes-roth",0.5,"rect",0.25,0.30588236451149,1,1024,3
"hayes-roth",0.5,"rect",0.25,0.30588236451149,1,512,3
"hayes-roth",0.5,"rect",0.5,0.30588236451149,1,512,3
"hayes-roth",0.5,"rect",0.5,0.30588236451149,1,256,3
"hayes-roth",0.5,"diavolo",0.25,0.30588236451149,1,256,3
"hayes-roth",0.5,"diavolo",0.5,0.30588236451149,1,256,3
"hayes-roth",0.5,"rect",0.5,0.30588236451149,1,1024,2
"hayes-roth",0.5,"diavolo",0.25,0.30588236451149,1,1024,2
"hayes-roth",0.5,"diavolo",0.5,0.30588236451149,1,1024,2
"hayes-roth",0.5,"rect",0.5,0.30588236451149,1,512,2
"hayes-roth",0.5,"diavolo",0.25,0.30588236451149,1,512,2
"hayes-roth",0.5,"diavolo",0.5,0.30588236451149,1,512,2
"hayes-roth",0.5,"diavolo",0.25,0.302941188216209,1,256,16
"hayes-roth",0.5,"rect",0.25,0.302941188216209,1,512,2
"hayes-roth",0.5,"rect",0.25,0.300000011920929,1,256,2
"hayes-roth",0.5,"diavolo",0.25,0.297058835625648,1,1024,3
"hayes-roth",0.5,"rect",0.25,0.297058835625648,1,1024,2
"hayes-roth",0.5,"rect",0.5,0.297058834135532,1,1024,3
"hayes-roth",0.0357142873108387,"diavolo",0.5,0.294117659330368,0.01,1024,16
"hayes-roth",0.5,"rect",0.25,0.294117659330368,0.1,1024,16
"hayes-roth",0.5,"rect",0.25,0.294117659330368,0.1,512,16
"hayes-roth",0.5,"rect",0.5,0.294117659330368,0.1,512,16
"hayes-roth",0.5,"rect",0.25,0.294117659330368,1,1024,16
"hayes-roth",0.5,"rect",0.5,0.294117659330368,1,1024,16
"hayes-roth",0.5,"diavolo",0.25,0.294117659330368,1,1024,16
"hayes-roth",0.5,"diavolo",0.5,0.294117659330368,1,1024,16
"hayes-roth",0.5,"rect",0.25,0.294117659330368,1,512,16
"hayes-roth",0.5,"rect",0.5,0.294117659330368,1,512,16
"hayes-roth",0.5,"diavolo",0.25,0.294117659330368,1,512,16
"hayes-roth",0.5,"rect",0.25,0.294117659330368,1,256,16
"hayes-roth",0.5,"rect",0.5,0.294117659330368,1,256,16
"hayes-roth",0.5,"diavolo",0.5,0.294117659330368,1,256,16
"hayes-roth",0.0357142873108387,"diavolo",0.5,0.294117659330368,0.1,256,8
"hayes-roth",0.5,"rect",0.25,0.294117659330368,1,1024,8
"hayes-roth",0.5,"rect",0.5,0.294117659330368,1,1024,8
"hayes-roth",0.5,"diavolo",0.25,0.294117659330368,1,1024,8
"hayes-roth",0.5,"diavolo",0.5,0.294117659330368,1,1024,8
"hayes-roth",0.5,"rect",0.25,0.294117659330368,1,512,8
"hayes-roth",0.5,"rect",0.5,0.294117659330368,1,512,8
"hayes-roth",0.5,"diavolo",0.25,0.294117659330368,1,512,8
"hayes-roth",0.5,"diavolo",0.5,0.294117659330368,1,512,8
"hayes-roth",0.5,"rect",0.25,0.294117659330368,1,256,8
"hayes-roth",0.5,"rect",0.5,0.294117659330368,1,256,8
"hayes-roth",0.5,"diavolo",0.25,0.294117659330368,1,256,8
"hayes-roth",0.5,"diavolo",0.5,0.294117659330368,1,256,8
"hayes-roth",0.5,"rect",0.25,0.294117659330368,1,1024,4
"hayes-roth",0.5,"rect",0.5,0.294117659330368,1,1024,4
"hayes-roth",0.5,"diavolo",0.25,0.294117659330368,1,1024,4
"hayes-roth",0.5,"diavolo",0.5,0.294117659330368,1,1024,4
"hayes-roth",0.5,"rect",0.25,0.294117659330368,1,512,4
"hayes-roth",0.5,"rect",0.5,0.294117659330368,1,512,4
"hayes-roth",0.5,"rect",0.25,0.294117659330368,1,256,4
"hayes-roth",0.5,"rect",0.5,0.294117659330368,1,256,4
"hayes-roth",0.5,"diavolo",0.25,0.294117659330368,1,256,4
"hayes-roth",0.5,"diavolo",0.5,0.294117659330368,1,256,4
"hayes-roth",0.5,"diavolo",0.5,0.294117659330368,1,1024,3
"hayes-roth",0.5,"rect",0.25,0.294117659330368,1,256,3
"hayes-roth",0.5,"rect",0.5,0.294117659330368,1,256,2
