"dataset","testAccuracy","valAccuracy","nblocks","nhidden","bottleneck","learningrate","blockForm"
"page-blocks",0.945906400680542,0.952276593446732,2,512,0.5,0.1,"diavolo"
"page-blocks",0.942251443862915,0.951939314603806,3,1024,0.25,0.1,"rect"
"page-blocks",0.934941530227661,0.950421625375748,8,256,0.5,0.1,"rect"
"page-blocks",0.943713426589966,0.94957846403122,3,512,0.25,0.1,"diavolo"
"page-blocks",0.937134504318237,0.949241185188294,4,512,0.25,0.1,"diavolo"
"page-blocks",0.946637392044067,0.949241161346436,4,1024,0.5,0.1,"diavolo"
"page-blocks",0.950292348861694,0.948903888463974,2,1024,0.5,0.1,"rect"
"page-blocks",0.93201756477356,0.946543025970459,4,1024,0.25,0.1,"rect"
"page-blocks",0.946637392044067,0.946037071943283,2,256,0.25,0.1,"rect"
"page-blocks",0.940789461135864,0.945362621545792,4,256,0.25,0.1,"diavolo"
"page-blocks",0.938596487045288,0.945362609624863,2,1024,0.5,0.1,"diavolo"
"page-blocks",0.924707651138306,0.944519400596619,16,512,0.5,0.01,"rect"
"page-blocks",0.939327478408813,0.944350790977478,3,512,0.5,0.1,"diavolo"
"page-blocks",0.937865495681763,0.943170315027237,2,512,0.25,0.1,"diavolo"
"page-blocks",0.932748556137085,0.942664468288422,4,256,0.5,0.1,"diavolo"
"page-blocks",0.94152045249939,0.942495763301849,4,1024,0.5,0.1,"rect"
"page-blocks",0.942251443862915,0.940978091955185,16,512,0.25,0.01,"rect"
"page-blocks",0.929093599319458,0.940640842914581,16,256,0.5,0.01,"rect"
"page-blocks",0.940058469772339,0.940134924650192,2,1024,0.25,0.1,"diavolo"
"page-blocks",0.929093480110168,0.938448536396027,2,256,0.25,0.01,"rect"
"page-blocks",0.937134504318237,0.937605452537537,3,1024,0.25,0.1,"diavolo"
"page-blocks",0.92251455783844,0.936424964666367,16,1024,0.5,0.01,"rect"
"page-blocks",0.926900506019592,0.934569990634918,2,512,0.5,0.01,"rect"
"page-blocks",0.921783566474915,0.93406411409378,16,1024,0.5,0.01,"diavolo"
"page-blocks",0.929093480110168,0.932209157943726,16,256,0.5,0.01,"diavolo"
"page-blocks",0.926169633865356,0.931365931034088,16,512,0.25,0.01,"diavolo"
"page-blocks",0.93347954750061,0.930691438913345,16,512,0.5,0.01,"diavolo"
"page-blocks",0.921783566474915,0.930691415071487,3,512,0.25,0.01,"rect"
"page-blocks",0.926169633865356,0.930354142189026,8,256,0.25,0.01,"diavolo"
"page-blocks",0.930555462837219,0.929342329502106,16,256,0.25,0.01,"rect"
"page-blocks",0.923976540565491,0.92900505065918,2,256,0.5,0.01,"diavolo"
"page-blocks",0.918128669261932,0.928667789697647,2,256,0.5,0.01,"rect"
"page-blocks",0.93347954750061,0.928330504894257,8,512,0.5,0.01,"rect"
"page-blocks",0.920321583747864,0.927150082588196,8,1024,0.25,0.01,"rect"
"page-blocks",0.923245549201965,0.926644188165665,8,256,0.25,0.01,"rect"
"page-blocks",0.920321583747864,0.926644188165665,3,256,0.5,0.01,"rect"
"page-blocks",0.929093480110168,0.926306927204132,4,1024,0.5,0.01,"rect"
"page-blocks",0.900584757328033,0.926306903362274,3,1024,0.25,0.01,"rect"
"page-blocks",0.92397665977478,0.925969648361206,8,1024,0.5,0.01,"rect"
"page-blocks",0.921052575111389,0.925126498937607,2,1024,0.5,0.01,"diavolo"
"page-blocks",0.924707531929016,0.924789226055145,3,256,0.5,0.01,"diavolo"
"page-blocks",0.92251455783844,0.924114662408829,8,256,0.5,0.01,"diavolo"
"page-blocks",0.924707651138306,0.923440092802048,3,256,0.25,0.1,"diavolo"
"page-blocks",0.920321583747864,0.922596961259842,16,1024,0.25,0.01,"rect"
"page-blocks",0.918128609657288,0.921922427415848,4,512,0.5,0.01,"diavolo"
"page-blocks",0.922514617443085,0.921753817796707,3,256,0.25,0.01,"diavolo"
"page-blocks",0.916666626930237,0.921247923374176,16,256,0.25,0.01,"diavolo"
"page-blocks",0.929093599319458,0.921247833967209,4,512,0.25,0.01,"diavolo"
"page-blocks",0.91301167011261,0.921079230308533,8,1024,0.25,0.01,"diavolo"
"page-blocks",0.91374272108078,0.920741981267929,4,512,0.5,0.01,"rect"
"page-blocks",0.925438523292542,0.920404690504074,16,1024,0.25,0.01,"diavolo"
"page-blocks",0.918128609657288,0.92040468454361,2,1024,0.5,0.01,"rect"
"page-blocks",0.924707591533661,0.920067441463471,8,512,0.5,0.01,"diavolo"
"page-blocks",0.921052575111389,0.919898813962936,3,256,0.25,0.01,"rect"
"page-blocks",0.910087704658508,0.919392919540405,8,512,0.25,0.01,"rect"
"page-blocks",0.915935635566711,0.917032039165497,2,512,0.25,0.01,"rect"
"page-blocks",0.916666626930237,0.916357487440109,8,256,0.5,0.01,"rect"
"page-blocks",0.916666626930237,0.915851604938507,8,512,0.25,0.01,"diavolo"
"page-blocks",0.901315748691559,0.915177059173584,4,256,0.25,0.01,"rect"
"page-blocks",0.914473652839661,0.913827967643738,8,1024,0.5,0.01,"diavolo"
"page-blocks",0.917397618293762,0.912310284376145,3,1024,0.5,0.01,"rect"
"page-blocks",0.905701696872711,0.912141609191895,2,1024,0.25,0.01,"rect"
"page-blocks",0.907163739204407,0.911467039585114,3,512,0.5,0.01,"rect"
"page-blocks",0.904970765113831,0.911298388242722,4,256,0.5,0.01,"rect"
"page-blocks",0.912280678749084,0.910455226898193,4,1024,0.25,0.01,"rect"
"page-blocks",0.911549687385559,0.910117948055267,4,1024,0.5,0.01,"diavolo"
"page-blocks",0.904970765113831,0.909949374198914,4,256,0.25,0.01,"diavolo"
"page-blocks",0.899853825569153,0.909274810552597,4,1024,0.25,0.01,"diavolo"
"page-blocks",0.908625721931458,0.909106147289276,3,512,0.25,0.01,"diavolo"
"page-blocks",0.901315748691559,0.908094418048859,3,1024,0.25,0.01,"diavolo"
"page-blocks",0.904239773750305,0.908094346523285,2,512,0.5,0.01,"diavolo"
"page-blocks",0.899853765964508,0.906745326519013,2,512,0.25,0.01,"diavolo"
"page-blocks",0.907163739204407,0.906408023834229,3,512,0.5,0.01,"diavolo"
"page-blocks",0.904970765113831,0.906239449977875,4,512,0.25,0.01,"rect"
"page-blocks",0.900584757328033,0.90623939037323,2,256,0.25,0.01,"diavolo"
"page-blocks",0.902046799659729,0.906070792675018,3,1024,0.5,0.01,"diavolo"
"page-blocks",0.898391783237457,0.905058979988098,4,256,0.5,0.01,"diavolo"
"page-blocks",0.899853825569153,0.904384410381317,2,1024,0.25,0.01,"diavolo"
"page-blocks",0.898391783237457,0.904215800762177,4,256,0.25,1,"diavolo"
"page-blocks",0.898391842842102,0.903878617286682,16,1024,0.5,0.1,"rect"
"page-blocks",0.898391842842102,0.903878617286682,16,256,0.5,1,"diavolo"
"page-blocks",0.898391842842102,0.903878617286682,3,1024,0.25,1,"rect"
"page-blocks",0.898391842842102,0.903878581523895,16,256,0.5,1,"rect"
"page-blocks",0.898391842842102,0.903878581523895,8,1024,0.5,1,"rect"
"page-blocks",0.898391842842102,0.903878581523895,8,512,0.25,1,"diavolo"
"page-blocks",0.898391783237457,0.903878581523895,8,256,0.25,1,"rect"
"page-blocks",0.898391783237457,0.903878581523895,3,256,0.5,1,"diavolo"
"page-blocks",0.898391842842102,0.903878569602966,4,1024,0.25,1,"diavolo"
"page-blocks",0.898391842842102,0.903878569602966,4,256,0.5,1,"rect"
"page-blocks",0.898391842842102,0.903878569602966,2,512,0.25,1,"rect"
"page-blocks",0.898391783237457,0.903878569602966,2,512,0.5,1,"rect"
"page-blocks",0.898391842842102,0.903878569602966,2,256,0.25,1,"diavolo"
"page-blocks",0.898391842842102,0.903878557682037,16,1024,0.5,1,"rect"
"page-blocks",0.898391783237457,0.903878557682037,16,512,0.5,1,"rect"
"page-blocks",0.898391783237457,0.903878557682037,16,512,0.5,1,"diavolo"
"page-blocks",0.898391842842102,0.903878557682037,8,1024,0.5,1,"diavolo"
"page-blocks",0.898391783237457,0.903878557682037,8,512,0.5,1,"rect"
"page-blocks",0.898391842842102,0.903878557682037,8,256,0.5,1,"rect"
"page-blocks",0.898391783237457,0.903878557682037,4,1024,0.25,1,"rect"
"page-blocks",0.898391783237457,0.903878557682037,4,512,0.5,1,"rect"
"page-blocks",0.898391783237457,0.903878557682037,4,512,0.5,1,"diavolo"
"page-blocks",0.898391842842102,0.903878557682037,2,256,0.5,1,"rect"
"page-blocks",0.898391842842102,0.903878545761108,16,1024,0.5,1,"diavolo"
"page-blocks",0.898391842842102,0.903878545761108,8,1024,0.5,0.1,"rect"
"page-blocks",0.898391783237457,0.903878545761108,8,1024,0.25,1,"rect"
"page-blocks",0.898391783237457,0.903878545761108,8,256,0.5,1,"diavolo"
"page-blocks",0.898391842842102,0.903878545761108,4,512,0.25,1,"rect"
"page-blocks",0.898391783237457,0.903878545761108,3,512,0.5,1,"diavolo"
"page-blocks",0.898391842842102,0.903878545761108,3,256,0.25,1,"diavolo"
"page-blocks",0.898391783237457,0.903878545761108,2,256,0.25,1,"rect"
"page-blocks",0.898391842842102,0.903878533840179,16,1024,0.25,1,"rect"
"page-blocks",0.898391842842102,0.903878533840179,16,512,0.25,1,"rect"
"page-blocks",0.898391842842102,0.903878533840179,16,512,0.25,1,"diavolo"
"page-blocks",0.898391842842102,0.903878533840179,8,1024,0.25,1,"diavolo"
"page-blocks",0.898391783237457,0.903878533840179,8,512,0.5,1,"diavolo"
"page-blocks",0.898391842842102,0.903878533840179,4,1024,0.5,1,"rect"
"page-blocks",0.898391842842102,0.903878533840179,4,512,0.25,1,"diavolo"
"page-blocks",0.898391783237457,0.903878533840179,4,256,0.5,1,"diavolo"
"page-blocks",0.898391783237457,0.903878533840179,3,1024,0.5,1,"diavolo"
"page-blocks",0.898391842842102,0.903878533840179,3,512,0.25,1,"rect"
"page-blocks",0.898391783237457,0.903878533840179,3,512,0.25,1,"diavolo"
"page-blocks",0.898391783237457,0.903878533840179,2,1024,0.25,1,"diavolo"
"page-blocks",0.898391783237457,0.903878533840179,4,1024,0.5,1,"diavolo"
"page-blocks",0.898391783237457,0.903878533840179,3,512,0.5,1,"rect"
"page-blocks",0.898391842842102,0.903878533840179,2,1024,0.5,1,"diavolo"
"page-blocks",0.898391842842102,0.90387852191925,16,512,0.25,0.1,"rect"
"page-blocks",0.898391842842102,0.90387852191925,4,256,0.25,1,"rect"
"page-blocks",0.898391783237457,0.90387852191925,3,1024,0.25,1,"diavolo"
"page-blocks",0.898391842842102,0.90387852191925,2,1024,0.25,1,"rect"
"page-blocks",0.898391783237457,0.90387852191925,2,1024,0.5,1,"rect"
"page-blocks",0.898391842842102,0.90387852191925,2,512,0.5,1,"diavolo"
"page-blocks",0.898391842842102,0.90387852191925,2,256,0.5,1,"diavolo"
"page-blocks",0.898391783237457,0.903878509998322,16,1024,0.25,0.1,"rect"
"page-blocks",0.898391783237457,0.903878509998322,16,1024,0.25,1,"diavolo"
"page-blocks",0.898391842842102,0.903878509998322,16,256,0.25,1,"rect"
"page-blocks",0.898391842842102,0.903878509998322,16,256,0.25,1,"diavolo"
"page-blocks",0.898391842842102,0.903878509998322,8,512,0.25,1,"rect"
"page-blocks",0.898391842842102,0.903878509998322,8,256,0.25,1,"diavolo"
"page-blocks",0.898391842842102,0.903878509998322,3,1024,0.5,1,"rect"
"page-blocks",0.898391783237457,0.903878509998322,3,256,0.25,1,"rect"
"page-blocks",0.898391783237457,0.903878509998322,3,256,0.5,1,"rect"
"page-blocks",0.898391842842102,0.903878509998322,2,512,0.25,1,"diavolo"
"page-blocks",0.808479487895966,0.582967975735664,16,256,0.5,0.1,"rect"
"page-blocks",0.0438596531748772,0.564080911874771,16,512,0.5,0.1,"rect"
"page-blocks",0.659356713294983,0.526475557684898,8,1024,0.25,0.1,"rect"
"page-blocks",0.0204678364098072,0.461382762622088,16,1024,0.5,0.1,"diavolo"
