"dataset","testAccuracy","nhidden","blockForm","learningrate","valAccuracy","nblocks","bottleneck"
"letter",0.0393999963998795,512,"rect",0.1,0.0414666049182415,16,0.5
"letter",0.0394000001251698,1024,"rect",1,0.0414666049182415,16,0.5
"letter",0.0393999963998795,512,"rect",1,0.0414666049182415,16,0.25
"letter",0.0394000001251698,512,"rect",1,0.0414666049182415,16,0.5
"letter",0.0393999963998795,512,"diavolo",1,0.0414666049182415,16,0.25
"letter",0.0393999963998795,512,"diavolo",1,0.0414666049182415,16,0.5
"letter",0.0394000001251698,256,"rect",1,0.0414666049182415,16,0.5
"letter",0.0394000001251698,256,"diavolo",1,0.0414666049182415,16,0.25
"letter",0.0394000001251698,1024,"rect",1,0.0414666049182415,8,0.25
"letter",0.0394000001251698,1024,"rect",1,0.0414666049182415,8,0.5
"letter",0.0394000001251698,1024,"diavolo",1,0.0414666049182415,8,0.25
"letter",0.0393999963998795,1024,"diavolo",1,0.0414666049182415,8,0.5
"letter",0.0394000001251698,512,"rect",1,0.0414666049182415,8,0.5
"letter",0.0394000001251698,512,"diavolo",1,0.0414666049182415,8,0.5
"letter",0.0394000001251698,256,"rect",1,0.0414666049182415,8,0.25
"letter",0.0394000001251698,256,"rect",1,0.0414666049182415,8,0.5
"letter",0.0394000001251698,256,"diavolo",1,0.0414666049182415,8,0.25
"letter",0.0393999963998795,1024,"diavolo",1,0.0414666049182415,4,0.25
"letter",0.0394000001251698,1024,"diavolo",1,0.0414666049182415,4,0.5
"letter",0.0393999963998795,512,"rect",1,0.0414666049182415,4,0.5
"letter",0.0394000001251698,512,"diavolo",1,0.0414666049182415,4,0.25
"letter",0.0393999963998795,512,"diavolo",1,0.0414666049182415,4,0.5
"letter",0.0393999963998795,256,"rect",1,0.0414666049182415,4,0.25
"letter",0.0394000001251698,1024,"diavolo",1,0.0414666049182415,3,0.25
"letter",0.0393999963998795,512,"diavolo",1,0.0414666049182415,3,0.25
"letter",0.0394000001251698,512,"diavolo",1,0.0414666049182415,3,0.5
"letter",0.0394000001251698,1024,"rect",1,0.0414666049182415,2,0.25
"letter",0.0393999963998795,1024,"diavolo",1,0.0414666049182415,2,0.25
"letter",0.0394000001251698,512,"diavolo",1,0.0414666049182415,2,0.5
