"dataset","nblocks","testAccuracy","valAccuracy","bottleneck","learningrate","blockForm","nhidden"
"hill-valley",4,0.493399322032928,0.422222259640694,0.5,1,"diavolo",256
"hill-valley",2,0.491749167442322,0.421428617835045,0.25,0.01,"diavolo",256
"hill-valley",16,0.493399322032928,0.418254005908966,0.5,1,"diavolo",512
"hill-valley",4,0.493399322032928,0.415079402923584,0.25,1,"rect",1024
"hill-valley",8,0.493399381637573,0.414285749197006,0.25,1,"diavolo",512
"hill-valley",2,0.493399322032928,0.413492101430893,0.5,1,"diavolo",256
"hill-valley",4,0.493399322032928,0.412698450684547,0.25,1,"diavolo",512
"hill-valley",16,0.493399322032928,0.412698447704315,0.25,1,"rect",1024
"hill-valley",16,0.493399322032928,0.412698447704315,0.25,1,"diavolo",1024
"hill-valley",16,0.493399322032928,0.412698447704315,0.5,1,"rect",1024
"hill-valley",16,0.493399322032928,0.412698447704315,0.5,1,"diavolo",1024
"hill-valley",16,0.493399322032928,0.412698447704315,0.25,1,"rect",512
"hill-valley",16,0.493399322032928,0.412698447704315,0.5,1,"rect",512
"hill-valley",16,0.493399322032928,0.412698447704315,0.25,1,"rect",256
"hill-valley",16,0.493399322032928,0.412698447704315,0.5,1,"rect",256
"hill-valley",16,0.493399322032928,0.412698447704315,0.5,1,"diavolo",256
"hill-valley",8,0.493399322032928,0.412698447704315,0.25,1,"rect",1024
"hill-valley",8,0.493399322032928,0.412698447704315,0.25,1,"diavolo",1024
"hill-valley",8,0.493399322032928,0.412698447704315,0.5,1,"rect",1024
"hill-valley",8,0.493399322032928,0.412698447704315,0.5,1,"diavolo",1024
"hill-valley",8,0.493399322032928,0.412698447704315,0.25,1,"rect",512
"hill-valley",8,0.493399381637573,0.412698447704315,0.5,1,"rect",512
"hill-valley",8,0.493399322032928,0.412698447704315,0.5,1,"diavolo",512
"hill-valley",8,0.493399322032928,0.412698447704315,0.25,1,"rect",256
"hill-valley",8,0.493399322032928,0.412698447704315,0.25,1,"diavolo",256
"hill-valley",8,0.493399322032928,0.412698447704315,0.5,1,"rect",256
"hill-valley",8,0.493399322032928,0.412698447704315,0.5,1,"diavolo",256
"hill-valley",4,0.493399322032928,0.412698447704315,0.25,1,"rect",512
"hill-valley",4,0.493399322032928,0.412698447704315,0.5,1,"diavolo",512
"hill-valley",4,0.493399322032928,0.412698447704315,0.5,1,"rect",256
"hill-valley",3,0.493399322032928,0.412698447704315,0.25,1,"diavolo",1024
"hill-valley",2,0.493399322032928,0.412698447704315,0.25,1,"diavolo",1024
"hill-valley",2,0.493399322032928,0.412698447704315,0.25,1,"diavolo",512
