"dataset","bottleneck","valAccuracy","blockForm","nblocks","nhidden","learningrate","testAccuracy"
"annealing",0.5,0.160714295040816,"rect",2,1024,1,0
"annealing",0.25,0.155357148870826,"rect",16,256,0.1,0.0700000002980232
"annealing",0.5,0.136904762685299,"diavolo",8,256,0.1,0.0700000002980232
"annealing",0.5,0.12976191258058,"rect",4,256,1,0
"annealing",0.25,0.12976191136986,"diavolo",4,256,1,0
"annealing",0.25,0.120238101202995,"diavolo",3,256,1,0
"annealing",0.25,0.110714293178171,"rect",3,512,1,0
"annealing",0.25,0.110714293178171,"rect",2,256,1,0
"annealing",0.5,0.107142863981426,"diavolo",3,256,1,0
"annealing",0.5,0.10238095773384,"rect",2,512,1,0
"annealing",0.25,0.102380957175046,"diavolo",2,512,1,0
"annealing",0.5,0.0976190544664859,"diavolo",3,512,1,0
"annealing",0.25,0.0976190529763698,"rect",4,1024,1,0
"annealing",0.5,0.095238100271672,"rect",3,256,1,0
"annealing",0.25,0.0892857190221548,"rect",3,1024,1,0
"annealing",0.5,0.0892857190221548,"rect",3,1024,1,0
"annealing",0.5,0.0892857190221548,"diavolo",3,1024,1,0
"annealing",0.25,0.0880952429026365,"diavolo",3,1024,1,0
"annealing",0.5,0.0845238142646849,"diavolo",4,1024,1,0
"annealing",0.5,0.0696428590454161,"diavolo",16,256,1,0
"annealing",0.5,0.0678571451455355,"diavolo",16,512,0.1,0.0700000002980232
"annealing",0.25,0.0607142890803516,"diavolo",2,256,1,0.0700000002980232
"annealing",0.25,0.0511904797516763,"diavolo",3,512,1,0
"annealing",0.5,0.0511904797516763,"diavolo",2,512,1,0
"annealing",0.5,0.0494047637097538,"diavolo",2,1024,1,0
"annealing",0.5,0.0476190499030054,"diavolo",4,256,1,0
"annealing",0.5,0.0452380978502333,"diavolo",2,256,1,0
"annealing",0.25,0.041666670050472,"diavolo",2,1024,1,0
"annealing",0.25,0.0380952395498753,"rect",2,1024,1,0
"annealing",0.25,0.0339285735972226,"diavolo",4,1024,1,0
"annealing",0.5,0.030952381156385,"rect",2,256,1,0
"annealing",0.5,0.0297619055956602,"rect",4,512,1,0
"annealing",0.25,0.0279761914163828,"rect",16,1024,0.1,0
"annealing",0.25,0.0261904763989151,"rect",4,256,1,0
"annealing",0.25,0.0244047625921667,"diavolo",4,512,1,0
"annealing",0.5,0.0244047620333731,"rect",4,1024,1,0
"annealing",0.5,0.0202380955219269,"rect",3,512,1,0
"annealing",0.5,0.0166666668839753,"rect",16,1024,0.1,0
"annealing",0.25,0.0166666668839753,"rect",4,512,1,0
"annealing",0.5,0.0166666668839753,"diavolo",4,512,1,0
"annealing",0.25,0.0148809527046978,"diavolo",8,256,1,0
"annealing",0.5,0.0136904765851796,"diavolo",8,1024,1,0
"annealing",0.25,0.0130952383391559,"diavolo",16,256,1,0
"annealing",0.25,0.0125000002793968,"diavolo",16,1024,1,0
