"dataset","nblocks","blockForm","bottleneck","learningrate","valAccuracy","nhidden","testAccuracy"
"libras",16,"diavolo",0.25,0.01,0.567567586898804,512,0.5
"libras",4,"diavolo",0.5,0.01,0.567567586898804,256,0.711111187934875
"libras",3,"diavolo",0.5,0.1,0.567567586898804,256,0.555555582046509
"libras",2,"diavolo",0.25,0.1,0.564864885807037,512,0.622222304344177
"libras",2,"rect",0.25,0.01,0.562162184715271,256,0.555555582046509
"libras",2,"rect",0.5,0.1,0.559459480643272,256,0.588888883590698
"libras",8,"rect",0.25,0.1,0.556756794452667,512,0.5
"libras",2,"rect",0.25,0.01,0.556756782531738,1024,0.588888943195343
"libras",8,"diavolo",0.25,0.1,0.554054081439972,256,0.51111114025116
"libras",16,"rect",0.5,0.01,0.551351398229599,256,0.655555605888367
"libras",4,"diavolo",0.5,0.01,0.543243277072906,1024,0.488888919353485
"libras",16,"rect",0.25,0.01,0.54054057598114,512,0.588888883590698
"libras",3,"diavolo",0.5,0.01,0.537837874889374,512,0.666666746139526
"libras",3,"diavolo",0.25,0.01,0.537837868928909,256,0.51111114025116
"libras",4,"diavolo",0.25,0.1,0.527027052640915,256,0.488888919353485
"libras",8,"rect",0.5,0.1,0.52432436645031,512,0.566666722297668
"libras",4,"diavolo",0.25,0.01,0.521621668338776,256,0.600000023841858
"libras",8,"rect",0.5,0.01,0.521621662378311,1024,0.533333361148834
"libras",4,"diavolo",0.25,0.1,0.518918949365616,512,0.588888883590698
"libras",16,"rect",0.25,0.01,0.513513565063477,1024,0.51111114025116
"libras",8,"diavolo",0.5,0.01,0.513513565063477,256,0.544444501399994
"libras",3,"rect",0.25,0.01,0.513513565063477,256,0.611111164093018
"libras",2,"diavolo",0.25,0.01,0.513513565063477,256,0.522222280502319
"libras",3,"diavolo",0.25,0.1,0.513513559103012,256,0.566666722297668
"libras",3,"diavolo",0.5,0.01,0.508108109235764,1024,0.633333384990692
"libras",3,"diavolo",0.25,0.01,0.502702736854553,512,0.488888919353485
"libras",2,"rect",0.25,0.1,0.502702701091766,1024,0.577777802944183
"libras",3,"rect",0.25,0.01,0.49459462761879,1024,0.477777808904648
"libras",4,"rect",0.25,0.1,0.491891917586327,512,0.477777808904648
"libras",3,"rect",0.25,0.1,0.489189195632935,512,0.533333361148834
"libras",16,"rect",0.5,0.01,0.472972995042801,512,0.500000059604645
"libras",8,"diavolo",0.5,0.1,0.472972986102104,512,0.47777783870697
"libras",8,"rect",0.25,0.1,0.464864870905876,256,0.333333373069763
"libras",16,"diavolo",0.25,0.01,0.462162178754807,1024,0.455555588006973
"libras",3,"rect",0.5,0.01,0.454054075479507,512,0.466666698455811
"libras",16,"rect",0.5,0.1,0.451351371407509,256,0.400000035762787
"libras",4,"diavolo",0.5,0.01,0.402702727913857,512,0.433333337306976
"libras",4,"diavolo",0.5,0.1,0.40000002682209,256,0.500000059604645
"libras",16,"rect",0.25,0.01,0.4,256,0.477777808904648
"libras",8,"rect",0.25,0.01,0.397297319769859,256,0.388888895511627
"libras",8,"diavolo",0.5,0.1,0.362162184715271,1024,0.377777814865112
"libras",4,"diavolo",0.25,0.01,0.351351380348206,512,0.37777778506279
"libras",16,"rect",0.5,0.01,0.332432435452938,1024,0.311111122369766
"libras",8,"rect",0.25,0.01,0.324324330687523,1024,0.377777814865112
"libras",16,"rect",0.25,0.1,0.297297313809395,256,0.344444453716278
"libras",16,"diavolo",0.25,0.1,0.297297304868698,256,0.322222232818604
"libras",16,"diavolo",0.25,0.1,0.2864864975214,512,0.333333343267441
"libras",16,"diavolo",0.25,0.1,0.248648658394814,1024,0.166666686534882
"libras",8,"diavolo",0.25,0.1,0.227027034759521,1024,0.16666667163372
"libras",8,"rect",0.5,0.01,0.218918924033642,256,0.355555593967438
"libras",16,"diavolo",0.5,0.1,0.148648656159639,512,0.0666666701436043
"libras",16,"diavolo",0.5,0.1,0.116216221824288,256,0.122222229838371
"libras",2,"diavolo",0.25,1,0.0675675697624683,1024,0.0666666701436043
"libras",2,"rect",0.5,1,0.0675675693899393,512,0.0666666701436043
"libras",2,"diavolo",0.25,1,0.0675675693899393,256,0.0666666701436043
"libras",16,"rect",0.25,0.1,0.0648648671805859,512,0.0666666701436043
"libras",4,"diavolo",0.25,1,0.0648648671805859,512,0.0666666701436043
"libras",8,"rect",0.25,0.1,0.0648648669943213,1024,0.0666666701436043
"libras",8,"diavolo",0.25,1,0.0648648668080568,512,0.0666666701436043
"libras",2,"rect",0.25,1,0.0648648666217923,1024,0.0666666701436043
"libras",8,"rect",0.5,0.1,0.0621621645987034,1024,0.0666666701436043
"libras",4,"rect",0.5,1,0.0621621642261744,512,0.0666666701436043
"libras",4,"diavolo",0.5,1,0.0621621642261744,256,0.0666666701436043
"libras",2,"diavolo",0.5,1,0.0621621642261744,512,0.0666666701436043
"libras",4,"rect",0.25,1,0.0594594612717629,1024,0.0666666701436043
"libras",2,"rect",0.25,1,0.0594594612717629,512,0.0666666701436043
"libras",2,"diavolo",0.25,1,0.0594594612717629,512,0.0666666701436043
"libras",2,"rect",0.25,1,0.0594594612717629,256,0.0666666701436043
"libras",2,"rect",0.5,1,0.0594594612717629,256,0.0666666701436043
"libras",8,"diavolo",0.25,1,0.0594594608992338,1024,0.0666666701436043
"libras",8,"diavolo",0.5,1,0.0594594608992338,1024,0.0666666701436043
"libras",4,"rect",0.5,1,0.0594594608992338,1024,0.0666666701436043
"libras",4,"diavolo",0.25,1,0.0594594608992338,1024,0.0666666701436043
"libras",4,"diavolo",0.5,1,0.0594594608992338,512,0.0666666701436043
"libras",16,"rect",0.25,0.1,0.0567567583173513,1024,0.0666666701436043
"libras",8,"diavolo",0.5,1,0.0567567583173513,256,0.0666666701436043
"libras",4,"rect",0.25,1,0.0567567583173513,512,0.0666666701436043
"libras",4,"rect",0.5,1,0.0567567583173513,256,0.0666666701436043
"libras",3,"rect",0.25,1,0.0567567583173513,1024,0.0666666701436043
"libras",3,"diavolo",0.25,1,0.0567567583173513,1024,0.0666666701436043
"libras",3,"diavolo",0.5,1,0.0567567583173513,1024,0.0666666701436043
"libras",3,"rect",0.25,1,0.0567567583173513,512,0.0666666701436043
"libras",3,"diavolo",0.25,1,0.0567567583173513,512,0.0666666701436043
"libras",3,"diavolo",0.25,1,0.0567567583173513,256,0.0666666701436043
"libras",2,"diavolo",0.5,1,0.0540540555492044,256,0.0666666701436043
"libras",16,"rect",0.5,0.1,0.0540540553629398,1024,0.0666666701436043
"libras",16,"diavolo",0.5,0.1,0.0540540553629398,1024,0.0666666701436043
"libras",16,"rect",0.5,0.1,0.0540540553629398,512,0.0666666701436043
"libras",16,"rect",0.25,1,0.0540540553629398,1024,0.0666666701436043
"libras",16,"rect",0.5,1,0.0540540553629398,1024,0.0666666701436043
"libras",16,"diavolo",0.25,1,0.0540540553629398,1024,0.0666666701436043
"libras",16,"diavolo",0.5,1,0.0540540553629398,1024,0.0666666701436043
"libras",16,"rect",0.25,1,0.0540540553629398,512,0.0666666701436043
"libras",16,"rect",0.5,1,0.0540540553629398,512,0.0666666701436043
"libras",16,"diavolo",0.25,1,0.0540540553629398,512,0.0666666701436043
"libras",16,"diavolo",0.5,1,0.0540540553629398,512,0.0666666701436043
"libras",16,"rect",0.25,1,0.0540540553629398,256,0.0666666701436043
"libras",16,"rect",0.5,1,0.0540540553629398,256,0.0666666701436043
"libras",16,"diavolo",0.25,1,0.0540540553629398,256,0.0666666701436043
"libras",16,"diavolo",0.5,1,0.0540540553629398,256,0.0666666701436043
"libras",8,"rect",0.25,1,0.0540540553629398,1024,0.0666666701436043
"libras",8,"rect",0.5,1,0.0540540553629398,1024,0.0666666701436043
"libras",8,"rect",0.25,1,0.0540540553629398,512,0.0666666701436043
"libras",8,"rect",0.5,1,0.0540540553629398,512,0.0666666701436043
"libras",8,"diavolo",0.5,1,0.0540540553629398,512,0.0666666701436043
"libras",8,"rect",0.25,1,0.0540540553629398,256,0.0666666701436043
"libras",8,"rect",0.5,1,0.0540540553629398,256,0.0666666701436043
"libras",8,"diavolo",0.25,1,0.0540540553629398,256,0.0666666701436043
"libras",4,"diavolo",0.5,1,0.0540540553629398,1024,0.0666666701436043
"libras",4,"rect",0.25,1,0.0540540553629398,256,0.0666666701436043
"libras",4,"diavolo",0.25,1,0.0540540553629398,256,0.0666666701436043
"libras",3,"rect",0.5,1,0.0540540553629398,1024,0.0666666701436043
"libras",3,"rect",0.5,1,0.0540540553629398,512,0.0666666701436043
"libras",3,"diavolo",0.5,1,0.0540540553629398,512,0.0666666701436043
"libras",3,"rect",0.25,1,0.0540540553629398,256,0.0666666701436043
"libras",3,"rect",0.5,1,0.0540540553629398,256,0.0666666701436043
"libras",3,"diavolo",0.5,1,0.0540540553629398,256,0.0666666701436043
"libras",2,"rect",0.5,1,0.0540540553629398,1024,0.0666666701436043
"libras",2,"diavolo",0.5,1,0.0540540553629398,1024,0.0666666701436043
