"dataset","testAccuracy","nhidden","nblocks","bottleneck","valAccuracy","blockForm","learningrate"
"plant-texture",0.569999992847443,256,8,0.25,0.491457259654999,"diavolo",0.01
"plant-texture",0.552500009536743,512,8,0.5,0.490954771637917,"rect",0.01
"plant-texture",0.537499964237213,256,16,0.25,0.488442203402519,"diavolo",0.01
"plant-texture",0.477499961853027,512,16,0.5,0.483417066931725,"diavolo",0.01
"plant-texture",0.402500003576279,1024,3,0.5,0.476884418725967,"diavolo",0.01
"plant-texture",0.422499984502792,1024,16,0.25,0.474874347448349,"diavolo",0.01
"plant-texture",0.439999997615814,1024,8,0.5,0.470351737737656,"rect",0.01
"plant-texture",0.469999969005585,256,16,0.25,0.449748718738556,"rect",0.01
"plant-texture",0.432500004768372,1024,16,0.5,0.442211037874222,"rect",0.01
"plant-texture",0.439999997615814,1024,16,0.25,0.439195954799652,"rect",0.01
"plant-texture",0.46000000834465,256,16,0.5,0.43467335999012,"rect",0.01
"plant-texture",0.455000013113022,1024,16,0.5,0.434170827269554,"diavolo",0.01
"plant-texture",0.482499986886978,256,16,0.5,0.432663309574127,"diavolo",0.01
"plant-texture",0.457499980926514,1024,8,0.25,0.43065322637558,"rect",0.01
"plant-texture",0.377499967813492,1024,4,0.5,0.429648214578629,"diavolo",0.01
"plant-texture",0.489999949932098,512,16,0.25,0.425125604867935,"rect",0.01
"plant-texture",0.469999969005585,1024,4,0.25,0.420603001117706,"diavolo",0.01
"plant-texture",0.452499985694885,512,16,0.5,0.414572864770889,"rect",0.01
"plant-texture",0.484999984502792,512,8,0.5,0.401507526636124,"diavolo",0.01
"plant-texture",0.387500017881393,1024,8,0.25,0.360804006457329,"diavolo",0.01
"plant-texture",0.319999992847443,1024,8,0.5,0.315075373649597,"diavolo",0.01
"plant-texture",0.0874999985098839,256,16,0.5,0.103015072643757,"diavolo",0.1
"plant-texture",0.00999999977648258,256,4,0.25,0.0226130649913102,"diavolo",1
"plant-texture",0.00999999977648258,1024,16,0.25,0.0211055273190141,"diavolo",1
"plant-texture",0.00999999977648258,256,16,0.5,0.0206030147150159,"diavolo",1
"plant-texture",0.00999999977648258,1024,3,0.5,0.0206030147150159,"diavolo",1
"plant-texture",0.00999999977648258,1024,16,0.25,0.0201005022972822,"rect",0.1
"plant-texture",0.00999999977648258,1024,16,0.5,0.0201005022972822,"rect",0.1
"plant-texture",0.00999999977648258,1024,16,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,1024,16,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,1024,16,0.5,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,512,16,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,512,16,0.25,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,512,16,0.5,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,512,16,0.5,0.0201005022972822,"diavolo",1
"plant-texture",0.00999999977648258,256,16,0.25,0.0201005022972822,"rect",1
"plant-texture",0.00999999977648258,256,16,0.25,0.0201005022972822,"diavolo",1
