"dataset","testAccuracy","bottleneck","nhidden","nblocks","blockForm","learningrate","valAccuracy"
"contrac",0.42934787273407,0.5,256,2,"diavolo",1,0.378882017731667
"contrac",0.42934787273407,0.25,512,16,"diavolo",1,0.378882014751434
"contrac",0.429347842931747,0.5,1024,8,"diavolo",1,0.378882014751434
"contrac",0.429347842931747,0.25,512,4,"diavolo",1,0.378882014751434
"contrac",0.42934787273407,0.5,256,4,"diavolo",1,0.378882014751434
"contrac",0.429347842931747,0.25,1024,3,"rect",1,0.378882014751434
"contrac",0.429347842931747,0.5,512,3,"diavolo",1,0.378882014751434
"contrac",0.429347842931747,0.5,256,3,"diavolo",1,0.378882014751434
"contrac",0.42934787273407,0.5,512,2,"diavolo",1,0.378882014751434
"contrac",0.429347842931747,0.25,1024,16,"rect",0.1,0.378882011771202
"contrac",0.42934787273407,0.25,1024,16,"rect",1,0.378882011771202
"contrac",0.429347842931747,0.25,1024,8,"rect",1,0.378882011771202
"contrac",0.429347842931747,0.5,1024,4,"diavolo",1,0.378882011771202
"contrac",0.429347842931747,0.25,512,4,"rect",1,0.378882011771202
"contrac",0.42934787273407,0.25,256,4,"rect",1,0.378882011771202
"contrac",0.429347842931747,0.5,256,3,"rect",1,0.378882011771202
"contrac",0.42934787273407,0.5,1024,2,"rect",1,0.378882011771202
"contrac",0.42934787273407,0.5,1024,16,"diavolo",0.1,0.37888200879097
"contrac",0.42934787273407,0.25,1024,8,"diavolo",1,0.37888200879097
"contrac",0.429347842931747,0.25,512,8,"rect",1,0.37888200879097
"contrac",0.42934787273407,0.25,1024,4,"diavolo",1,0.37888200879097
"contrac",0.42934787273407,0.25,1024,3,"diavolo",1,0.37888200879097
"contrac",0.429347842931747,0.5,1024,3,"diavolo",1,0.37888200879097
"contrac",0.429347842931747,0.5,1024,2,"diavolo",1,0.37888200879097
"contrac",0.429347842931747,0.5,1024,16,"rect",0.1,0.378882005810738
"contrac",0.429347842931747,0.25,1024,16,"diavolo",1,0.378882005810738
"contrac",0.429347842931747,0.5,1024,16,"rect",1,0.378882005810738
"contrac",0.42934787273407,0.5,1024,16,"diavolo",1,0.378882005810738
"contrac",0.429347842931747,0.5,1024,8,"rect",0.1,0.378882005810738
"contrac",0.429347842931747,0.5,1024,8,"rect",1,0.378882005810738
"contrac",0.429347842931747,0.5,1024,4,"rect",1,0.378882005810738
"contrac",0.429347842931747,0.25,1024,2,"diavolo",1,0.378882005810738
"contrac",0.429347842931747,0.25,1024,4,"rect",1,0.378882002830505
"contrac",0.42934787273407,0.25,1024,2,"rect",1,0.378881999850273
"contrac",0.42934787273407,0.5,256,16,"rect",1,0.378881999850273
"contrac",0.429347842931747,0.25,1024,8,"rect",0.1,0.378881999850273
"contrac",0.42934787273407,0.25,512,16,"rect",1,0.378881996870041
"contrac",0.429347842931747,0.25,256,3,"rect",1,0.378881993889809
"contrac",0.429347842931747,0.5,512,16,"diavolo",1,0.378881990909576
"contrac",0.429347842931747,0.5,256,16,"diavolo",1,0.378881990909576
"contrac",0.42934787273407,0.5,256,8,"rect",1,0.378881990909576
"contrac",0.429347842931747,0.5,512,4,"diavolo",1,0.378881990909576
"contrac",0.33423912525177,0.5,256,16,"rect",0.1,0.339751559495926
"contrac",0.225543469190598,0.25,256,16,"rect",0.1,0.274534177780151
