"dataset","blockForm","testAccuracy","nhidden","valAccuracy","learningrate","bottleneck","nblocks"
"waveform","diavolo",0.827999949455261,256,0.861228084564209,0.01,0.25,4
"waveform","diavolo",0.834399998188019,512,0.860877227783203,0.01,0.5,16
"waveform","rect",0.808799922466278,256,0.860877203941345,0.01,0.5,8
"waveform","diavolo",0.831999957561493,256,0.859824591875076,0.01,0.25,2
"waveform","rect",0.832799971103668,256,0.85912281870842,0.01,0.25,3
"waveform","rect",0.840799987316132,512,0.858245652914047,0.1,0.25,2
"waveform","diavolo",0.818399906158447,256,0.858070236444473,0.1,0.25,2
"waveform","rect",0.807199954986572,1024,0.858070170879364,0.01,0.25,4
"waveform","diavolo",0.829599976539612,512,0.857719326019287,0.1,0.25,16
"waveform","diavolo",0.828799962997437,1024,0.857543885707855,0.01,0.25,3
"waveform","diavolo",0.844799876213074,512,0.857368445396423,0.1,0.5,16
"waveform","diavolo",0.827199935913086,256,0.857368433475495,0.1,0.25,16
"waveform","rect",0.827999949455261,1024,0.856842130422592,0.01,0.5,16
"waveform","diavolo",0.828800022602081,1024,0.856491243839264,0.01,0.25,8
"waveform","rect",0.816799998283386,256,0.855438625812531,0.01,0.25,2
"waveform","rect",0.828000009059906,1024,0.8549123108387,0.01,0.25,8
"waveform","diavolo",0.814400017261505,1024,0.854385995864868,0.1,0.5,3
"waveform","diavolo",0.813599944114685,1024,0.854035133123398,0.1,0.25,16
"waveform","rect",0.843199968338013,512,0.854035127162934,0.01,0.5,3
"waveform","diavolo",0.831199944019318,256,0.854035121202469,0.01,0.5,2
"waveform","diavolo",0.82480001449585,512,0.853157931566239,0.1,0.25,2
"waveform","rect",0.811199963092804,256,0.852631610631943,0.01,0.5,16
"waveform","rect",0.833599984645844,256,0.852280706167221,0.1,0.5,3
"waveform","rect",0.81439995765686,512,0.852105301618576,0.1,0.5,4
"waveform","diavolo",0.818399906158447,1024,0.851228094100952,0.01,0.25,16
"waveform","diavolo",0.818400025367737,256,0.850526332855225,0.1,0.5,16
"waveform","rect",0.82480001449585,256,0.850350940227509,0.1,0.25,8
"waveform","rect",0.834399938583374,512,0.850175458192825,0.01,0.25,4
"waveform","diavolo",0.828000009059906,256,0.850000065565109,0.01,0.25,16
"waveform","rect",0.817599952220917,512,0.849824607372284,0.01,0.25,16
"waveform","diavolo",0.817599892616272,512,0.849824577569962,0.01,0.25,4
"waveform","diavolo",0.805599987506866,512,0.848947411775589,0.1,0.5,3
"waveform","diavolo",0.829599976539612,512,0.848596501350403,0.01,0.5,3
"waveform","diavolo",0.833599984645844,256,0.8484210729599,0.01,0.5,16
"waveform","diavolo",0.799999952316284,256,0.847017562389374,0.01,0.5,4
"waveform","diavolo",0.811200022697449,1024,0.846666699647903,0.01,0.25,2
"waveform","rect",0.822399973869324,1024,0.846491277217865,0.01,0.25,2
