"dataset","blockForm","nblocks","learningrate","testAccuracy","nhidden","valAccuracy","bottleneck"
"molec-biol-promoter","rect",2,0.01,0.769230842590332,256,0.581818187236786,0.5
"molec-biol-promoter","rect",2,0.1,0.884615421295166,1024,0.572727286815643,0.25
"molec-biol-promoter","diavolo",3,0.1,0.807692348957062,512,0.572727286815643,0.5
"molec-biol-promoter","diavolo",3,0.1,0.807692348957062,1024,0.572727283835411,0.5
"molec-biol-promoter","diavolo",16,0.01,0.846153855323792,1024,0.572727280855179,0.25
"molec-biol-promoter","rect",16,0.01,0.615384638309479,256,0.572727280855179,0.25
"molec-biol-promoter","diavolo",2,0.01,0.730769276618958,512,0.572727280855179,0.5
"molec-biol-promoter","rect",8,0.01,0.807692289352417,1024,0.563636365532875,0.25
"molec-biol-promoter","diavolo",4,0.1,0.769230842590332,256,0.554545468091965,0.5
"molec-biol-promoter","rect",16,0.01,0.615384697914124,1024,0.554545459151268,0.5
"molec-biol-promoter","diavolo",16,0.1,0.5,256,0.545454561710358,0.5
"molec-biol-promoter","diavolo",8,0.01,0.730769276618958,512,0.545454561710358,0.5
"molec-biol-promoter","diavolo",8,0.1,0.5,1024,0.545454561710358,0.25
"molec-biol-promoter","diavolo",8,0.1,0.5,512,0.545454561710358,0.5
"molec-biol-promoter","rect",8,0.1,0.846153855323792,256,0.545454561710358,0.25
"molec-biol-promoter","rect",4,0.1,0.884615421295166,512,0.545454561710358,0.25
"molec-biol-promoter","diavolo",4,0.1,0.769230842590332,512,0.545454561710358,0.5
"molec-biol-promoter","diavolo",3,0.01,0.692307710647583,1024,0.545454561710358,0.25
"molec-biol-promoter","rect",2,0.01,0.730769276618958,512,0.545454561710358,0.25
"molec-biol-promoter","diavolo",2,0.1,0.692307770252228,256,0.545454561710358,0.25
"molec-biol-promoter","diavolo",4,0.1,0.692307710647583,1024,0.545454555749893,0.25
"molec-biol-promoter","rect",8,0.1,0.5,512,0.536363652348518,0.25
"molec-biol-promoter","rect",8,0.1,0.5,512,0.536363652348518,0.5
"molec-biol-promoter","diavolo",16,0.1,0.5,1024,0.527272742986679,0.25
"molec-biol-promoter","diavolo",8,0.01,0.692307710647583,256,0.51818183362484,0.5
"molec-biol-promoter","diavolo",8,0.1,0.769230782985687,512,0.51818183362484,0.25
"molec-biol-promoter","rect",8,0.1,0.769230842590332,256,0.51818183362484,0.5
"molec-biol-promoter","rect",4,0.1,0.5,1024,0.51818183362484,0.25
"molec-biol-promoter","rect",3,0.1,0.5,1024,0.51818183362484,0.25
"molec-biol-promoter","rect",16,0.01,0.846153855323792,1024,0.509090924263001,0.25
"molec-biol-promoter","rect",16,0.1,0.5,256,0.509090924263001,0.25
"molec-biol-promoter","rect",4,0.01,0.730769276618958,512,0.509090924263001,0.25
"molec-biol-promoter","rect",4,0.1,0.5,1024,0.509090924263001,0.5
"molec-biol-promoter","rect",8,0.01,0.653846144676208,256,0.500000011920929,0.5
"molec-biol-promoter","rect",2,0.01,0.615384697914124,256,0.490909105539322,0.25
"molec-biol-promoter","rect",16,0.01,0.5,256,0.490909105539322,0.5
"molec-biol-promoter","rect",16,0.1,0.5,256,0.490909105539322,0.5
"molec-biol-promoter","rect",2,1,0.5,256,0.49090910255909,0.5
"molec-biol-promoter","diavolo",16,0.1,0.5,512,0.481818196177483,0.5
"molec-biol-promoter","diavolo",4,1,0.5,256,0.481818196177483,0.25
"molec-biol-promoter","diavolo",3,1,0.5,256,0.481818196177483,0.25
"molec-biol-promoter","rect",2,1,0.5,512,0.481818196177483,0.5
"molec-biol-promoter","diavolo",2,1,0.5,256,0.481818196177483,0.25
"molec-biol-promoter","diavolo",8,1,0.5,512,0.48181819319725,0.25
"molec-biol-promoter","diavolo",3,0.1,0.884615421295166,512,0.48181819319725,0.25
"molec-biol-promoter","diavolo",16,0.01,0.653846144676208,256,0.472727286815643,0.5
"molec-biol-promoter","rect",16,0.1,0.46153849363327,512,0.472727286815643,0.25
"molec-biol-promoter","rect",8,0.1,0.5,1024,0.472727286815643,0.25
"molec-biol-promoter","rect",8,0.1,0.5,1024,0.472727286815643,0.5
"molec-biol-promoter","rect",4,1,0.5,1024,0.472727286815643,0.25
"molec-biol-promoter","rect",4,1,0.5,512,0.472727286815643,0.25
"molec-biol-promoter","diavolo",4,1,0.5,512,0.472727286815643,0.25
"molec-biol-promoter","rect",4,1,0.5,256,0.472727286815643,0.5
"molec-biol-promoter","diavolo",3,1,0.5,1024,0.472727286815643,0.25
"molec-biol-promoter","rect",3,1,0.5,512,0.472727286815643,0.25
"molec-biol-promoter","rect",3,1,0.5,512,0.472727286815643,0.5
"molec-biol-promoter","diavolo",3,1,0.5,512,0.472727286815643,0.25
"molec-biol-promoter","diavolo",3,1,0.5,512,0.472727286815643,0.5
"molec-biol-promoter","diavolo",3,1,0.5,256,0.472727286815643,0.5
"molec-biol-promoter","diavolo",2,1,0.5,512,0.472727286815643,0.25
"molec-biol-promoter","diavolo",2,1,0.5,512,0.472727286815643,0.5
"molec-biol-promoter","rect",2,1,0.5,256,0.472727286815643,0.25
"molec-biol-promoter","rect",16,0.1,0.5,1024,0.463636377453804,0.5
"molec-biol-promoter","diavolo",16,1,0.5,512,0.463636377453804,0.5
"molec-biol-promoter","diavolo",16,1,0.5,256,0.463636377453804,0.25
"molec-biol-promoter","diavolo",8,0.01,0.615384697914124,256,0.463636377453804,0.25
"molec-biol-promoter","diavolo",8,0.1,0.5,1024,0.463636377453804,0.5
"molec-biol-promoter","diavolo",8,0.1,0.5,256,0.463636377453804,0.5
"molec-biol-promoter","diavolo",8,1,0.5,512,0.463636377453804,0.5
"molec-biol-promoter","diavolo",8,1,0.5,256,0.463636377453804,0.25
"molec-biol-promoter","rect",4,1,0.5,1024,0.463636377453804,0.5
"molec-biol-promoter","rect",4,1,0.5,512,0.463636377453804,0.5
"molec-biol-promoter","rect",4,1,0.5,256,0.463636377453804,0.25
"molec-biol-promoter","rect",3,1,0.5,1024,0.463636377453804,0.25
"molec-biol-promoter","rect",3,1,0.5,1024,0.463636377453804,0.5
"molec-biol-promoter","diavolo",3,1,0.5,1024,0.463636377453804,0.5
"molec-biol-promoter","rect",3,1,0.5,256,0.463636377453804,0.25
"molec-biol-promoter","rect",2,1,0.5,1024,0.463636377453804,0.25
"molec-biol-promoter","rect",2,1,0.5,1024,0.463636377453804,0.5
"molec-biol-promoter","diavolo",2,1,0.5,1024,0.463636377453804,0.5
"molec-biol-promoter","rect",16,0.01,0.5,512,0.454545468091965,0.25
"molec-biol-promoter","rect",16,0.1,0.5,1024,0.454545468091965,0.25
"molec-biol-promoter","diavolo",16,0.1,0.5,1024,0.454545468091965,0.5
"molec-biol-promoter","rect",16,0.1,0.5,512,0.454545468091965,0.5
"molec-biol-promoter","rect",16,1,0.5,1024,0.454545468091965,0.25
"molec-biol-promoter","rect",16,1,0.5,1024,0.454545468091965,0.5
"molec-biol-promoter","diavolo",16,1,0.5,1024,0.454545468091965,0.25
"molec-biol-promoter","diavolo",16,1,0.5,1024,0.454545468091965,0.5
"molec-biol-promoter","rect",16,1,0.5,512,0.454545468091965,0.25
"molec-biol-promoter","rect",16,1,0.5,512,0.454545468091965,0.5
"molec-biol-promoter","diavolo",16,1,0.5,512,0.454545468091965,0.25
"molec-biol-promoter","rect",16,1,0.5,256,0.454545468091965,0.25
"molec-biol-promoter","rect",16,1,0.5,256,0.454545468091965,0.5
"molec-biol-promoter","diavolo",16,1,0.5,256,0.454545468091965,0.5
"molec-biol-promoter","rect",8,1,0.5,1024,0.454545468091965,0.25
"molec-biol-promoter","rect",8,1,0.5,1024,0.454545468091965,0.5
"molec-biol-promoter","diavolo",8,1,0.5,1024,0.454545468091965,0.25
"molec-biol-promoter","diavolo",8,1,0.5,1024,0.454545468091965,0.5
"molec-biol-promoter","rect",8,1,0.5,512,0.454545468091965,0.25
"molec-biol-promoter","rect",8,1,0.5,512,0.454545468091965,0.5
"molec-biol-promoter","rect",8,1,0.5,256,0.454545468091965,0.25
"molec-biol-promoter","rect",8,1,0.5,256,0.454545468091965,0.5
"molec-biol-promoter","diavolo",8,1,0.5,256,0.454545468091965,0.5
"molec-biol-promoter","diavolo",4,0.01,0.692307770252228,512,0.454545468091965,0.5
"molec-biol-promoter","diavolo",4,1,0.5,1024,0.454545468091965,0.25
"molec-biol-promoter","diavolo",4,1,0.5,1024,0.454545468091965,0.5
"molec-biol-promoter","diavolo",4,1,0.5,512,0.454545468091965,0.5
"molec-biol-promoter","diavolo",4,1,0.5,256,0.454545468091965,0.5
"molec-biol-promoter","rect",3,0.1,0.5,1024,0.454545468091965,0.5
"molec-biol-promoter","rect",3,1,0.5,256,0.454545468091965,0.5
"molec-biol-promoter","diavolo",2,0.01,0.807692408561707,512,0.454545468091965,0.25
"molec-biol-promoter","diavolo",2,1,0.5,1024,0.454545468091965,0.25
"molec-biol-promoter","rect",2,1,0.5,512,0.454545468091965,0.25
"molec-biol-promoter","diavolo",2,1,0.5,256,0.454545468091965,0.5
"molec-biol-promoter","diavolo",4,0.01,0.423076927661896,512,0.445454558730125,0.25
"molec-biol-promoter","rect",3,0.01,0.730769276618958,256,0.39090910255909,0.5
