"dataset","blockForm","testAccuracy","learningrate","nhidden","bottleneck","nblocks","valAccuracy"
"dermatology","rect",0.307692348957062,1,512,0.5,4,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,512,0.25,4,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,512,0.5,4,0.28571429848671
"dermatology","rect",0.307692348957062,1,256,0.25,4,0.28571429848671
"dermatology","rect",0.307692348957062,1,256,0.5,4,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,256,0.25,4,0.28571429848671
"dermatology","rect",0.307692348957062,1,1024,0.25,3,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,1024,0.25,3,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,1024,0.5,3,0.28571429848671
"dermatology","rect",0.307692348957062,1,512,0.25,3,0.28571429848671
"dermatology","rect",0.307692348957062,1,512,0.5,3,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,512,0.25,3,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,512,0.5,3,0.28571429848671
"dermatology","rect",0.307692348957062,1,256,0.25,3,0.28571429848671
"dermatology","rect",0.307692348957062,1,256,0.5,3,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,256,0.25,3,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,256,0.5,3,0.28571429848671
"dermatology","rect",0.307692348957062,1,1024,0.25,2,0.28571429848671
"dermatology","rect",0.307692348957062,1,1024,0.5,2,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,1024,0.25,2,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,1024,0.5,2,0.28571429848671
"dermatology","rect",0.307692348957062,1,512,0.25,2,0.28571429848671
"dermatology","rect",0.307692348957062,1,512,0.5,2,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,512,0.5,2,0.28571429848671
"dermatology","rect",0.307692348957062,1,256,0.25,2,0.28571429848671
"dermatology","rect",0.307692348957062,1,256,0.5,2,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,256,0.25,2,0.28571429848671
"dermatology","diavolo",0.307692348957062,1,256,0.5,2,0.28571429848671
"dermatology","diavolo",0.19780221581459,0.1,1024,0.5,8,0.280952394008636
"dermatology","diavolo",0.19780221581459,0.1,256,0.5,16,0.26428572833538
