"dataset","nhidden","learningrate","bottleneck","testAccuracy","blockForm","nblocks","valAccuracy"
"arrhythmia",1024,0.1,0.25,0.584070801734924,"rect",16,0.517857193946838
"arrhythmia",1024,0.1,0.5,0.584070801734924,"rect",16,0.517857193946838
"arrhythmia",1024,0.1,0.5,0.584070801734924,"diavolo",16,0.517857193946838
"arrhythmia",512,0.1,0.25,0.584070801734924,"rect",16,0.517857193946838
"arrhythmia",1024,1,0.25,0.584070801734924,"rect",16,0.517857193946838
"arrhythmia",1024,1,0.25,0.584070801734924,"diavolo",16,0.517857193946838
"arrhythmia",1024,1,0.5,0.584070801734924,"rect",16,0.517857193946838
"arrhythmia",1024,1,0.5,0.584070801734924,"diavolo",16,0.517857193946838
"arrhythmia",512,1,0.25,0.584070801734924,"rect",16,0.517857193946838
"arrhythmia",512,1,0.25,0.584070801734924,"diavolo",16,0.517857193946838
"arrhythmia",512,1,0.5,0.584070801734924,"rect",16,0.517857193946838
"arrhythmia",256,1,0.25,0.584070801734924,"rect",16,0.517857193946838
"arrhythmia",256,1,0.25,0.584070801734924,"diavolo",16,0.517857193946838
"arrhythmia",256,1,0.5,0.584070801734924,"rect",16,0.517857193946838
"arrhythmia",256,1,0.5,0.584070801734924,"diavolo",16,0.517857193946838
"arrhythmia",1024,1,0.25,0.584070801734924,"rect",8,0.517857193946838
"arrhythmia",1024,1,0.25,0.584070801734924,"diavolo",8,0.517857193946838
"arrhythmia",1024,1,0.5,0.584070801734924,"rect",8,0.517857193946838
"arrhythmia",1024,1,0.5,0.584070801734924,"diavolo",8,0.517857193946838
"arrhythmia",512,1,0.25,0.584070801734924,"rect",8,0.517857193946838
"arrhythmia",512,1,0.25,0.584070801734924,"diavolo",8,0.517857193946838
"arrhythmia",512,1,0.5,0.584070801734924,"rect",8,0.517857193946838
"arrhythmia",512,1,0.5,0.584070801734924,"diavolo",8,0.517857193946838
"arrhythmia",256,1,0.25,0.584070801734924,"rect",8,0.517857193946838
"arrhythmia",256,1,0.25,0.584070801734924,"diavolo",8,0.517857193946838
"arrhythmia",256,1,0.5,0.584070801734924,"rect",8,0.517857193946838
"arrhythmia",256,1,0.5,0.584070801734924,"diavolo",8,0.517857193946838
"arrhythmia",1024,1,0.25,0.584070801734924,"rect",4,0.517857193946838
"arrhythmia",1024,1,0.25,0.584070801734924,"diavolo",4,0.517857193946838
"arrhythmia",1024,1,0.5,0.584070801734924,"rect",4,0.517857193946838
"arrhythmia",1024,1,0.5,0.584070801734924,"diavolo",4,0.517857193946838
"arrhythmia",512,1,0.25,0.584070801734924,"rect",4,0.517857193946838
"arrhythmia",512,1,0.25,0.584070801734924,"diavolo",4,0.517857193946838
"arrhythmia",512,1,0.5,0.584070801734924,"rect",4,0.517857193946838
"arrhythmia",512,1,0.5,0.584070801734924,"diavolo",4,0.517857193946838
"arrhythmia",256,1,0.25,0.584070801734924,"rect",4,0.517857193946838
"arrhythmia",256,1,0.25,0.584070801734924,"diavolo",4,0.517857193946838
"arrhythmia",256,1,0.5,0.584070801734924,"rect",4,0.517857193946838
"arrhythmia",256,1,0.5,0.584070801734924,"diavolo",4,0.517857193946838
"arrhythmia",1024,0.01,0.5,0.504424810409546,"rect",3,0.517857193946838
"arrhythmia",512,0.1,0.25,0.56637167930603,"rect",3,0.517857193946838
"arrhythmia",512,0.1,0.5,0.548672556877136,"diavolo",3,0.517857193946838
"arrhythmia",1024,1,0.25,0.584070801734924,"rect",3,0.517857193946838
"arrhythmia",1024,1,0.25,0.584070801734924,"diavolo",3,0.517857193946838
"arrhythmia",1024,1,0.5,0.584070801734924,"rect",3,0.517857193946838
"arrhythmia",1024,1,0.5,0.584070801734924,"diavolo",3,0.517857193946838
"arrhythmia",512,1,0.25,0.584070801734924,"rect",3,0.517857193946838
"arrhythmia",512,1,0.25,0.584070801734924,"diavolo",3,0.517857193946838
"arrhythmia",512,1,0.5,0.584070801734924,"rect",3,0.517857193946838
"arrhythmia",512,1,0.5,0.584070801734924,"diavolo",3,0.517857193946838
"arrhythmia",256,1,0.25,0.584070801734924,"rect",3,0.517857193946838
"arrhythmia",256,1,0.25,0.584070801734924,"diavolo",3,0.517857193946838
"arrhythmia",256,1,0.5,0.584070801734924,"rect",3,0.517857193946838
"arrhythmia",256,1,0.5,0.584070801734924,"diavolo",3,0.517857193946838
"arrhythmia",512,0.1,0.5,0.530973494052887,"rect",2,0.517857193946838
"arrhythmia",1024,1,0.25,0.584070801734924,"rect",2,0.517857193946838
"arrhythmia",1024,1,0.25,0.584070801734924,"diavolo",2,0.517857193946838
"arrhythmia",1024,1,0.5,0.584070801734924,"rect",2,0.517857193946838
"arrhythmia",1024,1,0.5,0.584070801734924,"diavolo",2,0.517857193946838
"arrhythmia",512,1,0.25,0.584070801734924,"rect",2,0.517857193946838
"arrhythmia",512,1,0.25,0.584070801734924,"diavolo",2,0.517857193946838
"arrhythmia",512,1,0.5,0.584070801734924,"rect",2,0.517857193946838
"arrhythmia",512,1,0.5,0.584070801734924,"diavolo",2,0.517857193946838
"arrhythmia",256,1,0.25,0.584070801734924,"rect",2,0.517857193946838
"arrhythmia",256,1,0.25,0.584070801734924,"diavolo",2,0.517857193946838
"arrhythmia",256,1,0.5,0.584070801734924,"rect",2,0.517857193946838
"arrhythmia",256,1,0.5,0.584070801734924,"diavolo",2,0.517857193946838
"arrhythmia",256,0.01,0.5,0.513274312019348,"rect",2,0.517857134342193
"arrhythmia",256,0.1,0.5,0.477876096963882,"rect",3,0.516071474552155
"arrhythmia",512,0.1,0.5,0.584070801734924,"rect",16,0.514285764098168
"arrhythmia",256,0.01,0.25,0.548672556877136,"rect",8,0.512500035762787
"arrhythmia",1024,0.1,0.5,0.477876096963882,"diavolo",4,0.510714316368103
"arrhythmia",512,0.1,0.25,0.52212393283844,"diavolo",16,0.5
"arrhythmia",256,0.1,0.5,0.460176974534988,"diavolo",8,0.5
"arrhythmia",512,0.1,0.5,0.513274312019348,"diavolo",4,0.5
"arrhythmia",256,0.01,0.5,0.495575219392776,"diavolo",3,0.5
"arrhythmia",256,0.1,0.25,0.539822936058044,"diavolo",3,0.5
"arrhythmia",512,0.1,0.25,0.539823055267334,"diavolo",2,0.5
"arrhythmia",512,0.01,0.5,0.513274371623993,"diavolo",8,0.498214316368103
"arrhythmia",512,0.01,0.5,0.584070801734924,"diavolo",16,0.498214292526245
"arrhythmia",1024,0.01,0.25,0.56637167930603,"diavolo",4,0.498214286565781
"arrhythmia",512,0.01,0.5,0.442477881908417,"diavolo",3,0.489285737276077
"arrhythmia",512,0.1,0.25,0.442477852106094,"rect",2,0.482142895460129
"arrhythmia",512,0.01,0.25,0.619468986988068,"diavolo",4,0.482142865657806
"arrhythmia",256,0.01,0.25,0.495575219392776,"diavolo",2,0.482142865657806
"arrhythmia",256,0.1,0.25,0.504424810409546,"diavolo",2,0.471428591012955
"arrhythmia",512,0.01,0.25,0.486725658178329,"rect",2,0.471428567171097
"arrhythmia",256,0.01,0.25,0.460176974534988,"diavolo",4,0.464285731315613
"arrhythmia",256,0.1,0.5,0.460176974534988,"diavolo",4,0.464285731315613
"arrhythmia",256,0.01,0.5,0.504424750804901,"diavolo",4,0.464285701513291
"arrhythmia",256,0.01,0.25,0.469026535749435,"rect",3,0.448214310407639
"arrhythmia",1024,0.01,0.25,0.469026535749435,"rect",8,0.446428596973419
"arrhythmia",1024,0.01,0.5,0.415929198265076,"diavolo",2,0.446428596973419
"arrhythmia",256,0.01,0.25,0.52212393283844,"diavolo",8,0.441071456670761
"arrhythmia",256,0.1,0.5,0.539823055267334,"diavolo",3,0.441071450710297
"arrhythmia",1024,0.1,0.25,0.584070801734924,"rect",8,0.430357180535793
"arrhythmia",256,0.01,0.5,0.486725658178329,"rect",4,0.428571462631226
"arrhythmia",512,0.01,0.25,0.460176974534988,"rect",8,0.428571432828903
"arrhythmia",512,0.01,0.5,0.513274312019348,"rect",8,0.428571432828903
"arrhythmia",256,0.01,0.25,0.292035400867462,"rect",4,0.425000029802322
"arrhythmia",256,0.1,0.5,0.398230075836182,"diavolo",16,0.42142858505249
"arrhythmia",512,0.01,0.25,0.52212393283844,"rect",4,0.412500014901161
"arrhythmia",256,0.01,0.5,0.469026535749435,"diavolo",2,0.410714328289032
"arrhythmia",512,0.1,0.5,0.389380514621735,"rect",4,0.41071429848671
"arrhythmia",256,0.1,0.25,0.513274312019348,"diavolo",4,0.40892858505249
"arrhythmia",256,0.1,0.5,0.380530953407288,"rect",8,0.392857134342194
"arrhythmia",256,0.1,0.25,0.442477881908417,"rect",4,0.391071420907974
"arrhythmia",512,0.1,0.25,0.380530953407288,"rect",8,0.389285734295845
"arrhythmia",1024,0.01,0.25,0.451327413320541,"rect",4,0.376785713434219
"arrhythmia",1024,0.1,0.25,0.292035400867462,"rect",4,0.375000017881393
"arrhythmia",512,0.01,0.25,0.362831860780716,"diavolo",8,0.375
"arrhythmia",256,0.1,0.5,0.353982299566269,"rect",4,0.375
"arrhythmia",256,0.1,0.25,0.398230075836182,"rect",3,0.375
"arrhythmia",256,0.01,0.25,0.415929168462753,"rect",16,0.369642859697342
"arrhythmia",1024,0.1,0.25,0.398230075836182,"diavolo",4,0.364285719394684
"arrhythmia",256,0.1,0.25,0.389380544424057,"rect",2,0.357142865657806
"arrhythmia",1024,0.1,0.5,0.371681392192841,"rect",3,0.350000011920929
"arrhythmia",512,0.01,0.5,0.221238940954208,"rect",16,0.34821429848671
"arrhythmia",256,0.01,0.5,0.274336278438568,"rect",8,0.344642871618271
"arrhythmia",256,0.1,0.5,0.380530953407288,"diavolo",2,0.342857158184051
"arrhythmia",256,0.1,0.25,0.398230075836182,"diavolo",8,0.321428596973419
"arrhythmia",512,0.1,0.25,0.274336278438568,"rect",4,0.310714304447174
"arrhythmia",256,0.1,0.25,0.0353982299566269,"rect",16,0.305357172898948
"arrhythmia",1024,0.1,0.25,0.345132768154144,"rect",2,0.305357152223587
"arrhythmia",512,0.1,0.5,0.238938048481941,"rect",8,0.296428579092026
"arrhythmia",256,0.01,0.25,0.345132768154144,"rect",2,0.291071447730064
"arrhythmia",256,0.1,0.25,0.336283206939697,"rect",8,0.264285723865032
"arrhythmia",256,0.1,0.25,0.212389379739761,"diavolo",16,0.255357140302658
"arrhythmia",256,0.1,0.5,0.0973451286554337,"rect",16,0.2535714417696
"arrhythmia",512,0.01,0.5,0.345132738351822,"diavolo",4,0.25
"arrhythmia",512,0.1,0.5,0.221238940954208,"diavolo",8,0.246428576111794
"arrhythmia",512,0.01,0.25,0.283185839653015,"rect",3,0.232142865657806
"arrhythmia",1024,0.1,0.25,0.212389379739761,"diavolo",8,0.223214294016361
"arrhythmia",1024,0.01,0.5,0.185840710997581,"diavolo",8,0.216071435809135
"arrhythmia",256,0.01,0.5,0.203539818525314,"rect",16,0.205357150733471
"arrhythmia",1024,0.1,0.25,0.584070801734924,"diavolo",16,0.203571438789368
"arrhythmia",1024,0.01,0.5,0.238938063383102,"rect",16,0.196428570151329
"arrhythmia",1024,0.1,0.5,0.0973451286554337,"rect",8,0.175000013783574
"arrhythmia",512,0.1,0.5,0.106194689869881,"diavolo",16,0.17142857760191
"arrhythmia",512,0.01,0.25,0.194690272212029,"rect",16,0.14464286416769
"arrhythmia",1024,0.01,0.5,0.168141603469849,"diavolo",16,0.142857149243355
"arrhythmia",1024,0.1,0.5,0.0176991149783134,"rect",4,0.123214295506477
"arrhythmia",256,0.01,0.5,0.141592919826508,"diavolo",16,0.0982142925262451
