"dataset","nhidden","bottleneck","blockForm","nblocks","learningrate","testAccuracy","valAccuracy"
"pittsburg-bridges-SPAN",512,0.5,"rect",2,0.01,0.60869562625885,0.922222226858139
"pittsburg-bridges-SPAN",512,0.25,"rect",8,0.01,0.52173912525177,0.911111164093018
"pittsburg-bridges-SPAN",512,0.25,"diavolo",3,0.1,0.60869562625885,0.91111114025116
"pittsburg-bridges-SPAN",256,0.25,"diavolo",2,0.1,0.52173912525177,0.91111114025116
"pittsburg-bridges-SPAN",1024,0.25,"rect",8,0.01,0.60869562625885,0.91111114025116
"pittsburg-bridges-SPAN",512,0.5,"diavolo",8,0.01,0.60869562625885,0.911111134290695
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",3,0.1,0.652173936367035,0.900000047683716
"pittsburg-bridges-SPAN",512,0.25,"rect",3,0.1,0.65217387676239,0.900000047683716
"pittsburg-bridges-SPAN",512,0.25,"diavolo",2,0.1,0.56521737575531,0.900000035762787
"pittsburg-bridges-SPAN",512,0.5,"rect",16,0.01,0.695652186870575,0.900000029802322
"pittsburg-bridges-SPAN",512,0.25,"rect",2,0.1,0.60869562625885,0.900000029802322
"pittsburg-bridges-SPAN",512,0.5,"diavolo",4,0.1,0.695652186870575,0.900000023841858
"pittsburg-bridges-SPAN",256,0.25,"rect",3,0.1,0.60869562625885,0.900000023841858
"pittsburg-bridges-SPAN",1024,0.25,"rect",4,0.01,0.695652186870575,0.900000011920929
"pittsburg-bridges-SPAN",512,0.5,"diavolo",2,0.01,0.47826087474823,0.900000005960464
"pittsburg-bridges-SPAN",512,0.25,"diavolo",3,0.01,0.56521737575531,0.888888955116272
"pittsburg-bridges-SPAN",256,0.25,"diavolo",2,0.01,0.60869562625885,0.888888955116272
"pittsburg-bridges-SPAN",256,0.25,"diavolo",3,0.1,0.56521737575531,0.888888943195343
"pittsburg-bridges-SPAN",512,0.25,"diavolo",4,0.1,0.60869562625885,0.888888937234879
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",3,0.1,0.43478262424469,0.888888913393021
"pittsburg-bridges-SPAN",512,0.25,"rect",3,0.01,0.60869562625885,0.888888901472092
"pittsburg-bridges-SPAN",256,0.5,"diavolo",2,0.01,0.56521737575531,0.888888895511627
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",2,0.1,0.65217387676239,0.877777808904648
"pittsburg-bridges-SPAN",512,0.25,"diavolo",4,0.01,0.43478262424469,0.87777778506279
"pittsburg-bridges-SPAN",256,0.5,"rect",2,0.1,0.347826093435287,0.866666722297669
"pittsburg-bridges-SPAN",256,0.5,"diavolo",8,0.01,0.47826087474823,0.866666722297668
"pittsburg-bridges-SPAN",512,0.5,"rect",2,0.1,0.56521737575531,0.86666671037674
"pittsburg-bridges-SPAN",256,0.5,"rect",16,0.01,0.73913049697876,0.866666698455811
"pittsburg-bridges-SPAN",256,0.5,"diavolo",2,0.1,0.56521737575531,0.86666669845581
"pittsburg-bridges-SPAN",512,0.25,"diavolo",16,0.01,0.56521737575531,0.866666692495346
"pittsburg-bridges-SPAN",512,0.25,"diavolo",8,0.01,0.652173936367035,0.866666692495346
"pittsburg-bridges-SPAN",256,0.25,"rect",2,0.01,0.695652186870575,0.866666674613953
"pittsburg-bridges-SPAN",512,0.5,"diavolo",4,0.01,0.56521737575531,0.855555611848831
"pittsburg-bridges-SPAN",512,0.25,"rect",2,0.01,0.43478262424469,0.855555605888367
"pittsburg-bridges-SPAN",1024,0.5,"rect",8,0.01,0.695652186870575,0.85555557012558
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",2,0.01,0.347826093435287,0.844444489479065
"pittsburg-bridges-SPAN",1024,0.25,"rect",2,0.1,0.47826087474823,0.844444480538368
"pittsburg-bridges-SPAN",256,0.25,"rect",16,0.01,0.60869562625885,0.844444465637207
"pittsburg-bridges-SPAN",256,0.5,"diavolo",3,0.01,0.565217435359955,0.844444453716278
"pittsburg-bridges-SPAN",256,0.25,"diavolo",4,0.1,0.43478262424469,0.833333367109299
"pittsburg-bridges-SPAN",512,0.5,"rect",3,0.1,0.56521737575531,0.822222250699997
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",2,0.1,0.56521737575531,0.811111149191857
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",4,0.1,0.60869562625885,0.811111146211624
"pittsburg-bridges-SPAN",1024,0.25,"rect",2,0.01,0.56521737575531,0.81111114025116
"pittsburg-bridges-SPAN",256,0.25,"rect",3,0.01,0.652173936367035,0.800000023841858
"pittsburg-bridges-SPAN",256,0.25,"rect",4,0.01,0.52173912525177,0.800000017881393
"pittsburg-bridges-SPAN",1024,0.5,"rect",2,0.1,0.56521737575531,0.800000017881393
"pittsburg-bridges-SPAN",256,0.5,"diavolo",3,0.1,0.43478262424469,0.788888925313949
"pittsburg-bridges-SPAN",256,0.25,"diavolo",4,0.01,0.43478262424469,0.777777791023254
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",16,0.01,0.52173912525177,0.766666680574417
"pittsburg-bridges-SPAN",256,0.5,"diavolo",16,0.01,0.52173912525177,0.766666680574417
"pittsburg-bridges-SPAN",512,0.25,"diavolo",2,0.01,0.56521737575531,0.766666680574417
"pittsburg-bridges-SPAN",256,0.25,"diavolo",8,0.1,0.52173912525177,0.755555579066276
"pittsburg-bridges-SPAN",256,0.5,"diavolo",4,0.1,0.39130437374115,0.733333361148834
"pittsburg-bridges-SPAN",256,0.25,"diavolo",16,0.01,0.52173912525177,0.73333335518837
"pittsburg-bridges-SPAN",512,0.5,"diavolo",16,0.01,0.52173912525177,0.700000017881393
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",16,0.01,0.43478262424469,0.68888891339302
"pittsburg-bridges-SPAN",256,0.25,"rect",8,0.1,0.56521737575531,0.622222236543894
"pittsburg-bridges-SPAN",256,0.5,"diavolo",8,0.1,0.47826087474823,0.533333349972963
"pittsburg-bridges-SPAN",512,0.5,"diavolo",8,0.1,0.217391312122345,0.488888901472092
"pittsburg-bridges-SPAN",512,0.25,"diavolo",8,0.1,0.217391312122345,0.488888899981976
"pittsburg-bridges-SPAN",256,0.25,"diavolo",16,0.1,0.56521737575531,0.477777789533138
"pittsburg-bridges-SPAN",1024,0.5,"rect",3,0.1,0.56521737575531,0.477777789533138
"pittsburg-bridges-SPAN",256,0.5,"rect",8,0.1,0.60869562625885,0.466666679084301
"pittsburg-bridges-SPAN",512,0.25,"rect",4,0.1,0.39130437374115,0.466666677594185
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",8,0.1,0.217391312122345,0.400000011175871
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",4,0.1,0.217391312122345,0.377777785807848
"pittsburg-bridges-SPAN",512,0.25,"diavolo",16,0.1,0.217391312122345,0.366666676104069
"pittsburg-bridges-SPAN",1024,0.25,"rect",3,0.1,0.56521737575531,0.344444454461336
"pittsburg-bridges-SPAN",512,0.5,"rect",4,0.1,0.56521737575531,0.344444453716278
"pittsburg-bridges-SPAN",256,0.25,"diavolo",2,1,0.217391312122345,0.34444445297122
"pittsburg-bridges-SPAN",256,0.5,"diavolo",16,0.1,0.217391312122345,0.344444451481104
"pittsburg-bridges-SPAN",1024,0.25,"rect",4,0.1,0.217391312122345,0.333333341777325
"pittsburg-bridges-SPAN",512,0.5,"rect",8,0.1,0.217391312122345,0.333333340287209
"pittsburg-bridges-SPAN",1024,0.5,"rect",4,0.1,0.43478262424469,0.322222229838371
"pittsburg-bridges-SPAN",1024,0.5,"rect",8,0.1,0.56521737575531,0.300000006705523
"pittsburg-bridges-SPAN",256,0.25,"diavolo",4,1,0.217391312122345,0.27777778506279
"pittsburg-bridges-SPAN",256,0.5,"rect",16,0.1,0.217391312122345,0.277777784317732
"pittsburg-bridges-SPAN",512,0.25,"rect",8,0.1,0.217391312122345,0.255555560439825
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",8,0.1,0.217391312122345,0.233333338052034
"pittsburg-bridges-SPAN",256,0.25,"rect",3,1,0.217391312122345,0.233333338052034
"pittsburg-bridges-SPAN",256,0.5,"rect",2,1,0.217391312122345,0.222222226858139
"pittsburg-bridges-SPAN",256,0.5,"diavolo",8,1,0.217391312122345,0.20000000372529
"pittsburg-bridges-SPAN",256,0.25,"diavolo",3,1,0.217391312122345,0.188888891786337
"pittsburg-bridges-SPAN",1024,0.25,"rect",8,0.1,0.217391312122345,0.188888891786337
"pittsburg-bridges-SPAN",512,0.25,"diavolo",3,1,0.217391312122345,0.188888891786337
"pittsburg-bridges-SPAN",512,0.25,"rect",2,1,0.217391312122345,0.177777780592442
"pittsburg-bridges-SPAN",512,0.5,"diavolo",2,1,0.217391312122345,0.177777780592442
"pittsburg-bridges-SPAN",256,0.5,"rect",4,1,0.217391312122345,0.177777780592442
"pittsburg-bridges-SPAN",512,0.5,"diavolo",3,1,0.217391312122345,0.177777780592442
"pittsburg-bridges-SPAN",256,0.5,"rect",3,1,0.217391312122345,0.177777780592442
"pittsburg-bridges-SPAN",1024,0.5,"rect",2,1,0.217391312122345,0.177777780592442
"pittsburg-bridges-SPAN",512,0.25,"diavolo",2,1,0.217391312122345,0.177777780592442
"pittsburg-bridges-SPAN",512,0.5,"rect",2,1,0.217391312122345,0.177777780592442
"pittsburg-bridges-SPAN",256,0.25,"rect",2,1,0.217391312122345,0.177777780592442
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",16,0.1,0.217391312122345,0.166666669398546
"pittsburg-bridges-SPAN",512,0.25,"rect",16,0.1,0.217391312122345,0.166666669398546
"pittsburg-bridges-SPAN",512,0.5,"rect",16,0.1,0.217391312122345,0.166666669398546
"pittsburg-bridges-SPAN",512,0.5,"diavolo",16,0.1,0.304347813129425,0.166666669398546
"pittsburg-bridges-SPAN",256,0.5,"diavolo",16,1,0.217391312122345,0.166666669398546
"pittsburg-bridges-SPAN",1024,0.25,"rect",4,1,0.217391312122345,0.166666669398546
"pittsburg-bridges-SPAN",1024,0.5,"rect",4,1,0.217391312122345,0.166666669398546
"pittsburg-bridges-SPAN",256,0.25,"rect",4,1,0.217391312122345,0.166666669398546
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",3,1,0.217391312122345,0.166666669398546
"pittsburg-bridges-SPAN",512,0.25,"rect",3,1,0.217391312122345,0.166666669398546
"pittsburg-bridges-SPAN",512,0.25,"diavolo",4,1,0.217391312122345,0.155555558949709
"pittsburg-bridges-SPAN",256,0.5,"diavolo",3,1,0.217391312122345,0.144444445520639
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",2,1,0.217391312122345,0.144444445520639
"pittsburg-bridges-SPAN",256,0.25,"diavolo",8,1,0.217391312122345,0.133333335071802
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",16,0.1,0.217391312122345,0.133333334326744
"pittsburg-bridges-SPAN",256,0.25,"rect",16,0.1,0.217391312122345,0.133333334326744
"pittsburg-bridges-SPAN",1024,0.25,"rect",3,1,0.217391312122345,0.133333334326744
"pittsburg-bridges-SPAN",1024,0.5,"rect",3,1,0.217391312122345,0.133333334326744
"pittsburg-bridges-SPAN",512,0.5,"rect",3,1,0.217391312122345,0.133333334326744
"pittsburg-bridges-SPAN",1024,0.25,"rect",2,1,0.217391312122345,0.133333334326744
"pittsburg-bridges-SPAN",256,0.5,"diavolo",2,1,0.217391312122345,0.133333334326744
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",8,1,0.217391312122345,0.122222223132849
"pittsburg-bridges-SPAN",512,0.25,"diavolo",8,1,0.217391312122345,0.122222223132849
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",4,1,0.217391312122345,0.122222223132849
"pittsburg-bridges-SPAN",512,0.5,"rect",4,1,0.217391312122345,0.122222223132849
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",3,1,0.217391312122345,0.122222223132849
"pittsburg-bridges-SPAN",1024,0.25,"rect",16,0.1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",1024,0.5,"rect",16,0.1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",1024,0.25,"rect",16,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",1024,0.25,"diavolo",16,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",1024,0.5,"rect",16,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",16,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",512,0.25,"rect",16,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",512,0.25,"diavolo",16,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",512,0.5,"rect",16,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",512,0.5,"diavolo",16,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",256,0.25,"rect",16,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",256,0.25,"diavolo",16,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",256,0.5,"rect",16,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",1024,0.25,"rect",8,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",1024,0.5,"rect",8,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",8,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",512,0.25,"rect",8,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",512,0.5,"rect",8,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",512,0.5,"diavolo",8,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",256,0.25,"rect",8,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",256,0.5,"rect",8,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",4,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",512,0.25,"rect",4,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",512,0.5,"diavolo",4,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",256,0.5,"diavolo",4,1,0.217391312122345,0.111111111938953
"pittsburg-bridges-SPAN",1024,0.5,"diavolo",2,1,0.217391312122345,0.111111111938953
