"dataset","bottleneck","nblocks","valAccuracy","learningrate","nhidden","blockForm","testAccuracy"
"pittsburg-bridges-MATERIAL",0.5,2,0.786666738986969,0.01,512,"rect",0.96153849363327
"pittsburg-bridges-MATERIAL",0.25,2,0.786666738986969,0.1,256,"rect",0.96153849363327
"pittsburg-bridges-MATERIAL",0.5,2,0.780000072717667,0.1,512,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,8,0.780000066757202,0.01,512,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,8,0.780000066757202,0.01,1024,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,2,0.780000066757202,0.01,1024,"rect",0.923076987266541
"pittsburg-bridges-MATERIAL",0.25,4,0.773333406448364,0.01,256,"rect",0.884615421295166
"pittsburg-bridges-MATERIAL",0.25,4,0.773333406448364,0.1,512,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,3,0.7733334004879,0.1,1024,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,3,0.773333394527435,0.1,1024,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,4,0.773333394527435,0.01,256,"rect",0.884615421295166
"pittsburg-bridges-MATERIAL",0.25,4,0.766666740179062,0.1,1024,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,3,0.766666740179062,0.01,256,"diavolo",0.846153914928436
"pittsburg-bridges-MATERIAL",0.25,8,0.766666740179062,0.01,256,"diavolo",0.96153849363327
"pittsburg-bridges-MATERIAL",0.25,4,0.766666734218598,0.1,512,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,4,0.766666722297669,0.1,256,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,2,0.766666722297668,0.1,512,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,3,0.76000007390976,0.1,1024,"diavolo",0.884615421295166
"pittsburg-bridges-MATERIAL",0.25,8,0.760000061988831,0.01,1024,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,16,0.760000061988831,0.01,256,"diavolo",0.769230842590332
"pittsburg-bridges-MATERIAL",0.25,3,0.760000061988831,0.1,256,"rect",0.96153849363327
"pittsburg-bridges-MATERIAL",0.5,2,0.760000061988831,0.1,512,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,3,0.753333407640457,0.01,1024,"diavolo",0.884615421295166
"pittsburg-bridges-MATERIAL",0.25,4,0.753333389759064,0.01,1024,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,8,0.753333389759064,0.01,512,"rect",0.96153849363327
"pittsburg-bridges-MATERIAL",0.5,3,0.753333389759064,0.01,1024,"rect",0.96153849363327
"pittsburg-bridges-MATERIAL",0.25,3,0.753333389759064,0.01,512,"diavolo",0.846153914928436
"pittsburg-bridges-MATERIAL",0.25,3,0.746666741371155,0.1,256,"diavolo",0.923076987266541
"pittsburg-bridges-MATERIAL",0.25,2,0.746666741371155,0.01,512,"rect",0.96153849363327
"pittsburg-bridges-MATERIAL",0.5,4,0.74666673541069,0.01,512,"rect",0.96153849363327
"pittsburg-bridges-MATERIAL",0.25,3,0.74666673541069,0.01,1024,"rect",0.96153849363327
"pittsburg-bridges-MATERIAL",0.5,8,0.746666723489761,0.01,512,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,2,0.746666711568832,0.1,256,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,2,0.746666693687439,0.1,512,"diavolo",0.96153849363327
"pittsburg-bridges-MATERIAL",0.5,2,0.73333340883255,0.01,512,"diavolo",0.884615421295166
"pittsburg-bridges-MATERIAL",0.25,16,0.733333396911621,0.01,1024,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,8,0.733333396911621,0.01,256,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,16,0.733333384990692,0.01,512,"rect",0.846153914928436
"pittsburg-bridges-MATERIAL",0.5,8,0.726666736602783,0.1,256,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,3,0.720000076293945,0.1,256,"diavolo",0.96153849363327
"pittsburg-bridges-MATERIAL",0.25,8,0.720000070333481,0.1,256,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,8,0.720000046491623,0.1,256,"diavolo",0.884615421295166
"pittsburg-bridges-MATERIAL",0.25,8,0.713333404064178,0.01,1024,"rect",0.96153849363327
"pittsburg-bridges-MATERIAL",0.25,3,0.71333339214325,0.1,512,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,8,0.70666674375534,0.1,512,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,4,0.700000071525574,0.1,256,"rect",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,3,0.700000071525574,0.1,512,"diavolo",0.96153849363327
"pittsburg-bridges-MATERIAL",0.5,16,0.693333351612091,0.01,256,"rect",0.884615421295166
"pittsburg-bridges-MATERIAL",0.25,4,0.686666744947434,0.01,256,"diavolo",0.884615421295166
"pittsburg-bridges-MATERIAL",0.5,4,0.68666672706604,0.01,1024,"diavolo",0.923076987266541
"pittsburg-bridges-MATERIAL",0.5,4,0.680000072717667,0.1,256,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.25,16,0.680000066757202,0.01,512,"diavolo",0.807692408561707
"pittsburg-bridges-MATERIAL",0.5,8,0.673333394527435,0.01,1024,"diavolo",0.807692408561707
"pittsburg-bridges-MATERIAL",0.25,16,0.666666746139526,0.1,1024,"diavolo",0.769230842590332
"pittsburg-bridges-MATERIAL",0.25,16,0.666666746139526,0.1,512,"diavolo",0.769230842590332
"pittsburg-bridges-MATERIAL",0.25,16,0.666666746139526,0.1,256,"diavolo",0.769230842590332
"pittsburg-bridges-MATERIAL",0.5,8,0.666666746139526,0.1,1024,"diavolo",0.769230842590332
"pittsburg-bridges-MATERIAL",0.5,8,0.666666746139526,0.1,512,"diavolo",0.769230842590332
"pittsburg-bridges-MATERIAL",0.5,3,0.660000073909759,0.1,1024,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.5,16,0.64666672423482,0.01,256,"diavolo",0.769230842590332
"pittsburg-bridges-MATERIAL",0.25,4,0.640000057220459,0.01,1024,"diavolo",0.807692408561707
"pittsburg-bridges-MATERIAL",0.5,3,0.640000033378601,0.01,256,"rect",0.96153849363327
"pittsburg-bridges-MATERIAL",0.25,3,0.620000058412552,0.01,256,"rect",0.846153914928436
"pittsburg-bridges-MATERIAL",0.25,2,0.620000058412552,0.01,512,"diavolo",0.884615421295166
"pittsburg-bridges-MATERIAL",0.5,8,0.620000052452087,0.01,256,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,4,0.600000071525574,0.1,1024,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.5,3,0.600000029802322,0.01,512,"diavolo",0.923076927661896
"pittsburg-bridges-MATERIAL",0.5,4,0.580000030994415,0.01,256,"diavolo",0.769230842590332
"pittsburg-bridges-MATERIAL",0.5,8,0.566666731238365,0.1,512,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.5,16,0.553333383798599,0.01,1024,"diavolo",0.884615421295166
"pittsburg-bridges-MATERIAL",0.5,16,0.533333390951157,0.1,256,"diavolo",0.0769230797886848
"pittsburg-bridges-MATERIAL",0.5,3,0.473333361744881,0.01,1024,"diavolo",0.884615421295166
"pittsburg-bridges-MATERIAL",0.25,4,0.46666671037674,0.1,1024,"rect",0.769230842590332
"pittsburg-bridges-MATERIAL",0.5,16,0.400000047683716,0.01,512,"diavolo",0.730769276618958
"pittsburg-bridges-MATERIAL",0.5,8,0.400000029802322,0.1,1024,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,8,0.400000023841858,0.1,512,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,3,0.400000023841858,1,1024,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,2,0.400000023841858,1,256,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,3,0.380000019073486,1,512,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,2,0.366666683554649,1,512,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,4,0.366666683554649,1,256,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,3,0.366666683554649,1,1024,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,3,0.366666683554649,1,512,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,3,0.366666683554649,1,256,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,2,0.366666683554649,1,1024,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,2,0.366666683554649,1,512,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,2,0.366666683554649,1,256,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,4,0.353333351016045,1,1024,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,4,0.346666683256626,1,512,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,16,0.346666678786278,1,1024,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,4,0.346666678786278,1,256,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,16,0.340000012516975,0.1,1024,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,16,0.333333349227905,0.1,256,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,4,0.333333346247673,1,512,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,16,0.333333343267441,0.1,1024,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,16,0.333333343267441,0.1,1024,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,16,0.333333343267441,0.1,512,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,16,0.333333343267441,0.1,512,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,16,0.333333343267441,0.1,512,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,16,0.333333343267441,0.1,256,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,16,0.333333343267441,1,1024,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,16,0.333333343267441,1,1024,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,16,0.333333343267441,1,1024,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,16,0.333333343267441,1,512,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,16,0.333333343267441,1,512,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,16,0.333333343267441,1,512,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,16,0.333333343267441,1,512,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,16,0.333333343267441,1,256,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,16,0.333333343267441,1,256,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,16,0.333333343267441,1,256,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,16,0.333333343267441,1,256,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,8,0.333333343267441,0.1,1024,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,8,0.333333343267441,1,1024,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,8,0.333333343267441,1,1024,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,8,0.333333343267441,1,1024,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,8,0.333333343267441,1,1024,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,8,0.333333343267441,1,512,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,8,0.333333343267441,1,512,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,8,0.333333343267441,1,512,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,8,0.333333343267441,1,512,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,8,0.333333343267441,1,256,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,8,0.333333343267441,1,256,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,8,0.333333343267441,1,256,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,8,0.333333343267441,1,256,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,4,0.333333343267441,1,1024,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,4,0.333333343267441,1,1024,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,4,0.333333343267441,1,1024,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,4,0.333333343267441,1,512,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,4,0.333333343267441,1,512,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,4,0.333333343267441,1,256,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,4,0.333333343267441,1,256,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,3,0.333333343267441,1,1024,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,3,0.333333343267441,1,1024,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,3,0.333333343267441,1,512,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,3,0.333333343267441,1,512,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,3,0.333333343267441,1,256,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,3,0.333333343267441,1,256,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,3,0.333333343267441,1,256,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.25,2,0.333333343267441,1,1024,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,2,0.333333343267441,1,1024,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,2,0.333333343267441,1,1024,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,2,0.333333343267441,1,512,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,2,0.333333343267441,1,512,"diavolo",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,2,0.333333343267441,1,256,"rect",0.15384615957737
"pittsburg-bridges-MATERIAL",0.5,2,0.333333343267441,1,256,"diavolo",0.15384615957737
