"dataset","nhidden","testAccuracy","valAccuracy","learningrate","nblocks","blockForm","bottleneck"
"car",1024,0.918981552124023,0.899468058347702,0.1,2,"diavolo",0.5
"car",512,0.921296298503876,0.894148916006088,0.1,2,"diavolo",0.25
"car",1024,0.884259223937988,0.887765955924988,0.01,16,"rect",0.5
"car",256,0.877314805984497,0.882978719472885,0.1,2,"diavolo",0.5
"car",512,0.831018567085266,0.881382948160172,0.01,8,"rect",0.5
"car",256,0.89814817905426,0.879787230491638,0.1,3,"diavolo",0.5
"car",256,0.854166746139526,0.874468094110489,0.01,3,"rect",0.25
"car",256,0.856481552124023,0.872872292995453,0.01,3,"rect",0.5
"car",256,0.865740776062012,0.870744681358338,0.01,2,"diavolo",0.25
"car",512,0.863425970077515,0.870212751626969,0.01,2,"rect",0.5
"car",1024,0.861111164093018,0.868617022037506,0.01,2,"rect",0.5
"car",256,0.865740776062012,0.868085116147995,0.01,2,"rect",0.5
"car",256,0.909722208976746,0.866489344835281,0.1,4,"diavolo",0.25
"car",256,0.847222208976746,0.865425533056259,0.1,2,"diavolo",0.25
"car",1024,0.844907402992249,0.865425533056259,0.01,4,"rect",0.25
"car",1024,0.863425970077515,0.861702120304108,0.01,4,"rect",0.5
"car",1024,0.879629611968994,0.861702114343643,0.01,2,"rect",0.25
"car",256,0.89814817905426,0.861170184612274,0.1,3,"diavolo",0.25
"car",512,0.840277791023254,0.85797872543335,0.01,4,"rect",0.25
"car",1024,0.824074029922485,0.857978719472885,0.01,3,"rect",0.25
"car",1024,0.847222149372101,0.857446813583374,0.01,2,"diavolo",0.5
"car",256,0.819444417953491,0.852659571170807,0.01,8,"rect",0.5
"car",1024,0.844907402992249,0.852659559249878,0.01,8,"rect",0.25
"car",512,0.858796298503876,0.852659541368485,0.01,8,"rect",0.25
"car",512,0.854166686534882,0.85053191781044,0.01,2,"diavolo",0.5
"car",256,0.824074149131775,0.849468046426773,0.01,8,"rect",0.25
"car",512,0.84722226858139,0.843085068464279,0.01,3,"rect",0.25
"car",1024,0.819444417953491,0.842553192377091,0.01,3,"rect",0.5
"car",512,0.821759283542633,0.840957415103912,0.01,4,"diavolo",0.25
"car",512,0.814814805984497,0.835106372833252,0.01,16,"rect",0.5
"car",1024,0.84027773141861,0.834574443101883,0.01,16,"rect",0.25
"car",512,0.805555522441864,0.832446783781052,0.01,16,"diavolo",0.5
"car",256,0.81250011920929,0.830319160223007,0.01,4,"diavolo",0.5
"car",1024,0.837963044643402,0.830319148302078,0.01,8,"rect",0.5
"car",1024,0.833333373069763,0.829787200689316,0.01,2,"diavolo",0.25
"car",256,0.821759283542633,0.829255318641663,0.01,16,"diavolo",0.5
"car",256,0.819444358348846,0.829255318641663,0.01,4,"rect",0.5
"car",256,0.814814805984497,0.827659559249878,0.01,2,"diavolo",0.5
"car",512,0.812499940395355,0.824468100070954,0.01,2,"diavolo",0.25
"car",512,0.814814805984497,0.822340422868729,0.01,8,"diavolo",0.25
"car",512,0.854166746139526,0.82180849313736,0.01,4,"rect",0.5
"car",256,0.821759223937988,0.821276587247849,0.01,3,"diavolo",0.5
"car",256,0.833333313465118,0.820744675397873,0.01,16,"rect",0.5
