"dataset","bottleneck","learningrate","testAccuracy","nblocks","blockForm","nhidden","valAccuracy"
"statlog-shuttle",0.5,1,0.791586458683014,3,"rect",1024,0.779804295301437
"statlog-shuttle",0.5,1,0.791586458683014,3,"rect",512,0.779804295301437
"statlog-shuttle",0.5,1,0.791586458683014,3,"diavolo",256,0.779804295301437
"statlog-shuttle",0.25,1,0.791586458683014,2,"rect",512,0.779804295301437
"statlog-shuttle",0.5,1,0.791586518287659,2,"rect",512,0.779804295301437
"statlog-shuttle",0.25,0.1,0.791586518287659,16,"rect",1024,0.779804289340973
"statlog-shuttle",0.5,0.1,0.791586518287659,16,"rect",1024,0.779804289340973
"statlog-shuttle",0.5,0.1,0.791586458683014,16,"diavolo",1024,0.779804289340973
"statlog-shuttle",0.25,1,0.791586399078369,16,"rect",1024,0.779804289340973
"statlog-shuttle",0.25,1,0.791586458683014,16,"diavolo",1024,0.779804289340973
"statlog-shuttle",0.5,1,0.791586458683014,16,"rect",1024,0.779804289340973
"statlog-shuttle",0.5,1,0.791586399078369,16,"diavolo",1024,0.779804289340973
"statlog-shuttle",0.25,1,0.791586399078369,16,"diavolo",512,0.779804289340973
"statlog-shuttle",0.5,1,0.791586399078369,16,"rect",512,0.779804289340973
"statlog-shuttle",0.25,1,0.791586399078369,16,"rect",256,0.779804289340973
"statlog-shuttle",0.25,1,0.791586458683014,16,"diavolo",256,0.779804289340973
"statlog-shuttle",0.5,0.1,0.791586458683014,8,"rect",1024,0.779804289340973
"statlog-shuttle",0.25,1,0.791586458683014,8,"diavolo",1024,0.779804289340973
"statlog-shuttle",0.5,1,0.791586458683014,8,"rect",1024,0.779804289340973
"statlog-shuttle",0.5,1,0.791586518287659,8,"diavolo",1024,0.779804289340973
"statlog-shuttle",0.25,1,0.791586399078369,8,"rect",512,0.779804289340973
"statlog-shuttle",0.25,1,0.791586458683014,8,"diavolo",512,0.779804289340973
"statlog-shuttle",0.5,1,0.791586458683014,8,"rect",512,0.779804289340973
"statlog-shuttle",0.5,1,0.791586399078369,8,"diavolo",512,0.779804289340973
"statlog-shuttle",0.25,1,0.791586458683014,8,"rect",256,0.779804289340973
"statlog-shuttle",0.25,1,0.791586458683014,8,"diavolo",256,0.779804289340973
"statlog-shuttle",0.5,1,0.791586399078369,8,"diavolo",256,0.779804289340973
"statlog-shuttle",0.25,1,0.791586518287659,4,"diavolo",1024,0.779804289340973
"statlog-shuttle",0.5,1,0.791586518287659,4,"rect",1024,0.779804289340973
"statlog-shuttle",0.5,1,0.791586458683014,4,"diavolo",1024,0.779804289340973
"statlog-shuttle",0.25,1,0.791586399078369,4,"diavolo",512,0.779804289340973
"statlog-shuttle",0.5,1,0.791586458683014,4,"diavolo",512,0.779804289340973
"statlog-shuttle",0.25,1,0.791586399078369,4,"rect",256,0.779804289340973
"statlog-shuttle",0.25,1,0.791586458683014,4,"diavolo",256,0.779804289340973
"statlog-shuttle",0.5,1,0.791586399078369,4,"diavolo",256,0.779804289340973
"statlog-shuttle",0.25,1,0.791586458683014,3,"rect",1024,0.779804289340973
"statlog-shuttle",0.5,1,0.791586458683014,3,"diavolo",1024,0.779804289340973
"statlog-shuttle",0.25,1,0.791586458683014,3,"rect",512,0.779804289340973
"statlog-shuttle",0.5,1,0.791586458683014,3,"diavolo",512,0.779804289340973
"statlog-shuttle",0.25,1,0.791586458683014,3,"rect",256,0.779804289340973
"statlog-shuttle",0.25,1,0.791586458683014,3,"diavolo",256,0.779804289340973
"statlog-shuttle",0.5,1,0.791586399078369,3,"rect",256,0.779804289340973
"statlog-shuttle",0.25,1,0.791586518287659,2,"diavolo",1024,0.779804289340973
"statlog-shuttle",0.5,1,0.791586458683014,2,"diavolo",1024,0.779804289340973
"statlog-shuttle",0.25,1,0.791586458683014,2,"diavolo",512,0.779804289340973
"statlog-shuttle",0.5,1,0.791586458683014,2,"diavolo",512,0.779804289340973
"statlog-shuttle",0.25,1,0.791586458683014,2,"diavolo",256,0.779804289340973
"statlog-shuttle",0.5,1,0.791586458683014,2,"rect",256,0.779804289340973
"statlog-shuttle",0.5,1,0.791586399078369,2,"diavolo",256,0.779804289340973
