"dataset","learningrate","valAccuracy","nblocks","bottleneck","testAccuracy","blockForm","nhidden"
"magic",0.01,0.79727355837822,16,0.25,0.792218804359436,"diavolo",1024
"magic",0.01,0.795286512374878,8,0.25,0.790956914424896,"rect",512
"magic",0.01,0.7928835272789,3,0.5,0.785699367523193,"diavolo",1024
"magic",0.01,0.791959303617477,16,0.5,0.788222968578339,"rect",512
"magic",0.01,0.791497206687927,8,0.5,0.784016907215118,"rect",1024
"magic",0.01,0.790341955423355,8,0.5,0.798738241195679,"diavolo",1024
"magic",0.01,0.788447308540344,16,0.5,0.764248251914978,"rect",1024
"magic",0.01,0.781885379552841,4,0.5,0.777917981147766,"rect",1024
"magic",0.01,0.764787423610687,4,0.25,0.771188318729401,"rect",1024
"magic",0.01,0.761414045095444,2,0.5,0.752681493759155,"diavolo",1024
"magic",1,0.660351276397705,16,0.5,0.648370146751404,"rect",256
"magic",1,0.660351276397705,3,0.5,0.648370146751404,"rect",512
"magic",1,0.660351264476776,16,0.25,0.648370146751404,"diavolo",256
"magic",0.1,0.660351264476776,8,0.25,0.648370146751404,"rect",1024
"magic",1,0.660351264476776,8,0.5,0.648370146751404,"diavolo",512
"magic",1,0.660351264476776,8,0.25,0.648370146751404,"rect",256
"magic",1,0.660351264476776,4,0.5,0.648370146751404,"rect",1024
"magic",1,0.660351264476776,4,0.5,0.648370146751404,"rect",512
"magic",1,0.660351264476776,4,0.5,0.648370146751404,"diavolo",512
"magic",1,0.660351264476776,4,0.25,0.648370146751404,"diavolo",256
"magic",1,0.660351264476776,2,0.5,0.648370206356049,"rect",256
"magic",0.1,0.660351252555847,16,0.25,0.648370146751404,"rect",1024
"magic",1,0.660351252555847,16,0.5,0.648370146751404,"diavolo",1024
"magic",1,0.660351252555847,16,0.25,0.648370206356049,"diavolo",512
"magic",1,0.660351252555847,8,0.5,0.648370146751404,"diavolo",1024
"magic",1,0.660351252555847,8,0.25,0.648370146751404,"diavolo",512
"magic",1,0.660351252555847,3,0.25,0.648370146751404,"diavolo",1024
"magic",0.1,0.660351240634918,16,0.5,0.648370146751404,"rect",512
"magic",1,0.660351240634918,16,0.25,0.648370146751404,"diavolo",1024
"magic",1,0.660351240634918,16,0.5,0.648370146751404,"diavolo",256
"magic",0.1,0.660351240634918,8,0.5,0.648370206356049,"rect",1024
"magic",1,0.660351240634918,8,0.25,0.648370146751404,"diavolo",256
"magic",1,0.660351240634918,8,0.5,0.648370146751404,"rect",256
"magic",1,0.660351240634918,4,0.25,0.648370146751404,"diavolo",1024
"magic",1,0.660351240634918,4,0.5,0.648370146751404,"diavolo",256
"magic",1,0.660351240634918,3,0.5,0.648370146751404,"diavolo",256
"magic",1,0.660351240634918,2,0.25,0.648370146751404,"rect",512
"magic",1,0.660351240634918,2,0.25,0.648370146751404,"rect",256
"magic",1,0.660351240634918,3,0.25,0.648370146751404,"rect",1024
