"dataset","learningrate","bottleneck","nblocks","blockForm","nhidden","testAccuracy","valAccuracy"
"pima",0.1,0.5,3,"diavolo",512,0.723958373069763,0.769411838054657
"pima",0.1,0.5,8,"diavolo",1024,0.744791686534882,0.76941180229187
"pima",0.1,0.5,3,"rect",512,0.734375,0.765882408618927
"pima",0.01,0.5,8,"rect",256,0.651041686534882,0.764705896377563
"pima",0.1,0.25,3,"rect",512,0.703125,0.763529455661774
"pima",0.1,0.5,4,"diavolo",256,0.666666746139526,0.762352991104126
"pima",0.01,0.25,16,"diavolo",1024,0.697916686534882,0.762352967262268
"pima",0.01,0.5,4,"rect",512,0.692708373069763,0.760000050067902
"pima",0.01,0.25,2,"diavolo",1024,0.703125,0.760000026226044
"pima",0.01,0.25,8,"diavolo",512,0.666666686534882,0.757647114992142
"pima",0.01,0.5,16,"rect",512,0.671875059604645,0.757647109031677
"pima",0.01,0.5,3,"diavolo",256,0.682291686534882,0.754117715358734
"pima",0.1,0.25,3,"rect",1024,0.703125,0.754117685556412
"pima",0.01,0.5,2,"diavolo",512,0.708333373069763,0.752941250801087
"pima",0.01,0.25,4,"rect",512,0.703125,0.7529412150383
"pima",0.1,0.5,4,"rect",256,0.729166746139526,0.752941203117371
"pima",0.01,0.5,3,"diavolo",1024,0.635416686534882,0.752941191196442
"pima",0.01,0.25,8,"rect",1024,0.682291686534882,0.751764762401581
"pima",0.1,0.25,8,"diavolo",512,0.666666686534882,0.750588268041611
"pima",0.01,0.5,4,"rect",256,0.65625,0.750588250160217
"pima",0.1,0.25,3,"rect",256,0.687500059604645,0.749411797523499
"pima",0.01,0.25,3,"rect",512,0.635416686534882,0.748235309123993
"pima",0.01,0.5,2,"rect",256,0.666666686534882,0.747058868408203
"pima",0.1,0.25,2,"diavolo",256,0.6875,0.744705921411514
"pima",0.1,0.5,8,"rect",256,0.708333373069763,0.743529450893402
"pima",0.01,0.5,8,"diavolo",256,0.729166686534882,0.743529450893402
"pima",0.01,0.25,3,"rect",1024,0.609375,0.741176509857178
"pima",0.01,0.25,3,"diavolo",512,0.692708373069763,0.740000057220459
"pima",0.01,0.25,8,"diavolo",1024,0.703125059604645,0.736470627784729
"pima",0.01,0.5,4,"diavolo",1024,0.713541746139526,0.734117698669434
"pima",0.01,0.25,8,"diavolo",256,0.661458373069763,0.734117698669434
"pima",0.1,0.5,4,"diavolo",512,0.677083313465118,0.73411768078804
"pima",0.01,0.5,4,"rect",1024,0.723958313465118,0.734117662906647
"pima",0.01,0.25,4,"rect",256,0.677083373069763,0.731764769554138
"pima",0.1,0.25,16,"diavolo",1024,0.692708373069763,0.73176474571228
"pima",0.1,0.25,4,"rect",256,0.682291746139526,0.730588293075562
"pima",0.01,0.5,8,"rect",512,0.723958373069763,0.728235334157944
"pima",0.01,0.5,3,"diavolo",512,0.614583373069763,0.727058875560761
"pima",0.01,0.5,8,"rect",1024,0.671875059604645,0.727058845758438
"pima",0.01,0.5,3,"rect",256,0.65625,0.725882411003113
"pima",0.01,0.25,16,"diavolo",256,0.708333313465118,0.725882387161255
"pima",0.01,0.25,8,"rect",512,0.677083373069763,0.715294170379639
"pima",1,0.5,8,"diavolo",256,0.651041686534882,0.711764723062515
"pima",0.1,0.25,8,"rect",256,0.651041686534882,0.708235317468643
"pima",0.1,0.25,16,"rect",256,0.651041686534882,0.708235311508179
"pima",0.01,0.5,8,"diavolo",512,0.677083313465118,0.707058864831924
"pima",0.1,0.25,16,"rect",1024,0.651041686534882,0.705882370471954
"pima",0.1,0.5,16,"rect",1024,0.651041686534882,0.705882370471954
"pima",0.1,0.5,16,"diavolo",1024,0.651041686534882,0.705882370471954
"pima",0.1,0.25,16,"rect",512,0.651041686534882,0.705882370471954
"pima",0.1,0.5,16,"rect",512,0.651041686534882,0.705882370471954
"pima",0.1,0.5,16,"rect",256,0.651041686534882,0.705882370471954
"pima",1,0.25,16,"rect",1024,0.651041686534882,0.705882370471954
"pima",1,0.25,16,"diavolo",1024,0.651041686534882,0.705882370471954
"pima",1,0.5,16,"rect",1024,0.651041686534882,0.705882370471954
"pima",1,0.5,16,"diavolo",1024,0.651041686534882,0.705882370471954
"pima",1,0.25,16,"rect",512,0.651041686534882,0.705882370471954
"pima",1,0.25,16,"diavolo",512,0.651041686534882,0.705882370471954
"pima",1,0.5,16,"rect",512,0.651041686534882,0.705882370471954
"pima",1,0.5,16,"diavolo",512,0.651041686534882,0.705882370471954
"pima",1,0.25,16,"rect",256,0.651041686534882,0.705882370471954
"pima",1,0.25,16,"diavolo",256,0.651041686534882,0.705882370471954
"pima",1,0.5,16,"rect",256,0.651041686534882,0.705882370471954
"pima",1,0.5,16,"diavolo",256,0.651041686534882,0.705882370471954
"pima",0.1,0.25,8,"rect",1024,0.651041686534882,0.705882370471954
"pima",0.1,0.5,8,"rect",1024,0.651041686534882,0.705882370471954
"pima",0.1,0.25,8,"rect",512,0.651041686534882,0.705882370471954
"pima",0.1,0.5,8,"rect",512,0.651041686534882,0.705882370471954
"pima",1,0.25,8,"rect",1024,0.651041686534882,0.705882370471954
"pima",1,0.25,8,"diavolo",1024,0.651041686534882,0.705882370471954
"pima",1,0.5,8,"rect",1024,0.651041686534882,0.705882370471954
"pima",1,0.5,8,"diavolo",1024,0.651041686534882,0.705882370471954
"pima",1,0.25,8,"rect",512,0.651041686534882,0.705882370471954
"pima",1,0.25,8,"diavolo",512,0.651041686534882,0.705882370471954
"pima",1,0.5,8,"rect",512,0.651041686534882,0.705882370471954
"pima",1,0.5,8,"diavolo",512,0.651041686534882,0.705882370471954
"pima",1,0.25,8,"rect",256,0.651041686534882,0.705882370471954
"pima",1,0.25,8,"diavolo",256,0.651041686534882,0.705882370471954
"pima",1,0.5,8,"rect",256,0.651041686534882,0.705882370471954
"pima",0.1,0.5,4,"rect",1024,0.651041686534882,0.705882370471954
"pima",1,0.25,4,"rect",1024,0.651041686534882,0.705882370471954
"pima",1,0.25,4,"diavolo",1024,0.651041686534882,0.705882370471954
"pima",1,0.5,4,"rect",1024,0.651041686534882,0.705882370471954
"pima",1,0.5,4,"diavolo",1024,0.651041686534882,0.705882370471954
"pima",1,0.25,4,"rect",512,0.651041686534882,0.705882370471954
"pima",1,0.25,4,"diavolo",512,0.651041686534882,0.705882370471954
"pima",1,0.5,4,"rect",512,0.651041686534882,0.705882370471954
"pima",1,0.5,4,"diavolo",512,0.651041686534882,0.705882370471954
"pima",1,0.25,4,"rect",256,0.651041686534882,0.705882370471954
"pima",1,0.25,4,"diavolo",256,0.651041686534882,0.705882370471954
"pima",1,0.5,4,"rect",256,0.651041686534882,0.705882370471954
"pima",1,0.5,4,"diavolo",256,0.651041686534882,0.705882370471954
"pima",1,0.25,3,"rect",1024,0.651041686534882,0.705882370471954
"pima",1,0.25,3,"diavolo",1024,0.651041686534882,0.705882370471954
"pima",1,0.5,3,"rect",1024,0.651041686534882,0.705882370471954
"pima",1,0.5,3,"diavolo",1024,0.651041686534882,0.705882370471954
"pima",1,0.25,3,"rect",512,0.651041686534882,0.705882370471954
"pima",1,0.25,3,"diavolo",512,0.651041686534882,0.705882370471954
"pima",1,0.5,3,"rect",512,0.651041686534882,0.705882370471954
"pima",1,0.5,3,"diavolo",512,0.651041686534882,0.705882370471954
"pima",1,0.25,3,"rect",256,0.651041686534882,0.705882370471954
"pima",1,0.25,3,"diavolo",256,0.651041686534882,0.705882370471954
"pima",1,0.5,3,"rect",256,0.651041686534882,0.705882370471954
"pima",1,0.5,3,"diavolo",256,0.651041686534882,0.705882370471954
"pima",1,0.25,2,"rect",1024,0.651041686534882,0.705882370471954
"pima",1,0.25,2,"diavolo",1024,0.651041686534882,0.705882370471954
"pima",1,0.5,2,"rect",1024,0.651041686534882,0.705882370471954
"pima",1,0.5,2,"diavolo",1024,0.651041686534882,0.705882370471954
"pima",1,0.25,2,"rect",512,0.651041686534882,0.705882370471954
"pima",1,0.25,2,"diavolo",512,0.651041686534882,0.705882370471954
"pima",1,0.5,2,"rect",512,0.651041686534882,0.705882370471954
"pima",1,0.5,2,"diavolo",512,0.651041686534882,0.705882370471954
"pima",1,0.25,2,"rect",256,0.651041686534882,0.705882370471954
"pima",1,0.25,2,"diavolo",256,0.651041686534882,0.705882370471954
"pima",1,0.5,2,"rect",256,0.651041686534882,0.705882370471954
"pima",1,0.5,2,"diavolo",256,0.651041686534882,0.705882370471954
"pima",0.1,0.5,4,"rect",512,0.661458373069763,0.704705905914307
"pima",0.1,0.25,4,"rect",1024,0.656250059604645,0.70352942943573
"pima",0.01,0.5,2,"rect",1024,0.75,0.69764711856842
"pima",0.01,0.25,3,"rect",256,0.619791686534882,0.692941236495972
"pima",0.01,0.25,4,"diavolo",256,0.666666626930237,0.690588271617889
"pima",0.1,0.5,2,"diavolo",256,0.666666746139526,0.688235348463059
"pima",0.01,0.5,16,"rect",256,0.692708313465118,0.661176496744156
"pima",0.01,0.5,8,"diavolo",1024,0.666666686534882,0.643529433012009
"pima",0.1,0.5,8,"diavolo",256,0.619791686534882,0.640000021457672
"pima",0.1,0.5,16,"diavolo",512,0.651041686534882,0.623529428243637
"pima",0.01,0.5,16,"diavolo",256,0.640625,0.622352981567383
"pima",0.01,0.25,16,"rect",512,0.5625,0.558823561668396
"pima",0.1,0.25,16,"diavolo",512,0.494791686534882,0.550588256120682
