"dataset","blockForm","learningrate","nblocks","testAccuracy","valAccuracy","bottleneck","nhidden"
"acute-nephritis","diavolo",0.1,3,1,1,0.25,256
"acute-nephritis","diavolo",0.1,3,1,1,0.5,256
"acute-nephritis","rect",0.01,2,1,1,0.25,1024
"acute-nephritis","rect",0.01,2,1,1,0.5,1024
"acute-nephritis","diavolo",0.01,2,0.933333396911621,1,0.5,1024
"acute-nephritis","rect",0.01,2,1,1,0.25,512
"acute-nephritis","rect",0.01,2,1,1,0.5,512
"acute-nephritis","diavolo",0.01,2,0.900000095367432,1,0.25,512
"acute-nephritis","diavolo",0.01,2,0.900000095367432,1,0.5,512
"acute-nephritis","rect",0.01,2,0.700000047683716,1,0.25,256
"acute-nephritis","diavolo",0.01,2,0.933333396911621,1,0.5,256
"acute-nephritis","rect",0.1,2,1,1,0.25,1024
"acute-nephritis","rect",0.1,2,1,1,0.5,1024
"acute-nephritis","diavolo",0.1,2,1,1,0.25,1024
"acute-nephritis","diavolo",0.1,2,1,1,0.5,1024
"acute-nephritis","rect",0.1,2,1,1,0.25,512
"acute-nephritis","rect",0.1,2,1,1,0.5,512
"acute-nephritis","diavolo",0.1,2,1,1,0.25,512
"acute-nephritis","diavolo",0.1,2,1,1,0.5,512
"acute-nephritis","rect",0.1,2,1,1,0.25,256
"acute-nephritis","rect",0.1,2,1,1,0.5,256
"acute-nephritis","diavolo",0.1,2,1,1,0.25,256
"acute-nephritis","diavolo",0.1,2,1,1,0.5,256
"acute-nephritis","diavolo",0.1,8,1,0.989999997615814,0.25,256
"acute-nephritis","diavolo",0.01,3,0.800000071525574,0.979999995231628,0.5,256
"acute-nephritis","diavolo",0.01,16,1,0.950000005960464,0.5,512
"acute-nephritis","diavolo",0.01,4,0.933333396911621,0.9299999833107,0.25,1024
"acute-nephritis","diavolo",0.01,3,0.933333396911621,0.899999976158142,0.25,512
"acute-nephritis","diavolo",0.01,2,0.833333373069763,0.899999976158142,0.25,1024
"acute-nephritis","diavolo",0.01,4,0.600000023841858,0.800000011920929,0.25,256
"acute-nephritis","rect",0.01,2,0.800000071525574,0.800000011920929,0.5,256
"acute-nephritis","diavolo",0.01,2,0.866666734218597,0.800000011920929,0.25,256
"acute-nephritis","diavolo",0.1,16,0.400000035762787,0.600000023841858,0.25,512
"acute-nephritis","diavolo",0.1,16,0.400000035762787,0.600000023841858,0.25,256
"acute-nephritis","diavolo",0.1,16,0.400000035762787,0.600000023841858,0.5,256
"acute-nephritis","diavolo",0.1,8,0.400000035762787,0.600000023841858,0.5,1024
"acute-nephritis","rect",0.1,8,0.400000035762787,0.600000023841858,0.25,512
"acute-nephritis","rect",0.1,4,0.600000023841858,0.600000008940697,0.25,1024
"acute-nephritis","rect",1,4,0.600000023841858,0.48000001013279,0.5,256
"acute-nephritis","rect",1,4,0.600000023841858,0.480000007152557,0.25,256
"acute-nephritis","diavolo",1,3,0.600000023841858,0.470000013709068,0.25,512
"acute-nephritis","diavolo",1,3,0.600000023841858,0.470000013709068,0.25,256
"acute-nephritis","diavolo",1,8,0.600000023841858,0.460000014305115,0.25,256
"acute-nephritis","diavolo",1,3,0.600000023841858,0.460000011324883,0.5,256
"acute-nephritis","diavolo",1,2,0.600000023841858,0.460000011324883,0.25,1024
"acute-nephritis","diavolo",0.1,16,0.600000023841858,0.46000000834465,0.25,1024
"acute-nephritis","diavolo",1,8,0.600000023841858,0.460000005364418,0.5,256
"acute-nephritis","rect",1,3,0.600000023841858,0.450000011920929,0.25,256
"acute-nephritis","rect",1,2,0.600000023841858,0.450000011920929,0.25,256
"acute-nephritis","rect",0.1,16,0.400000035762787,0.440000009536743,0.5,256
"acute-nephritis","rect",0.1,8,0.600000023841858,0.440000009536743,0.25,1024
"acute-nephritis","diavolo",1,4,0.600000023841858,0.440000009536743,0.25,256
"acute-nephritis","diavolo",1,2,0.600000023841858,0.440000009536743,0.25,512
"acute-nephritis","diavolo",1,2,0.600000023841858,0.440000009536743,0.5,512
"acute-nephritis","rect",0.1,16,0.600000023841858,0.420000007748604,0.25,512
"acute-nephritis","diavolo",0.1,16,0.600000023841858,0.420000007748604,0.5,512
"acute-nephritis","diavolo",1,16,0.600000023841858,0.420000007748604,0.25,512
"acute-nephritis","rect",0.1,8,0.600000023841858,0.420000007748604,0.5,1024
"acute-nephritis","rect",0.1,8,0.600000023841858,0.420000007748604,0.5,512
"acute-nephritis","rect",1,4,0.600000023841858,0.420000007748604,0.5,1024
"acute-nephritis","rect",1,4,0.600000023841858,0.420000007748604,0.25,512
"acute-nephritis","diavolo",1,4,0.600000023841858,0.420000007748604,0.25,512
"acute-nephritis","rect",1,3,0.600000023841858,0.420000007748604,0.5,1024
"acute-nephritis","rect",1,3,0.600000023841858,0.420000007748604,0.25,512
"acute-nephritis","rect",1,2,0.600000023841858,0.420000007748604,0.5,1024
"acute-nephritis","rect",1,2,0.600000023841858,0.420000007748604,0.25,512
"acute-nephritis","rect",1,2,0.600000023841858,0.420000007748604,0.5,256
"acute-nephritis","diavolo",1,2,0.600000023841858,0.420000007748604,0.25,256
"acute-nephritis","diavolo",1,2,0.600000023841858,0.420000007748604,0.5,256
"acute-nephritis","rect",1,3,0.600000023841858,0.41000000834465,0.5,256
"acute-nephritis","rect",1,3,0.600000023841858,0.400000007450581,0.5,512
"acute-nephritis","diavolo",1,3,0.600000023841858,0.400000007450581,0.5,512
"acute-nephritis","rect",0.1,16,0.600000023841858,0.400000005960465,0.25,1024
"acute-nephritis","rect",0.1,16,0.600000023841858,0.400000005960465,0.5,1024
"acute-nephritis","diavolo",0.1,16,0.600000023841858,0.400000005960465,0.5,1024
"acute-nephritis","rect",0.1,16,0.600000023841858,0.400000005960465,0.5,512
"acute-nephritis","rect",1,16,0.600000023841858,0.400000005960465,0.25,1024
"acute-nephritis","rect",1,16,0.600000023841858,0.400000005960465,0.5,1024
"acute-nephritis","diavolo",1,16,0.600000023841858,0.400000005960465,0.25,1024
"acute-nephritis","diavolo",1,16,0.600000023841858,0.400000005960465,0.5,1024
"acute-nephritis","rect",1,16,0.600000023841858,0.400000005960465,0.25,512
"acute-nephritis","rect",1,16,0.600000023841858,0.400000005960465,0.5,512
"acute-nephritis","diavolo",1,16,0.600000023841858,0.400000005960465,0.5,512
"acute-nephritis","rect",1,16,0.600000023841858,0.400000005960465,0.25,256
"acute-nephritis","rect",1,16,0.600000023841858,0.400000005960465,0.5,256
"acute-nephritis","diavolo",1,16,0.600000023841858,0.400000005960465,0.25,256
"acute-nephritis","diavolo",1,16,0.600000023841858,0.400000005960465,0.5,256
"acute-nephritis","rect",1,8,0.600000023841858,0.400000005960465,0.25,1024
"acute-nephritis","rect",1,8,0.600000023841858,0.400000005960465,0.5,1024
"acute-nephritis","diavolo",1,8,0.600000023841858,0.400000005960465,0.25,1024
"acute-nephritis","diavolo",1,8,0.600000023841858,0.400000005960465,0.5,1024
"acute-nephritis","rect",1,8,0.600000023841858,0.400000005960465,0.25,512
"acute-nephritis","rect",1,8,0.600000023841858,0.400000005960465,0.5,512
"acute-nephritis","diavolo",1,8,0.600000023841858,0.400000005960465,0.25,512
"acute-nephritis","diavolo",1,8,0.600000023841858,0.400000005960465,0.5,512
"acute-nephritis","rect",1,8,0.600000023841858,0.400000005960465,0.25,256
"acute-nephritis","rect",1,8,0.600000023841858,0.400000005960465,0.5,256
"acute-nephritis","rect",1,4,0.600000023841858,0.400000005960465,0.25,1024
"acute-nephritis","diavolo",1,4,0.600000023841858,0.400000005960465,0.25,1024
"acute-nephritis","diavolo",1,4,0.600000023841858,0.400000005960465,0.5,1024
"acute-nephritis","rect",1,4,0.600000023841858,0.400000005960465,0.5,512
"acute-nephritis","diavolo",1,4,0.600000023841858,0.400000005960465,0.5,512
"acute-nephritis","diavolo",1,4,0.600000023841858,0.400000005960465,0.5,256
"acute-nephritis","rect",1,3,0.600000023841858,0.400000005960465,0.25,1024
"acute-nephritis","diavolo",1,3,0.600000023841858,0.400000005960465,0.25,1024
"acute-nephritis","diavolo",1,3,0.600000023841858,0.400000005960465,0.5,1024
"acute-nephritis","rect",1,2,0.600000023841858,0.400000005960465,0.25,1024
"acute-nephritis","diavolo",1,2,0.600000023841858,0.400000005960465,0.5,1024
"acute-nephritis","rect",1,2,0.600000023841858,0.400000005960465,0.5,512
