"dataset","nhidden","blockForm","valAccuracy","learningrate","bottleneck","testAccuracy","nblocks"
"statlog-vehicle",1024,"rect",0.704054063558579,0.01,0.25,0.658767819404602,16
"statlog-vehicle",1024,"diavolo",0.702702713012695,0.1,0.25,0.71563982963562,8
"statlog-vehicle",512,"diavolo",0.687837892770767,0.01,0.25,0.687203824520111,16
"statlog-vehicle",256,"diavolo",0.687837880849838,0.1,0.25,0.725118517875671,2
"statlog-vehicle",512,"rect",0.68378381729126,0.1,0.25,0.734597206115723,4
"statlog-vehicle",1024,"rect",0.683783805370331,0.1,0.5,0.71563982963562,3
"statlog-vehicle",1024,"rect",0.681081110239029,0.01,0.25,0.582938432693481,8
"statlog-vehicle",256,"diavolo",0.671621638536453,0.01,0.5,0.61137443780899,8
"statlog-vehicle",256,"diavolo",0.670270276069641,0.01,0.25,0.668246507644653,16
"statlog-vehicle",1024,"rect",0.668918937444687,0.01,0.5,0.706161141395569,16
"statlog-vehicle",256,"rect",0.662162184715271,0.1,0.25,0.672985792160034,4
"statlog-vehicle",256,"diavolo",0.660810858011246,0.1,0.25,0.654028475284576,3
"statlog-vehicle",256,"rect",0.660810834169388,0.1,0.25,0.668246448040009,3
"statlog-vehicle",256,"rect",0.652702730894089,0.01,0.25,0.568720400333405,2
"statlog-vehicle",512,"rect",0.651351398229599,0.01,0.5,0.663507163524628,16
"statlog-vehicle",256,"diavolo",0.648648685216904,0.1,0.25,0.654028415679932,16
"statlog-vehicle",256,"rect",0.648648679256439,0.01,0.25,0.6398104429245,3
"statlog-vehicle",1024,"rect",0.643243277072907,0.01,0.5,0.6398104429245,4
"statlog-vehicle",1024,"diavolo",0.641891902685165,0.01,0.25,0.672985792160034,8
"statlog-vehicle",1024,"diavolo",0.637837874889374,0.01,0.25,0.587677717208862,3
"statlog-vehicle",256,"diavolo",0.63783785700798,0.1,0.25,0.701421797275543,4
"statlog-vehicle",512,"rect",0.636486518383026,0.1,0.25,0.635071098804474,8
"statlog-vehicle",256,"rect",0.635135173797607,0.01,0.25,0.549763083457947,16
"statlog-vehicle",512,"rect",0.635135167837143,0.01,0.25,0.701421856880188,4
"statlog-vehicle",256,"rect",0.633783823251724,0.01,0.25,0.663507103919983,4
"statlog-vehicle",1024,"rect",0.633783823251724,0.01,0.5,0.601895749568939,2
"statlog-vehicle",512,"rect",0.633783823251724,0.01,0.5,0.649289131164551,3
"statlog-vehicle",1024,"diavolo",0.631081122159958,0.01,0.5,0.616113781929016,8
"statlog-vehicle",1024,"rect",0.628378421068192,0.01,0.25,0.672985851764679,2
"statlog-vehicle",1024,"rect",0.627027040719986,0.01,0.5,0.616113781929016,8
"statlog-vehicle",256,"diavolo",0.622973012924194,0.1,0.5,0.71563982963562,8
"statlog-vehicle",1024,"diavolo",0.620270305871963,0.01,0.5,0.582938432693481,4
"statlog-vehicle",512,"diavolo",0.617567616701126,0.01,0.25,0.57345974445343,3
"statlog-vehicle",256,"rect",0.616216230392456,0.01,0.25,0.601895749568939,8
"statlog-vehicle",512,"diavolo",0.613513547182083,0.01,0.5,0.563981056213379,16
"statlog-vehicle",256,"diavolo",0.609459495544434,0.01,0.5,0.530805706977844,3
"statlog-vehicle",256,"diavolo",0.604054111242294,0.01,0.5,0.60663503408432,4
"statlog-vehicle",256,"rect",0.604054081439972,0.01,0.5,0.592417120933533,3
"statlog-vehicle",256,"rect",0.600000041723251,0.1,0.25,0.654028475284576,2
"statlog-vehicle",512,"rect",0.591891944408417,0.01,0.25,0.663507103919983,3
"statlog-vehicle",1024,"rect",0.589189195632935,0.01,0.25,0.649289071559906,4
"statlog-vehicle",256,"diavolo",0.568918961286545,0.1,0.5,0.554502367973328,4
"statlog-vehicle",1024,"diavolo",0.567567604780197,0.01,0.5,0.658767819404602,16
"statlog-vehicle",512,"rect",0.567567563056946,0.01,0.5,0.649289131164551,4
"statlog-vehicle",512,"rect",0.566216230392456,0.01,0.25,0.582938432693481,8
"statlog-vehicle",1024,"diavolo",0.558108133077621,0.01,0.5,0.616113781929016,2
"statlog-vehicle",256,"diavolo",0.552702736854553,0.01,0.5,0.563981056213379,16
"statlog-vehicle",1024,"diavolo",0.547297322750092,0.01,0.25,0.578199088573456,16
"statlog-vehicle",1024,"diavolo",0.545945978164673,0.01,0.25,0.478672981262207,2
"statlog-vehicle",512,"diavolo",0.54054057598114,0.01,0.5,0.606635093688965,2
"statlog-vehicle",256,"rect",0.539189225435257,0.01,0.5,0.49763035774231,8
"statlog-vehicle",512,"rect",0.536486524343491,0.01,0.25,0.568720400333405,16
"statlog-vehicle",256,"diavolo",0.532432472705841,0.1,0.5,0.53554505109787,3
"statlog-vehicle",512,"diavolo",0.532432451844215,0.1,0.25,0.507109045982361,16
"statlog-vehicle",1024,"diavolo",0.527027010917664,0.01,0.5,0.53554505109787,3
"statlog-vehicle",256,"rect",0.525675666332245,0.01,0.5,0.592417120933533,4
"statlog-vehicle",512,"diavolo",0.521621668338776,0.01,0.5,0.620853066444397,8
"statlog-vehicle",256,"diavolo",0.521621668338776,0.01,0.25,0.50236964225769,8
"statlog-vehicle",512,"diavolo",0.50405410528183,0.01,0.25,0.502369701862335,4
"statlog-vehicle",256,"diavolo",0.498648679256439,0.01,0.25,0.587677776813507,3
"statlog-vehicle",256,"diavolo",0.486486494541168,0.01,0.5,0.635071098804474,2
"statlog-vehicle",512,"diavolo",0.483783796429634,0.01,0.5,0.393364936113358,3
"statlog-vehicle",256,"rect",0.479729771614075,0.01,0.5,0.450236976146698,16
"statlog-vehicle",1024,"rect",0.467567607760429,0.01,0.5,0.464455008506775,3
"statlog-vehicle",256,"rect",0.464864885807037,0.1,0.25,0.469194352626801,16
"statlog-vehicle",1024,"diavolo",0.451351380348206,0.01,0.25,0.459715634584427,4
"statlog-vehicle",256,"diavolo",0.439189225435257,0.01,0.25,0.488151699304581,4
"statlog-vehicle",1024,"rect",0.437837874889374,0.01,0.25,0.459715634584427,3
"statlog-vehicle",512,"diavolo",0.433783793449402,0.01,0.25,0.488151699304581,8
"statlog-vehicle",512,"rect",0.387837851047516,0.01,0.5,0.336492896080017,8
"statlog-vehicle",512,"diavolo",0.377027046680451,0.01,0.5,0.317535549402237,4
"statlog-vehicle",256,"diavolo",0.318918931484222,0.1,0.5,0.39336496591568,16
"statlog-vehicle",256,"rect",0.294594612717628,0.1,0.5,0.251184821128845,16
"statlog-vehicle",1024,"diavolo",0.283783805370331,0.1,0.5,0.289099514484406,8
"statlog-vehicle",1024,"rect",0.260810823738575,0.1,0.5,0.255924165248871,8
"statlog-vehicle",1024,"rect",0.251351360976696,0.1,0.25,0.232227504253387,8
"statlog-vehicle",512,"diavolo",0.250000011920929,1,0.25,0.260663509368896,2
"statlog-vehicle",256,"diavolo",0.241891901195049,1,0.25,0.232227474451065,2
"statlog-vehicle",1024,"rect",0.241891896724701,0.1,0.5,0.232227504253387,4
"statlog-vehicle",256,"rect",0.239189198613167,1,0.25,0.260663509368896,2
"statlog-vehicle",512,"rect",0.239189197123051,0.1,0.5,0.255924165248871,16
"statlog-vehicle",256,"diavolo",0.237837848067284,1,0.25,0.260663509368896,3
"statlog-vehicle",256,"diavolo",0.2364864975214,1,0.5,0.260663509368896,3
"statlog-vehicle",512,"rect",0.236486496031284,1,0.5,0.260663509368896,2
"statlog-vehicle",1024,"rect",0.236486494541168,1,0.25,0.260663509368896,4
"statlog-vehicle",512,"rect",0.235135143995285,0.1,0.25,0.189573466777802,16
"statlog-vehicle",1024,"rect",0.235135143995285,1,0.5,0.260663509368896,4
"statlog-vehicle",512,"rect",0.235135143995285,1,0.25,0.260663509368896,2
"statlog-vehicle",256,"diavolo",0.233783793449402,1,0.5,0.260663509368896,2
"statlog-vehicle",1024,"diavolo",0.232432441413403,0.1,0.5,0.260663509368896,16
"statlog-vehicle",512,"diavolo",0.231081090867519,1,0.25,0.260663509368896,4
"statlog-vehicle",512,"diavolo",0.231081089377403,1,0.25,0.260663509368896,3
"statlog-vehicle",256,"rect",0.229729737341404,1,0.25,0.260663509368896,3
"statlog-vehicle",512,"diavolo",0.227027034759521,1,0.5,0.260663509368896,4
"statlog-vehicle",1024,"diavolo",0.227027034759521,1,0.25,0.260663509368896,3
"statlog-vehicle",256,"rect",0.227027034759521,1,0.5,0.260663509368896,3
"statlog-vehicle",256,"diavolo",0.227027033269405,1,0.5,0.260663509368896,8
"statlog-vehicle",1024,"rect",0.225675682723522,0.1,0.25,0.260663509368896,16
"statlog-vehicle",1024,"diavolo",0.225675682723522,0.1,0.25,0.260663509368896,16
"statlog-vehicle",512,"rect",0.225675682723522,1,0.5,0.260663509368896,4
"statlog-vehicle",1024,"diavolo",0.225675682723522,1,0.25,0.260663509368896,2
"statlog-vehicle",512,"diavolo",0.224324330687523,1,0.5,0.260663509368896,3
"statlog-vehicle",1024,"rect",0.224324330687523,1,0.25,0.260663509368896,2
"statlog-vehicle",1024,"diavolo",0.22162162810564,1,0.5,0.260663509368896,4
"statlog-vehicle",256,"rect",0.22162162810564,1,0.25,0.260663509368896,4
"statlog-vehicle",256,"diavolo",0.22162162810564,1,0.25,0.260663509368896,4
"statlog-vehicle",1024,"rect",0.22162162810564,1,0.25,0.260663509368896,3
"statlog-vehicle",1024,"rect",0.22162162810564,1,0.5,0.260663509368896,2
"statlog-vehicle",512,"diavolo",0.22162162810564,1,0.5,0.260663509368896,2
"statlog-vehicle",1024,"diavolo",0.220270277559757,1,0.25,0.260663509368896,16
"statlog-vehicle",512,"rect",0.220270276069641,1,0.25,0.260663509368896,3
"statlog-vehicle",512,"rect",0.220270276069641,1,0.5,0.260663509368896,3
"statlog-vehicle",1024,"diavolo",0.220270276069641,1,0.5,0.260663509368896,2
"statlog-vehicle",256,"rect",0.220270276069641,1,0.5,0.260663509368896,2
"statlog-vehicle",1024,"diavolo",0.218918925523758,1,0.25,0.260663509368896,4
"statlog-vehicle",256,"rect",0.216216222941875,1,0.5,0.260663509368896,4
"statlog-vehicle",1024,"rect",0.216216221451759,0.1,0.5,0.260663509368896,16
"statlog-vehicle",1024,"rect",0.216216221451759,1,0.25,0.260663509368896,16
"statlog-vehicle",1024,"rect",0.216216221451759,1,0.5,0.260663509368896,16
"statlog-vehicle",1024,"diavolo",0.216216221451759,1,0.5,0.260663509368896,16
"statlog-vehicle",512,"rect",0.216216221451759,1,0.25,0.260663509368896,16
"statlog-vehicle",512,"rect",0.216216221451759,1,0.5,0.260663509368896,16
"statlog-vehicle",512,"diavolo",0.216216221451759,1,0.25,0.260663509368896,16
"statlog-vehicle",512,"diavolo",0.216216221451759,1,0.5,0.260663509368896,16
"statlog-vehicle",256,"rect",0.216216221451759,1,0.25,0.260663509368896,16
"statlog-vehicle",256,"rect",0.216216221451759,1,0.5,0.260663509368896,16
"statlog-vehicle",256,"diavolo",0.216216221451759,1,0.25,0.260663509368896,16
"statlog-vehicle",256,"diavolo",0.216216221451759,1,0.5,0.260663509368896,16
"statlog-vehicle",1024,"rect",0.216216221451759,1,0.25,0.260663509368896,8
"statlog-vehicle",1024,"rect",0.216216221451759,1,0.5,0.260663509368896,8
"statlog-vehicle",1024,"diavolo",0.216216221451759,1,0.25,0.260663509368896,8
"statlog-vehicle",1024,"diavolo",0.216216221451759,1,0.5,0.260663509368896,8
"statlog-vehicle",512,"rect",0.216216221451759,1,0.25,0.260663509368896,8
"statlog-vehicle",512,"rect",0.216216221451759,1,0.5,0.260663509368896,8
"statlog-vehicle",512,"diavolo",0.216216221451759,1,0.25,0.260663509368896,8
"statlog-vehicle",512,"diavolo",0.216216221451759,1,0.5,0.260663509368896,8
"statlog-vehicle",256,"rect",0.216216221451759,1,0.25,0.260663509368896,8
"statlog-vehicle",256,"rect",0.216216221451759,1,0.5,0.260663509368896,8
"statlog-vehicle",256,"diavolo",0.216216221451759,1,0.25,0.260663509368896,8
"statlog-vehicle",512,"rect",0.216216221451759,1,0.25,0.260663509368896,4
"statlog-vehicle",256,"diavolo",0.216216221451759,1,0.5,0.260663509368896,4
"statlog-vehicle",1024,"rect",0.216216221451759,1,0.5,0.260663509368896,3
"statlog-vehicle",1024,"diavolo",0.216216221451759,1,0.5,0.260663509368896,3
"statlog-vehicle",512,"diavolo",0.21486486941576,0.1,0.5,0.260663509368896,16
