"dataset","nhidden","bottleneck","nblocks","blockForm","valAccuracy","learningrate","testAccuracy"
"mushroom",1024,0.5,16,"diavolo",0.854105764627457,0.01,0.908419549465179
"mushroom",1024,0.5,4,"diavolo",0.836557978391647,0.01,0.83407199382782
"mushroom",1024,0.5,8,"diavolo",0.537682890892029,1,0.517971456050873
"mushroom",256,0.25,4,"diavolo",0.537682890892029,1,0.517971456050873
"mushroom",256,0.5,16,"diavolo",0.5376828789711,1,0.517971396446228
"mushroom",512,0.5,4,"diavolo",0.5376828789711,1,0.517971456050873
"mushroom",512,0.5,2,"diavolo",0.537682873010635,1,0.517971456050873
"mushroom",512,0.5,4,"rect",0.537682873010635,1,0.517971456050873
"mushroom",1024,0.25,16,"rect",0.537682867050171,1,0.517971456050873
"mushroom",512,0.25,16,"diavolo",0.537682867050171,1,0.517971456050873
"mushroom",256,0.25,8,"rect",0.537682867050171,1,0.517971456050873
"mushroom",512,0.25,4,"rect",0.537682867050171,1,0.517971515655518
"mushroom",512,0.5,3,"diavolo",0.537682867050171,1,0.517971456050873
"mushroom",256,0.25,16,"diavolo",0.537682861089707,1,0.517971456050873
"mushroom",1024,0.25,8,"rect",0.537682861089707,0.1,0.517971456050873
"mushroom",512,0.5,8,"diavolo",0.537682861089707,1,0.517971515655518
"mushroom",256,0.5,8,"diavolo",0.537682861089707,1,0.517971456050873
"mushroom",256,0.5,4,"rect",0.537682861089707,1,0.517971456050873
"mushroom",256,0.5,2,"rect",0.537682861089707,1,0.517971456050873
"mushroom",512,0.25,8,"rect",0.537682855129242,1,0.517971396446228
"mushroom",1024,0.25,4,"rect",0.537682855129242,1,0.517971456050873
"mushroom",1024,0.5,16,"diavolo",0.537682855129242,1,0.517971456050873
"mushroom",512,0.25,16,"rect",0.537682855129242,1,0.517971456050873
"mushroom",1024,0.25,4,"diavolo",0.537682855129242,1,0.517971456050873
"mushroom",1024,0.5,2,"rect",0.537682855129242,1,0.517971396446228
"mushroom",256,0.25,2,"rect",0.537682855129242,1,0.517971456050873
"mushroom",256,0.25,2,"diavolo",0.537682855129242,1,0.517971456050873
"mushroom",256,0.5,16,"rect",0.537682849168778,1,0.517971515655518
"mushroom",1024,0.5,16,"rect",0.537682849168778,1,0.517971515655518
"mushroom",1024,0.5,8,"rect",0.537682849168778,1,0.517971456050873
"mushroom",1024,0.25,3,"rect",0.537682849168778,1,0.517971515655518
"mushroom",512,0.25,3,"diavolo",0.537682849168778,1,0.517971456050873
"mushroom",256,0.5,3,"rect",0.537682849168778,1,0.517971515655518
"mushroom",1024,0.25,2,"rect",0.537682849168778,1,0.517971515655518
"mushroom",512,0.5,2,"rect",0.537682849168778,1,0.517971456050873
"mushroom",512,0.25,4,"diavolo",0.537682849168777,1,0.517971456050873
"mushroom",1024,0.5,16,"rect",0.537682843208313,0.1,0.517971456050873
"mushroom",512,0.5,16,"rect",0.537682843208313,1,0.517971456050873
"mushroom",512,0.5,16,"diavolo",0.537682843208313,1,0.517971515655518
"mushroom",1024,0.25,8,"rect",0.537682843208313,1,0.517971515655518
"mushroom",512,0.5,8,"rect",0.537682843208313,1,0.517971515655518
"mushroom",256,0.25,8,"diavolo",0.537682843208313,1,0.517971456050873
"mushroom",1024,0.25,3,"diavolo",0.537682843208313,1,0.517971515655518
"mushroom",1024,0.5,3,"diavolo",0.537682843208313,1,0.517971515655518
"mushroom",512,0.25,3,"rect",0.537682843208313,1,0.517971456050873
"mushroom",512,0.5,3,"rect",0.537682843208313,1,0.517971456050873
"mushroom",256,0.25,3,"rect",0.537682843208313,1,0.517971456050873
"mushroom",512,0.25,2,"diavolo",0.537682843208313,1,0.517971456050873
"mushroom",1024,0.25,8,"diavolo",0.537682843208313,1,0.517971456050873
"mushroom",1024,0.5,4,"rect",0.537682843208313,1,0.517971456050873
"mushroom",256,0.5,4,"diavolo",0.537682843208313,1,0.517971456050873
"mushroom",1024,0.5,3,"rect",0.537682843208313,1,0.517971456050873
"mushroom",1024,0.25,2,"diavolo",0.537682843208313,1,0.517971456050873
"mushroom",1024,0.25,16,"rect",0.537682837247848,0.1,0.517971456050873
"mushroom",1024,0.25,16,"diavolo",0.537682837247848,1,0.517971456050873
"mushroom",512,0.25,8,"diavolo",0.537682837247848,1,0.517971456050873
"mushroom",1024,0.5,4,"diavolo",0.537682837247848,1,0.517971396446228
"mushroom",256,0.25,3,"diavolo",0.537682837247848,1,0.517971456050873
"mushroom",256,0.5,3,"diavolo",0.537682837247848,1,0.517971456050873
"mushroom",512,0.25,2,"rect",0.537682837247848,1,0.517971456050873
"mushroom",256,0.5,2,"diavolo",0.537682837247848,1,0.517971456050873
"mushroom",512,0.25,16,"rect",0.537682831287384,0.1,0.517971456050873
"mushroom",256,0.25,16,"rect",0.537682831287384,1,0.517971515655518
"mushroom",256,0.5,8,"rect",0.537682831287384,1,0.517971456050873
"mushroom",256,0.25,4,"rect",0.537682831287384,1,0.517971456050873
"mushroom",1024,0.5,2,"diavolo",0.537682831287384,1,0.517971456050873
