"dataset","nhidden","nblocks","blockForm","bottleneck","testAccuracy","learningrate","valAccuracy"
"heart-switzerland",512,3,"diavolo",0.25,0.387096762657166,0.1,0.363636374473572
"heart-switzerland",256,3,"diavolo",0.25,0.483870953321457,0.1,0.363636374473572
"heart-switzerland",512,2,"rect",0.5,0.354838699102402,0.1,0.354545465111732
"heart-switzerland",512,2,"diavolo",0.5,0.451612889766693,0.1,0.354545465111732
"heart-switzerland",256,2,"diavolo",0.5,0.451612889766693,0.1,0.354545465111732
"heart-switzerland",256,8,"rect",0.25,0.193548381328583,0.01,0.345454555749893
"heart-switzerland",512,4,"diavolo",0.5,0.451612889766693,0.1,0.345454555749893
"heart-switzerland",1024,2,"rect",0.5,0.451612889766693,0.1,0.345454555749893
"heart-switzerland",1024,8,"diavolo",0.5,0.322580635547638,0.01,0.345454555749893
"heart-switzerland",512,4,"diavolo",0.25,0.451612889766693,0.1,0.345454555749893
"heart-switzerland",1024,2,"rect",0.5,0.387096762657166,0.01,0.345454555749893
"heart-switzerland",256,4,"rect",0.5,0.387096762657166,0.1,0.336363646388054
"heart-switzerland",1024,16,"rect",0.5,0.419354826211929,0.01,0.336363646388054
"heart-switzerland",1024,4,"rect",0.25,0.419354826211929,0.1,0.336363646388054
"heart-switzerland",1024,4,"rect",0.5,0.25806450843811,0.1,0.336363646388054
"heart-switzerland",1024,3,"rect",0.25,0.419354826211929,0.1,0.336363646388054
"heart-switzerland",512,16,"diavolo",0.25,0.354838699102402,0.01,0.327272737026215
"heart-switzerland",256,16,"diavolo",0.25,0.25806450843811,0.01,0.327272737026215
"heart-switzerland",512,8,"diavolo",0.25,0.225806444883347,0.1,0.327272737026215
"heart-switzerland",1024,3,"diavolo",0.25,0.419354826211929,0.1,0.327272737026215
"heart-switzerland",512,3,"diavolo",0.5,0.483870953321457,0.1,0.327272737026215
"heart-switzerland",256,2,"rect",0.5,0.451612889766693,0.1,0.327272737026215
"heart-switzerland",512,16,"rect",0.5,0.25806450843811,0.01,0.327272737026215
"heart-switzerland",256,3,"rect",0.5,0.419354826211929,0.01,0.327272737026215
"heart-switzerland",512,2,"rect",0.5,0.483870953321457,0.01,0.327272737026215
"heart-switzerland",256,3,"rect",0.25,0.483870953321457,0.1,0.318181827664375
"heart-switzerland",1024,2,"diavolo",0.5,0.419354826211929,0.1,0.318181827664375
"heart-switzerland",512,2,"rect",0.25,0.290322571992874,0.1,0.318181827664375
"heart-switzerland",256,8,"rect",0.5,0.193548381328583,0.1,0.318181827664375
"heart-switzerland",1024,4,"rect",0.25,0.387096762657166,0.01,0.318181827664375
"heart-switzerland",1024,8,"rect",0.5,0.354838699102402,0.01,0.309090918302536
"heart-switzerland",512,4,"rect",0.5,0.322580635547638,0.01,0.309090918302536
"heart-switzerland",1024,4,"diavolo",0.25,0.161290317773819,0.1,0.309090918302536
"heart-switzerland",1024,8,"diavolo",0.25,0.290322571992874,0.01,0.309090918302536
"heart-switzerland",1024,3,"rect",0.5,0.225806444883347,0.1,0.309090918302536
"heart-switzerland",256,3,"diavolo",0.5,0.419354826211929,0.1,0.309090918302536
"heart-switzerland",1024,2,"rect",0.25,0.451612889766693,0.1,0.309090918302536
"heart-switzerland",512,16,"diavolo",0.25,0.225806444883347,0.1,0.300000008940697
"heart-switzerland",256,8,"rect",0.5,0.387096762657166,0.01,0.300000008940697
"heart-switzerland",512,8,"rect",0.25,0.0645161271095276,0.1,0.300000008940697
"heart-switzerland",256,8,"diavolo",0.25,0.322580635547638,0.1,0.300000008940697
"heart-switzerland",1024,4,"diavolo",0.5,0.451612889766693,0.01,0.300000008940697
"heart-switzerland",256,16,"diavolo",0.5,0.225806444883347,0.1,0.290909099578857
"heart-switzerland",512,3,"rect",0.5,0.548387050628662,0.1,0.290909099578857
"heart-switzerland",256,3,"rect",0.5,0.483870953321457,0.1,0.290909099578857
"heart-switzerland",256,16,"diavolo",0.25,0.387096762657166,0.1,0.281818190217018
"heart-switzerland",256,8,"diavolo",0.5,0.290322571992874,0.1,0.281818190217018
"heart-switzerland",256,4,"rect",0.25,0.322580635547638,0.01,0.281818190217018
"heart-switzerland",512,3,"rect",0.5,0.483870953321457,0.01,0.281818190217018
"heart-switzerland",256,3,"diavolo",0.5,0.419354826211929,0.01,0.281818190217018
"heart-switzerland",1024,3,"diavolo",0.5,0.225806444883347,0.1,0.281818190217018
"heart-switzerland",512,2,"diavolo",0.25,0.483870953321457,0.1,0.281818190217018
"heart-switzerland",512,2,"diavolo",0.5,0.419354826211929,0.01,0.272727280855179
"heart-switzerland",1024,8,"diavolo",0.25,0.419354826211929,0.1,0.272727280855179
"heart-switzerland",512,8,"rect",0.5,0.25806450843811,0.1,0.272727280855179
"heart-switzerland",512,4,"rect",0.25,0.354838699102402,0.1,0.272727280855179
"heart-switzerland",256,2,"rect",0.5,0.548387050628662,0.01,0.26363637149334
"heart-switzerland",256,4,"diavolo",0.5,0.25806450843811,0.1,0.26363637149334
"heart-switzerland",1024,4,"diavolo",0.25,0.354838699102402,0.01,0.2545454621315
"heart-switzerland",256,8,"rect",0.25,0.225806444883347,0.1,0.245454552769661
"heart-switzerland",512,8,"rect",0.25,0.483870953321457,0.01,0.245454552769661
"heart-switzerland",256,8,"diavolo",0.5,0.387096762657166,0.01,0.236363643407822
"heart-switzerland",1024,2,"rect",0.25,0.354838699102402,0.01,0.227272734045982
"heart-switzerland",256,2,"diavolo",0.5,0.354838699102402,0.01,0.209090915322304
"heart-switzerland",256,16,"rect",0.25,0.0645161271095276,0.01,0.200000005960464
"heart-switzerland",1024,8,"rect",0.25,0.354838699102402,0.1,0.190909096598625
"heart-switzerland",256,16,"rect",0.5,0.25806450843811,0.1,0.172727277874947
"heart-switzerland",512,8,"diavolo",0.5,0.0322580635547638,0.1,0.145454549789429
"heart-switzerland",256,16,"rect",0.25,0.0645161271095276,0.1,0.136363640427589
"heart-switzerland",256,4,"diavolo",0.5,0.354838699102402,0.01,0.136363640427589
"heart-switzerland",256,2,"diavolo",0.5,0.225806444883347,1,0.136363640427589
"heart-switzerland",256,3,"diavolo",0.25,0.225806444883347,1,0.12727273106575
"heart-switzerland",256,2,"diavolo",0.25,0.419354826211929,1,0.12727273106575
"heart-switzerland",1024,8,"rect",0.5,0.25806450843811,0.1,0.118181821703911
"heart-switzerland",1024,8,"diavolo",0.5,0.25806450843811,0.1,0.118181821703911
"heart-switzerland",256,4,"rect",0.25,0.225806444883347,1,0.109090912342072
"heart-switzerland",256,3,"rect",0.25,0.225806444883347,1,0.109090912342072
"heart-switzerland",256,3,"diavolo",0.5,0.25806450843811,1,0.109090912342072
"heart-switzerland",512,3,"diavolo",0.5,0.225806444883347,1,0.100000002980232
"heart-switzerland",256,3,"rect",0.5,0.225806444883347,1,0.100000002980232
"heart-switzerland",256,2,"rect",0.25,0.225806444883347,1,0.100000002980232
"heart-switzerland",256,2,"rect",0.5,0.419354826211929,1,0.100000002980232
"heart-switzerland",512,3,"diavolo",0.25,0.25806450843811,1,0.0909090936183929
"heart-switzerland",512,2,"diavolo",0.5,0.419354826211929,1,0.0909090936183929
"heart-switzerland",1024,16,"diavolo",0.25,0.0645161271095276,0.1,0.0818181842565537
"heart-switzerland",256,4,"diavolo",0.25,0.25806450843811,1,0.0818181842565537
"heart-switzerland",512,16,"diavolo",0.5,0.225806444883347,0.1,0.0727272748947144
"heart-switzerland",512,3,"rect",0.25,0.225806444883347,1,0.0727272748947144
"heart-switzerland",1024,2,"rect",0.5,0.25806450843811,1,0.0727272748947144
"heart-switzerland",512,16,"rect",0.5,0.419354826211929,0.1,0.0636363655328751
"heart-switzerland",1024,3,"diavolo",0.25,0.25806450843811,1,0.0636363655328751
"heart-switzerland",1024,2,"diavolo",0.25,0.0322580635547638,1,0.0636363655328751
"heart-switzerland",1024,2,"diavolo",0.5,0.0322580635547638,1,0.0636363655328751
"heart-switzerland",1024,2,"rect",0.25,0.419354826211929,1,0.0545454561710358
"heart-switzerland",512,2,"rect",0.25,0.419354826211929,1,0.0545454561710358
"heart-switzerland",256,8,"diavolo",0.25,0.25806450843811,1,0.0545454561710358
"heart-switzerland",256,8,"diavolo",0.5,0.193548381328583,1,0.0454545468091965
"heart-switzerland",512,4,"diavolo",0.25,0.419354826211929,1,0.0454545468091965
"heart-switzerland",1024,3,"rect",0.5,0.225806444883347,1,0.0454545468091965
"heart-switzerland",1024,16,"rect",0.5,0.25806450843811,0.1,0.0363636374473572
"heart-switzerland",1024,4,"diavolo",0.25,0.25806450843811,1,0.0363636374473572
"heart-switzerland",512,4,"rect",0.25,0.225806444883347,1,0.0363636374473572
"heart-switzerland",512,4,"rect",0.5,0.225806444883347,1,0.0363636374473572
"heart-switzerland",1024,3,"rect",0.25,0.0322580635547638,1,0.0363636374473572
"heart-switzerland",1024,3,"diavolo",0.5,0.0967741906642914,1,0.0363636374473572
"heart-switzerland",512,16,"rect",0.25,0.419354826211929,0.1,0.0272727280855179
"heart-switzerland",1024,4,"rect",0.25,0.0645161271095276,1,0.0272727280855179
"heart-switzerland",256,4,"diavolo",0.5,0.0645161271095276,1,0.0272727280855179
"heart-switzerland",512,2,"rect",0.5,0.0645161271095276,1,0.0272727280855179
"heart-switzerland",1024,8,"diavolo",0.25,0.0645161271095276,1,0.0181818187236786
"heart-switzerland",1024,16,"diavolo",0.5,0.0645161271095276,0.1,0.00909090936183929
"heart-switzerland",256,16,"diavolo",0.5,0.129032254219055,1,0.00909090936183929
"heart-switzerland",256,4,"rect",0.5,0.0645161271095276,1,0.00909090936183929
"heart-switzerland",1024,16,"rect",0.25,0.0645161271095276,0.1,0
"heart-switzerland",1024,16,"rect",0.25,0.0645161271095276,1,0
"heart-switzerland",1024,16,"rect",0.5,0.0645161271095276,1,0
"heart-switzerland",1024,16,"diavolo",0.25,0.0645161271095276,1,0
"heart-switzerland",1024,16,"diavolo",0.5,0.0645161271095276,1,0
"heart-switzerland",512,16,"rect",0.25,0.0645161271095276,1,0
"heart-switzerland",512,16,"rect",0.5,0.0645161271095276,1,0
"heart-switzerland",512,16,"diavolo",0.25,0.0322580635547638,1,0
"heart-switzerland",512,16,"diavolo",0.5,0.0645161271095276,1,0
"heart-switzerland",256,16,"rect",0.25,0.0645161271095276,1,0
"heart-switzerland",256,16,"rect",0.5,0.0645161271095276,1,0
"heart-switzerland",256,16,"diavolo",0.25,0.0645161271095276,1,0
"heart-switzerland",1024,8,"rect",0.25,0.0645161271095276,1,0
"heart-switzerland",1024,8,"rect",0.5,0.0645161271095276,1,0
"heart-switzerland",1024,8,"diavolo",0.5,0.0645161271095276,1,0
"heart-switzerland",512,8,"rect",0.25,0.0645161271095276,1,0
"heart-switzerland",512,8,"rect",0.5,0.0645161271095276,1,0
"heart-switzerland",512,8,"diavolo",0.25,0.0645161271095276,1,0
"heart-switzerland",512,8,"diavolo",0.5,0.0645161271095276,1,0
"heart-switzerland",256,8,"rect",0.25,0.0645161271095276,1,0
"heart-switzerland",256,8,"rect",0.5,0.0645161271095276,1,0
"heart-switzerland",1024,4,"rect",0.5,0.0645161271095276,1,0
"heart-switzerland",1024,4,"diavolo",0.5,0.0645161271095276,1,0
"heart-switzerland",512,4,"diavolo",0.5,0.0645161271095276,1,0
"heart-switzerland",512,3,"rect",0.5,0.0322580635547638,1,0
"heart-switzerland",512,2,"diavolo",0.25,0.0645161271095276,1,0
