"dataset","bottleneck","nhidden","valAccuracy","learningrate","testAccuracy","nblocks","blockForm"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,16,"diavolo"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,16,"rect"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,16,"diavolo"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,16,"rect"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,16,"diavolo"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,16,"rect"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,16,"diavolo"
"planning",0.5,256,0.571428596973419,0.01,0.711111128330231,8,"rect"
"planning",0.25,1024,0.571428596973419,0.1,0.711111128330231,8,"rect"
"planning",0.5,1024,0.571428596973419,0.1,0.711111128330231,8,"rect"
"planning",0.25,256,0.571428596973419,0.1,0.711111128330231,8,"diavolo"
"planning",0.5,256,0.571428596973419,0.1,0.711111128330231,8,"rect"
"planning",0.5,256,0.571428596973419,0.1,0.711111128330231,8,"diavolo"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,8,"rect"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,8,"diavolo"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,8,"rect"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,8,"diavolo"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,8,"rect"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,8,"diavolo"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,8,"rect"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,8,"diavolo"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,8,"rect"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,8,"diavolo"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,8,"rect"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,8,"diavolo"
"planning",0.25,256,0.571428596973419,0.01,0.711111128330231,4,"diavolo"
"planning",0.25,1024,0.571428596973419,0.1,0.711111128330231,4,"diavolo"
"planning",0.25,512,0.571428596973419,0.1,0.711111128330231,4,"rect"
"planning",0.5,512,0.571428596973419,0.1,0.711111128330231,4,"rect"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,4,"rect"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,4,"diavolo"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,4,"rect"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,4,"diavolo"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,4,"rect"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,4,"diavolo"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,4,"rect"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,4,"diavolo"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,4,"rect"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,4,"diavolo"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,4,"rect"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,4,"diavolo"
"planning",0.5,1024,0.571428596973419,0.01,0.711111128330231,3,"rect"
"planning",0.5,512,0.571428596973419,0.01,0.711111128330231,3,"rect"
"planning",0.5,256,0.571428596973419,0.01,0.688888907432556,3,"diavolo"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,3,"rect"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,3,"diavolo"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,3,"rect"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,3,"diavolo"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,3,"rect"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,3,"diavolo"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,3,"rect"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,3,"diavolo"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,3,"rect"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,3,"diavolo"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,3,"rect"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,3,"diavolo"
"planning",0.5,1024,0.571428596973419,0.01,0.711111128330231,2,"diavolo"
"planning",0.5,1024,0.571428596973419,0.1,0.711111128330231,2,"rect"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,2,"rect"
"planning",0.25,1024,0.571428596973419,1,0.711111128330231,2,"diavolo"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,2,"rect"
"planning",0.5,1024,0.571428596973419,1,0.711111128330231,2,"diavolo"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,2,"rect"
"planning",0.25,512,0.571428596973419,1,0.711111128330231,2,"diavolo"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,2,"rect"
"planning",0.5,512,0.571428596973419,1,0.711111128330231,2,"diavolo"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,2,"rect"
"planning",0.25,256,0.571428596973419,1,0.711111128330231,2,"diavolo"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,2,"rect"
"planning",0.5,256,0.571428596973419,1,0.711111128330231,2,"diavolo"
"planning",0.5,512,0.566666692495346,0.01,0.711111128330231,16,"diavolo"
"planning",0.5,256,0.566666692495346,0.01,0.644444465637207,16,"rect"
"planning",0.25,256,0.566666692495346,0.1,0.711111128330231,16,"diavolo"
"planning",0.5,512,0.566666692495346,0.01,0.688888907432556,8,"rect"
"planning",0.5,512,0.566666692495346,0.1,0.711111128330231,8,"diavolo"
"planning",0.5,1024,0.566666692495346,0.01,0.644444465637207,2,"rect"
"planning",0.5,256,0.561904788017273,0.01,0.711111128330231,4,"diavolo"
"planning",0.5,1024,0.5571428835392,0.01,0.711111128330231,16,"diavolo"
"planning",0.5,256,0.5571428835392,0.1,0.288888901472092,16,"diavolo"
"planning",0.5,1024,0.5571428835392,0.1,0.711111128330231,3,"rect"
"planning",0.5,256,0.552380979061127,0.01,0.622222244739532,16,"diavolo"
"planning",0.5,512,0.547619074583053,0.1,0.644444465637207,16,"diavolo"
"planning",0.5,512,0.54285717010498,0.1,0.711111128330231,8,"rect"
"planning",0.25,1024,0.54285717010498,0.01,0.622222244739532,2,"rect"
"planning",0.25,512,0.533333361148834,0.01,0.622222244739532,2,"rect"
"planning",0.25,1024,0.528571456670761,0.1,0.711111128330231,8,"diavolo"
"planning",0.5,1024,0.528571456670761,0.1,0.711111128330231,8,"diavolo"
"planning",0.25,1024,0.523809552192688,0.1,0.288888901472092,4,"rect"
"planning",0.5,512,0.523809552192688,0.01,0.600000023841858,3,"diavolo"
"planning",0.25,512,0.514285743236542,0.1,0.711111128330231,8,"rect"
"planning",0.25,1024,0.514285743236542,0.1,0.711111128330231,3,"rect"
"planning",0.5,1024,0.500000029802322,0.1,0.711111128330231,4,"rect"
"planning",0.25,512,0.495238125324249,0.01,0.466666698455811,3,"diavolo"
