"dataset","learningrate","nhidden","blockForm","valAccuracy","bottleneck","nblocks","testAccuracy"
"connect-4",1,256,"diavolo",0.752304553985596,0.5,4,0.753804564476013
"connect-4",1,1024,"diavolo",0.752304553985596,0.25,3,0.753804564476013
"connect-4",1,512,"rect",0.752304553985596,0.25,3,0.753804564476013
"connect-4",1,512,"rect",0.752304553985596,0.5,3,0.753804564476013
"connect-4",1,512,"diavolo",0.752304553985596,0.5,3,0.753804504871368
"connect-4",1,256,"diavolo",0.752304553985596,0.25,3,0.753804564476013
"connect-4",1,1024,"diavolo",0.752304553985596,0.5,2,0.753804564476013
"connect-4",1,512,"rect",0.752304553985596,0.5,2,0.753804564476013
"connect-4",1,512,"diavolo",0.752304553985596,0.25,2,0.753804564476013
"connect-4",1,512,"diavolo",0.752304553985596,0.5,2,0.753804564476013
"connect-4",1,256,"rect",0.752304553985596,0.25,2,0.753804564476013
"connect-4",1,256,"rect",0.752304553985596,0.5,2,0.753804564476013
"connect-4",1,256,"diavolo",0.752304553985596,0.25,2,0.753804564476013
"connect-4",1,256,"diavolo",0.752304553985596,0.5,2,0.753804564476013
"connect-4",1,256,"rect",0.752304548025131,0.5,16,0.753804564476013
"connect-4",1,512,"rect",0.752304548025131,0.5,8,0.753804564476013
"connect-4",1,256,"diavolo",0.752304548025131,0.25,8,0.753804504871368
"connect-4",1,512,"rect",0.752304548025131,0.5,4,0.753804564476013
"connect-4",1,1024,"rect",0.752304548025131,0.25,3,0.753804564476013
"connect-4",1,1024,"rect",0.752304548025131,0.5,3,0.753804564476013
"connect-4",1,1024,"diavolo",0.752304548025131,0.5,3,0.753804564476013
"connect-4",1,256,"diavolo",0.752304548025131,0.5,3,0.753804564476013
"connect-4",1,1024,"rect",0.752304548025131,0.25,2,0.753804564476013
"connect-4",1,1024,"rect",0.752304548025131,0.5,2,0.753804564476013
"connect-4",1,512,"rect",0.752304548025131,0.25,2,0.753804564476013
"connect-4",1,256,"rect",0.752304542064667,0.5,8,0.753804564476013
"connect-4",1,1024,"diavolo",0.752304542064667,0.25,2,0.753804564476013
"connect-4",1,256,"rect",0.752304536104202,0.25,4,0.753804564476013
"connect-4",1,256,"rect",0.752304536104202,0.25,3,0.753804504871368
"connect-4",1,256,"rect",0.752304536104202,0.5,3,0.753804564476013
"connect-4",1,256,"rect",0.752304524183273,0.25,8,0.753804564476013
"connect-4",1,512,"diavolo",0.752304524183273,0.25,3,0.753804564476013
"connect-4",0.1,1024,"rect",0.730339056253433,0.5,8,0.752324283123016
