"dataset","testAccuracy","nblocks","nhidden","learningrate","blockForm","bottleneck","valAccuracy"
"bank",0.880530893802643,16,512,0.1,"rect",0.5,0.865549343824387
"bank",0.887610614299774,16,1024,0.01,"rect",0.5,0.865363144874573
"bank",0.884955763816833,8,1024,0.1,"rect",0.5,0.865363138914108
"bank",0.884955704212189,3,1024,0.01,"rect",0.25,0.865363138914108
"bank",0.870796501636505,2,256,0.1,"rect",0.5,0.864618247747421
"bank",0.882300853729248,4,256,0.01,"diavolo",0.5,0.864245849847794
"bank",0.887610673904419,3,1024,0.01,"diavolo",0.25,0.863873392343521
"bank",0.882300853729248,2,256,0.01,"rect",0.25,0.862942290306091
"bank",0.877876043319702,16,256,0.01,"diavolo",0.5,0.862756085395813
"bank",0.880531013011932,4,256,0.1,"rect",0.5,0.862197399139404
"bank",0.890265464782715,16,256,0.01,"rect",0.5,0.862011176347732
"bank",0.884955763816833,4,256,0.1,"rect",0.25,0.861266314983368
"bank",0.877876162528992,16,256,0.01,"rect",0.25,0.859217882156372
"bank",0.879646062850952,8,512,0.01,"rect",0.25,0.854376196861267
"bank",0.872566342353821,3,256,0.01,"rect",0.5,0.843947857618332
"bank",0.86814159154892,16,512,0.1,"rect",0.25,0.83743017911911
"bank",0.115044251084328,16,512,0.1,"diavolo",0.5,0.207635004818439
