"dataset","valAccuracy","nblocks","learningrate","bottleneck","testAccuracy","nhidden","blockForm"
"post-operative",0.575,4,0.1,0.5,0.727272748947144,1024,"rect"
"post-operative",0.5625,4,0.01,0.5,0.772727251052856,512,"rect"
"post-operative",0.5625,8,0.01,0.25,0.863636374473572,256,"diavolo"
"post-operative",0.5625,2,0.01,0.5,0.727272748947144,1024,"diavolo"
"post-operative",0.55,8,0.1,0.5,0.272727280855179,256,"rect"
"post-operative",0.55,4,0.01,0.25,0.681818246841431,512,"diavolo"
"post-operative",0.55,4,0.1,0.5,0.727272748947144,1024,"diavolo"
"post-operative",0.5375,4,0.1,0.25,0.727272748947144,256,"diavolo"
"post-operative",0.5375,16,0.01,0.25,0.590909123420715,256,"diavolo"
"post-operative",0.5375,4,0.01,0.5,0.727272748947144,256,"diavolo"
"post-operative",0.5375,16,0.01,0.25,0.727272748947144,512,"rect"
"post-operative",0.525,16,0.1,0.25,0.727272748947144,256,"diavolo"
"post-operative",0.525,3,0.1,0.25,0.272727280855179,1024,"rect"
"post-operative",0.525,3,0.1,0.5,0.727272748947144,1024,"rect"
"post-operative",0.525,2,0.01,0.25,0.636363625526428,256,"diavolo"
"post-operative",0.525,2,0.1,0.25,0.681818187236786,512,"rect"
"post-operative",0.5125,4,0.01,0.5,0.681818187236786,256,"rect"
"post-operative",0.5125,2,0.1,0.5,0.272727280855179,1024,"rect"
"post-operative",0.5125,3,0.01,0.5,0.590909123420715,256,"diavolo"
"post-operative",0.5,3,0.01,0.5,0.772727251052856,1024,"diavolo"
"post-operative",0.4875,2,0.1,0.25,0.636363625526428,1024,"diavolo"
"post-operative",0.4875,8,0.01,0.25,0.727272748947144,1024,"diavolo"
"post-operative",0.4875,3,0.1,0.5,0.272727280855179,1024,"diavolo"
"post-operative",0.4875,3,0.1,0.25,0.727272748947144,256,"rect"
"post-operative",0.475,8,0.1,0.25,0,256,"rect"
"post-operative",0.475,4,0.1,0.5,0.136363640427589,512,"rect"
"post-operative",0.475,3,0.01,0.5,0.454545468091965,256,"rect"
"post-operative",0.4625,4,0.01,0.25,0.727272748947144,512,"rect"
"post-operative",0.4625,2,0.1,0.25,0.590909123420715,256,"diavolo"
"post-operative",0.45,2,0.1,0.5,0.590909123420715,256,"diavolo"
"post-operative",0.4375,4,0.01,0.5,0.590909123420715,1024,"diavolo"
"post-operative",0.425,2,0.01,0.5,0.590909123420715,256,"rect"
"post-operative",0.4,3,0.01,0.25,0.772727251052856,256,"rect"
"post-operative",0.375,2,0.01,0.25,0.636363625526428,1024,"rect"
"post-operative",0.3625,4,0.01,0.25,0.772727310657501,1024,"diavolo"
"post-operative",0.3625,4,0.01,0.25,0.545454561710358,256,"rect"
"post-operative",0.325,3,0.01,0.25,0.545454561710358,512,"diavolo"
"post-operative",0.3,2,0.01,0.5,0.681818187236786,512,"diavolo"
"post-operative",0.2875,16,0.01,0.25,0.409090936183929,512,"diavolo"
"post-operative",0.275,3,0.01,0.25,0.590909123420715,256,"diavolo"
"post-operative",0.2625,2,0.01,0.25,0.727272748947144,256,"rect"
