"dataset","blockForm","nblocks","learningrate","testAccuracy","bottleneck","nhidden","valAccuracy"
"spectf","rect",8,1,0.0802139043807983,0.25,1024,0.476190507411957
"spectf","rect",8,1,0.0802139043807983,0.5,1024,0.476190507411957
"spectf","diavolo",8,1,0.0802139043807983,0.25,1024,0.476190507411957
"spectf","diavolo",8,1,0.0802139043807983,0.5,1024,0.476190507411957
"spectf","rect",8,1,0.0802139043807983,0.25,512,0.476190507411957
"spectf","rect",8,1,0.0802139043807983,0.5,512,0.476190507411957
"spectf","diavolo",8,1,0.0802139043807983,0.5,512,0.476190507411957
"spectf","rect",8,1,0.0802139043807983,0.25,256,0.476190507411957
"spectf","rect",8,1,0.0802139043807983,0.5,256,0.476190507411957
"spectf","diavolo",8,1,0.0802139043807983,0.25,256,0.476190507411957
"spectf","diavolo",8,1,0.0802139043807983,0.5,256,0.476190507411957
"spectf","diavolo",4,0.01,0.352941185235977,0.25,1024,0.476190507411957
"spectf","rect",4,0.1,0.475935816764832,0.5,256,0.476190507411957
"spectf","rect",4,1,0.0802139043807983,0.25,1024,0.476190507411957
"spectf","rect",4,1,0.0802139043807983,0.5,1024,0.476190507411957
"spectf","diavolo",4,1,0.0802139043807983,0.5,1024,0.476190507411957
"spectf","rect",4,1,0.0802139043807983,0.5,512,0.476190507411957
"spectf","diavolo",4,1,0.0802139043807983,0.5,512,0.476190507411957
"spectf","rect",4,1,0.0802139043807983,0.25,256,0.476190507411957
"spectf","diavolo",4,1,0.0802139043807983,0.25,256,0.476190507411957
"spectf","diavolo",4,1,0.0802139043807983,0.5,256,0.476190507411957
"spectf","rect",3,1,0.0802139043807983,0.25,1024,0.476190507411957
"spectf","rect",3,1,0.0802139043807983,0.5,1024,0.476190507411957
"spectf","diavolo",3,1,0.0802139043807983,0.25,1024,0.476190507411957
"spectf","diavolo",3,1,0.0802139043807983,0.5,1024,0.476190507411957
"spectf","rect",3,1,0.0802139043807983,0.5,512,0.476190507411957
"spectf","diavolo",3,1,0.0802139043807983,0.25,512,0.476190507411957
"spectf","diavolo",3,1,0.0802139043807983,0.5,512,0.476190507411957
"spectf","diavolo",3,1,0.0802139043807983,0.25,256,0.476190507411957
"spectf","diavolo",3,1,0.0802139043807983,0.5,256,0.476190507411957
"spectf","diavolo",2,0.01,0.326203227043152,0.5,512,0.476190507411957
"spectf","diavolo",2,0.1,0.609625637531281,0.25,512,0.476190507411957
"spectf","rect",2,1,0.0802139043807983,0.25,512,0.476190507411957
"spectf","rect",2,1,0.0802139043807983,0.25,256,0.476190507411957
"spectf","diavolo",2,1,0.0802139043807983,0.25,256,0.476190507411957
