"dataset","nhidden","nblocks","learningrate","bottleneck","blockForm","testAccuracy","valAccuracy"
"ecoli",512,4,0.1,0.25,"rect",0.761904776096344,0.723076939582825
"ecoli",512,16,0.01,0.25,"rect",0.797619044780731,0.720512837171554
"ecoli",512,8,0.01,0.5,"rect",0.761904776096344,0.720512837171554
"ecoli",512,4,0.01,0.25,"diavolo",0.761904835700989,0.717948734760284
"ecoli",512,4,0.01,0.5,"diavolo",0.797619104385376,0.717948734760284
"ecoli",256,2,0.01,0.5,"diavolo",0.773809611797333,0.717948734760284
"ecoli",256,8,0.01,0.25,"diavolo",0.80952388048172,0.715384632349014
"ecoli",1024,2,0.1,0.25,"diavolo",0.797619104385376,0.715384632349014
"ecoli",512,8,0.1,0.5,"diavolo",0.809523820877075,0.712820529937744
"ecoli",1024,4,0.01,0.25,"diavolo",0.833333373069763,0.712820529937744
"ecoli",512,3,0.01,0.5,"diavolo",0.761904835700989,0.712820529937744
"ecoli",512,3,0.1,0.5,"rect",0.797619104385376,0.712820529937744
"ecoli",256,3,0.01,0.5,"diavolo",0.797619104385376,0.705128222703934
"ecoli",512,3,0.1,0.25,"rect",0.833333373069763,0.705128222703934
"ecoli",1024,4,0.1,0.5,"diavolo",0.821428656578064,0.702564120292663
"ecoli",256,4,0.01,0.25,"diavolo",0.785714387893677,0.692307710647583
"ecoli",512,2,0.01,0.25,"rect",0.821428596973419,0.692307710647583
"ecoli",512,2,0.01,0.25,"diavolo",0.75,0.692307710647583
"ecoli",512,8,0.01,0.25,"diavolo",0.785714328289032,0.689743608236313
"ecoli",256,8,0.01,0.5,"diavolo",0.773809552192688,0.689743608236313
"ecoli",512,3,0.01,0.5,"rect",0.773809552192688,0.689743608236313
"ecoli",256,3,0.01,0.5,"rect",0.714285731315613,0.684615403413772
"ecoli",256,8,0.1,0.5,"diavolo",0.797619104385376,0.676923096179962
"ecoli",512,2,0.01,0.5,"diavolo",0.809523820877075,0.666666686534881
"ecoli",256,4,0.01,0.25,"rect",0.714285731315613,0.661538481712341
"ecoli",256,16,0.1,0.25,"diavolo",0.69047623872757,0.63333335518837
"ecoli",1024,3,0.01,0.25,"diavolo",0.738095283508301,0.623076945543289
"ecoli",256,2,0.01,0.25,"diavolo",0.714285731315613,0.615384638309479
"ecoli",512,3,0.01,0.25,"diavolo",0.726190507411957,0.610256433486938
"ecoli",1024,4,0.1,0.5,"rect",0.75,0.553846177458763
"ecoli",1024,8,0.1,0.25,"diavolo",0.61904764175415,0.528205156326294
"ecoli",256,16,0.1,0.25,"rect",0.583333373069763,0.48974361717701
"ecoli",512,3,1,0.5,"rect",0.452380955219269,0.412820520997047
"ecoli",1024,16,0.1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",1024,16,0.1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",1024,16,0.1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",512,16,0.1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",512,16,0.1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",512,16,0.1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",1024,16,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",1024,16,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",1024,16,1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",1024,16,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",512,16,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",512,16,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",512,16,1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",512,16,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",256,16,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",256,16,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",256,16,1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",256,16,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",1024,8,0.1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",1024,8,0.1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",1024,8,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",1024,8,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",1024,8,1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",1024,8,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",512,8,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",512,8,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",512,8,1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",512,8,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",256,8,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",256,8,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",256,8,1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",256,8,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",1024,4,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",1024,4,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",1024,4,1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",1024,4,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",512,4,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",512,4,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",512,4,1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",512,4,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",256,4,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",256,4,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",256,4,1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",256,4,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",1024,3,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",1024,3,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",1024,3,1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",1024,3,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",512,3,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",512,3,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",512,3,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",256,3,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",256,3,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",256,3,1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",256,3,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",1024,2,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",1024,2,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",1024,2,1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",1024,2,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",512,2,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",512,2,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",512,2,1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",512,2,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",256,2,1,0.25,"rect",0.452380955219269,0.410256415605545
"ecoli",256,2,1,0.25,"diavolo",0.452380955219269,0.410256415605545
"ecoli",256,2,1,0.5,"rect",0.452380955219269,0.410256415605545
"ecoli",256,2,1,0.5,"diavolo",0.452380955219269,0.410256415605545
"ecoli",1024,4,0.1,0.25,"rect",0.452380955219269,0.35897436439991
"ecoli",256,16,0.1,0.5,"diavolo",0.28571429848671,0.25641026943922
"ecoli",512,8,0.1,0.5,"rect",0.226190492510796,0.256410264223814
"ecoli",512,16,0.1,0.25,"diavolo",0.333333373069763,0.230769242346287
"ecoli",256,16,0.1,0.5,"rect",0.095238097012043,0.220512826740742
"ecoli",512,8,0.1,0.25,"rect",0.226190492510796,0.21025641579181
"ecoli",1024,8,0.1,0.5,"diavolo",0,0.135897437855601
"ecoli",1024,16,0.1,0.25,"diavolo",0.154761910438538,0.128205135464668
