"dataset","nblocks","bottleneck","learningrate","blockForm","nhidden","testAccuracy","valAccuracy"
"heart-va",2,0.25,1,"diavolo",256,0.199999988079071,0.195999992638826
"heart-va",3,0.5,0.1,"diavolo",256,0.339999973773956,0.183999995142221
"heart-va",2,0.5,0.1,"diavolo",512,0.339999973773956,0.175999995321035
"heart-va",16,0.5,0.1,"rect",256,0.319999992847443,0.175999994575977
"heart-va",4,0.5,0.01,"rect",256,0.339999973773956,0.175999992340803
"heart-va",16,0.25,0.1,"diavolo",1024,0.239999979734421,0.171999997645617
"heart-va",3,0.5,0.1,"rect",256,0.339999973773956,0.171999995410442
"heart-va",16,0.25,0.01,"rect",512,0.239999979734421,0.167999994754791
"heart-va",2,0.25,0.01,"diavolo",512,0.319999992847443,0.163999995589256
"heart-va",2,0.5,0.01,"diavolo",512,0.359999984502792,0.163999994844198
"heart-va",3,0.25,1,"rect",512,0.239999979734421,0.163999994844198
"heart-va",4,0.25,0.01,"diavolo",1024,0.279999971389771,0.159999996423721
"heart-va",2,0.25,1,"diavolo",1024,0.239999979734421,0.155999996513128
"heart-va",8,0.25,0.01,"diavolo",512,0.439999997615814,0.15599999576807
"heart-va",3,0.25,1,"diavolo",256,0.239999979734421,0.155999995023012
"heart-va",8,0.25,0.1,"rect",1024,0.239999979734421,0.151999996602535
"heart-va",2,0.5,1,"rect",256,0.239999979734421,0.151999996602535
"heart-va",2,0.5,1,"diavolo",1024,0.239999979734421,0.151999995112419
"heart-va",2,0.25,1,"rect",256,0.239999979734421,0.151999995112419
"heart-va",8,0.25,0.01,"rect",256,0.219999983906746,0.151999994367361
"heart-va",2,0.25,1,"diavolo",512,0.239999979734421,0.147999996691942
"heart-va",4,0.5,1,"rect",1024,0.239999979734421,0.147999995201826
"heart-va",2,0.25,1,"rect",512,0.239999979734421,0.147999995201826
"heart-va",2,0.5,1,"diavolo",512,0.239999979734421,0.147999995201826
"heart-va",4,0.5,1,"diavolo",256,0.239999979734421,0.143999997526407
"heart-va",4,0.25,1,"diavolo",256,0.239999979734421,0.139999997615814
"heart-va",16,0.25,0.01,"rect",256,0.339999973773956,0.139999996870756
"heart-va",4,0.25,1,"rect",512,0.239999979734421,0.139999996125698
"heart-va",4,0.5,1,"rect",512,0.239999979734421,0.135999996960163
"heart-va",3,0.5,1,"rect",512,0.239999979734421,0.135999996960163
"heart-va",3,0.5,1,"diavolo",256,0.239999979734421,0.135999996960163
"heart-va",2,0.5,1,"rect",1024,0.239999979734421,0.135999996960163
"heart-va",16,0.5,0.1,"diavolo",512,0.319999992847443,0.13199999704957
"heart-va",16,0.5,0.1,"diavolo",1024,0.239999979734421,0.13199999704957
"heart-va",16,0.25,0.1,"rect",512,0.239999979734421,0.13199999704957
"heart-va",3,0.25,1,"diavolo",1024,0.239999979734421,0.13199999704957
"heart-va",2,0.5,1,"rect",512,0.239999979734421,0.13199999704957
"heart-va",16,0.25,1,"diavolo",512,0.239999979734421,0.131999996304512
"heart-va",16,0.25,0.1,"diavolo",512,0.200000002980232,0.127999997138977
"heart-va",8,0.5,0.1,"rect",256,0.239999979734421,0.127999997138977
"heart-va",4,0.25,1,"rect",256,0.239999979734421,0.127999997138977
"heart-va",4,0.5,1,"rect",256,0.239999979734421,0.127999997138977
"heart-va",3,0.25,1,"diavolo",512,0.239999979734421,0.127999997138977
"heart-va",2,0.25,1,"rect",1024,0.239999979734421,0.127999997138977
"heart-va",2,0.5,1,"diavolo",256,0.239999979734421,0.127999997138977
"heart-va",16,0.5,0.1,"rect",512,0.239999979734421,0.127999996393919
"heart-va",16,0.5,1,"diavolo",1024,0.239999979734421,0.127999996393919
"heart-va",4,0.5,1,"diavolo",512,0.239999979734421,0.127999996393919
"heart-va",3,0.25,1,"rect",256,0.239999979734421,0.127999996393919
"heart-va",16,0.25,1,"diavolo",256,0.239999979734421,0.123999997228384
"heart-va",8,0.25,1,"diavolo",1024,0.239999979734421,0.123999997228384
"heart-va",3,0.25,1,"rect",1024,0.239999979734421,0.123999997228384
"heart-va",3,0.5,1,"diavolo",1024,0.239999979734421,0.123999997228384
"heart-va",3,0.5,1,"rect",256,0.239999979734421,0.123999997228384
"heart-va",16,0.25,0.1,"rect",1024,0.239999979734421,0.119999997317791
"heart-va",16,0.5,0.1,"rect",1024,0.239999979734421,0.119999997317791
"heart-va",16,0.25,1,"rect",1024,0.239999979734421,0.119999997317791
"heart-va",16,0.25,1,"diavolo",1024,0.239999979734421,0.119999997317791
"heart-va",16,0.5,1,"rect",1024,0.239999979734421,0.119999997317791
"heart-va",16,0.25,1,"rect",512,0.239999979734421,0.119999997317791
"heart-va",16,0.5,1,"rect",512,0.239999979734421,0.119999997317791
"heart-va",16,0.5,1,"diavolo",512,0.239999979734421,0.119999997317791
"heart-va",16,0.25,1,"rect",256,0.239999979734421,0.119999997317791
"heart-va",16,0.5,1,"rect",256,0.239999979734421,0.119999997317791
"heart-va",16,0.5,1,"diavolo",256,0.239999979734421,0.119999997317791
"heart-va",8,0.25,1,"rect",1024,0.239999979734421,0.119999997317791
"heart-va",8,0.5,1,"rect",1024,0.239999979734421,0.119999997317791
"heart-va",8,0.5,1,"diavolo",1024,0.239999979734421,0.119999997317791
"heart-va",8,0.25,1,"rect",512,0.239999979734421,0.119999997317791
"heart-va",8,0.25,1,"diavolo",512,0.239999979734421,0.119999997317791
"heart-va",8,0.5,1,"rect",512,0.239999979734421,0.119999997317791
"heart-va",8,0.5,1,"diavolo",512,0.239999979734421,0.119999997317791
"heart-va",8,0.25,1,"rect",256,0.239999979734421,0.119999997317791
"heart-va",8,0.25,1,"diavolo",256,0.239999979734421,0.119999997317791
"heart-va",8,0.5,1,"rect",256,0.239999979734421,0.119999997317791
"heart-va",8,0.5,1,"diavolo",256,0.239999979734421,0.119999997317791
"heart-va",4,0.25,1,"rect",1024,0.239999979734421,0.119999997317791
"heart-va",4,0.25,1,"diavolo",1024,0.239999979734421,0.119999997317791
"heart-va",4,0.5,1,"diavolo",1024,0.239999979734421,0.119999997317791
"heart-va",4,0.25,1,"diavolo",512,0.239999979734421,0.119999997317791
"heart-va",3,0.25,0.01,"diavolo",256,0.239999979734421,0.119999997317791
"heart-va",3,0.5,1,"rect",1024,0.239999979734421,0.119999997317791
"heart-va",3,0.5,1,"diavolo",512,0.239999979734421,0.119999997317791
