"dataset","blockForm","valAccuracy","nhidden","testAccuracy","bottleneck","nblocks","learningrate"
"audiology-std","diavolo",0.161290317773819,512,0.439999997615814,0.5,3,1
"audiology-std","rect",0.161290317773819,256,0.439999997615814,0.5,3,1
"audiology-std","diavolo",0.161290317773819,256,0.439999997615814,0.5,3,1
"audiology-std","rect",0.161290317773819,1024,0.439999997615814,0.25,2,1
"audiology-std","rect",0.161290317773819,1024,0.439999997615814,0.5,2,1
"audiology-std","diavolo",0.161290317773819,1024,0.439999997615814,0.5,2,1
"audiology-std","rect",0.141935479640961,1024,0,0.5,4,0.1
"audiology-std","diavolo",0.138709673285484,512,0.439999997615814,0.5,16,0.1
"audiology-std","rect",0.119354835152626,256,0.0399999991059303,0.5,16,0.01
"audiology-std","rect",0.11612902879715,512,0.239999994635582,0.25,16,0.01
"audiology-std","diavolo",0.0999999970197678,1024,0,0.25,16,0.1
"audiology-std","diavolo",0.093548384308815,512,0,0.5,16,0.01
"audiology-std","diavolo",0.093548384308815,1024,0.159999996423721,0.5,8,0.1
"audiology-std","diavolo",0.0580645143985749,512,0,0.25,16,0.1
