"dataset","bottleneck","testAccuracy","nblocks","learningrate","nhidden","blockForm","valAccuracy"
"haberman-survival",0.5,0.75,2,0.1,256,"diavolo",0.70625
"haberman-survival",0.5,0.763157844543457,2,0.01,1024,"diavolo",0.70625
"haberman-survival",0.5,0.723684191703796,4,0.1,256,"diavolo",0.703125
"haberman-survival",0.5,0.697368383407593,2,0.01,512,"diavolo",0.703125
"haberman-survival",0.25,0.736842095851898,3,0.1,256,"diavolo",0.703125
"haberman-survival",0.25,0.64473682641983,16,0.01,256,"diavolo",0.7
"haberman-survival",0.5,0.776315808296204,8,0.01,512,"diavolo",0.7
"haberman-survival",0.25,0.697368443012238,16,0.01,1024,"rect",0.7
"haberman-survival",0.25,0.710526287555695,2,0.1,512,"rect",0.696875
"haberman-survival",0.25,0.618421018123627,2,0.1,256,"rect",0.69375
"haberman-survival",0.5,0.736842095851898,2,0.01,512,"rect",0.69375
"haberman-survival",0.5,0.565789461135864,4,0.01,512,"rect",0.690625
"haberman-survival",0.5,0.723684251308441,2,0.1,256,"rect",0.690625
"haberman-survival",0.5,0.578947305679321,8,0.01,512,"rect",0.6875
"haberman-survival",0.25,0.776315808296204,4,0.1,512,"diavolo",0.684375
"haberman-survival",0.5,0.671052634716034,3,0.1,256,"rect",0.684375
"haberman-survival",0.25,0.736842095851898,8,0.01,256,"rect",0.68125
"haberman-survival",0.5,0.736842095851898,3,0.1,1024,"rect",0.68125
"haberman-survival",0.25,0.736842036247253,3,0.1,512,"diavolo",0.68125
"haberman-survival",0.25,0.763157844543457,8,0.1,512,"diavolo",0.678125
"haberman-survival",0.25,0.710526287555695,8,0.01,512,"rect",0.675
"haberman-survival",0.5,0.723684191703796,16,0.01,512,"diavolo",0.671875
"haberman-survival",0.5,0.736842095851898,2,0.01,1024,"rect",0.671875
"haberman-survival",0.5,0.736842095851898,8,0.1,512,"diavolo",0.66875
"haberman-survival",0.5,0.736842095851898,16,0.01,512,"rect",0.66875
"haberman-survival",0.25,0.684210538864136,16,0.01,256,"rect",0.66875
"haberman-survival",0.5,0.736842095851898,8,0.01,1024,"diavolo",0.66875
"haberman-survival",0.25,0.631578922271729,16,0.01,512,"rect",0.66875
"haberman-survival",0.25,0.671052634716034,4,0.01,1024,"diavolo",0.66875
"haberman-survival",0.25,0.421052664518356,16,0.01,1024,"diavolo",0.665625
"haberman-survival",0.5,0.618421018123627,3,0.01,256,"rect",0.665625
"haberman-survival",0.5,0.736842095851898,16,0.01,1024,"diavolo",0.6625
"haberman-survival",0.25,0.618421077728271,16,0.01,512,"diavolo",0.65625
