"dataset","valAccuracy","nblocks","learningrate","testAccuracy","blockForm","bottleneck","nhidden"
"mammographic",0.860526323318482,3,0.01,0.825000107288361,"diavolo",0.5,256
"mammographic",0.859649121761322,3,0.1,0.841666758060455,"diavolo",0.25,512
"mammographic",0.859649109840393,16,0.1,0.82916671037674,"diavolo",0.25,256
"mammographic",0.858771967887879,3,0.1,0.81250011920929,"rect",0.25,256
"mammographic",0.858771938085556,4,0.1,0.816666781902313,"diavolo",0.25,512
"mammographic",0.858771920204163,2,0.01,0.787500083446503,"diavolo",0.5,512
"mammographic",0.857017534971237,4,0.01,0.804166793823242,"rect",0.25,512
"mammographic",0.855263149738312,3,0.1,0.81250011920929,"rect",0.5,512
"mammographic",0.854385930299759,3,0.01,0.800000071525574,"rect",0.5,256
"mammographic",0.853508758544922,8,0.01,0.800000071525574,"diavolo",0.25,1024
"mammographic",0.851754403114319,8,0.01,0.808333396911621,"diavolo",0.5,1024
"mammographic",0.851754385232925,8,0.1,0.816666781902313,"diavolo",0.5,256
"mammographic",0.851754385232925,4,0.1,0.833333432674408,"diavolo",0.5,256
"mammographic",0.850877207517624,4,0.1,0.812500059604645,"rect",0.25,256
"mammographic",0.85087718963623,2,0.01,0.804166734218597,"rect",0.25,1024
"mammographic",0.849122822284698,8,0.01,0.745833396911621,"diavolo",0.5,512
"mammographic",0.849122798442841,2,0.1,0.820833384990692,"diavolo",0.5,512
"mammographic",0.84824560880661,4,0.01,0.779166758060455,"rect",0.5,512
"mammographic",0.84824560880661,4,0.1,0.812500059604645,"diavolo",0.25,256
"mammographic",0.847368401288986,4,0.01,0.804166793823242,"diavolo",0.5,1024
"mammographic",0.846491241455078,16,0.01,0.770833432674408,"diavolo",0.25,1024
"mammographic",0.846491241455078,2,0.1,0.808333456516266,"rect",0.25,256
"mammographic",0.846491235494614,3,0.01,0.745833456516266,"rect",0.25,1024
"mammographic",0.845614045858383,2,0.1,0.825000107288361,"rect",0.5,256
"mammographic",0.844736838340759,3,0.1,0.82916671037674,"diavolo",0.5,256
"mammographic",0.842105269432068,4,0.01,0.812500059604645,"rect",0.5,256
"mammographic",0.840350878238678,3,0.01,0.808333456516266,"diavolo",0.25,256
"mammographic",0.839473700523377,8,0.01,0.808333396911621,"rect",0.5,512
"mammographic",0.839473646879196,8,0.1,0.845833420753479,"rect",0.25,256
"mammographic",0.838596504926682,4,0.01,0.783333361148834,"diavolo",0.25,512
"mammographic",0.838596493005753,8,0.01,0.758333444595337,"diavolo",0.25,256
"mammographic",0.837719303369522,16,0.01,0.825000107288361,"diavolo",0.5,1024
"mammographic",0.837719249725342,8,0.1,0.829166769981384,"diavolo",0.5,512
"mammographic",0.835964906215668,4,0.01,0.766666769981384,"diavolo",0.25,256
"mammographic",0.835964906215668,4,0.1,0.820833444595337,"rect",0.5,256
"mammographic",0.835087740421295,8,0.01,0.816666722297668,"diavolo",0.5,256
"mammographic",0.831578928232193,2,0.01,0.791666746139526,"diavolo",0.25,1024
"mammographic",0.829824584722519,4,0.01,0.787500083446503,"rect",0.25,256
"mammographic",0.829824554920197,4,0.01,0.81250011920929,"diavolo",0.5,256
"mammographic",0.82543860077858,4,0.01,0.737500071525574,"diavolo",0.25,1024
"mammographic",0.823684179782868,2,0.01,0.754166781902313,"diavolo",0.25,512
"mammographic",0.822807037830353,3,0.01,0.770833432674408,"rect",0.25,256
"mammographic",0.821052652597427,2,0.01,0.758333384990692,"rect",0.5,512
"mammographic",0.821052616834641,3,0.01,0.783333420753479,"rect",0.5,1024
"mammographic",0.809649109840393,16,0.01,0.745833396911621,"diavolo",0.25,256
"mammographic",0.807894760370255,16,0.01,0.79583340883255,"rect",0.25,512
"mammographic",0.799999994039536,4,0.01,0.79583340883255,"rect",0.25,1024
"mammographic",0.793859642744064,2,0.01,0.720833420753479,"diavolo",0.5,256
"mammographic",0.7938596367836,16,0.1,0.808333396911621,"diavolo",0.5,256
"mammographic",0.779824554920197,16,0.01,0.729166746139526,"rect",0.5,256
"mammographic",0.765789479017258,16,0.01,0.679166734218597,"rect",0.25,256
"mammographic",0.751754403114319,2,0.01,0.729166746139526,"rect",0.5,256
"mammographic",0.749122816324234,16,0.01,0.737500131130219,"rect",0.5,512
"mammographic",0.744736862182617,16,0.01,0.700000047683716,"diavolo",0.25,512
"mammographic",0.741228073835373,8,0.01,0.712500095367432,"rect",0.5,1024
"mammographic",0.721052634716034,16,0.01,0.733333468437195,"diavolo",0.5,256
"mammographic",0.690350884199142,3,0.01,0.658333420753479,"rect",0.5,512
"mammographic",0.686842089891434,4,0.01,0.662500023841858,"diavolo",0.5,512
"mammographic",0.652631592750549,8,0.01,0.666666686534882,"rect",0.25,256
"mammographic",0.642982453107834,16,0.1,0.820833384990692,"rect",0.25,256
"mammographic",0.614912301301956,8,1,0.537500083446503,"diavolo",0.5,512
"mammographic",0.60964914560318,3,1,0.537500023841858,"rect",0.25,1024
"mammographic",0.596491247415543,3,1,0.537500083446503,"rect",0.5,512
"mammographic",0.595614057779312,8,1,0.537500023841858,"diavolo",0.25,1024
"mammographic",0.591228091716766,3,1,0.537500083446503,"rect",0.25,256
"mammographic",0.589473706483841,4,1,0.537500083446503,"diavolo",0.5,1024
"mammographic",0.589473700523377,4,1,0.537500023841858,"diavolo",0.25,1024
"mammographic",0.588596510887146,8,1,0.537500023841858,"diavolo",0.25,512
"mammographic",0.587719321250916,16,0.1,0.537500023841858,"rect",0.25,1024
"mammographic",0.587719321250916,16,0.1,0.537500023841858,"rect",0.5,1024
"mammographic",0.587719321250916,16,0.1,0.537500083446503,"diavolo",0.5,1024
"mammographic",0.587719321250916,16,0.1,0.537500023841858,"rect",0.25,512
"mammographic",0.587719321250916,16,0.1,0.537500083446503,"rect",0.5,512
"mammographic",0.587719321250916,16,0.1,0.537500023841858,"rect",0.5,256
"mammographic",0.587719321250916,16,1,0.537500023841858,"rect",0.25,1024
"mammographic",0.587719321250916,16,1,0.537500023841858,"rect",0.5,1024
"mammographic",0.587719321250916,16,1,0.537500023841858,"diavolo",0.25,1024
"mammographic",0.587719321250916,16,1,0.537500023841858,"diavolo",0.5,1024
"mammographic",0.587719321250916,16,1,0.537500083446503,"rect",0.25,512
"mammographic",0.587719321250916,16,1,0.537500023841858,"rect",0.5,512
"mammographic",0.587719321250916,16,1,0.537500023841858,"diavolo",0.25,512
"mammographic",0.587719321250916,16,1,0.537500083446503,"diavolo",0.5,512
"mammographic",0.587719321250916,16,1,0.537500023841858,"rect",0.25,256
"mammographic",0.587719321250916,16,1,0.537500083446503,"rect",0.5,256
"mammographic",0.587719321250916,16,1,0.537500023841858,"diavolo",0.25,256
"mammographic",0.587719321250916,16,1,0.537500083446503,"diavolo",0.5,256
"mammographic",0.587719321250916,8,0.1,0.537500023841858,"rect",0.25,1024
"mammographic",0.587719321250916,8,0.1,0.537500023841858,"rect",0.5,1024
"mammographic",0.587719321250916,8,1,0.537500023841858,"rect",0.25,1024
"mammographic",0.587719321250916,8,1,0.537500023841858,"rect",0.5,1024
"mammographic",0.587719321250916,8,1,0.537500023841858,"diavolo",0.5,1024
"mammographic",0.587719321250916,8,1,0.537500023841858,"rect",0.25,512
"mammographic",0.587719321250916,8,1,0.537500083446503,"rect",0.5,512
"mammographic",0.587719321250916,8,1,0.537500083446503,"rect",0.25,256
"mammographic",0.587719321250916,8,1,0.537500023841858,"rect",0.5,256
"mammographic",0.587719321250916,8,1,0.537500023841858,"diavolo",0.25,256
"mammographic",0.587719321250916,8,1,0.537500023841858,"diavolo",0.5,256
"mammographic",0.587719321250916,4,1,0.537500023841858,"rect",0.25,1024
"mammographic",0.587719321250916,4,1,0.537500083446503,"rect",0.5,1024
"mammographic",0.587719321250916,4,1,0.537500023841858,"rect",0.25,512
"mammographic",0.587719321250916,4,1,0.537500083446503,"rect",0.5,512
"mammographic",0.587719321250916,4,1,0.537500083446503,"diavolo",0.25,512
"mammographic",0.587719321250916,4,1,0.537500023841858,"diavolo",0.5,512
"mammographic",0.587719321250916,4,1,0.537500023841858,"rect",0.25,256
"mammographic",0.587719321250916,4,1,0.537500023841858,"rect",0.5,256
"mammographic",0.587719321250916,4,1,0.537500023841858,"diavolo",0.25,256
"mammographic",0.587719321250916,4,1,0.537500023841858,"diavolo",0.5,256
"mammographic",0.587719321250916,3,1,0.537500083446503,"rect",0.5,1024
"mammographic",0.587719321250916,3,1,0.537500023841858,"diavolo",0.25,1024
"mammographic",0.587719321250916,3,1,0.537500023841858,"diavolo",0.5,1024
"mammographic",0.587719321250916,3,1,0.537500023841858,"rect",0.25,512
"mammographic",0.587719321250916,3,1,0.537500023841858,"diavolo",0.25,512
"mammographic",0.587719321250916,3,1,0.537500083446503,"diavolo",0.5,512
"mammographic",0.587719321250916,3,1,0.537500023841858,"rect",0.5,256
"mammographic",0.587719321250916,3,1,0.537500023841858,"diavolo",0.25,256
"mammographic",0.587719321250916,3,1,0.537500023841858,"diavolo",0.5,256
"mammographic",0.587719321250916,2,1,0.537500023841858,"rect",0.25,1024
"mammographic",0.587719321250916,2,1,0.537500083446503,"rect",0.5,1024
"mammographic",0.587719321250916,2,1,0.537500023841858,"diavolo",0.25,1024
"mammographic",0.587719321250916,2,1,0.537500083446503,"diavolo",0.5,1024
"mammographic",0.587719321250916,2,1,0.537500083446503,"rect",0.25,512
"mammographic",0.587719321250916,2,1,0.537500083446503,"rect",0.5,512
"mammographic",0.587719321250916,2,1,0.537500023841858,"diavolo",0.25,512
"mammographic",0.587719321250916,2,1,0.537500083446503,"diavolo",0.5,512
"mammographic",0.587719321250916,2,1,0.537500083446503,"rect",0.25,256
"mammographic",0.587719321250916,2,1,0.537500083446503,"rect",0.5,256
"mammographic",0.587719321250916,2,1,0.537500023841858,"diavolo",0.25,256
"mammographic",0.587719321250916,2,1,0.537500023841858,"diavolo",0.5,256
"mammographic",0.568421074748039,8,0.1,0.537500083446503,"rect",0.25,512
"mammographic",0.552631598711014,16,0.1,0.537500023841858,"diavolo",0.25,1024
"mammographic",0.552631598711014,8,0.1,0.537500023841858,"rect",0.5,512
"mammographic",0.500000014901161,16,0.1,0.462500035762787,"diavolo",0.5,512
"mammographic",0.500000014901161,4,0.1,0.462500035762787,"rect",0.5,1024
"mammographic",0.48245615363121,4,0.1,0.462500035762787,"rect",0.25,1024
