"dataset","valAccuracy","bottleneck","blockForm","nblocks","nhidden","testAccuracy","learningrate"
"pittsburg-bridges-TYPE",0.200000007450581,0.25,"rect",16,256,0.15384615957737,0.1
"pittsburg-bridges-TYPE",0.200000007450581,0.25,"rect",8,512,0.5,0.1
"pittsburg-bridges-TYPE",0.200000007450581,0.25,"diavolo",2,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.19230770021677,0.25,"rect",2,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.184615391492844,0.25,"diavolo",16,512,0.0769230797886848,0.1
"pittsburg-bridges-TYPE",0.184615391492844,0.25,"rect",3,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.176923087984324,0.5,"rect",16,256,0.115384623408318,0.01
"pittsburg-bridges-TYPE",0.176923085004091,0.5,"rect",8,1024,0.15384615957737,0.1
"pittsburg-bridges-TYPE",0.176923084259033,0.5,"rect",8,512,0.5,0.1
"pittsburg-bridges-TYPE",0.176923084259033,0.5,"diavolo",2,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.169230777770281,0.5,"diavolo",8,1024,0.15384615957737,0.1
"pittsburg-bridges-TYPE",0.169230775535107,0.5,"diavolo",16,1024,0.15384615957737,0.1
"pittsburg-bridges-TYPE",0.169230775535107,0.5,"rect",4,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.169230775535107,0.5,"diavolo",3,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.169230775535107,0.25,"rect",2,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.169230775535107,0.25,"diavolo",2,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.169230775535107,0.25,"rect",2,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.169230775535107,0.5,"rect",2,512,0.15384615957737,1
"pittsburg-bridges-TYPE",0.161538468301296,0.5,"diavolo",16,512,0.15384615957737,0.1
"pittsburg-bridges-TYPE",0.161538468301296,0.5,"rect",16,256,0.15384615957737,0.1
"pittsburg-bridges-TYPE",0.161538468301296,0.25,"diavolo",8,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.161538468301296,0.25,"diavolo",4,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.161538468301296,0.5,"rect",4,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.161538468301296,0.5,"diavolo",4,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.161538468301296,0.25,"diavolo",4,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.161538468301296,0.5,"rect",4,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.161538468301296,0.25,"diavolo",3,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.161538467556238,0.5,"diavolo",3,1024,0.15384615957737,1
"pittsburg-bridges-TYPE",0.161538467556238,0.25,"rect",3,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.153846160322428,0.25,"diavolo",16,1024,0.15384615957737,0.1
"pittsburg-bridges-TYPE",0.153846160322428,0.5,"rect",3,256,0.15384615957737,1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"rect",16,1024,0.15384615957737,0.1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"rect",16,1024,0.15384615957737,0.1
"pittsburg-bridges-TYPE",0.15384615957737,0.25,"rect",16,512,0.15384615957737,0.1
"pittsburg-bridges-TYPE",0.15384615957737,0.5,"rect",16,512,0.15384615957737,0.1
