"dataset","valAccuracy","nblocks","bottleneck","learningrate","blockForm","nhidden","testAccuracy"
"musk-1",0.601754373311997,3,0.5,0.01,"diavolo",256,0.638655543327332
"musk-1",0.599999994039536,4,0.5,0.01,"rect",1024,0.588235378265381
"musk-1",0.599999988079071,16,0.25,0.01,"diavolo",512,0.605042099952698
"musk-1",0.59649121761322,16,0.5,0.01,"diavolo",512,0.596638679504395
"musk-1",0.59649121761322,8,0.25,0.1,"rect",256,0.613445401191711
"musk-1",0.59649121761322,8,0.5,0.1,"diavolo",256,0.621848821640015
"musk-1",0.59649121761322,3,0.25,0.01,"rect",1024,0.588235378265381
"musk-1",0.59649121761322,3,0.25,0.1,"rect",1024,0.579831957817078
"musk-1",0.59649121761322,2,0.5,0.1,"diavolo",1024,0.596638679504395
"musk-1",0.594736832380295,8,0.25,0.01,"rect",512,0.571428656578064
"musk-1",0.587719297409058,16,0.5,0.1,"diavolo",256,0.579831957817078
"musk-1",0.585964906215668,8,0.5,0.1,"rect",256,0.571428656578064
"musk-1",0.584210526943207,16,0.5,0.1,"diavolo",1024,0.571428656578064
"musk-1",0.584210526943207,8,0.25,1,"diavolo",256,0.571428656578064
"musk-1",0.584210520982742,4,0.25,1,"diavolo",512,0.571428656578064
"musk-1",0.582456135749817,4,0.5,0.01,"rect",512,0.588235378265381
"musk-1",0.580701750516891,16,0.25,0.1,"diavolo",256,0.571428656578064
"musk-1",0.578947371244431,4,0.5,0.1,"rect",512,0.579831957817078
"musk-1",0.578947365283966,16,0.25,0.01,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,16,0.25,0.01,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,16,0.5,0.01,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,16,0.5,0.01,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,16,0.25,0.01,"rect",512,0.571428656578064
"musk-1",0.578947365283966,16,0.5,0.01,"rect",512,0.571428656578064
"musk-1",0.578947365283966,16,0.25,0.01,"diavolo",256,0.579831957817078
"musk-1",0.578947365283966,16,0.5,0.01,"rect",256,0.571428656578064
"musk-1",0.578947365283966,16,0.25,0.1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,16,0.25,0.1,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,16,0.5,0.1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,16,0.25,0.1,"rect",512,0.571428656578064
"musk-1",0.578947365283966,16,0.5,0.1,"rect",512,0.571428656578064
"musk-1",0.578947365283966,16,0.5,0.1,"diavolo",512,0.571428656578064
"musk-1",0.578947365283966,16,0.25,0.1,"rect",256,0.571428656578064
"musk-1",0.578947365283966,16,0.25,1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,16,0.25,1,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,16,0.5,1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,16,0.5,1,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,16,0.25,1,"rect",512,0.571428656578064
"musk-1",0.578947365283966,16,0.25,1,"diavolo",512,0.571428656578064
"musk-1",0.578947365283966,16,0.5,1,"rect",512,0.571428656578064
"musk-1",0.578947365283966,16,0.5,1,"diavolo",512,0.571428656578064
"musk-1",0.578947365283966,16,0.25,1,"rect",256,0.571428656578064
"musk-1",0.578947365283966,16,0.25,1,"diavolo",256,0.571428656578064
"musk-1",0.578947365283966,16,0.5,1,"rect",256,0.571428656578064
"musk-1",0.578947365283966,16,0.5,1,"diavolo",256,0.571428656578064
"musk-1",0.578947365283966,8,0.25,0.01,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,8,0.5,0.01,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,8,0.5,0.01,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,8,0.5,0.01,"rect",512,0.571428656578064
"musk-1",0.578947365283966,8,0.5,0.01,"diavolo",512,0.571428656578064
"musk-1",0.578947365283966,8,0.25,0.01,"rect",256,0.579831957817078
"musk-1",0.578947365283966,8,0.25,0.01,"diavolo",256,0.571428656578064
"musk-1",0.578947365283966,8,0.25,0.1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,8,0.5,0.1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,8,0.5,0.1,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,8,0.25,0.1,"rect",512,0.571428656578064
"musk-1",0.578947365283966,8,0.25,1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,8,0.25,1,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,8,0.5,1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,8,0.5,1,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,8,0.25,1,"rect",512,0.571428656578064
"musk-1",0.578947365283966,8,0.25,1,"diavolo",512,0.571428656578064
"musk-1",0.578947365283966,8,0.5,1,"rect",512,0.571428656578064
"musk-1",0.578947365283966,8,0.5,1,"diavolo",512,0.571428656578064
"musk-1",0.578947365283966,8,0.25,1,"rect",256,0.571428656578064
"musk-1",0.578947365283966,8,0.5,1,"rect",256,0.571428656578064
"musk-1",0.578947365283966,8,0.5,1,"diavolo",256,0.571428656578064
"musk-1",0.578947365283966,4,0.25,0.1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,4,0.5,0.1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,4,0.5,0.1,"rect",256,0.571428656578064
"musk-1",0.578947365283966,4,0.25,1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,4,0.25,1,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,4,0.5,1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,4,0.5,1,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,4,0.25,1,"rect",512,0.571428656578064
"musk-1",0.578947365283966,4,0.5,1,"rect",512,0.571428656578064
"musk-1",0.578947365283966,4,0.5,1,"diavolo",512,0.571428656578064
"musk-1",0.578947365283966,4,0.25,1,"rect",256,0.571428656578064
"musk-1",0.578947365283966,4,0.25,1,"diavolo",256,0.571428656578064
"musk-1",0.578947365283966,4,0.5,1,"rect",256,0.571428656578064
"musk-1",0.578947365283966,4,0.5,1,"diavolo",256,0.571428656578064
"musk-1",0.578947365283966,3,0.25,1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,3,0.25,1,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,3,0.5,1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,3,0.5,1,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,3,0.25,1,"rect",512,0.571428656578064
"musk-1",0.578947365283966,3,0.25,1,"diavolo",512,0.571428656578064
"musk-1",0.578947365283966,3,0.5,1,"rect",512,0.571428656578064
"musk-1",0.578947365283966,3,0.5,1,"diavolo",512,0.571428656578064
"musk-1",0.578947365283966,3,0.25,1,"rect",256,0.571428656578064
"musk-1",0.578947365283966,3,0.25,1,"diavolo",256,0.571428656578064
"musk-1",0.578947365283966,3,0.5,1,"rect",256,0.571428656578064
"musk-1",0.578947365283966,3,0.5,1,"diavolo",256,0.571428656578064
"musk-1",0.578947365283966,2,0.25,1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,2,0.25,1,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,2,0.5,1,"rect",1024,0.571428656578064
"musk-1",0.578947365283966,2,0.5,1,"diavolo",1024,0.571428656578064
"musk-1",0.578947365283966,2,0.25,1,"rect",512,0.571428656578064
"musk-1",0.578947365283966,2,0.25,1,"diavolo",512,0.571428656578064
"musk-1",0.578947365283966,2,0.5,1,"rect",512,0.571428656578064
"musk-1",0.578947365283966,2,0.5,1,"diavolo",512,0.571428656578064
"musk-1",0.578947365283966,2,0.25,1,"rect",256,0.571428656578064
"musk-1",0.578947365283966,2,0.25,1,"diavolo",256,0.571428656578064
"musk-1",0.578947365283966,2,0.5,1,"rect",256,0.571428656578064
"musk-1",0.578947365283966,2,0.5,1,"diavolo",256,0.571428656578064
"musk-1",0.549122816324234,4,0.5,0.01,"diavolo",512,0.621848821640015
"musk-1",0.54736841917038,8,0.5,0.1,"rect",512,0.571428656578064
"musk-1",0.505263155698776,16,0.5,0.1,"rect",256,0.428571462631226
