"dataset","bottleneck","valAccuracy","learningrate","nhidden","testAccuracy","nblocks","blockForm"
"fertility",0.25,0.909090936183929,1,256,0.879999995231628,3,"rect"
"fertility",0.25,0.909090936183929,1,256,0.879999995231628,3,"diavolo"
"fertility",0.5,0.909090936183929,1,256,0.879999995231628,3,"rect"
"fertility",0.5,0.909090936183929,1,256,0.879999995231628,3,"diavolo"
"fertility",0.25,0.909090936183929,0.01,1024,0.879999995231628,2,"rect"
"fertility",0.5,0.909090936183929,0.01,1024,0.879999995231628,2,"rect"
"fertility",0.25,0.909090936183929,0.01,512,0.839999973773956,2,"rect"
"fertility",0.25,0.909090936183929,0.01,512,0.879999995231628,2,"diavolo"
"fertility",0.5,0.909090936183929,0.01,512,0.879999995231628,2,"rect"
"fertility",0.5,0.909090936183929,0.01,512,0.879999995231628,2,"diavolo"
"fertility",0.25,0.909090936183929,0.01,256,0.879999995231628,2,"rect"
"fertility",0.25,0.909090936183929,0.01,256,0.799999952316284,2,"diavolo"
"fertility",0.5,0.909090936183929,0.01,256,0.879999995231628,2,"rect"
"fertility",0.5,0.909090936183929,0.1,1024,0.879999995231628,2,"rect"
"fertility",0.5,0.909090936183929,0.1,512,0.879999995231628,2,"rect"
"fertility",0.25,0.909090936183929,0.1,256,0.879999995231628,2,"rect"
"fertility",0.5,0.909090936183929,0.1,256,0.879999995231628,2,"rect"
"fertility",0.25,0.909090936183929,1,1024,0.879999995231628,2,"rect"
"fertility",0.25,0.909090936183929,1,1024,0.879999995231628,2,"diavolo"
"fertility",0.5,0.909090936183929,1,1024,0.879999995231628,2,"rect"
"fertility",0.5,0.909090936183929,1,1024,0.879999995231628,2,"diavolo"
"fertility",0.25,0.909090936183929,1,512,0.879999995231628,2,"rect"
"fertility",0.25,0.909090936183929,1,512,0.879999995231628,2,"diavolo"
"fertility",0.5,0.909090936183929,1,512,0.879999995231628,2,"rect"
"fertility",0.5,0.909090936183929,1,512,0.879999995231628,2,"diavolo"
"fertility",0.25,0.909090936183929,1,256,0.879999995231628,2,"rect"
"fertility",0.25,0.909090936183929,1,256,0.879999995231628,2,"diavolo"
"fertility",0.5,0.909090936183929,1,256,0.879999995231628,2,"rect"
"fertility",0.5,0.909090936183929,1,256,0.879999995231628,2,"diavolo"
"fertility",0.25,0.900000029802322,0.01,1024,0.879999995231628,16,"rect"
"fertility",0.5,0.900000029802322,0.01,512,0.959999978542328,8,"rect"
"fertility",0.25,0.900000029802322,0.1,256,0.879999995231628,4,"diavolo"
"fertility",0.25,0.900000029802322,0.01,512,0.879999995231628,3,"diavolo"
"fertility",0.5,0.900000029802322,0.01,256,0.959999978542328,3,"rect"
"fertility",0.25,0.900000029802322,0.1,1024,0.879999995231628,2,"diavolo"
"fertility",0.25,0.900000029802322,0.1,512,0.879999995231628,2,"rect"
"fertility",0.5,0.900000029802322,0.1,256,0.799999952316284,2,"diavolo"
"fertility",0.5,0.890909123420715,0.01,1024,0.919999957084656,16,"rect"
"fertility",0.5,0.890909123420715,0.01,512,0.919999957084656,16,"rect"
"fertility",0.25,0.890909123420715,0.01,1024,0.879999995231628,8,"rect"
"fertility",0.5,0.890909123420715,0.01,256,0.919999957084656,8,"rect"
"fertility",0.25,0.890909123420715,0.01,1024,0.879999995231628,4,"rect"
"fertility",0.25,0.890909123420715,0.1,1024,0.839999973773956,2,"rect"
"fertility",0.5,0.890909123420715,0.1,512,0.919999957084656,2,"diavolo"
"fertility",0.25,0.890909123420715,0.1,256,0.879999995231628,2,"diavolo"
"fertility",0.5,0.890909117460251,0.1,512,0.879999995231628,16,"diavolo"
"fertility",0.5,0.881818217039108,0.1,512,0.719999969005585,4,"diavolo"
"fertility",0.25,0.881818217039108,0.1,256,0.919999957084656,4,"rect"
"fertility",0.5,0.881818217039108,0.1,512,0.919999957084656,3,"diavolo"
"fertility",0.5,0.881818217039108,0.1,256,0.879999995231628,3,"diavolo"
"fertility",0.5,0.872727310657501,0.01,512,0.879999995231628,3,"diavolo"
"fertility",0.25,0.863636404275894,0.01,512,0.879999995231628,8,"rect"
"fertility",0.25,0.86363639831543,0.1,512,0.879999995231628,4,"diavolo"
"fertility",0.25,0.863636392354965,0.01,256,0.839999973773956,16,"diavolo"
"fertility",0.25,0.854545497894287,0.01,512,0.839999973773956,3,"rect"
"fertility",0.25,0.854545485973358,0.1,256,0.719999969005585,3,"rect"
"fertility",0.5,0.854545482993126,0.1,1024,0.879999995231628,8,"diavolo"
"fertility",0.5,0.827272766828537,0.1,1024,0.879999995231628,2,"diavolo"
"fertility",0.5,0.827272751927376,0.1,256,0.879999995231628,16,"rect"
"fertility",0.5,0.827272751927376,0.1,256,0.879999995231628,8,"rect"
"fertility",0.25,0.818181872367859,0.01,1024,0.799999952316284,3,"diavolo"
"fertility",0.25,0.818181872367859,0.01,1024,0.799999952316284,2,"diavolo"
"fertility",0.5,0.818181872367859,0.01,1024,0.879999995231628,2,"diavolo"
"fertility",0.5,0.818181872367859,0.01,256,0.879999995231628,2,"diavolo"
"fertility",0.25,0.818181854486466,0.01,256,0.759999990463257,8,"rect"
"fertility",0.25,0.809090954065323,0.1,512,0.879999995231628,2,"diavolo"
"fertility",0.25,0.809090930223465,0.01,512,0.959999978542328,16,"diavolo"
"fertility",0.5,0.800000020861626,0.1,512,0.879999995231628,8,"rect"
"fertility",0.5,0.772727319598198,0.01,256,0.759999990463257,8,"diavolo"
"fertility",0.25,0.772727310657501,0.01,1024,0.799999952316284,8,"diavolo"
"fertility",0.5,0.772727292776108,0.01,512,0.799999952316284,4,"rect"
"fertility",0.5,0.745454573631287,0.01,512,0.799999952316284,4,"diavolo"
"fertility",0.25,0.745454567670822,0.1,512,0.119999997317791,8,"rect"
"fertility",0.25,0.745454567670822,0.1,256,0.879999995231628,8,"rect"
"fertility",0.5,0.745454567670822,0.1,1024,0.879999995231628,3,"rect"
"fertility",0.25,0.727272748947143,0.01,1024,0.719999969005585,4,"diavolo"
"fertility",0.5,0.727272748947143,0.01,256,0.759999990463257,3,"diavolo"
"fertility",0.25,0.709090936183929,0.01,512,0.799999952316284,8,"diavolo"
"fertility",0.25,0.709090924263,0.1,256,0.759999990463257,3,"diavolo"
"fertility",0.25,0.663636383414269,0.1,1024,0.879999995231628,3,"rect"
