"dataset","testAccuracy","learningrate","bottleneck","nblocks","valAccuracy","blockForm","nhidden"
"waveform-noise",0.833599984645844,0.01,0.5,3,0.828249549865723,"diavolo",256
"waveform-noise",0.84799998998642,0.1,0.25,8,0.828076231479645,"diavolo",512
"waveform-noise",0.843999862670898,0.01,0.25,2,0.827209681272507,"diavolo",1024
"waveform-noise",0.8367999792099,0.01,0.25,2,0.827036339044571,"rect",256
"waveform-noise",0.832800030708313,0.1,0.25,2,0.826516431570053,"diavolo",256
"waveform-noise",0.855999946594238,0.1,0.5,4,0.826343095302582,"diavolo",512
"waveform-noise",0.832799971103668,0.01,0.5,4,0.825996547937393,"rect",1024
"waveform-noise",0.842399954795837,0.1,0.5,3,0.825476568937302,"rect",256
"waveform-noise",0.831999957561493,0.01,0.5,3,0.825129961967468,"rect",256
"waveform-noise",0.830399930477142,0.01,0.25,3,0.82495664358139,"diavolo",512
"waveform-noise",0.826399981975555,0.01,0.25,3,0.824436694383621,"rect",1024
"waveform-noise",0.815999984741211,0.01,0.25,16,0.824263405799866,"rect",1024
"waveform-noise",0.830399930477142,0.01,0.5,2,0.823570162057877,"rect",512
"waveform-noise",0.813599944114685,0.01,0.25,8,0.823223596811295,"rect",1024
"waveform-noise",0.843199968338013,0.1,0.5,2,0.822876924276352,"rect",256
"waveform-noise",0.851199984550476,0.1,0.5,2,0.822876882553101,"diavolo",512
"waveform-noise",0.840000033378601,0.01,0.25,2,0.822703605890274,"rect",1024
"waveform-noise",0.822399973869324,0.01,0.5,3,0.821837055683136,"rect",1024
"waveform-noise",0.839999973773956,0.1,0.25,16,0.821317148208618,"diavolo",512
"waveform-noise",0.821599900722504,0.01,0.5,3,0.820970511436462,"rect",512
"waveform-noise",0.828799962997437,0.1,0.25,4,0.820623904466629,"diavolo",512
"waveform-noise",0.837599873542786,0.1,0.25,16,0.819930654764175,"diavolo",256
"waveform-noise",0.826399922370911,0.01,0.25,16,0.819584012031555,"diavolo",256
"waveform-noise",0.852800011634827,0.1,0.25,4,0.819064104557037,"rect",256
"waveform-noise",0.834399938583374,0.01,0.5,16,0.819064086675644,"rect",1024
"waveform-noise",0.816000044345856,0.1,0.25,8,0.818890798091888,"rect",512
"waveform-noise",0.82479989528656,0.01,0.5,16,0.817850917577744,"rect",512
"waveform-noise",0.818399965763092,0.01,0.25,16,0.817331022024155,"diavolo",512
"waveform-noise",0.818399906158447,0.01,0.5,3,0.817157691717148,"diavolo",512
"waveform-noise",0.843199908733368,0.01,0.5,2,0.816984367370606,"diavolo",256
"waveform-noise",0.82559996843338,0.01,0.25,8,0.816117841005325,"diavolo",256
"waveform-noise",0.812799990177155,0.01,0.25,8,0.813864821195602,"rect",512
"waveform-noise",0.823199927806854,0.01,0.25,8,0.813864803314209,"diavolo",512
"waveform-noise",0.818399965763092,0.01,0.25,3,0.813864797353745,"rect",256
"waveform-noise",0.845600008964539,0.1,0.5,2,0.813691484928131,"rect",1024
"waveform-noise",0.830399870872498,0.01,0.5,4,0.812651628255844,"diavolo",256
"waveform-noise",0.838399887084961,0.1,0.25,3,0.811958372592926,"rect",256
"waveform-noise",0.822399973869324,0.01,0.5,16,0.80901210308075,"diavolo",256
"waveform-noise",0.805599927902222,0.01,0.5,4,0.808838814496994,"diavolo",512
"waveform-noise",0.839999914169312,0.1,0.25,4,0.807452344894409,"rect",512
"waveform-noise",0.82559996843338,0.1,0.5,4,0.80693239569664,"diavolo",256
"waveform-noise",0.822399973869324,0.01,0.5,8,0.806412482261658,"diavolo",1024
"waveform-noise",0.8471999168396,0.01,0.25,4,0.805719202756882,"diavolo",256
"waveform-noise",0.835199952125549,0.01,0.5,2,0.803986132144928,"diavolo",512
"waveform-noise",0.826399922370911,0.01,0.25,4,0.803292888402939,"rect",1024
"waveform-noise",0.816799998283386,0.01,0.25,8,0.802772974967957,"diavolo",1024
"waveform-noise",0.822399914264679,0.01,0.25,4,0.802599656581879,"diavolo",1024
"waveform-noise",0.825599908828735,0.01,0.25,16,0.802079707384109,"rect",512
"waveform-noise",0.818399965763092,0.01,0.25,3,0.801039862632752,"diavolo",1024
"waveform-noise",0.807999908924103,0.01,0.5,8,0.799999958276749,"diavolo",256
"waveform-noise",0.813599944114685,0.01,0.25,8,0.798266899585724,"rect",256
"waveform-noise",0.819199979305267,0.1,0.5,8,0.798266887664795,"rect",512
"waveform-noise",0.826399981975555,0.01,0.5,3,0.798266875743866,"diavolo",1024
"waveform-noise",0.803199946880341,0.01,0.5,8,0.797053730487824,"diavolo",512
"waveform-noise",0.81279993057251,0.01,0.5,16,0.796880412101746,"diavolo",512
"waveform-noise",0.830399990081787,0.01,0.5,8,0.794454056024551,"rect",256
"waveform-noise",0.800799965858459,0.01,0.5,16,0.792201042175293,"rect",256
"waveform-noise",0.799199998378754,0.01,0.25,16,0.792027705907822,"rect",256
"waveform-noise",0.810399949550629,0.01,0.5,8,0.786135160923004,"rect",512
"waveform-noise",0.805599987506866,0.1,0.25,4,0.784055459499359,"diavolo",256
"waveform-noise",0.820799946784973,0.1,0.25,4,0.781455808877945,"rect",1024
"waveform-noise",0.789599895477295,0.01,0.5,16,0.772963601350784,"diavolo",1024
"waveform-noise",0.815199971199036,0.1,0.25,16,0.768457525968552,"rect",256
"waveform-noise",0.339199990034103,0.1,0.25,8,0.369844049215317,"rect",1024
"waveform-noise",0.339199990034103,0.1,0.25,16,0.363951504230499,"rect",1024
"waveform-noise",0.339199990034103,0.1,0.5,16,0.363951504230499,"rect",1024
"waveform-noise",0.339199990034103,0.1,0.5,16,0.363951504230499,"diavolo",1024
"waveform-noise",0.339199960231781,0.1,0.25,16,0.363951504230499,"rect",512
"waveform-noise",0.339199960231781,0.1,0.5,16,0.363951504230499,"rect",512
"waveform-noise",0.339199960231781,1,0.25,16,0.363951504230499,"rect",1024
"waveform-noise",0.339199960231781,1,0.25,16,0.363951504230499,"diavolo",1024
"waveform-noise",0.339199990034103,1,0.5,16,0.363951504230499,"rect",1024
"waveform-noise",0.339199990034103,1,0.5,16,0.363951504230499,"diavolo",1024
"waveform-noise",0.339199960231781,1,0.25,16,0.363951504230499,"rect",512
"waveform-noise",0.339199960231781,1,0.25,16,0.363951504230499,"diavolo",512
"waveform-noise",0.339199990034103,1,0.5,16,0.363951504230499,"rect",512
"waveform-noise",0.339199990034103,1,0.5,16,0.363951504230499,"diavolo",512
"waveform-noise",0.339199960231781,1,0.25,16,0.363951504230499,"rect",256
"waveform-noise",0.339199960231781,1,0.25,16,0.363951504230499,"diavolo",256
"waveform-noise",0.339199960231781,1,0.5,16,0.363951504230499,"rect",256
"waveform-noise",0.339199990034103,1,0.5,16,0.363951504230499,"diavolo",256
"waveform-noise",0.339199990034103,0.1,0.5,8,0.363951504230499,"rect",1024
"waveform-noise",0.339199990034103,1,0.25,8,0.363951504230499,"rect",1024
"waveform-noise",0.339199990034103,1,0.25,8,0.363951504230499,"diavolo",1024
"waveform-noise",0.339199960231781,1,0.5,8,0.363951504230499,"rect",1024
"waveform-noise",0.339199960231781,1,0.5,8,0.363951504230499,"diavolo",1024
"waveform-noise",0.339199960231781,1,0.25,8,0.363951504230499,"rect",512
"waveform-noise",0.339199960231781,1,0.25,8,0.363951504230499,"diavolo",512
"waveform-noise",0.339199990034103,1,0.5,8,0.363951504230499,"diavolo",512
"waveform-noise",0.339199990034103,1,0.25,8,0.363951504230499,"diavolo",256
"waveform-noise",0.339199990034103,1,0.5,8,0.363951504230499,"rect",256
"waveform-noise",0.339199990034103,1,0.5,8,0.363951504230499,"diavolo",256
"waveform-noise",0.339199960231781,0.1,0.5,4,0.363951504230499,"rect",1024
"waveform-noise",0.339199960231781,1,0.25,4,0.363951504230499,"rect",1024
"waveform-noise",0.339199990034103,1,0.25,4,0.363951504230499,"diavolo",1024
"waveform-noise",0.339199960231781,1,0.5,4,0.363951504230499,"rect",1024
"waveform-noise",0.339199990034103,1,0.25,4,0.363951504230499,"rect",512
"waveform-noise",0.339199990034103,1,0.25,4,0.363951504230499,"diavolo",512
"waveform-noise",0.339199960231781,1,0.5,4,0.363951504230499,"rect",512
"waveform-noise",0.339199960231781,1,0.5,4,0.363951504230499,"diavolo",512
"waveform-noise",0.339199990034103,1,0.25,4,0.363951504230499,"rect",256
"waveform-noise",0.339199990034103,1,0.5,4,0.363951504230499,"rect",256
"waveform-noise",0.339199960231781,1,0.5,4,0.363951504230499,"diavolo",256
"waveform-noise",0.339199960231781,1,0.25,3,0.363951504230499,"rect",1024
"waveform-noise",0.339200019836426,1,0.25,3,0.363951504230499,"diavolo",1024
"waveform-noise",0.339199990034103,1,0.5,3,0.363951504230499,"rect",1024
"waveform-noise",0.339199990034103,1,0.5,3,0.363951504230499,"diavolo",1024
"waveform-noise",0.339199960231781,1,0.25,3,0.363951504230499,"rect",512
"waveform-noise",0.339199990034103,1,0.25,3,0.363951504230499,"diavolo",512
"waveform-noise",0.339199960231781,1,0.5,3,0.363951504230499,"rect",512
"waveform-noise",0.339199990034103,1,0.5,3,0.363951504230499,"diavolo",512
"waveform-noise",0.339199960231781,1,0.25,3,0.363951504230499,"rect",256
"waveform-noise",0.339200019836426,1,0.25,3,0.363951504230499,"diavolo",256
"waveform-noise",0.339199990034103,1,0.5,3,0.363951504230499,"rect",256
"waveform-noise",0.339199990034103,1,0.5,3,0.363951504230499,"diavolo",256
"waveform-noise",0.339199960231781,1,0.25,2,0.363951504230499,"rect",1024
"waveform-noise",0.339199960231781,1,0.25,2,0.363951504230499,"diavolo",1024
"waveform-noise",0.339199960231781,1,0.5,2,0.363951504230499,"diavolo",1024
"waveform-noise",0.339199990034103,1,0.25,2,0.363951504230499,"rect",512
"waveform-noise",0.339199990034103,1,0.25,2,0.363951504230499,"diavolo",512
"waveform-noise",0.339199960231781,1,0.5,2,0.363951504230499,"rect",512
"waveform-noise",0.339199960231781,1,0.5,2,0.363951504230499,"diavolo",512
"waveform-noise",0.339199960231781,1,0.25,2,0.363951504230499,"rect",256
"waveform-noise",0.339199960231781,1,0.25,2,0.363951504230499,"diavolo",256
"waveform-noise",0.339199960231781,1,0.5,2,0.363951504230499,"rect",256
"waveform-noise",0.339199960231781,1,0.5,2,0.363951504230499,"diavolo",256
"waveform-noise",0.339199960231781,1,0.5,8,0.363951498270035,"rect",512
"waveform-noise",0.339199990034103,1,0.25,8,0.363951498270035,"rect",256
"waveform-noise",0.339199960231781,1,0.5,4,0.363951498270035,"diavolo",1024
"waveform-noise",0.339199960231781,1,0.25,4,0.363951498270035,"diavolo",256
"waveform-noise",0.339199990034103,1,0.5,2,0.363951498270035,"rect",1024
