"dataset","nblocks","learningrate","blockForm","nhidden","testAccuracy","bottleneck","valAccuracy"
"breast-cancer-wisc",3,0.01,"diavolo",1024,0.925714254379272,0.25,0.932608658075333
"breast-cancer-wisc",16,0.01,"rect",256,0.845714271068573,0.25,0.904347789287567
"breast-cancer-wisc",3,1,"rect",1024,0.657142817974091,0.5,0.743478268384934
"breast-cancer-wisc",16,0.1,"diavolo",1024,0.657142877578735,0.5,0.721739137172699
"breast-cancer-wisc",4,1,"diavolo",512,0.657142817974091,0.25,0.720652180910111
"breast-cancer-wisc",3,1,"diavolo",1024,0.657142817974091,0.5,0.719565224647522
"breast-cancer-wisc",2,1,"diavolo",256,0.657142817974091,0.25,0.719565224647522
"breast-cancer-wisc",8,0.1,"rect",1024,0.657142877578735,0.5,0.718478268384934
"breast-cancer-wisc",8,1,"diavolo",1024,0.657142817974091,0.5,0.718478268384934
"breast-cancer-wisc",16,0.1,"rect",1024,0.657142817974091,0.25,0.717391312122345
"breast-cancer-wisc",16,0.1,"rect",1024,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",16,0.1,"diavolo",1024,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",16,0.1,"rect",512,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",16,1,"rect",1024,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",16,1,"rect",1024,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",16,1,"diavolo",1024,0.657142817974091,0.25,0.717391312122345
"breast-cancer-wisc",16,1,"diavolo",1024,0.657142817974091,0.5,0.717391312122345
"breast-cancer-wisc",16,1,"rect",512,0.657142817974091,0.25,0.717391312122345
"breast-cancer-wisc",16,1,"rect",512,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",16,1,"diavolo",512,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",16,1,"diavolo",512,0.657142817974091,0.5,0.717391312122345
"breast-cancer-wisc",16,1,"rect",256,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",16,1,"rect",256,0.657142817974091,0.5,0.717391312122345
"breast-cancer-wisc",16,1,"diavolo",256,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",16,1,"diavolo",256,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",8,1,"rect",1024,0.657142817974091,0.25,0.717391312122345
"breast-cancer-wisc",8,1,"rect",1024,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",8,1,"diavolo",1024,0.657142817974091,0.25,0.717391312122345
"breast-cancer-wisc",8,1,"rect",512,0.657142817974091,0.25,0.717391312122345
"breast-cancer-wisc",8,1,"rect",512,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",8,1,"diavolo",512,0.657142817974091,0.25,0.717391312122345
"breast-cancer-wisc",8,1,"diavolo",512,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",8,1,"rect",256,0.657142817974091,0.25,0.717391312122345
"breast-cancer-wisc",8,1,"rect",256,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",8,1,"diavolo",256,0.657142817974091,0.25,0.717391312122345
"breast-cancer-wisc",8,1,"diavolo",256,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",4,1,"rect",1024,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",4,1,"rect",1024,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",4,1,"diavolo",1024,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",4,1,"diavolo",1024,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",4,1,"rect",512,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",4,1,"rect",512,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",4,1,"diavolo",512,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",4,1,"rect",256,0.657142817974091,0.25,0.717391312122345
"breast-cancer-wisc",4,1,"rect",256,0.657142817974091,0.5,0.717391312122345
"breast-cancer-wisc",4,1,"diavolo",256,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",4,1,"diavolo",256,0.657142817974091,0.5,0.717391312122345
"breast-cancer-wisc",3,1,"rect",1024,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",3,1,"diavolo",1024,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",3,1,"rect",512,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",3,1,"rect",512,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",3,1,"diavolo",512,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",3,1,"diavolo",512,0.657142817974091,0.5,0.717391312122345
"breast-cancer-wisc",3,1,"rect",256,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",3,1,"rect",256,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",3,1,"diavolo",256,0.657142817974091,0.25,0.717391312122345
"breast-cancer-wisc",3,1,"diavolo",256,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",2,1,"rect",1024,0.657142817974091,0.25,0.717391312122345
"breast-cancer-wisc",2,1,"rect",1024,0.657142817974091,0.5,0.717391312122345
"breast-cancer-wisc",2,1,"diavolo",1024,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",2,1,"diavolo",1024,0.657142817974091,0.5,0.717391312122345
"breast-cancer-wisc",2,1,"rect",512,0.657142817974091,0.25,0.717391312122345
"breast-cancer-wisc",2,1,"rect",512,0.657142817974091,0.5,0.717391312122345
"breast-cancer-wisc",2,1,"diavolo",512,0.657142817974091,0.25,0.717391312122345
"breast-cancer-wisc",2,1,"diavolo",512,0.657142877578735,0.5,0.717391312122345
"breast-cancer-wisc",2,1,"rect",256,0.657142877578735,0.25,0.717391312122345
"breast-cancer-wisc",2,1,"rect",256,0.657142817974091,0.5,0.717391312122345
"breast-cancer-wisc",2,1,"diavolo",256,0.657142817974091,0.5,0.717391312122345
"breast-cancer-wisc",16,0.1,"rect",512,0.342857122421265,0.25,0.326086950302124
"breast-cancer-wisc",16,0.1,"diavolo",512,0.342857152223587,0.5,0.282608687877655
"breast-cancer-wisc",16,0.1,"diavolo",256,0.342857122421265,0.25,0.282608687877655
"breast-cancer-wisc",16,0.1,"diavolo",256,0.342857122421265,0.5,0.282608687877655
"breast-cancer-wisc",8,0.1,"rect",1024,0.342857122421265,0.25,0.282608687877655
