"dataset","valAccuracy","bottleneck","testAccuracy","nblocks","learningrate","blockForm","nhidden"
"acute-inflammation",0.938461589813232,0.25,0.966666698455811,3,0.01,"diavolo",1024
"acute-inflammation",0.938461554050446,0.5,0.900000095367432,16,0.01,"diavolo",512
"acute-inflammation",0.930769258737564,0.5,1,16,0.01,"diavolo",1024
"acute-inflammation",0.923076987266541,0.5,0.766666769981384,8,0.01,"rect",256
"acute-inflammation",0.923076987266541,0.5,0.833333373069763,3,0.01,"diavolo",1024
"acute-inflammation",0.923076987266541,0.25,0.73333340883255,3,0.01,"rect",512
"acute-inflammation",0.923076987266541,0.5,0.900000035762787,3,0.01,"rect",256
"acute-inflammation",0.923076987266541,0.5,0.700000047683716,3,0.01,"diavolo",256
"acute-inflammation",0.923076987266541,0.5,0.966666698455811,2,0.01,"rect",512
"acute-inflammation",0.923076987266541,0.5,0.966666698455811,2,0.01,"rect",256
"acute-inflammation",0.892307758331299,0.25,0.900000095367432,4,0.01,"diavolo",1024
"acute-inflammation",0.861538505554199,0.25,1,16,0.01,"diavolo",512
"acute-inflammation",0.838461589813232,0.25,0.833333373069763,8,0.1,"diavolo",256
"acute-inflammation",0.815384674072266,0.25,0.866666734218597,16,0.01,"diavolo",256
"acute-inflammation",0.80769237279892,0.5,0.766666769981384,16,0.01,"rect",256
"acute-inflammation",0.784615451097488,0.25,0.666666746139526,16,0.1,"diavolo",512
"acute-inflammation",0.769230842590332,0.25,0.900000095367432,2,0.01,"rect",512
"acute-inflammation",0.653846210241318,0.25,0.766666769981384,16,0.1,"diavolo",256
"acute-inflammation",0.638461565971374,0.5,0.466666698455811,16,0.1,"diavolo",512
"acute-inflammation",0.600000029802322,0.25,0.466666698455811,8,0.1,"rect",512
"acute-inflammation",0.569230794906616,0.5,0.466666698455811,4,0.1,"diavolo",1024
"acute-inflammation",0.561538499593735,0.5,0.533333420753479,3,0.1,"diavolo",1024
"acute-inflammation",0.553846198320389,0.5,0.533333420753479,16,0.1,"rect",256
"acute-inflammation",0.546153873205185,0.25,0.466666698455811,16,0.1,"rect",256
"acute-inflammation",0.523076957464218,0.25,0.466666698455811,4,0.1,"rect",1024
"acute-inflammation",0.523076951503754,0.5,0.466666698455811,4,0.1,"rect",1024
"acute-inflammation",0.500000035762787,0.5,0.466666698455811,8,0.1,"rect",512
"acute-inflammation",0.476923108100891,0.5,0.633333384990692,16,0.1,"diavolo",256
"acute-inflammation",0.461538499593735,0.5,0.533333420753479,4,1,"rect",512
"acute-inflammation",0.45384618639946,0.25,0.533333420753479,8,0.1,"rect",1024
"acute-inflammation",0.45384618639946,0.25,0.533333420753479,4,1,"rect",256
"acute-inflammation",0.45384618639946,0.25,0.533333420753479,4,1,"diavolo",256
"acute-inflammation",0.45384618639946,0.25,0.533333420753479,2,1,"diavolo",1024
"acute-inflammation",0.446153885126114,0.25,0.533333420753479,16,0.1,"diavolo",1024
"acute-inflammation",0.446153879165649,0.5,0.533333420753479,3,1,"diavolo",256
"acute-inflammation",0.446153873950243,0.5,0.100000008940697,8,0.1,"rect",1024
"acute-inflammation",0.438461571931839,0.25,0.533333420753479,2,1,"diavolo",256
"acute-inflammation",0.430769270658493,0.25,0.533333420753479,2,1,"rect",256
"acute-inflammation",0.430769264698029,0.5,0.533333420753479,4,1,"diavolo",256
"acute-inflammation",0.430769264698029,0.25,0.533333420753479,3,1,"diavolo",1024
"acute-inflammation",0.430769264698029,0.5,0.533333420753479,3,1,"diavolo",512
"acute-inflammation",0.430769264698029,0.25,0.533333420753479,3,1,"diavolo",256
"acute-inflammation",0.430769264698029,0.5,0.533333420753479,3,1,"rect",256
"acute-inflammation",0.430769264698029,0.25,0.533333420753479,2,1,"diavolo",512
"acute-inflammation",0.430769264698029,0.5,0.533333420753479,2,1,"rect",512
"acute-inflammation",0.430769264698029,0.5,0.533333420753479,2,1,"diavolo",256
"acute-inflammation",0.423076963424683,0.25,0.533333420753479,8,1,"diavolo",1024
"acute-inflammation",0.423076957464218,0.5,0.533333420753479,16,0.1,"diavolo",1024
"acute-inflammation",0.423076952248812,0.5,0.533333420753479,8,0.1,"diavolo",1024
"acute-inflammation",0.415384650230408,0.25,0.533333420753479,3,1,"rect",256
"acute-inflammation",0.415384647250175,0.5,0.533333420753479,4,1,"rect",256
"acute-inflammation",0.407692342996597,0.5,0.533333420753479,16,0.1,"rect",1024
"acute-inflammation",0.407692342996597,0.5,0.533333420753479,8,1,"diavolo",256
"acute-inflammation",0.407692342996597,0.25,0.533333420753479,4,1,"rect",1024
"acute-inflammation",0.407692342996597,0.5,0.533333420753479,4,1,"rect",1024
"acute-inflammation",0.407692342996597,0.25,0.533333420753479,4,1,"rect",512
"acute-inflammation",0.407692342996597,0.5,0.533333420753479,4,1,"diavolo",512
"acute-inflammation",0.407692342996597,0.5,0.533333420753479,3,1,"rect",1024
"acute-inflammation",0.407692342996597,0.5,0.533333420753479,3,1,"diavolo",1024
"acute-inflammation",0.407692342996597,0.25,0.533333420753479,3,1,"rect",512
"acute-inflammation",0.407692342996597,0.25,0.533333420753479,3,1,"diavolo",512
"acute-inflammation",0.407692342996597,0.5,0.533333420753479,3,1,"rect",512
"acute-inflammation",0.407692342996597,0.25,0.533333420753479,2,1,"rect",1024
"acute-inflammation",0.407692342996597,0.5,0.533333420753479,2,1,"rect",1024
"acute-inflammation",0.407692342996597,0.5,0.533333420753479,2,1,"diavolo",1024
"acute-inflammation",0.407692342996597,0.25,0.533333420753479,2,1,"rect",512
"acute-inflammation",0.407692342996597,0.5,0.533333420753479,2,1,"diavolo",512
"acute-inflammation",0.407692342996597,0.5,0.533333420753479,2,1,"rect",256
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,16,0.1,"rect",1024
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,16,0.1,"rect",512
"acute-inflammation",0.384615421295166,0.5,0.533333420753479,16,0.1,"rect",512
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,16,1,"rect",1024
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,16,1,"diavolo",1024
"acute-inflammation",0.384615421295166,0.5,0.533333420753479,16,1,"rect",1024
"acute-inflammation",0.384615421295166,0.5,0.533333420753479,16,1,"diavolo",1024
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,16,1,"rect",512
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,16,1,"diavolo",512
"acute-inflammation",0.384615421295166,0.5,0.533333420753479,16,1,"rect",512
"acute-inflammation",0.384615421295166,0.5,0.533333420753479,16,1,"diavolo",512
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,16,1,"rect",256
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,16,1,"diavolo",256
"acute-inflammation",0.384615421295166,0.5,0.533333420753479,16,1,"rect",256
"acute-inflammation",0.384615421295166,0.5,0.533333420753479,16,1,"diavolo",256
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,8,1,"rect",1024
"acute-inflammation",0.384615421295166,0.5,0.533333420753479,8,1,"rect",1024
"acute-inflammation",0.384615421295166,0.5,0.533333420753479,8,1,"diavolo",1024
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,8,1,"rect",512
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,8,1,"diavolo",512
"acute-inflammation",0.384615421295166,0.5,0.533333420753479,8,1,"rect",512
"acute-inflammation",0.384615421295166,0.5,0.533333420753479,8,1,"diavolo",512
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,8,1,"rect",256
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,8,1,"diavolo",256
"acute-inflammation",0.384615421295166,0.5,0.533333420753479,8,1,"rect",256
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,4,1,"diavolo",1024
"acute-inflammation",0.384615421295166,0.5,0.533333420753479,4,1,"diavolo",1024
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,4,1,"diavolo",512
"acute-inflammation",0.384615421295166,0.25,0.533333420753479,3,1,"rect",1024
