"dataset","bottleneck","testAccuracy","learningrate","nblocks","nhidden","valAccuracy","blockForm"
"vertebral-column-2clases",0.5,0.675324678421021,1,4,256,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,3,1024,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,3,1024,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,3,1024,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,1,3,1024,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,1,3,512,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,3,512,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,3,512,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,1,3,512,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,1,3,256,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,3,256,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,3,256,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,1,3,256,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,0.01,2,512,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,1,2,1024,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,2,1024,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,2,1024,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,1,2,1024,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,1,2,512,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,2,512,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,2,512,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,1,2,512,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.25,0.675324678421021,1,2,256,0.659574449062348,"rect"
"vertebral-column-2clases",0.25,0.675324678421021,1,2,256,0.659574449062348,"diavolo"
"vertebral-column-2clases",0.5,0.675324678421021,1,2,256,0.659574449062348,"rect"
"vertebral-column-2clases",0.5,0.675324678421021,1,2,256,0.659574449062348,"diavolo"
