"dataset","valAccuracy","testAccuracy","blockForm","bottleneck","learningrate","nblocks","nhidden"
"adult",0.825617152452469,0.828818380832672,"rect",0.5,0.01,16,512
"adult",0.825114262104034,0.828511297702789,"rect",0.5,0.01,8,1024
"adult",0.824839967489243,0.833302140235901,"rect",0.25,0.01,4,1024
"adult",0.823925590515137,0.827221512794495,"diavolo",0.5,0.01,4,1024
"adult",0.823757952451706,0.83121383190155,"diavolo",0.5,0.01,3,1024
"adult",0.823742735385895,0.831213772296906,"rect",0.25,0.01,4,512
"adult",0.823407459259033,0.831213772296906,"rect",0.25,0.01,3,1024
"adult",0.823117905855179,0.833240747451782,"diavolo",0.25,0.01,4,1024
"adult",0.823011243343353,0.82808130979538,"rect",0.25,0.01,8,1024
"adult",0.818485194444656,0.827897131443024,"diavolo",0.25,0.01,3,1024
"adult",0.815467822551727,0.823229074478149,"rect",0.25,0.01,16,1024
"adult",0.81522399187088,0.822307825088501,"rect",0.5,0.1,16,512
"adult",0.812739998102188,0.826422989368439,"rect",0.5,0.01,4,1024
"adult",0.752819299697876,0.763773381710052,"rect",0.25,0.1,16,512
"adult",0.752819299697876,0.763773381710052,"rect",0.25,1,16,1024
"adult",0.752819299697876,0.763773381710052,"diavolo",0.25,1,16,1024
"adult",0.752819299697876,0.763773381710052,"rect",0.25,1,16,512
"adult",0.752819299697876,0.763773381710052,"diavolo",0.25,1,16,512
"adult",0.752819299697876,0.763773381710052,"diavolo",0.5,1,16,512
"adult",0.752819299697876,0.763773381710052,"rect",0.25,1,16,256
"adult",0.752819299697876,0.763773381710052,"diavolo",0.5,1,16,256
"adult",0.752819299697876,0.763773381710052,"rect",0.25,1,8,1024
"adult",0.752819299697876,0.763773381710052,"rect",0.25,1,8,256
"adult",0.752819299697876,0.763773381710052,"diavolo",0.25,1,8,256
"adult",0.752819299697876,0.763773381710052,"diavolo",0.5,1,8,256
"adult",0.752819299697876,0.763773381710052,"diavolo",0.25,1,4,1024
"adult",0.752819299697876,0.763773381710052,"diavolo",0.25,1,4,512
"adult",0.752819299697876,0.763773381710052,"diavolo",0.25,1,3,1024
"adult",0.752819299697876,0.763773322105408,"diavolo",0.5,1,3,1024
"adult",0.752819299697876,0.763773381710052,"rect",0.25,1,3,512
"adult",0.752819299697876,0.763773381710052,"diavolo",0.5,1,3,512
"adult",0.752819299697876,0.763773381710052,"rect",0.5,1,3,256
"adult",0.752819299697876,0.763773381710052,"diavolo",0.25,1,3,256
"adult",0.752819299697876,0.763773381710052,"rect",0.5,1,2,1024
"adult",0.752819299697876,0.763773381710052,"rect",0.25,1,2,512
"adult",0.752819299697876,0.763773381710052,"rect",0.5,1,2,512
"adult",0.752819299697876,0.763773381710052,"diavolo",0.25,1,2,512
"adult",0.752819299697876,0.763773381710052,"diavolo",0.5,1,2,512
"adult",0.752819299697876,0.763773381710052,"rect",0.5,1,2,256
"adult",0.752819299697876,0.763773322105408,"diavolo",0.25,1,2,256
"adult",0.752819299697876,0.763773381710052,"diavolo",0.5,1,2,256
"adult",0.752819293737412,0.763773381710052,"rect",0.25,0.1,8,1024
"adult",0.752819293737412,0.763773381710052,"rect",0.5,0.1,8,1024
"adult",0.752819293737412,0.763773381710052,"diavolo",0.5,1,4,1024
"adult",0.752819293737412,0.763773381710052,"rect",0.25,1,4,256
"adult",0.752819293737412,0.763773381710052,"diavolo",0.25,1,4,256
"adult",0.752819293737411,0.763773322105408,"diavolo",0.25,1,16,256
"adult",0.752819293737411,0.763773381710052,"rect",0.25,1,8,512
"adult",0.752819293737411,0.763773381710052,"rect",0.5,1,8,256
"adult",0.752819293737411,0.763773381710052,"rect",0.5,1,4,256
"adult",0.752819293737411,0.763773381710052,"rect",0.25,1,3,256
"adult",0.752819293737411,0.763773381710052,"diavolo",0.5,1,2,1024
"adult",0.752819287776947,0.763773381710052,"rect",0.25,0.1,16,1024
"adult",0.752819287776947,0.763773381710052,"rect",0.5,0.1,16,1024
"adult",0.752819287776947,0.763773322105408,"rect",0.5,1,8,1024
"adult",0.752819287776947,0.763773381710052,"diavolo",0.25,1,8,1024
"adult",0.752819287776947,0.763773381710052,"diavolo",0.25,1,8,512
"adult",0.752819287776947,0.763773381710052,"rect",0.25,1,4,1024
"adult",0.752819287776947,0.763773322105408,"rect",0.5,1,4,1024
"adult",0.752819287776947,0.763773381710052,"rect",0.25,1,4,512
"adult",0.752819287776947,0.763773381710052,"rect",0.5,1,3,1024
"adult",0.752819287776947,0.763773381710052,"rect",0.5,1,3,512
"adult",0.752819287776947,0.763773381710052,"rect",0.25,1,2,1024
"adult",0.752819281816482,0.763773381710052,"rect",0.5,1,16,512
"adult",0.752819281816482,0.763773381710052,"diavolo",0.5,1,8,512
"adult",0.752819281816482,0.763773381710052,"rect",0.25,1,2,256
"adult",0.752819275856018,0.763773322105408,"rect",0.5,1,16,1024
"adult",0.752819275856018,0.763773381710052,"rect",0.25,1,3,1024
"adult",0.752819275856018,0.763773322105408,"diavolo",0.25,1,3,512
"adult",0.752819275856018,0.763773381710052,"diavolo",0.5,1,3,256
"adult",0.752819275856018,0.763773381710052,"diavolo",0.5,0.1,16,1024
"adult",0.752819275856018,0.763773381710052,"diavolo",0.25,1,2,1024
"adult",0.752819269895554,0.763773381710052,"diavolo",0.5,1,4,512
"adult",0.752819263935089,0.763773381710052,"diavolo",0.5,1,16,1024
"adult",0.752819263935089,0.763773381710052,"rect",0.5,1,8,512
"adult",0.752819263935089,0.763773381710052,"rect",0.5,1,4,512
"adult",0.752819257974625,0.763773381710052,"diavolo",0.5,1,4,256
"adult",0.752819240093231,0.763773322105408,"rect",0.5,1,16,256
"adult",0.752819228172302,0.763773322105408,"diavolo",0.5,1,8,1024
